openlibrary_author_key,author_name,candidate_rank,wikidata_id,wikidata_label,wikidata_description,wikidata_url
OL1478504A,Judy A. Alston,1,Q139443948,Judy A. Alston,,http://www.wikidata.org/entity/Q139443948
OL3925630A,Max DePree,1,Q3302067,Max De Pree,American businessman and writer (1924–2017),http://www.wikidata.org/entity/Q3302067
OL221968A,Robin S. Sharma,1,Q2604952,Robin Sharma,Canadian self-help writer,http://www.wikidata.org/entity/Q2604952
OL1386640A,David Cottrell,1,Q112509983,David Cottrell,psychiatrist (born 1956),http://www.wikidata.org/entity/Q112509983
OL1386640A,David Cottrell,2,Q112480696,David Cottrell,,http://www.wikidata.org/entity/Q112480696
OL1386640A,David Cottrell,3,Q71543601,David S. Cottrell,researcher,http://www.wikidata.org/entity/Q71543601
OL1386640A,David Cottrell,4,Q53784066,David J. Cottrell,researcher,http://www.wikidata.org/entity/Q53784066
OL1386640A,David Cottrell,5,Q25350303,David Cottrell,British academic (1947–2009),http://www.wikidata.org/entity/Q25350303
OL35741A,Marshall Loeb,1,Q6773687,Marshall Loeb,American journalist,http://www.wikidata.org/entity/Q6773687
OL35741A,Marshall Loeb,2,Q123577175,"Marshall Loeb, Editor Who Shaped Money and Fortune Magazines, Dies at 88","The New York Times article (December 11, 2017)",http://www.wikidata.org/entity/Q123577175
OL383301A,Allan A. Glatthorn,1,Q52008212,Allan A. Glatthorn,1924-,http://www.wikidata.org/entity/Q52008212
OL72319A,Karen Lawson,1,Q112444520,Karen Lawson,,http://www.wikidata.org/entity/Q112444520
OL72319A,Karen Lawson,2,Q75473415,Karen Janet Welsh,(born 1964),http://www.wikidata.org/entity/Q75473415
OL562669A,Rosemary Ryan,1,Q113698112,Rosemary Ryan,Australian artist (1926–1996),http://www.wikidata.org/entity/Q113698112
OL562669A,Rosemary Ryan,2,Q22415175,Rosemary Ryan,Irish female distance runner,http://www.wikidata.org/entity/Q22415175
OL389858A,Ellen Van Velsor,1,Q112549518,Ellen Van Velsor,,http://www.wikidata.org/entity/Q112549518
OL657508A,Edwin M. Bridges,1,Q112407027,Edwin Michael Bridges,pedologist,http://www.wikidata.org/entity/Q112407027
OL736784A,Susan Edwards,1,Q105682224,Susan Edwards,(1771-1855),http://www.wikidata.org/entity/Q105682224
OL736784A,Susan Edwards,2,Q112376510,Susan Edwards,,http://www.wikidata.org/entity/Q112376510
OL736784A,Susan Edwards,3,Q107209539,Susan Edwards,"Director, Enforcement, Insolvency and Corporate Law, Department for Business, Innovation and Skills, 2009–12",http://www.wikidata.org/entity/Q107209539
OL736784A,Susan Edwards,4,Q45292427,Susan Edwards,Australian physiologist and academic administrator,http://www.wikidata.org/entity/Q45292427
OL736784A,Susan Edwards,5,Q57333687,Susan Edwards,"education academic, researcher",http://www.wikidata.org/entity/Q57333687
OL948501A,Terry F. Buss,1,Q112443627,Terry F. Buss,,http://www.wikidata.org/entity/Q112443627
OL387435A,Frances A. Karnes,1,Q112478718,Frances A. Karnes,American writer and educator,http://www.wikidata.org/entity/Q112478718
OL7978852A,Dirk van Dierendonck,1,Q58173568,Dirk Van Dierendonck,"researcher, ORCID id # 0000-0002-3545-1798",http://www.wikidata.org/entity/Q58173568
OL7978852A,Dirk van Dierendonck,2,Q133788744,Dirk van Dierendonck,,http://www.wikidata.org/entity/Q133788744
OL6456967A,K. Patterson,1,Q122225779,Kevin Patterson,researcher at Plant & Food Research in New Zealand,http://www.wikidata.org/entity/Q122225779
OL8154264A,Steve Kempster,1,Q58076270,Steve Kempster,researcher,http://www.wikidata.org/entity/Q58076270
OL1747377A,Sue Smith,1,Q57451503,Sue Smith,researcher,http://www.wikidata.org/entity/Q57451503
OL1747377A,Sue Smith,2,Q15040075,Sue Smith,British horse trainer,http://www.wikidata.org/entity/Q15040075
OL1747377A,Sue Smith,3,Q24809547,Sue Smith,Australian screenwriter and playwright,http://www.wikidata.org/entity/Q24809547
OL1747377A,Sue Smith,4,Q16150449,Sue Smith,Australian politician,http://www.wikidata.org/entity/Q16150449
OL1747377A,Sue Smith,5,Q530143,Sue Smith,British footballer (born 1979),http://www.wikidata.org/entity/Q530143
OL8081136A,Gelaye Debebe,1,Q61133441,Gelaye Debebe,(born 1966),http://www.wikidata.org/entity/Q61133441
OL28563A,Manuel London,1,Q112416244,Manuel London,,http://www.wikidata.org/entity/Q112416244
OL4174624A,Shuang Ren,1,Q130948953,Shuang Ren,researcher (ORCID 0009-0008-7381-487X),http://www.wikidata.org/entity/Q130948953
OL4174624A,Shuang Ren,2,Q96048424,Shuang Ren,researcher,http://www.wikidata.org/entity/Q96048424
OL4174624A,Shuang Ren,3,Q137090748,Shuang Ren,,http://www.wikidata.org/entity/Q137090748
OL4174624A,Shuang Ren,4,Q133594523,Shuang Ren,,http://www.wikidata.org/entity/Q133594523
OL395327A,Robert Wood,1,Q550926,Robert W. Wood,American physicist and inventor (1868–1955),http://www.wikidata.org/entity/Q550926
OL395327A,Robert Wood,2,Q110138747,Robert Wood,British American atmospheric scientist,http://www.wikidata.org/entity/Q110138747
OL395327A,Robert Wood,3,Q110067482,Robert Wood,1430 - certain 1456,http://www.wikidata.org/entity/Q110067482
OL395327A,Robert Wood,4,Q7345996,Robert J. Wood,American army general (1905–1986),http://www.wikidata.org/entity/Q7345996
