openlibrary_author_key,author_name,status,candidate_count,error
OL763752A,James G. Hunt,no_candidate,0,
OL1397152A,"Nelson, Debra L.",no_candidate,0,
OL3038563A,James Campbell Quick,success,1,
OL2178985A,Alan Barker,success,5,
OL219084A,Stephen W. Littlejohn,success,1,
OL228612A,Karen A. Foss,success,1,
OL39038A,Deepak Chopra,success,5,
OL9735554A,Magiarí Díaz Díaz,no_candidate,0,
OL2763830A,Rosenberg,success,5,
OL342495A,Theodore S. Rappaport,success,1,
OL2974978A,Rappaport,success,5,
OL39286A,Behrouz A. Forouzan,success,1,
OL2638690A,Sophia Chung Fegan,no_candidate,0,
OL9355361A,Patryk Dziurski,no_candidate,0,
OL3392850A,Gaston Trauffler,no_candidate,0,
OL5318188A,Xi Zhang,success,5,
OL9986896A,Heather C. Webb,no_candidate,0,
OL10014892A,Hussain Al Numairy,no_candidate,0,
OL13696133A,Afnan Alkhaldi,no_candidate,0,
OL7964852A,James Comey,success,1,
OL3080130A,The Arbinger Institute,no_candidate,0,
OL3010393A,Dick Ruhe,success,1,
OL7596247A,Elesa Zehndorfer,no_candidate,0,
OL233688A,Richard L. Hughes,success,1,
OL2635692A,Robert C. Ginnett,no_candidate,0,
OL2639183A,Gordon J Curphy,no_candidate,0,
OL957796A,Richard Hughes,success,5,
OL2639184A,Robert Ginnett,success,1,
OL2639185A,Gordon Curphy,no_candidate,0,
OL2635693A,Gordon J. Curphy,no_candidate,0,
OL216820A,Donald T. Phillips,success,2,
OL27560A,James MacGregor Burns,success,2,
OL217763A,Robert N. Lussier,success,1,
OL237290A,James M. Kouzes,success,1,
OL2648679A,Barry Z. Posner,success,1,
OL218730A,Elaine Biech,success,1,
OL4148975A,Barry Posner,success,3,
OL228253A,"Schein, Edgar H.",no_candidate,0,
OL8082877A,Peter Schein,success,5,
OL222155A,Doris Kearns Goodwin,success,2,
OL9310463A,Doris Kearns Goodwin,success,2,
OL192352A,Michael Z. Hackman,no_candidate,0,
OL483114A,Craig E. Johnson,no_candidate,0,
OL659144A,Ronald E. Riggio,success,1,
OL4929480A,David Logan,success,5,
OL2632097A,Dave Logan,success,5,
OL2632098A,John King,success,5,
OL2632099A,Halee Fischer-Wright,success,1,
OL10000962A,"King, John, III",no_candidate,0,
OL302271A,John King (undifferentiated),no_candidate,0,
OL386286A,Joe D. Batten,success,1,
OL54602A,Rudolph W. Giuliani,success,1,
OL219764A,Patrick Lencioni,success,1,
OL1236399A,John Heider,success,1,
OL8049138A,Beth High,no_candidate,0,
OL8049139A,Gary M. Morgan,no_candidate,0,
OL9507985A,Martin Tan,success,5,
OL545889A,Lee G. Bolman,success,1,
OL2637309A,John Wooden,success,5,
OL220279A,David A. Aaker,success,1,
OL265995A,Linda Holbeche,no_candidate,0,
OL3480923A,Jill Barr,success,5,
OL3714810A,Lesley L Dowding,no_candidate,0,
OL21502A,Kenneth H. Blanchard,success,1,
OL2623346A,Patricia Zigarmi,success,1,
OL2623347A,Drea Zigarmi,success,1,
OL778253A,Richard A. Gorton,success,1,
OL1478504A,Judy A. Alston,success,1,
OL549296A,Petra E. Snowden,no_candidate,0,
OL3925630A,Max DePree,success,1,
OL1345371A,Dandridge M. Malone,no_candidate,0,
OL221968A,Robin S. Sharma,success,1,
OL1386640A,David Cottrell,success,5,
OL35741A,Marshall Loeb,success,2,
OL383301A,Allan A. Glatthorn,success,1,
OL724209A,Floyd Boschee,no_candidate,0,
OL2842487A,Bruce M. Whitehead,no_candidate,0,
OL3123115A,John J. Sosik,no_candidate,0,
OL3483889A,Kevin Flinn,no_candidate,0,
OL72319A,Karen Lawson,success,2,
OL562669A,Rosemary Ryan,success,2,
OL391893A,Cynthia D. McCauley,no_candidate,0,
OL389858A,Ellen Van Velsor,success,1,
OL8299548A,Al Bolea,no_candidate,0,
OL657508A,Edwin M. Bridges,success,1,
OL8624393A,Monika Byrd,no_candidate,0,
OL736784A,Susan Edwards,success,5,
OL956961A,J. Robert Clinton,no_candidate,0,
OL7722532A,Jocelyn Berard,no_candidate,0,
OL948501A,Terry F. Buss,success,1,
OL384936A,Valerie I. Sessa,no_candidate,0,
OL387435A,Frances A. Karnes,success,1,
OL7978852A,Dirk van Dierendonck,success,2,
OL6456967A,K. Patterson,success,1,
OL3692085A,Paul R. Yost,no_candidate,0,
OL8154264A,Steve Kempster,success,1,
OL1747377A,Sue Smith,success,5,
OL8081136A,Gelaye Debebe,success,1,
OL28563A,Manuel London,success,1,
OL7323380A,Ines Wichert,no_candidate,0,
OL4174624A,Shuang Ren,success,4,
OL395327A,Robert Wood,success,5,
OL5535617A,Ying Zhu,success,5,
OL7666450A,Susan R. Komives,no_candidate,0,
OL7582479A,Wendy Wagner,success,5,
OL8048521A,Susan Elaine Murphy,success,2,
OL542112A,Carol A. Mullen,success,1,
OL396629A,Susan R. Komives,no_candidate,0,
OL10188240A,Janine Williams,success,2,
OL3238559A,Jon Byler,no_candidate,0,
OL7297514A,Mark A. Brennan,success,1,
OL689094A,Stephen Connock,no_candidate,0,
OL1326651A,Ted Johns,success,5,
OL720844A,Lee Barr,success,5,
OL4587626A,Carlene S. Feldman,no_candidate,0,
OL2877334A,Louis Carter,success,4,
OL236847A,David Ulrich,success,5,
OL2652676A,Marshall Goldsmith,success,2,
OL218156A,Hank Rubin,no_candidate,0,
OL5124174A,Beth Fisher-Yoshida,no_candidate,0,
OL230540A,Alma Harris,success,1,
OL13103672A,Ideal Curtis,no_candidate,0,
OL443596A,Christopher Mabey,success,1,
OL3714866A,Tim Finch Lees,no_candidate,0,
OL2434686A,Jack Gordon,success,5,
OL6918312A,Abdullahi Sheikh Ali,no_candidate,0,
OL7664103A,Jeffrey S. Brooks,no_candidate,0,
OL8570118A,Jeff Stouffer,no_candidate,0,
OL19864A,Albert Ellis,success,5,
OL389943A,Elliott Jaques,success,1,
OL3814333A,Stephen D. Clement,no_candidate,0,
OL833791A,Chris Argyris,success,3,
OL6812521A,Joseph Olmstead,success,2,
OL1665908A,Bureau of Business Practice.,no_candidate,0,
OL4345625A,Peter F. Drucker,success,5,
OL717679A,Joseph A. Maciariello,success,1,
OL1802361A,Jim Collins,success,5,
OL8009750A,Tim Andres Pabon,no_candidate,0,
OL9348680A,Zachary First,no_candidate,0,
OL383503A,M. Scott Norton,success,1,
OL3139458A,Nicholas D. J. Baldwin,no_candidate,0,
OL1290281A,Farid A. Muna,no_candidate,0,
OL7909458A,The Executive Leadership Council,no_candidate,0,
OL7909459A,The Executive Leadership Council,no_candidate,0,
OL5714840A,Marvin Bower,success,2,
OL3236048A,Nathan Axelrod,success,2,
OL11546536A,abraham holtzman,success,1,
OL2173633A,Joseph Leo Krieger,no_candidate,0,
OL5574571A,James Frederick Bender,success,1,
OL542945A,Marvin Bower,success,2,
OL945560A,Phillip Donald Grub,no_candidate,0,
OL4654955A,Pamela R. Cronrath,no_candidate,0,
OL14525698A,Casey Kroll,no_candidate,0,
OL2959898A,Judi Williams,no_candidate,0,
OL14525699A,Rahul Dogra,no_candidate,0,
OL12780840A,Jacqui Malpass,no_candidate,0,
OL2229435A,"Ralph Currier Davis Management Symposium (1964 Ohio State University, Columbus)",no_candidate,0,
OL340685A,"Campbell, Colin",success,5,
OL2933997A,Margaret Jane Wyszomirski,success,1,
OL10717978A,Virginia Mansell,no_candidate,0,
OL13480136A,William N. Egan,no_candidate,0,
OL16569129A,Miles Garrett,no_candidate,0,
OL4538944A,Edutext.,no_candidate,0,
OL12307403A,Ph D. Joseph Olmstead,no_candidate,0,
OL39523A,Joseph A. Olmstead,no_candidate,0,
OL8193197A,Robert D. Herman & Associates,no_candidate,0,
OL9482201A,Richard D. Heimovics,success,1,
OL3082566A,Alan C. Walter,no_candidate,0,
OL643161A,Donald G. Hanna,no_candidate,0,
OL2955129A,Ludger Helms,success,1,
OL2655210A,David M. Shafie,no_candidate,0,
OL1657009A,Mary E. Tramel,no_candidate,0,
OL371014A,Stephen J. Zaccaro,success,1,
OL1346979A,Abraham Holtzman,success,1,
OL3028742A,P. J. Pierce,no_candidate,0,
OL798259A,Barry Lenson,no_candidate,0,
OL13925102A,Ralph Currier Davis Management Symposium (1964 Ohio State University),no_candidate,0,
OL11583427A,Elaine Romanelli,no_candidate,0,
OL1756685A,Ordway Tead,success,1,
OL5356609A,Melinda Crenshaw Henderson,no_candidate,0,
OL13423982A,Ph. D. Keith Mathis,no_candidate,0,
OL11510748A,JAMES FREDERICK BENDER,success,1,
OL8585526A,United States. Department of the Army,no_candidate,0,
OL5554142A,John Apps,success,1,
OL1194495A,Thora Kron,no_candidate,0,
OL341057A,"Parker, Glenn M.",no_candidate,0,
OL400406A,Graham Kelly,success,5,
OL3600663A,Donna Weiss,success,2,
OL8094178A,Felice J. Tilin,no_candidate,0,
OL8094179A,Marlene J. Morgan,no_candidate,0,
OL235247A,Kenneth O. Gangel,success,2,
OL392483A,Kimball Fisher,no_candidate,0,
OL886301A,Charles J. Margerison,no_candidate,0,
OL6733957A,"Spaulding, Seth II.",no_candidate,0,
OL435244A,David C. Kolb,no_candidate,0,
OL8353306A,Drikus Kriek,no_candidate,0,
OL6943398A,Paolo Guenzi,no_candidate,0,
OL3547465A,George R. Boggs,no_candidate,0,
OL8358679A,Christine Johnson McPhail,success,1,
OL8358680A,Eloy Ortiz Oakley,success,1,
OL8147226A,Randy E. Cadieux,no_candidate,0,
OL2948637A,Don Page,success,5,
OL410958A,Peter Hawkins,success,5,
OL546738A,Michal K. Rosenberger,no_candidate,0,
OL10872942A,Emanuela Giangregorio,no_candidate,0,
OL474603A,Graham Little,success,5,
OL6645079A,Simon Sinek,success,4,
OL12203500A,Coach Joe Sasso,no_candidate,0,
OL454418A,Gregory E. Huszczo,no_candidate,0,
OL870626A,Peter Saul,success,5,
OL3031908A,Douglas A. Johnson,success,1,
OL3512935A,Susan T. Beyerlein,no_candidate,0,
OL2844756A,Geoff Ribbens,no_candidate,0,
OL13202475A,Mark Abraham,success,5,
OL14046862A,Alistair Cumming,no_candidate,0,
OL588234A,Richard L. Nolan,success,1,
OL241292A,Ned F. Kock,no_candidate,0,
OL577733A,Pat Wellington,success,1,
OL8036471A,Niall Foster,success,1,
OL2657201A,Peter Fleming,success,5,
OL8161667A,Max Amesbury,no_candidate,0,
OL3377846A,Paul Newton,success,5,
OL13702277A,Helen Bristoll,no_candidate,0,
OL3434034A,Rosenberger,success,5,
OL5246350A,Sŭng-gak Yi,no_candidate,0,
OL1429139A,Anthony T. Cobb,no_candidate,0,
OL445603A,Laura Mae Douglass,no_candidate,0,
OL2920399A,David Parkes,success,5,
OL10057317A,D. Kayes,no_candidate,0,
OL6960937A,Anna Kayes,no_candidate,0,
OL7155908A,Stanley A. McChrystal,success,1,
OL8083074A,Tantum Collins,success,1,
OL8937874A,David Silverman,success,5,
OL7662892A,Chris Fussell,success,2,
OL3879444A,LeaderTreks,success,1,
OL468373A,Wendy W. Peche,no_candidate,0,
OL3288505A,Stephen Hacker,no_candidate,0,
OL3317804A,Tammy Roberts,success,1,
OL1607910A,Carolyn M. Shields,success,1,
OL579626A,Leighton Ford,success,1,
OL10997841A,Glenn Walter,success,5,
OL7122754A,Monica Sharma,success,5,
OL2850369A,Dennis Tourish,success,1,
OL20618A,Charles B. Bugg,no_candidate,0,
OL40032A,John D. Adams,success,3,
OL7524881A,Hugh Blane,no_candidate,0,
OL7007990A,Kathe Schaaf,no_candidate,0,
OL13606546A,Sandra Baroudi,no_candidate,0,
OL9106369A,Benny Ausmus,no_candidate,0,
OL9576570A,Aixa A. Ritz,no_candidate,0,
OL3584242A,Isabel Rimanoczy,no_candidate,0,
OL953196A,Richard Higginson,success,2,
OL380575A,Eric Masinde Aseka,no_candidate,0,
OL6519217A,ERIC MASINDE ASEKA,no_candidate,0,
OL8809614A,Randy Dobbs,no_candidate,0,
OL199718A,Girl Scouts of the United States of America.,no_candidate,0,
OL7000993A,Issa M. Saleh,success,1,
OL3227622A,Myint Swe Khine,success,1,
OL9266383A,William Torbert,success,1,
OL5480270A,Terry Anderson,success,5,
OL8019733A,Annmarie Sanders,no_candidate,0,
OL16047315A,Madikela Titus Lekalakala,no_candidate,0,
OL14055814A,Shana Burnett Ed.D,no_candidate,0,
OL531983A,Phillip V. Lewis,no_candidate,0,
OL440459A,John E. Roueche,success,1,
OL2938000A,George A. Baker,success,5,
OL1711554A,Robert R. Rose,success,3,
OL14062650A,Joshua P. Trout,no_candidate,0,
OL6265933A,Ken Wiltshire,success,1,
OL16039789A,Ismael sanchez,success,5,
OL227813A,Robert K. Greenleaf,success,1,
OL1171623A,Kent M. Keith,success,1,
OL1424939A,Efrain Agosto,no_candidate,0,
OL3478629A,Geoff Watts,success,2,
OL9150800A,Rebecca Traeger,no_candidate,0,
OL9150801A,Ole Storksen,no_candidate,0,
OL5218702A,Mike Cohn,success,1,
OL3032412A,Esther Derby,success,1,
OL399219A,Alfons Trompenaars,success,1,
OL3595253A,James W. Sipe,no_candidate,0,
OL3125428A,Jack Schaap,no_candidate,0,
OL6973134A,Larry C. Spears,success,1,
OL222954A,Paul A. Cedar,no_candidate,0,
OL7039356A,Dirk van Dierendonck,success,2,
OL2732590A,Larry C. Spears,success,1,
OL6893146A,Michele Lawrence,success,1,
OL2623924A,Ken Blanchard,success,1,
OL8346661A,Renee Broadwell,no_candidate,0,
OL5310633A,Michael Rucker,success,5,
OL2994264A,Holly Spence,success,3,
OL344341A,Jane Fryar,no_candidate,0,
OL6478198A,Rocky Wallace,no_candidate,0,
OL8049704A,Mary Culver,success,2,
OL3153159A,J. David Lundy,no_candidate,0,
OL3083322A,Don M Frick,no_candidate,0,
OL217423A,James C. Hunter,success,1,
OL3792801A,Henry P. Hildebrand,no_candidate,0,
OL6231358A,Ursula Thomas,success,2,
OL10550517A,Sylvanus Wosu,no_candidate,0,
OL1004566A,"Stevens, David",no_candidate,0,
OL3311046A,Philip Mathew,success,5,
OL9741600A,Jiying Song,no_candidate,0,
OL9708869A,Shann Ray Ferch,no_candidate,0,
OL221620A,Mary Elizabeth O'Brien,success,2,
OL579275A,Ralph Lewis,success,5,
OL1084157A,"Noble, John",success,5,
OL8106208A,Cara H Bramlett,no_candidate,0,
OL7647421A,Angelo J. Letizia,no_candidate,0,
OL12320548A,Pastor Cecil Hollaway,no_candidate,0,
OL1546981A,James Hunter,success,5,
OL294007A,Rhonda Kelley,no_candidate,0,
OL3059266A,Daniel W. Wheeler,no_candidate,0,
OL3860907A,Rocky Wallace,no_candidate,0,
OL10083137A,Samuel O. Enyia,no_candidate,0,
OL7948088A,Sen Sendjaya,no_candidate,0,
OL11526794A,Chad Audi,no_candidate,0,
OL10259925A,Yasir Hayat Mughal,no_candidate,0,
OL10259926A,Shahid Kamal,success,1,
OL6843918A,Robert K. Greenleaf Center. International Conference on Servant-Leadership,no_candidate,0,
OL10439210A,Pierre Walter,success,5,
OL8347278A,Mathias Hartmann,success,1,
OL13693008A,John Wallace Whitehead,no_candidate,0,
OL2695440A,G. Roberts,success,3,
OL227825A,C. Gene Wilkes,no_candidate,0,
OL216799A,Philip Kotler,success,2,
OL34717A,Kenneth C. Laudon,success,1,
OL2624937A,Jane P. Laudon,success,1,
OL2624938A,Jane Price Laudon,success,1,
OL2651047A,Jane Laudon,no_candidate,0,
OL391962A,Kevin Lane Keller,success,1,
OL238534A,Gary Dessler,success,1,
OL226049A,Jay H. Heizer,success,1,
OL2648619A,Jay Heizer,success,1,
OL457089A,Barry Render,success,1,
OL1308528A,George Robert Terry,success,1,
OL239218A,Fred R. David,no_candidate,0,
OL7166567A,Richard I. Levin & David S. Rubin,no_candidate,0,
OL2101074A,John le Carré,success,5,
OL240294A,Gregory G. Dess,no_candidate,0,
OL2640638A,G. T. Lumpkin,no_candidate,0,
OL2640639A,Alan B. Eisner,success,1,
OL2986109A,Gerry McNamara,success,2,
OL7807029A,Seung-Hyun Lee,success,5,
OL1195678A,Marilyn L. Taylor,no_candidate,0,
OL33897A,Stephen P. Robbins,success,2,
OL319610A,Andrew S. Grove,success,2,
OL244414A,Eugene F. Brigham,success,1,
OL715490A,Michael C. Ehrhardt,success,1,
OL221453A,R. Wayne Mondy,success,1,
OL2648915A,Robert M. Noe,no_candidate,0,
OL2648916A,Shane R. Premeaux,success,1,
OL455363A,Ronald Knowles,success,1,
OL544809A,Joseph J. Martocchio,success,1,
OL7170216A,David Kadavy,no_candidate,0,
OL27304A,Thomas L. Wheelen,success,1,
OL29722A,J. David Hunger,success,1,
OL2652743A,Tom Wheelen,no_candidate,0,
OL450116A,Dennis Lock,success,3,
OL218836A,Charles T. Horngren,success,1,
OL223463A,Frederick Winslow Taylor,success,3,
OL526722A,Paul Hersey,success,1,
OL2655496A,Blanchard Hersey,success,1,
OL392962A,Michael Levy,success,5,
OL240891A,Arthur A. Thompson,success,1,
OL1080210A,Alonzo J. Strickland,success,1,
OL2638624A,"Arthur A., Jr. Thompson",no_candidate,0,
OL395336A,A. J. Strickland,success,1,
OL2640627A,"Alonzo J., III Strickland",no_candidate,0,
OL224399A,Lee J. Krajewski,success,1,
OL389425A,Gareth R. Jones,success,2,
OL226973A,Jennifer M. George,success,1,
OL25513A,David A. Whetten,success,1,
OL226671A,Kim S. Cameron,success,1,
OL3011780A,Whetten,success,3,
OL5413970A,David A. Whetten,success,1,
OL6519846A,DAVID A. WHETTEN,success,1,
OL3368293A,David Whetten,no_candidate,0,
OL2622498A,Kim Cameron,success,4,
OL2635200A,Harold Koontz,success,1,
OL29513A,Project Management Institute,success,2,
OL389147A,Robert C. Higgins,no_candidate,0,
OL21141A,"Pearce, John A.",no_candidate,0,
OL2634617A,John A. Pearce,success,1,
OL2634618A,Richard B. Robinson,no_candidate,0,
OL5476227A,Michael Levy,success,5,
OL391217A,Barton A. Weitz,success,1,
OL453548A,Donald J. Bowersox,success,1,
OL223174A,Spencer Johnson,success,5,
OL2675184A,Kenneth Blanchard,no_candidate,0,
OL392669A,Robert D. Hisrich,success,1,
OL2627410A,Joel F. Houston,no_candidate,0,
OL383803A,James C. Van Horne,success,2,
OL26542A,James A. O'Brien,success,4,
OL398560A,Barry Berman,success,3,
OL338289A,Joel R. Evans,no_candidate,0,
OL9417937A,L. M. Prasad,no_candidate,0,
OL4193465A,L.M. Prasad,no_candidate,0,
OL30298A,Jerrold S. Greenberg,success,1,
OL2844131A,Jerrold Greenberg,no_candidate,0,
OL4672094A,Jerrold S Greenberg,no_candidate,0,
OL7286488A,Gerrold Greenberg,no_candidate,0,
OL10856242A,Cyril O'Donnell,success,1,
OL228184A,William J. Stevenson,no_candidate,0,
OL8088432A,Mairead Brady,success,1,
OL590573A,Malcolm Goodman,no_candidate,0,
OL2946043A,Torben Hansen,success,5,
OL394882A,Douglas J. Dalrymple,no_candidate,0,
OL1519807A,William Cron,success,5,
OL2730967A,William L. Cron,no_candidate,0,
OL2730968A,Thomas E. DeCarlo,no_candidate,0,
OL224314A,Charles W. L. Hill,success,1,
OL562491A,Thomas R. Hoffmann,success,1,
OL1193951A,Aaron Antonovsky,success,4,
OL5686405A,Michael Armstrong,success,5,
OL4727974A,Mick Marchington,success,1,
OL2694332A,Adrian Wilkinson,success,3,
OL3317278A,"Jr., Donald C. Mosley",no_candidate,0,
OL2778389A,"Paul H., Jr. Pietri",no_candidate,0,
OL9516683A,Susan Hetrick,no_candidate,0,
OL8266105A,Charalampos Giousmpasoglou,no_candidate,0,
OL8266107A,Evangelia Marinakou,success,1,
OL9515103A,Carol J. P. Colfer,no_candidate,0,
OL3134337A,Yvonne Byron,success,1,
OL2800692A,Gary Rees,success,3,
OL8077721A,Raymond French,success,1,
OL8150544A,Antonios Panagiotakopoulos,no_candidate,0,
OL2657848A,David Rees,success,5,
OL3461954A,Richard McBain,success,1,
OL478428A,David Farnham,success,3,
OL9308896A,Paul Smith CIPD,no_candidate,0,
OL5293406A,PEOPLE MANAGEMENT.,success,1,
OL9489251A,Nicholas Kinnie,no_candidate,0,
OL4915492A,Juani Swart,success,1,
OL9489252A,Bruce Rayton,success,1,
OL1461878A,Susan Hutchinson,success,4,
OL6994615A,Pawan S. Budhwar,success,2,
OL223415A,Ricky W. Griffin,success,1,
OL7320384A,Jean M. Phillips,success,1,
OL8049214A,Stanley M. Gully,success,1,
OL44633A,Jack London,success,5,
OL3422904A,OLSON *PEOPLE*,no_candidate,0,
OL6346643A,Paul Kearns,success,3,
OL787582A,Clive T. Goodworth,no_candidate,0,
OL226543A,Ellen Hawley,success,1,
OL5856610A,Shirley McKinnon,no_candidate,0,
OL7317788A,Rus Slater,no_candidate,0,
OL4814507A,Ian Fleming,success,5,
OL7950578A,Ashish Malik,success,4,
OL2698142A,Chris Rowley,success,4,
OL3874125A,David W. Griffiths,success,1,
OL11451297A,JAMES RICHARDSON,success,5,
OL274524A,"Thomas, Mark",no_candidate,0,
OL1459505A,William Laird Siegel,no_candidate,0,
OL10906578A,Satish Bendigiri,no_candidate,0,
OL5933475A,Great Britain. Audit Commission for Local Authorities in England and Wales.,no_candidate,0,
OL8211725A,David Creelman,success,1,
OL8271274A,Peter Navin,no_candidate,0,
OL3392140A,PAGE,success,5,
OL8083257A,Norma Barry,no_candidate,0,
OL7620390A,Karen Gately,no_candidate,0,
OL230346A,Peter Dowling,success,5,
OL3289459A,Peter J. Dowling,success,1,
OL2778426A,Denice E. Welch,no_candidate,0,
OL393423A,Randall S. Schuler,success,1,
OL13217995A,Morgan Orioha,no_candidate,0,
OL8075384A,Richard Blackmon,no_candidate,0,
OL12915435A,Diana Dias,success,3,
OL12915436A,Carla Magalhães,success,1,
OL333708A,Patricia Wellington,success,1,
OL7546458A,Gerardus Blokdyk,no_candidate,0,
OL3675364A,"Gerrit, Ph.D. Knodt",no_candidate,0,
OL1715750A,John Bramham,no_candidate,0,
OL389341A,Carol J. Pierce Colfer,success,2,
OL225835A,Michael A. Hitt,success,1,
OL715487A,Robert E. Hoskisson,no_candidate,0,
OL3446960A,"R. Duane Ireland, Robert E. Hoskisson Michael A.  Hitt",no_candidate,0,
OL2654206A,Duane Ireland,success,1,
OL2650732A,R. Duane Ireland,success,1,
OL7000742A,Frank T. Rothaermel,success,1,
OL1076211A,R. Edward Freeman,success,1,
OL2653134A,Fred David,success,5,
OL1010168A,H. Igor Ansoff,no_candidate,0,
OL12578562A,Edward McDonnell,success,5,
OL528859A,Jay B. Barney,success,1,
OL2652981A,Jay Barney,success,2,
OL3246876A,William S Hesterly,no_candidate,0,
OL2663874A,Jeffrey H. Dyer,success,1,
OL509421A,Paul Godfrey,success,4,
OL2699582A,Robert Jensen,success,5,
OL3136624A,David Bryce,success,5,
OL19769A,Samuel C. Certo,no_candidate,0,
OL3355954A,J.Paul Peter,no_candidate,0,
OL5649743A,Melissa A. Schilling,success,1,
OL2738537A,Garth Saloner,success,1,
OL2738538A,Andrea Shepard,no_candidate,0,
OL2738539A,Joel Podolny,success,1,
OL24085A,Alan M. Rugman,success,2,
OL4380294A,Richard M. Hodgetts,success,1,
OL401884A,Mark Harrison Moore,success,1,
OL2734901A,Tienie Ehlers,no_candidate,0,
OL449222A,Philippe Lasserre,success,1,
OL2735682A,John Parnell,success,5,
OL386819A,Peter M. Ginter,success,1,
OL531979A,Linda E. Swayne,success,1,
OL223179A,W. Jack Duncan,no_candidate,0,
OL43312A,"Cooke, Peter",no_candidate,0,
OL2837853A,David Williamson,success,5,
OL7607720A,Wyn Jenkins,success,1,
OL4390269A,Keith Michael Moreton,no_candidate,0,
OL391735A,"Miller, Alex",success,2,
OL6843931A,Allen C. Amason,success,1,
OL4357246A,John L. Thompson,success,4,
OL283267A,Frank Martin,success,5,
OL456615A,W. Edward Stead,success,1,
OL2850421A,Jean Garner Stead,success,1,
OL2850422A,Mark Starik,success,1,
OL397965A,Mary K. Coulter,no_candidate,0,
OL1519065A,C. Gopinath,success,1,
OL3293873A,Julie I. Siciliano,no_candidate,0,
OL220074A,Henry Mintzberg,success,2,
OL1433414A,Mason Andrew Carpenter,success,1,
OL2652884A,Mason A. Carpenter,no_candidate,0,
OL2652885A,William Gerard Sanders,no_candidate,0,
OL7807072A,Frank Rothaermel,no_candidate,0,
OL3378334A,Anthony Henry,success,5,
OL7664098A,Harry Sminia,success,1,
OL1010034A,Lester A. Digman,no_candidate,0,
OL7929313A,R. Edward Freeman,success,1,
OL3091571A,Zahirul Hoque,success,2,
OL4598461A,J. David Hunger,success,1,
OL1479479A,Kamel Mellahi,success,1,
OL2669063A,Jedrzej George Frynas,success,1,
OL2669064A,Paul Finlay,success,4,
OL609848A,Richard L. Lynch,success,1,
OL3101058A,Jeffrey M. Hiatt,success,1,
OL3101059A,Timothy J. Creasey,success,1,
OL7544304A,Julian Randall,success,1,
OL2657294A,Robert Sullivan,success,5,
OL3154863A,Stephen Lytton,no_candidate,0,
OL447504A,Thomas Lauer,success,5,
OL1515780A,Julian Randall,success,1,
OL1603319A,Lyndon Pugh,success,2,
OL1427230A,Esther Cameron,success,3,
OL2824520A,Mike Green,success,5,
OL3278672A,Darren McCabe,success,1,
OL3182743A,Klaus Doppler,success,1,
OL7953007A,Christoph Lauterburg,success,1,
OL530471A,John Hayes,success,5,
