query_book_id,recommendations_returned,recommendations_with_cluster,unique_topic_clusters,cluster_diversity_ratio,query_title,query_authors,query_source_group,query_topic
BOOK00072,10,10,6,0.6,Leading Small Business,"['Steve Kempster', 'Sue Smith']",Open Library only,General Business and Management
BOOK00073,10,10,5,0.5,Women's Leadership Development,['Gelaye Debebe'],Open Library only,Leadership Development
BOOK00074,10,10,3,0.3,Leadership Development,['Manuel London'],Open Library only,Leadership Development
BOOK00075,10,10,3,0.3,Accelerated Leadership Development,['Ines Wichert'],Open Library only,Leadership Development
BOOK00076,10,10,3,0.3,Business Leadership Development in China,"['Shuang Ren', 'Robert Wood', 'Ying Zhu']",Open Library only,General Business and Management
BOOK00077,10,10,6,0.6,Leadership for a Better World,"['Susan R. Komives', 'Wendy Wagner']",Open Library only,Broad Leadership and Success
BOOK00078,10,10,4,0.4,Future of Leadership Development,"['Susan Elaine Murphy', 'Ronald E. Riggio']",Open Library only,Leadership Development
BOOK00079,10,10,4,0.4,Curriculum Leadership Development,['Carol A. Mullen'],Open Library only,Leadership Development
BOOK00080,10,10,6,0.6,The handbook for student leadership development,['Susan R. Komives'],Open Library only,Leadership Development
BOOK00081,10,10,2,0.2,Leadership Development,['Manuel London'],Open Library only,Leadership Development
BOOK00082,10,10,2,0.2,Servant Leadership Development,['Janine Williams'],Open Library only,Servant Leadership
BOOK00083,10,10,3,0.3,Full range leadership development,['Bruce J. Avolio'],Open Library only,Leadership Development
BOOK00084,10,7,5,0.7142857142857143,The Art of Christian Leadership,['Jon Byler'],Open Library only,Transformational Leadership
BOOK00085,10,10,4,0.4,Community Leadership Development,['Mark A. Brennan'],Open Library only,Leadership Development
BOOK00086,10,10,5,0.5,Ethical leadership,"['Stephen Connock', 'Ted Johns']",Open Library only,CEO and Executive Transformation
BOOK00087,10,10,2,0.2,Leadership development,['Lee Barr'],Open Library only,Leadership Development
BOOK00088,10,10,2,0.2,Phi Theta Kappa leadership development program,['Carlene S. Feldman'],Open Library only,Leadership Development
BOOK00089,10,9,5,0.5555555555555556,Best practices in leadership development and organization change,"['Louis Carter', 'David Ulrich', 'Marshall Goldsmith']",Open Library only,Leadership Development
BOOK00090,10,10,4,0.4,Collaborative leadership,['Hank Rubin'],Open Library only,Future Thinking and Personal Development
BOOK00091,10,10,6,0.6,Transnational leadership development,['Beth Fisher-Yoshida'],Open Library only,General Business and Management
BOOK00092,10,10,6,0.6,Distributed School Leadership,['Alma Harris'],Open Library only,Transformational Leadership
BOOK00093,10,10,3,0.3,Leadership Development,['Ideal Curtis'],Open Library only,Leadership Development
BOOK00094,10,9,3,0.3333333333333333,Management and leadership development,"['Christopher Mabey', 'Tim Finch Lees']",Open Library only,Leadership Development
BOOK00095,10,10,3,0.3,The Pfeiffer book of successful leadership development tools,['Jack Gordon'],Open Library only,Leadership Development
BOOK00096,10,10,3,0.3,Leadership development,['Abdullahi Sheikh Ali'],Open Library only,Leadership Development
BOOK00097,10,10,5,0.5,Foundations of Educational Leadership,['Jeffrey S. Brooks'],Open Library only,Transformational Leadership
BOOK00098,10,10,3,0.3,Strategic leadership development,['Jeff Stouffer'],Open Library only,Leadership Development
BOOK00099,10,10,2,0.2,Executive Leadership,['Albert Ellis'],Open Library only,Executive Leadership
BOOK00100,10,10,5,0.5,Executive leadership,"['Elliott Jaques', 'Stephen D. Clement']",Open Library only,Executive Leadership
BOOK00101,10,10,3,0.3,Executive leadership,['Chris Argyris'],Open Library only,Executive Leadership
BOOK00102,10,10,3,0.3,Executive Leadership,['Joseph Olmstead'],Open Library only,General Business and Management
BOOK00103,10,10,1,0.1,Executive leadership,['Bureau of Business Practice.'],Open Library only,Executive Leadership
BOOK00104,10,10,4,0.4,Effective Executive,"['Peter F. Drucker', 'Joseph A. Maciariello', 'Jim Collins', 'Tim Andres Pabon', 'Zachary First']",Open Library only,General Business and Management
BOOK00105,10,10,2,0.2,Executive Leadership for Effective Administration,['M. Scott Norton'],Open Library only,Executive Leadership
BOOK00106,10,10,2,0.2,Executive Leadership and Legislative Assemblies,['Nicholas D. J. Baldwin'],Open Library only,Executive Leadership
BOOK00107,10,10,2,0.2,The Palestinian executive,['Farid A. Muna'],Open Library only,Executive Leadership
BOOK00108,10,10,1,0.1,Executive Leadership Council Journal,"['The Executive Leadership Council', 'The Executive Leadership Council']",Open Library only,Executive Leadership
BOOK00109,10,10,1,0.1,The Development of Executive Leadership,['Marvin Bower'],Open Library only,Executive Leadership
BOOK00110,10,10,3,0.3,Executive Leadership,['Nathan Axelrod'],Open Library only,Executive Leadership
BOOK00111,10,10,1,0.1,Legislative liaison; executive leadership in Congress,['abraham holtzman'],Open Library only,Executive Leadership
BOOK00112,10,10,1,0.1,Principles and problems of executive leadership,['Joseph Leo Krieger'],Open Library only,Executive Leadership
BOOK00113,10,10,2,0.2,The technique of executive leadership,['James Frederick Bender'],Open Library only,Executive Leadership
BOOK00114,10,10,2,0.2,The development of executive leadership,['Marvin Bower'],Open Library only,Executive Leadership
BOOK00115,10,10,2,0.2,Executive leadership,['Phillip Donald Grub'],Open Library only,Executive Leadership
BOOK00116,10,9,4,0.4444444444444444,Chief nursing executives' leadership style and effectiveness,['Pamela R. Cronrath'],Open Library only,Transformational Leadership
BOOK00117,8,8,6,0.75,Navigate,"['Casey Kroll', 'Judi Williams', 'Rahul Dogra', 'Jacqui Malpass']",Open Library only,Broad Leadership and Success
BOOK00118,10,10,2,0.2,Executive leadership in a dynamic society,"['Ralph Currier Davis Management Symposium (1964 Ohio State University, Columbus)']",Open Library only,Executive Leadership
BOOK00119,10,9,5,0.5555555555555556,Executive leadership in Anglo-American systems,"['Campbell, Colin', 'Margaret Jane Wyszomirski']",Open Library only,Executive Leadership
BOOK00120,10,10,4,0.4,The focused executive,['Virginia Mansell'],Open Library only,Executive Leadership
BOOK00121,10,10,1,0.1,Executive leadership,['William N. Egan'],Open Library only,Executive Leadership
BOOK00122,10,9,4,0.4444444444444444,Executive Leadership,['Miles Garrett'],Open Library only,Executive Leadership
BOOK00123,10,10,6,0.6,Executive leadership.,[],Open Library only,Executive Leadership
BOOK00124,10,10,1,0.1,Executive leadership,['Edutext.'],Open Library only,Executive Leadership
BOOK00125,10,10,2,0.2,Executive Leadership,['Ph D. Joseph Olmstead'],Open Library only,Executive Leadership
BOOK00126,10,10,2,0.2,Executive leadership,['Joseph A. Olmstead'],Open Library only,Executive Leadership
BOOK00127,10,10,3,0.3,Executive Leadership in Nonprofit Organizations,"['Robert D. Herman & Associates', 'Richard D. Heimovics']",Open Library only,Executive Leadership
BOOK00128,10,9,2,0.2222222222222222,Executive Leadership Series,['Alan C. Walter'],Open Library only,Executive Leadership
BOOK00129,10,9,1,0.1111111111111111,Police Executive Leadership,['Donald G. Hanna'],Open Library only,Executive Leadership
BOOK00130,10,10,6,0.6,"Presidents, Prime Ministers and Chancellors",['Ludger Helms'],Open Library only,Power and Influence
BOOK00131,10,10,7,0.7,Presidential Administration and the Environment,['David M. Shafie'],Open Library only,Future Thinking and Personal Development
BOOK00132,10,10,1,0.1,Executive leadership,['Mary E. Tramel'],Open Library only,Executive Leadership
BOOK00133,10,10,2,0.2,Development of Executive Leadership,['Marvin Bower'],Open Library only,Executive Leadership
BOOK00134,10,10,2,0.2,Models and theories of executive leadership,['Stephen J. Zaccaro'],Open Library only,Executive Leadership
BOOK00135,10,10,3,0.3,Legislative liaison; executive leadership in Congress,['Abraham Holtzman'],Open Library only,Executive Leadership
BOOK00136,10,10,2,0.2,Reset Your Thinking Before Presenting to Executive Leadership,['P. J. Pierce'],Open Library only,Executive Leadership
BOOK00137,10,10,3,0.3,Executive leadership through communication,['Barry Lenson'],Open Library only,Communication
BOOK00138,10,10,2,0.2,Executive leadership in a dynamic society,['Ralph Currier Davis Management Symposium (1964 Ohio State University)'],Open Library only,Executive Leadership
BOOK00139,10,10,2,0.2,Executive leadership and organizational outcomes,['Elaine Romanelli'],Open Library only,Executive Leadership
BOOK00140,10,10,4,0.4,Human nature and management,['Ordway Tead'],Open Library only,Human Resource Management
BOOK00141,10,8,4,0.5,NURSE EXECUTIVES: LEADERSHIP/POWER MOTIVATION AND LEADERSHIP EFFECTIVENESS,['Melinda Crenshaw Henderson'],Open Library only,Transformational Leadership
BOOK00142,10,10,1,0.1,executive leadership course volume 3,[],Open Library only,Executive Leadership
BOOK00143,10,10,1,0.1,Dinosaur Tracks (Executive Leadership Series),['Ph. D. Keith Mathis'],Open Library only,Executive Leadership
BOOK00144,10,10,1,0.1,The Technique of Executive Leadership,['JAMES FREDERICK BENDER'],Open Library only,Executive Leadership
BOOK00145,10,10,4,0.4,Applied team leadership,['United States. Department of the Army'],Open Library only,Future Thinking and Personal Development
BOOK00146,10,9,2,0.2222222222222222,Team leadership,['John Apps'],Open Library only,Team Leadership
BOOK00147,10,10,3,0.3,Nursing team leadership,['Thora Kron'],Open Library only,Team Leadership
BOOK00148,10,10,3,0.3,Team leadership,"['Parker, Glenn M.']",Open Library only,Leadership Development
BOOK00149,10,10,5,0.5,Team leadership,['Graham Kelly'],Open Library only,Leadership Development
BOOK00150,10,10,4,0.4,Team of Rivals,['Doris Kearns Goodwin'],Open Library only,Future Thinking and Personal Development
BOOK00151,10,9,9,1.0,Interprofessional Health Care Team,"['Donna Weiss', 'Felice J. Tilin', 'Marlene J. Morgan']",Open Library only,Team Leadership
BOOK00152,10,9,5,0.5555555555555556,Team leadership in Christian ministry,['Kenneth O. Gangel'],Open Library only,Team Leadership
BOOK00153,10,10,3,0.3,Leading self-directed work teams,['Kimball Fisher'],Open Library only,Leadership Development
BOOK00154,10,9,4,0.4444444444444444,Team Leadership,['Charles J. Margerison'],Open Library only,Leadership Development
BOOK00155,10,10,3,0.3,Team leadership in the game industry,"['Spaulding, Seth II.']",Open Library only,Leadership Development
BOOK00156,10,10,2,0.2,Team leadership,['David C. Kolb'],Open Library only,Leadership Development
BOOK00157,10,10,2,0.2,Team Leadership,['Drikus Kriek'],Open Library only,Team Leadership
BOOK00158,10,10,5,0.5,The Team Leadership Practices Inventory,"['James M. Kouzes', 'Barry Z. Posner']",Open Library only,Leadership Development
BOOK00159,10,10,4,0.4,Leading teams,['Paolo Guenzi'],Open Library only,Leadership Development
BOOK00160,10,9,6,0.6666666666666666,Team Leadership in Community Colleges,"['George R. Boggs', 'Christine Johnson McPhail', 'Eloy Ortiz Oakley']",Open Library only,Team Leadership
BOOK00161,10,10,4,0.4,Team Leadership in High-Hazard Environments,['Randy E. Cadieux'],Open Library only,Leadership Development
BOOK00162,10,10,3,0.3,Effective Team Leadership,['Don Page'],Open Library only,Team Leadership
BOOK00163,10,10,4,0.4,Leadership Team Coaching,['Peter Hawkins'],Open Library only,General Business and Management
BOOK00164,10,10,2,0.2,Team leadership,['Michal K. Rosenberger'],Open Library only,Team Leadership
BOOK00165,10,10,1,0.1,Remote Team Leadership,['Emanuela Giangregorio'],Open Library only,Team Leadership
BOOK00166,10,10,2,0.2,Operations Team Leadership (Leadership Guides),['Graham Little'],Open Library only,Leadership Development
BOOK00167,10,10,7,0.7,Leaders Eat Last,['Simon Sinek'],Open Library only,Organizational Culture and Trust
BOOK00168,10,10,4,0.4,Sales Team Leadership,['Coach Joe Sasso'],Open Library only,Team Leadership
BOOK00169,10,10,2,0.2,Tools for team leadership,['Gregory E. Huszczo'],Open Library only,Leadership Development
BOOK00170,10,9,2,0.2222222222222222,Strategic Team Leadership,['Peter Saul'],Open Library only,Team Leadership
BOOK00171,10,10,3,0.3,Team leadership,"['Douglas A. Johnson', 'Susan T. Beyerlein']",Open Library only,Team Leadership
BOOK00172,10,10,3,0.3,Team Leadership,"['Geoff Ribbens', 'Mark Abraham', 'Alistair Cumming']",Open Library only,Team Leadership
BOOK00173,10,9,2,0.2222222222222222,The team leadership practices inventory,['James M. Kouzes'],Open Library only,Team Leadership
BOOK00174,10,10,4,0.4,Executive Team Leadership in the Global Economic and Competitive Environment,['Richard L. Nolan'],Open Library only,Organizational Behavior
BOOK00175,10,10,1,0.1,Practical Remote Team Leadership,['Emanuela Giangregorio'],Open Library only,Team Leadership
BOOK00176,10,10,3,0.3,Virtual team leadership and collaborative engineering advancements,['Ned F. Kock'],Open Library only,Team Leadership
BOOK00177,10,10,3,0.3,Effective Team Leadership for Engineers,"['Pat Wellington', 'Niall Foster']",Open Library only,Team Leadership
BOOK00178,10,8,6,0.75,Art of Middle Management,"['Peter Fleming', 'Max Amesbury']",Open Library only,Organizational Culture and Trust
BOOK00179,10,10,2,0.2,Team Leadership,"['Paul Newton', 'Helen Bristoll']",Open Library only,Leadership Development
BOOK00180,10,10,4,0.4,Adaptive team leadership,['United States. Department of the Army'],Open Library only,Future Thinking and Personal Development
BOOK00181,10,10,2,0.2,Team Leadership,['Rosenberger'],Open Library only,Team Leadership
BOOK00182,10,9,6,0.6666666666666666,Tim lidŏsip =,['Sŭng-gak Yi'],Open Library only,Workplace and Generational Dynamics
BOOK00183,10,10,6,0.6,Leading project teams,['Anthony T. Cobb'],Open Library only,Project Management
BOOK00184,10,10,3,0.3,The Five Dysfunctions of a Team,['Patrick Lencioni'],Open Library only,Leadership Development
BOOK00185,10,9,4,0.4444444444444444,Team leadership in action,['Laura Mae Douglass'],Open Library only,Team Leadership
BOOK00186,10,9,2,0.2222222222222222,Effective team leadership,['David Parkes'],Open Library only,Team Leadership
BOOK00187,10,10,2,0.2,Team Leadership Questionnaire,"['D. Kayes', 'Anna Kayes']",Open Library only,Team Leadership
BOOK00188,10,10,3,0.3,Five Dysfunctions of a Team,['Patrick Lencioni'],Open Library only,Leadership Development
BOOK00189,10,9,6,0.6666666666666666,Team of Teams,"['Stanley A. McChrystal', 'Tantum Collins', 'David Silverman', 'Chris Fussell']",Open Library only,Future Thinking and Personal Development
BOOK00190,10,10,2,0.2,Executive Team Leadership for the 21st Century,['Richard L. Nolan'],Open Library only,Organizational Behavior
BOOK00191,10,10,2,0.2,Team Leadership Assessments,['LeaderTreks'],Open Library only,Team Leadership
BOOK00192,10,10,2,0.2,Legendary team leadership,['Wendy W. Peche'],Open Library only,Leadership Development
BOOK00193,10,10,3,0.3,Transformational Leadership,['Bernard M. Bass'],Open Library only,Transformational Leadership
BOOK00194,10,9,3,0.3333333333333333,Transformational leadership,"['Stephen Hacker', 'Tammy Roberts']",Open Library only,Transformational Leadership
BOOK00195,10,10,3,0.3,Transformative leadership in education,['Carolyn M. Shields'],Open Library only,Transformational Leadership
BOOK00196,10,10,3,0.3,Transforming leadership,['Leighton Ford'],Open Library only,Transformational Leadership
BOOK00197,10,9,1,0.1111111111111111,Transformational Leadership,['Glenn Walter'],Open Library only,Transformational Leadership
BOOK00198,10,10,3,0.3,Radical Transformational Leadership,['Monica Sharma'],Open Library only,Transformational Leadership
BOOK00199,10,10,1,0.1,Transformative Leadership Primer,['Carolyn M. Shields'],Open Library only,Transformational Leadership
BOOK00200,10,10,2,0.2,The dark side of transformational leadership,['Dennis Tourish'],Open Library only,Transformational Leadership
BOOK00201,10,8,3,0.375,Transformational leadership,['Charles B. Bugg'],Open Library only,Transformational Leadership
BOOK00202,10,10,2,0.2,Transforming leadership: from vision to results,[],Open Library only,Transformational Leadership
BOOK00203,10,9,3,0.3333333333333333,Transforming leadership,['John D. Adams'],Open Library only,Transformational Leadership
BOOK00204,10,9,1,0.1111111111111111,Charismatic and transformational leadership,['Gary A. Yukl'],Open Library only,Transformational Leadership
BOOK00205,10,10,1,0.1,Transformational Leadership,['Halima Kabara'],Open Library only,Transformational Leadership
BOOK00206,10,10,4,0.4,Transformative Leadership in Action,"['Jacklyn A. Bruce', 'Katherine E. McKee']",Open Library only,Transformational Leadership
BOOK00207,10,10,2,0.2,Transformational Leadership Styles for Global Leaders,['Darcia Ann-Marie Roache'],Open Library only,Transformational Leadership
BOOK00208,10,10,4,0.4,7 principles of transformational leadership,['Hugh Blane'],Open Library only,Broad Leadership and Success
BOOK00209,10,10,6,0.6,Uniting the Virtual Workforce,['Karen Sobel Lojeski'],Open Library only,Broad Leadership and Success
BOOK00210,10,10,4,0.4,"Women, spirituality, and transformative leadership",['Kathe Schaaf'],Open Library only,Transformational Leadership
BOOK00211,10,10,7,0.7,Transformational leadership,['Mary K. Kohles'],Open Library only,Transformational Leadership
BOOK00212,10,9,2,0.2222222222222222,Transformative Leadership and Sustainable Innovation in Education,"['Sandra Baroudi', 'Miltiadis D. Lytras']",Open Library only,Transformational Leadership
BOOK00213,10,10,4,0.4,Transforming leadership,['Terry D. Anderson'],Open Library only,General Business and Management
BOOK00214,10,8,4,0.5,Transforming Leadership,['John D. Adams'],Open Library only,Transformational Leadership
BOOK00215,10,10,5,0.5,Transforming Leadership,['Terry Anderson'],Open Library only,Transformational Leadership
BOOK00216,10,10,1,0.1,Transformative Leadership,"['May Khadem', 'Joan Hernandez']",Open Library only,Transformational Leadership
BOOK00217,10,10,1,0.1,The Transformational Leadership Compass,['Benny Ausmus'],Open Library only,Transformational Leadership
BOOK00218,10,10,3,0.3,Sustainability Mindset and Transformative Leadership,"['Aixa A. Ritz', 'Isabel Rimanoczy']",Open Library only,Transformational Leadership
BOOK00219,10,7,2,0.2857142857142857,Transforming Leadership,['Richard Higginson'],Open Library only,Transformational Leadership
BOOK00220,10,10,3,0.3,Transformational leadership in East Africa,"['Eric Masinde Aseka', 'ERIC MASINDE ASEKA']",Open Library only,Transformational Leadership
BOOK00221,10,10,1,0.1,Transformational leadership,['Randy Dobbs'],Open Library only,Transformational Leadership
BOOK00222,10,10,3,0.3,Transforming leadership,['Girl Scouts of the United States of America.'],Open Library only,Transformational Leadership
BOOK00223,10,10,1,0.1,Reframing Transformational Leadership,"['Issa M. Saleh', 'Myint Swe Khine']",Open Library only,Transformational Leadership
BOOK00224,10,9,9,1.0,Action Inquiry,['William Torbert'],Open Library only,Broad Leadership and Success
BOOK00225,10,10,5,0.5,Transforming Leadership,['Terry Anderson'],Open Library only,Transformational Leadership
BOOK00226,10,10,2,0.2,Transformational leadership,['Annmarie Sanders'],Open Library only,Transformational Leadership
BOOK00227,10,10,3,0.3,Advancing Inclusive Open Education Through Transformative Leadership,['Madikela Titus Lekalakala'],Open Library only,Transformational Leadership
BOOK00228,10,10,4,0.4,Transformative Leadership,['Shana Burnett Ed.D'],Open Library only,Transformational Leadership
BOOK00229,10,9,3,0.3333333333333333,Transformational leadership,['Phillip V. Lewis'],Open Library only,Transformational Leadership
BOOK00230,10,10,7,0.7,Shared vision,"['John E. Roueche', 'George A. Baker', 'Robert R. Rose']",Open Library only,Future Thinking and Personal Development
BOOK00231,10,9,2,0.2222222222222222,Transformative Leadership,['Joshua P. Trout'],Open Library only,Transformational Leadership
BOOK00232,10,10,6,0.6,Transformational Leadership and Not for Profits and Social Enterprises,['Ken Wiltshire'],Open Library only,General Business and Management
BOOK00233,10,10,2,0.2,Transformational Leadership Unleashed,['Ismael sanchez'],Open Library only,Transformational Leadership
BOOK00234,10,10,1,0.1,Servant leadership,['Robert K. Greenleaf'],Open Library only,Servant Leadership
