book_id,canonical_title,authors,source_group,source_openlibrary,source_leadershipnow,first_publish_year,publication_year_observed,book_age_from_first_publish,average_rating,ratings_count,edition_count,want_to_read_count,currently_reading_count,already_read_count,total_reader_engagement,format,page_count,has_authors,has_description,has_subjects,has_cover,has_rating,has_engagement,has_first_publish_year,has_observed_publication_year,has_edition_metadata,has_page_count,content_component_count,content_depth,core_word_count,enriched_word_count,additional_semantic_words,topic_cluster,cluster_label,cluster_status,cluster_label_display,cover_url
BOOK00011,Leadership,['Elesa Zehndorfer'],Open Library only,True,False,2013,,13.0,5.0,1.0,12.0,32.0,3.0,1.0,36.0,,,1,0,1,1,1,1,1,0,0,0,3,Enriched,3,36,33,13,General Business and Management,Clustered,General Business and Management,https://covers.openlibrary.org/b/id/13806636-L.jpg
BOOK00012,Leadership,"['Richard L. Hughes', 'Robert C. Ginnett', 'Gordon J Curphy', 'Richard Hughes', 'Robert Ginnett', 'Gordon Curphy', 'Gordon J. Curphy']",Open Library only,True,False,1993,,33.0,,,11.0,37.0,6.0,2.0,45.0,,,1,0,1,1,0,1,1,0,0,0,3,Enriched,19,39,20,13,General Business and Management,Clustered,General Business and Management,https://covers.openlibrary.org/b/id/63396-L.jpg
BOOK00013,Lincoln on Leadership,['Donald T. Phillips'],Open Library only,True,False,1992,,34.0,4.75,4.0,3.0,92.0,5.0,4.0,101.0,,,1,1,1,1,1,1,1,0,0,0,4,Rich,6,53,47,3,Future Thinking and Personal Development,Clustered,Future Thinking and Personal Development,https://covers.openlibrary.org/b/id/285557-L.jpg
BOOK00014,Leadership,['James MacGregor Burns'],Open Library only,True,False,1978,,48.0,5.0,1.0,4.0,59.0,3.0,0.0,62.0,,,1,1,1,1,1,1,1,0,0,0,4,Rich,4,50,46,25,Transformational Leadership,Clustered,Transformational Leadership,https://covers.openlibrary.org/b/id/4448837-L.jpg
BOOK00015,Leadership,['Robert N. Lussier'],Open Library only,True,False,2000,,26.0,4.5,4.0,5.0,48.0,4.0,1.0,53.0,,,1,0,1,1,1,1,1,0,0,0,3,Enriched,4,9,5,10,Leadership Development,Clustered,Leadership Development,https://covers.openlibrary.org/b/id/194497-L.jpg
BOOK00016,The leadership challenge,"['James M. Kouzes', 'Barry Z. Posner', 'Elaine Biech', 'Barry Posner']",Both,True,True,1987,,39.0,5.0,1.0,40.0,33.0,3.0,1.0,37.0,Hardcover,416.0,1,1,1,1,1,1,1,0,1,1,4,Rich,13,220,207,7,Broad Leadership and Success,Clustered,Broad Leadership and Success,https://covers.openlibrary.org/b/id/548022-L.jpg
BOOK00017,ORGANIZATIONAL CULTURE AND LEADERSHIP,"['Schein, Edgar H.', 'Peter Schein']",Open Library only,True,False,1991,,35.0,5.0,1.0,10.0,41.0,1.0,2.0,44.0,,,1,1,1,1,1,1,1,0,0,0,4,Rich,9,135,126,11,Organizational Culture and Trust,Clustered,Organizational Culture and Trust,https://covers.openlibrary.org/b/id/7905069-L.jpg
BOOK00018,Leadership,['Richard L. Hughes'],Open Library only,True,False,2012,,14.0,,,1.0,72.0,8.0,0.0,80.0,,,1,0,1,1,0,1,1,0,0,0,3,Enriched,4,5,1,25,Transformational Leadership,Clustered,Transformational Leadership,https://covers.openlibrary.org/b/id/9593539-L.jpg
BOOK00019,Leadership In Turbulent Times,"['Doris Kearns Goodwin', 'Doris Kearns Goodwin']",Open Library only,True,False,2018,,8.0,,,11.0,35.0,3.0,2.0,40.0,,,1,1,1,1,0,1,1,0,0,0,4,Rich,10,320,310,3,Future Thinking and Personal Development,Clustered,Future Thinking and Personal Development,https://covers.openlibrary.org/b/id/12373708-L.jpg
BOOK00020,Leadership,"['Michael Z. Hackman', 'Craig E. Johnson']",Open Library only,True,False,1991,,35.0,4.0,1.0,7.0,32.0,3.0,1.0,36.0,,,1,0,1,1,1,1,1,0,0,0,3,Enriched,7,43,36,13,General Business and Management,Clustered,General Business and Management,https://covers.openlibrary.org/b/id/833338-L.jpg
BOOK00021,Transformational Leadership,"['Bernard M. Bass', 'Ronald E. Riggio']",Open Library only,True,False,2005,,21.0,5.0,1.0,9.0,28.0,1.0,2.0,31.0,,,1,1,1,1,1,1,1,0,0,0,4,Rich,8,81,73,25,Transformational Leadership,Clustered,Transformational Leadership,https://covers.openlibrary.org/b/id/1522594-L.jpg
BOOK00022,Tribal leadership,"['David Logan', 'Dave Logan', 'John King', 'Halee Fischer-Wright', 'King, John, III', 'John King (undifferentiated)']",Open Library only,True,False,2007,,19.0,,,13.0,31.0,2.0,4.0,37.0,,,1,1,1,1,0,1,1,0,0,0,4,Rich,16,358,342,7,Broad Leadership and Success,Clustered,Broad Leadership and Success,https://covers.openlibrary.org/b/id/5506671-L.jpg
BOOK00023,Tough Minded Leadership,['Joe D. Batten'],Open Library only,True,False,1989,,37.0,5.0,1.0,3.0,32.0,2.0,1.0,35.0,,,1,0,1,1,1,1,1,0,0,0,3,Enriched,6,11,5,25,Transformational Leadership,Clustered,Transformational Leadership,https://covers.openlibrary.org/b/id/4068570-L.jpg
BOOK00024,Transforming Leadership,['James MacGregor Burns'],Open Library only,True,False,2003,,23.0,1.0,1.0,6.0,28.0,2.0,1.0,31.0,,,1,1,1,1,1,1,1,0,0,0,4,Rich,5,43,38,25,Transformational Leadership,Clustered,Transformational Leadership,https://covers.openlibrary.org/b/id/6635120-L.jpg
BOOK00025,Leadership,['Rudolph W. Giuliani'],Open Library only,True,False,2002,,24.0,,,5.0,21.0,2.0,1.0,24.0,,,1,0,1,1,0,1,1,0,0,0,3,Enriched,4,78,74,3,Future Thinking and Personal Development,Clustered,Future Thinking and Personal Development,https://covers.openlibrary.org/b/id/545838-L.jpg
BOOK00026,Transformation leadership,"['Bernard M. Bass', 'Ronald E. Riggio']",Open Library only,True,False,2005,,21.0,,,1.0,40.0,0.0,0.0,40.0,,,1,0,1,1,0,1,1,0,0,0,3,Enriched,8,18,10,9,Change Management,Clustered,Change Management,https://covers.openlibrary.org/b/id/1522595-L.jpg
BOOK00027,Las cinco disfunciones de un equipo,['Patrick Lencioni'],Open Library only,True,False,2002,,24.0,3.6,10.0,18.0,78.0,1.0,13.0,92.0,,,1,1,1,1,1,1,1,0,0,0,4,Rich,8,245,237,10,Leadership Development,Clustered,Leadership Development,https://covers.openlibrary.org/b/id/10863273-L.jpg
BOOK00028,The Tao of leadership,['John Heider'],Open Library only,True,False,1985,,41.0,5.0,1.0,14.0,42.0,5.0,1.0,48.0,,,1,0,1,1,1,1,1,0,0,0,3,Enriched,6,20,14,25,Transformational Leadership,Clustered,Transformational Leadership,https://covers.openlibrary.org/b/id/692190-L.jpg
BOOK00029,The student leadership challenge,"['James M. Kouzes', 'Barry Z. Posner', 'Beth High', 'Gary M. Morgan', 'Martin Tan']",Open Library only,True,False,2000,,26.0,,,39.0,12.0,1.0,0.0,13.0,,,1,1,1,1,0,1,1,0,0,0,4,Rich,17,116,99,7,Broad Leadership and Success,Clustered,Broad Leadership and Success,https://covers.openlibrary.org/b/id/9250811-L.jpg
BOOK00030,Reframing Organizations,['Lee G. Bolman'],Open Library only,True,False,1991,,35.0,,,36.0,27.0,1.0,1.0,29.0,,,1,1,1,1,0,1,1,0,0,0,4,Rich,5,236,231,1,Organizational Behavior,Clustered,Organizational Behavior,https://covers.openlibrary.org/b/id/549072-L.jpg
BOOK00031,Wooden on Leadership,['John Wooden'],Open Library only,True,False,2005,,21.0,5.0,1.0,3.0,36.0,1.0,2.0,39.0,,,1,1,1,1,1,1,1,0,0,0,4,Rich,5,182,177,7,Broad Leadership and Success,Clustered,Broad Leadership and Success,https://covers.openlibrary.org/b/id/60373-L.jpg
BOOK00032,Brand leadership,"['David A. Aaker', 'Erich Joachimsthaler']",Open Library only,True,False,2000,,26.0,,,5.0,31.0,1.0,0.0,32.0,,,1,0,1,1,0,1,1,0,0,0,3,Enriched,7,48,41,13,General Business and Management,Clustered,General Business and Management,https://covers.openlibrary.org/b/id/7290666-L.jpg
BOOK00033,SuperVision and Instructional Leadership,"['Carl D. Glickman', 'Stephen P. Gordon', 'Jovita M. Ross-Gordon']",Open Library only,True,False,2000,,26.0,5.0,2.0,15.0,19.0,1.0,3.0,23.0,,,1,0,1,1,1,1,1,0,0,0,3,Enriched,13,21,8,25,Transformational Leadership,Clustered,Transformational Leadership,https://covers.openlibrary.org/b/id/1145869-L.jpg
BOOK00034,Leadership,['Simon Western'],Open Library only,True,False,2007,,19.0,,,13.0,13.0,0.0,0.0,13.0,,,1,0,1,1,0,1,1,0,0,0,3,Enriched,3,7,4,25,Transformational Leadership,Clustered,Transformational Leadership,https://covers.openlibrary.org/b/id/2771147-L.jpg
BOOK00035,Leadership Strategy and Tactics,['Jocko Willink'],Open Library only,True,False,2020,,6.0,4.0,1.0,7.0,26.0,0.0,2.0,28.0,,,1,0,1,1,1,1,1,0,0,0,3,Enriched,6,23,17,27,Strategic Management and Planning,Clustered,Strategic Management and Planning,https://covers.openlibrary.org/b/id/9380709-L.jpg
BOOK00036,Leadership,['Henry Kissinger'],Both,True,True,2022,,4.0,,,10.0,26.0,0.0,1.0,27.0,Hardcover,400.0,1,0,1,1,0,1,1,0,1,1,3,Enriched,3,8,5,3,Future Thinking and Personal Development,Clustered,Future Thinking and Personal Development,https://covers.openlibrary.org/b/id/14249975-L.jpg
BOOK00037,Improving organizational effectiveness through transformational leadership,"['Bernard M. Bass', 'Bruce J. Avolio']",Open Library only,True,False,1994,,32.0,5.0,2.0,2.0,37.0,2.0,3.0,42.0,,,1,0,1,1,1,1,1,0,0,0,3,Enriched,12,15,3,25,Transformational Leadership,Clustered,Transformational Leadership,https://covers.openlibrary.org/b/id/1516336-L.jpg
BOOK00038,Introduction to Leadership,['Peter G. Northouse'],Open Library only,True,False,2011,,15.0,,,5.0,28.0,0.0,0.0,28.0,,,1,0,1,1,0,1,1,0,0,0,3,Enriched,6,7,1,25,Transformational Leadership,Clustered,Transformational Leadership,https://covers.openlibrary.org/b/id/8872957-L.jpg
BOOK00039,Teacher leadership,"['Ann Lieberman', 'Lynne Miller']",Open Library only,True,False,1950,,76.0,,,7.0,12.0,1.0,0.0,13.0,,,1,0,1,1,0,1,1,0,0,0,3,Enriched,6,15,9,25,Transformational Leadership,Clustered,Transformational Leadership,https://covers.openlibrary.org/b/id/1482285-L.jpg
BOOK00040,HR leadership,['Linda Holbeche'],Open Library only,True,False,2010,,16.0,,,8.0,12.0,0.0,0.0,12.0,,,1,1,1,1,0,1,1,0,0,0,4,Rich,4,341,337,7,Broad Leadership and Success,Clustered,Broad Leadership and Success,https://covers.openlibrary.org/b/id/9270506-L.jpg
BOOK00041,Leadership in health care,"['Jill Barr', 'Lesley L Dowding']",Open Library only,True,False,2008,,18.0,,,16.0,12.0,0.0,0.0,12.0,,,1,0,1,1,0,1,1,0,0,0,3,Enriched,9,38,29,11,Organizational Culture and Trust,Clustered,Organizational Culture and Trust,https://covers.openlibrary.org/b/id/2771103-L.jpg
BOOK00042,Organizational culture and leadership,"['Schein, Edgar H.']",Open Library only,True,False,1985,,41.0,4.0,1.0,5.0,22.0,4.0,1.0,27.0,,,1,1,1,1,1,1,1,0,0,0,4,Rich,7,44,37,1,Organizational Behavior,Clustered,Organizational Behavior,https://covers.openlibrary.org/b/id/774364-L.jpg
BOOK00043,Leadership and the one minute manager,"['Kenneth H. Blanchard', 'Patricia Zigarmi', 'Drea Zigarmi']",Open Library only,True,False,1985,,41.0,4.3333335,3.0,7.0,23.0,2.0,4.0,29.0,,,1,1,1,1,1,1,1,0,0,0,4,Rich,13,294,281,7,Broad Leadership and Success,Clustered,Broad Leadership and Success,https://covers.openlibrary.org/b/id/6440265-L.jpg
BOOK00044,School leadership and administration,"['Richard A. Gorton', 'Judy A. Alston', 'Petra E. Snowden']",Open Library only,True,False,1987,,39.0,5.0,2.0,7.0,15.0,3.0,2.0,20.0,,,1,0,1,1,1,1,1,0,0,0,3,Enriched,13,39,26,3,Future Thinking and Personal Development,Clustered,Future Thinking and Personal Development,https://covers.openlibrary.org/b/id/8339443-L.jpg
BOOK00045,Leadership Is an Art,['Max DePree'],Open Library only,True,False,1989,,37.0,,,7.0,14.0,1.0,1.0,16.0,,,1,1,1,1,0,1,1,0,0,0,4,Rich,6,26,20,25,Transformational Leadership,Clustered,Transformational Leadership,https://covers.openlibrary.org/b/id/4610906-L.jpg
BOOK00046,Small unit leadership,['Dandridge M. Malone'],Open Library only,True,False,1983,,43.0,5.0,1.0,2.0,23.0,1.0,0.0,24.0,,,1,0,1,1,1,1,1,0,0,0,3,Enriched,6,17,11,25,Transformational Leadership,Clustered,Transformational Leadership,https://covers.openlibrary.org/b/id/689071-L.jpg
BOOK00047,Leadership Wisdom from the Monk Who Sold His Ferrari,['Robin S. Sharma'],Open Library only,True,False,1998,,28.0,3.6666667,3.0,22.0,63.0,7.0,4.0,74.0,,,1,0,1,1,1,1,1,0,0,0,3,Enriched,12,35,23,13,General Business and Management,Clustered,General Business and Management,https://covers.openlibrary.org/b/id/1835-L.jpg
BOOK00048,Monday morning leadership,['David Cottrell'],Open Library only,True,False,2002,,24.0,3.5,2.0,1.0,102.0,5.0,5.0,112.0,,,1,0,1,1,1,1,1,0,0,0,3,Enriched,5,11,6,25,Transformational Leadership,Clustered,Transformational Leadership,https://covers.openlibrary.org/b/id/737408-L.jpg
BOOK00049,Leadership for dummies,['Marshall Loeb'],Open Library only,True,False,1999,,27.0,,,3.0,17.0,2.0,0.0,19.0,,,1,0,1,1,0,1,1,0,0,0,3,Enriched,5,8,3,19,Executive Leadership,Clustered,Executive Leadership,https://covers.openlibrary.org/b/id/521724-L.jpg
BOOK00050,Leadership,['Peter Guy Northouse'],Open Library only,True,False,2010,,16.0,,,2.0,15.0,2.0,1.0,18.0,,,1,1,1,1,0,1,1,0,0,0,4,Rich,4,135,131,7,Broad Leadership and Success,Clustered,Broad Leadership and Success,https://covers.openlibrary.org/b/id/9280852-L.jpg
BOOK00051,Curriculum leadership,"['Allan A. Glatthorn', 'Floyd Boschee', 'Bruce M. Whitehead']",Open Library only,True,False,1987,,39.0,,,4.0,10.0,2.0,0.0,12.0,,,1,1,1,1,0,1,1,0,0,0,4,Rich,10,63,53,3,Future Thinking and Personal Development,Clustered,Future Thinking and Personal Development,https://covers.openlibrary.org/b/id/4174269-L.jpg
BOOK00052,Transformational leadership development,['Bernard M. Bass'],Open Library only,True,False,1990,,36.0,1.0,1.0,1.0,11.0,1.0,0.0,12.0,,,1,0,1,0,1,1,1,0,0,0,3,Enriched,6,18,12,10,Leadership Development,Clustered,Leadership Development,
BOOK00053,Full range leadership development,['Bruce J. Avolio'],Open Library only,True,False,2010,,16.0,,,4.0,5.0,1.0,0.0,6.0,,,1,0,1,1,0,1,1,0,0,0,3,Enriched,7,8,1,10,Leadership Development,Clustered,Leadership Development,https://covers.openlibrary.org/b/id/14380960-L.jpg
BOOK00054,Leadership Development in Balance,['Bruce J. Avolio'],Open Library only,True,False,2004,,22.0,,,7.0,2.0,0.0,0.0,2.0,,,1,0,0,1,0,1,1,0,0,0,2,Basic,7,7,0,10,Leadership Development,Clustered,Leadership Development,https://covers.openlibrary.org/b/id/5370739-L.jpg
BOOK00055,Full range leadership development,['John J. Sosik'],Open Library only,True,False,2010,,16.0,,,8.0,2.0,0.0,0.0,2.0,,,1,0,1,1,0,1,1,0,0,0,3,Enriched,7,31,24,13,General Business and Management,Clustered,General Business and Management,https://covers.openlibrary.org/b/id/9233648-L.jpg
BOOK00056,Leadership Development,['Kevin Flinn'],Open Library only,True,False,2018,,8.0,,,6.0,1.0,0.0,0.0,1.0,,,1,0,1,1,0,1,1,0,0,0,3,Enriched,4,17,13,13,General Business and Management,Clustered,General Business and Management,https://covers.openlibrary.org/b/id/9234954-L.jpg
BOOK00057,Leadership development basics,['Karen Lawson'],Open Library only,True,False,2008,,18.0,,,3.0,2.0,0.0,0.0,2.0,,,1,0,1,0,0,1,1,0,0,0,3,Enriched,5,6,1,10,Leadership Development,Clustered,Leadership Development,
BOOK00058,Leadership development,['Rosemary Ryan'],Open Library only,True,False,2008,,18.0,,,8.0,,,,,,,1,0,1,1,0,0,1,0,0,0,3,Enriched,4,20,16,10,Leadership Development,Clustered,Leadership Development,https://covers.openlibrary.org/b/id/5346473-L.jpg
BOOK00059,The Center for Creative Leadership handbook of leadership development,"['Cynthia D. McCauley', 'Ellen Van Velsor']",Open Library only,True,False,2003,,23.0,,,5.0,2.0,0.0,0.0,2.0,,,1,1,1,1,0,1,1,0,0,0,4,Rich,15,42,27,10,Leadership Development,Clustered,Leadership Development,https://covers.openlibrary.org/b/id/10216345-L.jpg
BOOK00060,Applied leadership development,['Al Bolea'],Open Library only,True,False,2015,,11.0,,,5.0,1.0,0.0,0.0,1.0,,,1,0,1,0,0,1,1,0,0,0,3,Enriched,5,6,1,10,Leadership Development,Clustered,Leadership Development,
BOOK00061,Full leadership development,['Bruce J. Avolio'],Open Library only,True,False,1999,,27.0,,,1.0,4.0,0.0,0.0,4.0,,,1,0,1,1,0,1,1,0,0,0,3,Enriched,6,11,5,10,Leadership Development,Clustered,Leadership Development,https://covers.openlibrary.org/b/id/3740918-L.jpg
BOOK00062,Implementing problem-based learning in leadership development,['Edwin M. Bridges'],Open Library only,True,False,1995,,31.0,,,2.0,3.0,0.0,0.0,3.0,,,1,0,1,1,0,1,1,0,0,0,3,Enriched,9,44,35,10,Leadership Development,Clustered,Leadership Development,https://covers.openlibrary.org/b/id/8141864-L.jpg
BOOK00063,Leadership Development Studies,"['Monika Byrd', 'Susan Edwards']",Open Library only,True,False,2014,,12.0,,,1.0,2.0,1.0,0.0,3.0,,,1,0,1,1,0,1,1,0,0,0,3,Enriched,7,9,2,10,Leadership Development,Clustered,Leadership Development,https://covers.openlibrary.org/b/id/10478961-L.jpg
BOOK00064,The making of a leader,['J. Robert Clinton'],Open Library only,True,False,1988,,38.0,5.0,1.0,2.0,5.0,1.0,3.0,9.0,,,1,0,1,1,1,1,1,0,0,0,3,Enriched,8,10,2,5,Leader Identity and Practice,Clustered,Leader Identity and Practice,https://covers.openlibrary.org/b/id/688500-L.jpg
BOOK00065,Accelerating Leadership Development,['Jocelyn Berard'],Open Library only,True,False,2013,,13.0,2.0,1.0,4.0,0.0,0.0,1.0,1.0,,,1,0,1,1,1,1,1,0,0,0,3,Enriched,5,24,19,13,General Business and Management,Clustered,General Business and Management,https://covers.openlibrary.org/b/id/9042094-L.jpg
BOOK00066,Innovations in public leadership development,['Terry F. Buss'],Open Library only,True,False,2008,,18.0,,,8.0,,,,,,,1,0,1,1,0,0,1,0,0,0,3,Enriched,8,20,12,10,Leadership Development,Clustered,Leadership Development,https://covers.openlibrary.org/b/id/8662994-L.jpg
BOOK00067,College Student Leadership Development,['Valerie I. Sessa'],Open Library only,True,False,2017,,9.0,,,4.0,1.0,0.0,0.0,1.0,,,1,0,1,0,0,1,1,0,0,0,3,Enriched,7,10,3,10,Leadership Development,Clustered,Leadership Development,
BOOK00068,The Center for Creative Leadership handbook of leadership development,['Ellen Van Velsor'],Open Library only,True,False,2010,,16.0,,,2.0,2.0,0.0,0.0,2.0,,,1,1,1,1,0,1,1,0,0,0,4,Rich,12,68,56,10,Leadership Development,Clustered,Leadership Development,https://covers.openlibrary.org/b/id/9271912-L.jpg
BOOK00069,Leadership development program,['Frances A. Karnes'],Open Library only,True,False,2000,,26.0,,,2.0,1.0,0.0,0.0,1.0,,,1,0,1,1,0,1,1,0,0,0,3,Enriched,6,10,4,10,Leadership Development,Clustered,Leadership Development,https://covers.openlibrary.org/b/id/1664894-L.jpg
BOOK00070,Servant Leadership,"['Dirk van Dierendonck', 'K. Patterson']",Open Library only,True,False,2010,,16.0,,,4.0,2.0,0.0,0.0,2.0,,,1,0,1,0,0,1,1,0,0,0,3,Enriched,7,8,1,8,Servant Leadership,Clustered,Servant Leadership,
BOOK00071,Real time leadership development,['Paul R. Yost'],Open Library only,True,False,2009,,17.0,,,5.0,,,,,,,1,0,1,1,0,0,1,0,0,0,3,Enriched,7,10,3,10,Leadership Development,Clustered,Leadership Development,https://covers.openlibrary.org/b/id/9500224-L.jpg
BOOK00072,Leading Small Business,"['Steve Kempster', 'Sue Smith']",Open Library only,True,False,2015,,11.0,,,4.0,2.0,0.0,0.0,2.0,,,1,0,1,1,0,1,1,0,0,0,3,Enriched,7,25,18,13,General Business and Management,Clustered,General Business and Management,https://covers.openlibrary.org/b/id/13256671-L.jpg
BOOK00073,Women's Leadership Development,['Gelaye Debebe'],Open Library only,True,False,2019,,7.0,,,6.0,,,,,,,1,0,1,0,0,0,1,0,0,0,3,Enriched,5,46,41,10,Leadership Development,Clustered,Leadership Development,
BOOK00074,Leadership Development,['Manuel London'],Open Library only,True,False,2001,,25.0,,,4.0,2.0,0.0,0.0,2.0,,,1,0,1,1,0,1,1,0,0,0,3,Enriched,4,20,16,10,Leadership Development,Clustered,Leadership Development,https://covers.openlibrary.org/b/id/5363384-L.jpg
BOOK00075,Accelerated Leadership Development,['Ines Wichert'],Open Library only,True,False,2018,,8.0,,,2.0,2.0,0.0,0.0,2.0,,,1,0,1,1,0,1,1,0,0,0,3,Enriched,5,6,1,10,Leadership Development,Clustered,Leadership Development,https://covers.openlibrary.org/b/id/8842072-L.jpg
BOOK00076,Business Leadership Development in China,"['Shuang Ren', 'Robert Wood', 'Ying Zhu']",Open Library only,True,False,2015,,11.0,,,7.0,,,,,,,1,0,1,1,0,0,1,0,0,0,3,Enriched,11,29,18,13,General Business and Management,Clustered,General Business and Management,https://covers.openlibrary.org/b/id/8952359-L.jpg
BOOK00077,Leadership for a Better World,"['Susan R. Komives', 'Wendy Wagner']",Open Library only,True,False,2012,,14.0,,,6.0,3.0,0.0,0.0,3.0,,,1,0,1,0,0,1,1,0,0,0,3,Enriched,10,36,26,7,Broad Leadership and Success,Clustered,Broad Leadership and Success,
BOOK00078,Future of Leadership Development,"['Susan Elaine Murphy', 'Ronald E. Riggio']",Open Library only,True,False,2003,,23.0,,,6.0,,,,,,,1,0,1,0,0,0,1,0,0,0,3,Enriched,10,11,1,10,Leadership Development,Clustered,Leadership Development,
BOOK00079,Curriculum Leadership Development,['Carol A. Mullen'],Open Library only,True,False,2012,,14.0,,,6.0,,,,,,,1,0,1,0,0,0,1,0,0,0,3,Enriched,6,10,4,10,Leadership Development,Clustered,Leadership Development,
BOOK00080,The handbook for student leadership development,['Susan R. Komives'],Open Library only,True,False,2011,,15.0,,,1.0,3.0,0.0,0.0,3.0,,,1,1,1,1,0,1,1,0,0,0,4,Rich,9,128,119,10,Leadership Development,Clustered,Leadership Development,https://covers.openlibrary.org/b/id/9296574-L.jpg
BOOK00081,Leadership Development,['Manuel London'],Open Library only,True,False,2001,,25.0,,,5.0,,,,,,,1,0,0,0,0,0,1,0,0,0,2,Basic,4,4,0,10,Leadership Development,Clustered,Leadership Development,
BOOK00082,Servant Leadership Development,['Janine Williams'],Open Library only,True,False,2021,,5.0,,,1.0,2.0,0.0,0.0,2.0,,,1,0,0,0,0,1,1,0,0,0,2,Basic,5,5,0,8,Servant Leadership,Clustered,Servant Leadership,
BOOK00083,Full range leadership development,['Bruce J. Avolio'],Open Library only,True,False,2011,,15.0,,,1.0,2.0,0.0,0.0,2.0,,,1,0,1,0,0,1,1,0,0,0,3,Enriched,7,8,1,10,Leadership Development,Clustered,Leadership Development,
BOOK00084,The Art of Christian Leadership,['Jon Byler'],Open Library only,True,False,2009,,17.0,,,3.0,4.0,0.0,0.0,4.0,,,1,0,0,1,0,1,1,0,0,0,2,Basic,7,7,0,25,Transformational Leadership,Clustered,Transformational Leadership,https://covers.openlibrary.org/b/id/8918406-L.jpg
BOOK00085,Community Leadership Development,['Mark A. Brennan'],Open Library only,True,False,2014,,12.0,,,5.0,,,,,,,1,0,1,0,0,0,1,0,0,0,3,Enriched,6,8,2,10,Leadership Development,Clustered,Leadership Development,
