book_id,observed_list_price,observed_retail_price,observed_price_currency,observed_price_market,observed_price_isbn,commercial_source,commercial_metadata_status,commercial_metadata_note
BOOK00063,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00064,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00065,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00066,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00067,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00068,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00069,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00070,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00071,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00072,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00073,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00074,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00075,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00076,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00077,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00078,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00079,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00080,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00081,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00082,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00083,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00084,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00085,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00086,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00087,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00088,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00089,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00090,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00091,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00092,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00093,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00094,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00095,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00096,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00097,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00098,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00099,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00100,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00101,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00102,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00103,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00104,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00105,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00106,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00107,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00108,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00109,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00110,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00111,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00112,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00113,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00114,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00115,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00116,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00117,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00118,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00119,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00120,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00121,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00122,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00123,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00124,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00125,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00126,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00127,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00128,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00129,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00130,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00131,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00132,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00133,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00134,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00135,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00136,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00137,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00138,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00139,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00140,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00141,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00142,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00143,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00144,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00145,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00146,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00147,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00148,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00149,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00150,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00151,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00152,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00153,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00154,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00155,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00156,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00157,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00158,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00159,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00160,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00161,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00162,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00163,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00164,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00165,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00166,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00167,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00168,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00169,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00170,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00171,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00172,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00173,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00174,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00175,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00176,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00177,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00178,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00179,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00180,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00181,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00182,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00183,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00184,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00185,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00186,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00187,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00188,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00189,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00190,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00191,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00192,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00193,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00194,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00195,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00196,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00197,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00198,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00199,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00200,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00201,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00202,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00203,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00204,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00205,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
BOOK00206,,,,,,,not_available_from_collected_sources,No verified observed price is available from the currently collected LeadWise sources. This does not indicate that the book is unavailable for purchase.
