book_id,observed_publication_languages,observed_publication_language_count,has_multilingual_publication_evidence,international_language_reach,original_language,original_language_status,verified_translation_count,translation_status,language_evidence_provenance,language_evidence_note
BOOK00060,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00061,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00062,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00063,,0,False,No language evidence,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00064,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00065,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00066,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00067,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00068,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00069,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00070,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00071,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00072,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00073,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00074,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00075,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00076,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00077,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00078,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00079,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00080,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00081,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00082,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00083,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00084,,0,False,No language evidence,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00085,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00086,,0,False,No language evidence,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00087,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00088,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00089,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00090,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00091,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00092,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00093,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00094,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00095,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00096,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00097,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00098,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00099,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00100,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00101,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00102,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00103,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00104,"English, Chinese",2,True,Multilingual publication evidence,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00105,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00106,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00107,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00108,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00109,,0,False,No language evidence,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00110,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00111,,0,False,No language evidence,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00112,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00113,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00114,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00115,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00116,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00117,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00118,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00119,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00120,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00121,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00122,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00124,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00125,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00126,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00127,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00128,,0,False,No language evidence,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00129,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00130,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00131,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00132,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00133,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00134,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00135,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00136,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00137,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00138,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00139,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00140,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00141,,0,False,No language evidence,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00142,,0,False,No language evidence,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00143,,0,False,No language evidence,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00144,,0,False,No language evidence,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00145,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00146,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00147,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00148,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00149,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00150,"English, Chinese, Korean",3,True,Multilingual publication evidence,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00151,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00152,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00153,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00154,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00155,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00156,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00157,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00158,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00159,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00160,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00161,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00162,,0,False,No language evidence,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00163,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00164,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00165,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00166,,0,False,No language evidence,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00167,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00168,,0,False,No language evidence,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00169,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00170,,0,False,No language evidence,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00171,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00172,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00173,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00174,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00175,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00176,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00177,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00178,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00179,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00180,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00181,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00182,Korean,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00183,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00184,,0,False,No language evidence,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00185,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00186,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00187,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00188,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00189,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00190,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00191,,0,False,No language evidence,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00192,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00193,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00194,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00195,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00196,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00197,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00198,"French, English",2,True,Multilingual publication evidence,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
BOOK00199,English,1,False,Single observed publication language,,not_verified,,not_verified,Open Library observed edition metadata,Observed publication languages do not establish original language or verified translation count.
