matrix_row,book_id,canonical_title,authors,source_group,first_publish_year,publication_year_observed,subjects,cluster_label,cover_url,structural_flag_count,review_category,review_reason
295,BOOK00296,Strategic management and business policy,"['Thomas L. Wheelen', 'J. David Hunger', 'Tom Wheelen']",Open Library only,1983.0,,"['Bedrijfsbeleid', 'Strategic planning', 'Sustainability', 'Case studies', 'Strategisch management', 'Planification strategique', 'Fallstudiensammlung', 'Strategisches Management', 'Planification stratégique', 'Industrial management', 'Management', 'Commercial policy', 'Business planning', 'Cas, Études de', 'Fallstudie', 'Nachhaltigkeit', 'Strategische Planung', 'Unternehmenspolitik', 'Bedrijfsplanning', 'Duurzame ontwikkeling', 'Strategische Unternehmensplanung', 'Theorie', 'Literary collections']",Strategic Management and Planning,https://covers.openlibrary.org/b/id/1104183-L.jpg,1,Metadata correction,Edition page-count anomaly
304,BOOK00305,Operations Management,['Lee J. Krajewski'],Open Library only,1987.0,,"['Production management', 'Productiemanagement', 'Management', 'Gestion', 'Produktion', 'Production', 'Cd-roms', 'Operations research', 'Business logistics', 'Administración de la producción', 'Operations Management']",Operations Management,https://covers.openlibrary.org/b/id/4087919-L.jpg,1,Metadata correction,Edition page-count anomaly
306,BOOK00307,Developing mangement skills,"['David A. Whetten', 'Kim S. Cameron', 'Whetten', 'David A. Whetten', 'DAVID A. WHETTEN', 'David Whetten', 'Kim Cameron']",Open Library only,1984.0,,"['Industrial Psychology', 'Management', 'Problems, exercises', 'Self-perception', 'Study and teaching', 'Communication in management', 'Conflict management', 'Employee motivation', 'Job stress', 'Motivation (Psychology)', 'Role playing', 'Stress management', 'Textbooks', 'Problèmes et exercices', 'Étude et enseignement', 'Gestion', 'Problemes et exercices', 'Organization and Administration', 'Etude et enseignement', 'Management, study and teaching', 'Problems, exercises, etc', 'Führung', 'Führungskräfteentwicklung', 'Managementschule', 'Management development', 'Many-body problem', 'Leadership']",Organizational Culture and Trust,https://covers.openlibrary.org/b/id/10710449-L.jpg,1,Metadata correction,Edition page-count anomaly
333,BOOK00334,Armstrong's Handbook of Human Resource Management Practice,"['Michael Armstrong', 'Taylor, Stephen']",Open Library only,2017.0,,['Personnel management'],Human Resource Management,https://covers.openlibrary.org/b/id/13932803-L.jpg,1,Publication-type review,Potential non-standard publication term
338,BOOK00339,Armstrong's Handbook of Strategic Human Resource Management,['Michael Armstrong'],Open Library only,2015.0,,"['Personnel management', 'Commerce']",Human Resource Management,https://covers.openlibrary.org/b/id/9137982-L.jpg,1,Publication-type review,Potential non-standard publication term
353,BOOK00354,Armstrong's Handbook of Human Resource Management Practice,"['Michael Armstrong', 'Taylor, Stephen']",Open Library only,2014.0,,[],Human Resource Management,,1,Publication-type review,Potential non-standard publication term
360,BOOK00361,Armstrong's Handbook of Strategic Human Resource Management,['Michael Armstrong'],Open Library only,2011.0,,['Personnel management'],Human Resource Management,,1,Publication-type review,Potential non-standard publication term
383,BOOK00384,Strategic management,['Fred R. David'],Open Library only,1994.0,,"['Strategic planning', 'Case studies', 'Business planning', 'Industrial management']",Strategic Management and Planning,https://covers.openlibrary.org/b/id/10155829-L.jpg,1,Metadata correction,Edition page-count anomaly
428,BOOK00429,Change management in information services,['Lyndon Pugh'],Open Library only,2000.0,,"['Administration', 'Information services', 'Libraries', 'Management', 'Organizational change', 'Technological innovations', 'Library administration', 'Information resources management', 'Bibliothèques', 'Changement organisationnel', ""Services d'information"", 'Innovations', 'Gestion', 'LANGUAGE ARTS & DISCIPLINES', 'Library & Information Science', 'General', 'Information services management', 'Information services management (Title)', 'Library science']",Information Technology Management,https://covers.openlibrary.org/b/id/1285170-L.jpg,1,Metadata correction,Edition page-count anomaly
444,BOOK00445,The Effective Change Manager's Handbook,['APMG'],Open Library only,2014.0,,"['Organizational change', 'Management', 'BUSINESS & ECONOMICS / Management', 'BUSINESS & ECONOMICS / Organizational Development', 'REFERENCE / Handbooks & Manuals', 'Economics']",Change Management,https://covers.openlibrary.org/b/id/8999352-L.jpg,1,Publication-type review,Potential non-standard publication term
521,BOOK00522,Software project management,['Bob Hughes'],Open Library only,1999.0,,"['Software engineering', 'Project management']",Project Management,https://covers.openlibrary.org/b/id/8720847-L.jpg,1,Publication-type review,Potential non-standard publication term
573,BOOK00574,Handbook of corporate performance management,['Mike Bourne'],Open Library only,2011.0,,"['Performance', 'Measurement', 'Management', 'Organizational effectiveness', 'BUSINESS & ECONOMICS / Personal Finance / General', 'Industrial efficiency']",Broad Leadership and Success,https://covers.openlibrary.org/b/id/13210937-L.jpg,1,Publication-type review,Potential non-standard publication term
580,BOOK00581,Armstrong's Handbook of Performance Management,['Michael Armstrong'],Open Library only,2014.0,,"['Employees, rating of', 'Performance standards', 'Performance', 'Employees', 'Rating of', 'Commerce']",Performance Management,https://covers.openlibrary.org/b/id/11675584-L.jpg,1,Publication-type review,Potential non-standard publication term
582,BOOK00583,Armstrong's handbook of performance management,['Michael Armstrong'],Open Library only,2009.0,,"['Business', 'Nonfiction', 'Employees, rating of', 'Performance standards', 'Performance', 'Employees', 'Rating of']",Performance Management,https://covers.openlibrary.org/b/id/12291277-L.jpg,1,Publication-type review,Potential non-standard publication term
617,BOOK00618,Human Resource Management,['Gary Dessler'],Open Library only,1999.0,,['Personnel management'],Human Resource Management,https://covers.openlibrary.org/b/id/14158324-L.jpg,1,Metadata correction,Edition page-count anomaly
640,BOOK00641,Armstrong's handbook of human resource management practice,['Michael Armstrong'],Open Library only,2009.0,,"['Personnel management', 'Handbooks, manuals', 'Personnel', 'Guides, manuels', 'Direction', 'Personnel management -- Handbooks, manuals, etc', 'Personnel -- Direction -- Guides, manuels, etc', 'Business and Management']",Human Resource Management,https://covers.openlibrary.org/b/id/8435427-L.jpg,1,Publication-type review,Potential non-standard publication term
647,BOOK00648,A Handbook of Human Resource Management Practice,['Michael Armstrong'],Open Library only,1999.0,,"['Business', 'Handbooks, manuals', 'Nonfiction', 'Personnel management', '85.62 personnel management', 'Formation', 'Ressources humaines', 'Manuels', 'Gestion du personnel', 'Personeelsmanagement', 'Personnel', 'Guides, manuels', 'Direction', 'BUSINESS & ECONOMICS', 'Workplace Culture', 'Human Resources & Personnel Management']",Human Resource Management,https://covers.openlibrary.org/b/id/6419374-L.jpg,1,Publication-type review,Potential non-standard publication term
699,BOOK00700,Essentials of Organizational Behavior,"['John J. Wild', 'Kenneth L. Wild', 'Alverne Ball', 'Timothy A. Judge', 'Stephen P. Robbins']",Open Library only,2007.0,,"['International business enterprises', 'International trade', 'Organizational behavior', 'Organisationsverhalten']",Organizational Behavior,https://covers.openlibrary.org/b/id/10990677-L.jpg,1,Metadata correction,Edition page-count anomaly
798,BOOK00799,The ethical decision-making manual for helping professionals,['Sarah O. Steinman'],Open Library only,1998.0,,"['Counselors', 'Decision making', 'Moral and ethical aspects', 'Moral and ethical aspects of Decision making', 'Moral and ethical aspects of Social service', 'Problems, exercises', 'Problems, exercises, etc', 'Professional ethics', 'Social service']",Decision Making,https://covers.openlibrary.org/b/id/3786326-L.jpg,1,Publication-type review,Potential non-standard publication term
911,BOOK00912,The Oxford Handbook Of Innovation Management,['Mark Dodgson'],Open Library only,2013.0,,"['Organizational change', 'Technological innovations', 'Management', 'Organizational change--management', 'Technological innovations--management', 'Social sciences -- industries. land use. labor -- management. industrial management -- organizational change. organizational development. corporate turnarounds', 'Hd58.8 .o94 2014', '658.406']",Innovation Management,https://covers.openlibrary.org/b/id/7850006-L.jpg,1,Publication-type review,Potential non-standard publication term
914,BOOK00915,The Innovator's Dilemma,"['Clayton M. Christensen', 'L J Ganser', 'Don Leslie']",Open Library only,1997.0,,"['Industrial management', 'Disruptive technologies', 'Success in business', 'Customer services', 'innovation', 'Service à la clientèle', 'Succès dans les affaires', 'Creative ability in business', ""Gestion d'entreprise"", 'Créativité dans les affaires', 'Creative ability', 'Success', 'Erfolgsanalyse', 'Innovations technologiques', 'Gestion industrielle', 'Management', 'Unternehmen', 'Affaires', 'BUSINESS & ECONOMICS / Decision-Making & Problem Solving', 'BUSINESS & ECONOMICS / Leadership', 'BUSINESS & ECONOMICS / Strategic Planning', 'BUSINESS & ECONOMICS', 'Decision-Making & Problem Solving', 'Leadership', 'Strategic Planning', 'Business economics', 'Produktutveckling', 'Framgångsrikt företagande', 'Kreativitet i arbetslivet', 'Kundorientering', 'Hd53 .c49 1997', '658', 'Hd53 .c49 2016', 'Commerce', 'Organization & administration', 'Methods', 'Customer Satisfaction', 'Consumer Behavior']",General Business and Management,https://covers.openlibrary.org/b/id/9274687-L.jpg,1,Metadata correction,Edition page-count anomaly
992,BOOK00993,Win the Inside Game,['Steve Magness'],LeadershipNow only,,2025.0,[],Broad Leadership and Success,https://www.leadershipnow.com/leadershop/images/9780063339927.jpg,1,Publication-type review,Potential non-standard publication term
1106,BOOK01107,1929,,LeadershipNow only,,,,,https://www.leadershipnow.com/leadershop/images/9780593296967.jpg,1,Title review,Predominantly numeric title
1233,BOOK01234,The Metaverse Handbook,"['QuHarrison Terry and Scott ""DJ Skee"" Keeney']",LeadershipNow only,,2022.0,[],CEO and Executive Transformation,https://www.leadershipnow.com/leadershop/images/9781119892526.jpg,1,Publication-type review,Potential non-standard publication term
1326,BOOK01327,The Manager's Handbook,['David Dodson'],LeadershipNow only,,2023.0,[],Organizational Culture and Trust,https://www.leadershipnow.com/leadershop/images/9781394174072.jpg,1,Publication-type review,Potential non-standard publication term
1418,BOOK01419,Disrupting the Game,['Reggie Fils-Aimé'],LeadershipNow only,,2022.0,[],CEO and Executive Transformation,https://www.leadershipnow.com/leadershop/images/9781400226672.jpg,1,Publication-type review,Potential non-standard publication term
1450,BOOK01451,Success Is a Numbers Game,['Kyle Austin Young'],LeadershipNow only,,2025.0,[],Broad Leadership and Success,https://www.leadershipnow.com/leadershop/images/9781401975425.jpg,1,Publication-type review,Potential non-standard publication term
1516,BOOK01517,"Change Your Questions, Change Your Life Workbook:",['Marilee Adams with Andrea F. Lipton'],LeadershipNow only,,2022.0,[],Change Management,https://www.leadershipnow.com/leadershop/images/9781523091201.jpg,1,Publication-type review,Potential non-standard publication term
1544,BOOK01545,How to Beat a Broken Game,['Pedro Moura'],LeadershipNow only,,2022.0,[],CEO and Executive Transformation,https://www.leadershipnow.com/leadershop/images/9781541701427.jpg,1,Publication-type review,Potential non-standard publication term
1561,BOOK01562,End Game First,['Mike Lefever and Roderick Jones'],LeadershipNow only,,2023.0,[],Organizational Culture and Trust,https://www.leadershipnow.com/leadershop/images/9781544527567.jpg,1,Publication-type review,Potential non-standard publication term
1608,BOOK01609,The Open Culture Handbook,['Drew Jones'],LeadershipNow only,,2023.0,[],Organizational Culture and Trust,https://www.leadershipnow.com/leadershop/images/9781637551172.jpg,1,Publication-type review,Potential non-standard publication term
1634,BOOK01635,The Public Relations Handbook,['Edited by Robert L. Dilenschneider'],LeadershipNow only,,2022.0,[],CEO and Executive Transformation,https://www.leadershipnow.com/leadershop/images/9781637740613.jpg,1,Publication-type review,Potential non-standard publication term
1780,BOOK01781,The Harvard Business Review Sales Management Handbook,"['Prabhakant Sinha, Arun Shastri and Sally E. Lorimer']",LeadershipNow only,,2024.0,[],General Business and Management,https://www.leadershipnow.com/leadershop/images/9781647826802.jpg,1,Publication-type review,Potential non-standard publication term
1827,BOOK01828,The Unconquerable Game,['Ely Callaway with Nicholas Callaway'],LeadershipNow only,,2025.0,[],CEO and Executive Transformation,https://www.leadershipnow.com/leadershop/images/9781737205142.jpg,1,Publication-type review,Potential non-standard publication term
1859,BOOK01860,The Career Workbook,['The School of Life'],LeadershipNow only,,2023.0,[],Organizational Culture and Trust,https://www.leadershipnow.com/leadershop/images/9781915087058.jpg,1,Publication-type review,Potential non-standard publication term
1888,BOOK01889,The Long Game,['Eric Becker'],LeadershipNow only,,2025.0,[],CEO and Executive Transformation,https://www.leadershipnow.com/leadershop/images/9781957588322.jpg,1,Publication-type review,Potential non-standard publication term
1951,BOOK01952,Get Clear Career Assessment,['Ken Coleman'],LeadershipNow only,,2024.0,[],Organizational Culture and Trust,https://www.leadershipnow.com/leadershop/images/9788887820231.jpg,1,Publication-type review,Potential non-standard publication term
