openlibrary_key,title,work_status_code,description,first_sentence,work_subjects,subject_places,subject_people,subject_times,excerpts,lc_classifications,dewey_number,work_covers
/works/OL19982874W,Leadership,200,,,"['Leadership', 'Industrial management', ""Gestion d'entreprise"", 'BUSINESS & ECONOMICS / Industrial Management', 'BUSINESS & ECONOMICS / Management', 'BUSINESS & ECONOMICS / Management Science', 'BUSINESS & ECONOMICS / Organizational Behavior', 'BUSINESS & ECONOMICS / Leadership']",,,,[],,,[13806636]
/works/OL1947324W,Leadership,200,,,"['Leadership', 'Management', 'Leiderschap', 'Management & management techniques', 'Industrial & Organizational Psychology', 'Business & Economics', 'Business / Economics / Finance', 'Psychology']",,,,[],,['303.3/4'],[63396]
/works/OL1807678W,Lincoln on Leadership,200,"A guide to business leadership based on the strategies of Abraham Lincoln focuses on the President's most difficult decisions during the Civil War, offering lessons based on his experiences for today's businessperson.",During his four years as president Abraham Lincoln spent most of his time among the troops.,"['Views on political leadership', 'Political leadership', 'Leadership', 'Politische Führung', 'Leiderschap', 'Politische Fu\x98hrung', 'Lincoln, abraham, 1809-1865']",['United States'],['Abraham Lincoln (1809-1865)'],,[],['E457.2 .P54 1992'],['973.7/092'],[285557]
/works/OL30484W,Leadership,200,"A systematic study, ranging from the salons of eighteenth-century Paris to the revolutionary cadres of the present century, views leadership as dialectic, synthetic, collective, and consciousness-raising and scrutinizes its causes and effects.",,"['Leadership', 'Fu\x98hrungspsychologie', 'Fu\x98hrungseigenschaft', 'Politische Fu\x98hrung', 'Politieke aspecten', 'Führung', 'Pouvoir (sciences sociales)', 'Leiderschap', 'Ethische aspecten']",,,,[],,['301.15/53'],[4448837]
/works/OL1815713W,Leadership,200,,,"['Teams in the workplace', 'Leadership']",,,,[],['HD57.7 .L87 2001'],['658.4/092'],[194497]
/works/OL1974749W,The leadership challenge,200,"When it was initially written in 1987, few could have predicted that The Leadership Challenge would become one of the best-selling leadership books of all time. Now, faced with the new challenges of our unpredictable global business environment, Jim Kouzes and Barry Posner--two of the country's premier leadership experts--have completely revised and updated their classic book. Building on the knowledge base of their previous books, the third edition of The Leadership Challenge is grounded in extensive research and based on interviews with all kinds of leaders at all levels in public and private organizations from around the world. In this edition, the authors emphasize that the fundamentals of leadership are the same today as they were in the 1980s, and as they've probably been for centuries. In that sense, nothing's new. Leadership is not a fad. While the content of leadership has not changed, the context has-and in some cases, changed dramatically.",,"['Executive ability', 'Leadership', 'Management', 'Business', 'Nonfiction', 'Leiderschap', 'Aptitude pour la direction', 'Colección Gestión', 'Books and reading', 'Organization and Administration', 'Gestion', 'Sisters of St. Francis of Mary Immaculate', 'Administrative Personnel', 'Organizational Efficiency', 'Manuels', 'Autoformation', 'Ledarskap', 'Personnel Management', 'Führungsstil', 'Führung', 'Management, study and teaching', 'Executives, training of', 'Efficiency, organizational', 'Hd57.7 .k68 2007', 'Hd 57.7 k88l 2007', '658.4/092']",,,,[],,"['658.4/092', '658.4092']","[548022, 4819290, 1482639, 5007669]"
/works/OL17628850W,ORGANIZATIONAL CULTURE AND LEADERSHIP,200,"Organizational culture refers to culture in any type of organization including that of schools, universities, not-for-profit groups, government agencies, or business entities. In business, terms such as corporate culture and company culture are often used to refer to a similar concept. The term corporate culture became widely known in the business world in the late 1980s and early 1990s.[28][29] Corporate culture was already used by managers, sociologists, and organizational theorists by the beginning of the 80s.[30][31] The related idea of organizational climate emerged in the 1960s and 70s, and the terms are now somewhat overlapping,[32][33] as climate is one aspect of culture that focuses primarily on the behaviors encouraged by the organization",,"['Corporate culture', 'Culture', 'Leadership', ""Culture d'entreprise"", 'PSYCHOLOGY', 'Social Psychology', 'Society', 'Hd58.7 .s33 2017', '302.3/5']",,,,[],,,[7905069]
/works/OL16296611W,Leadership,200,,,['Leadership'],,,,[],,,[9593539]
/works/OL17934890W,Leadership In Turbulent Times,200,"In this culmination of five decades of acclaimed studies in presidential history, Pulitzer Prize-winning author Doris Kearns Goodwin offers an illuminating exploration into the early development, growth, and exercise of leadership. Are leaders born or made? Where does ambition come from? How does adversity affect the growth of leadership? Does the man make the times or do the times make the man? In Leadership in Turbulent Times, Goodwin draws upon four of the presidents she has studied most closely—Abraham Lincoln, Theodore Roosevelt, Franklin D. Roosevelt, and Lyndon B. Johnson (in civil rights)—to show how they first recognized leadership qualities within themselves, and were recognized by others as leaders. No common pattern describes the trajectory of leadership. Although set apart in background, abilities, and temperament, these men shared a fierce ambition and a deep-seated resilience that enabled them to surmount uncommon adversity. At their best, all four were guided by a sense of moral purpose. At moments of great challenge, they were able to summon their talents to enlarge the opportunities and lives of others. This seminal work provides an accessible and essential road map for aspiring and established leaders in every field. In today’s polarized world, these stories of authentic leadership in times of apprehension and fracture take on a singular urgency. ([source][1]) [1]: https://doriskearnsgoodwin.com/books/",,"['Politics and government', 'Political culture', 'Political leadership', 'Presidents', 'Character', 'Case studies', 'Crisis management', 'History', 'Business & economics', 'leadership', 'political science', 'government', 'executive branch', 'Case Reports', 'Biographies', 'biography', 'political process', 'biography & autobiography', 'presidents & heads of state', 'presidential leadership', 'Presidents, united states', 'United states, politics and government', 'Lincoln, abraham, 1809-1865', 'Roosevelt, theodore, 1858-1919', 'Roosevelt, franklin d. (franklin delano), 1882-1945', 'Johnson, lyndon b. (lyndon baines), 1908-1973', 'nyt:combined-print-and-e-book-nonfiction=2018-10-07', 'New York Times bestseller', 'New York Times reviewed', 'United states, history', 'POLITICAL SCIENCE / Political Process / Leadership', 'BIOGRAPHY & AUTOBIOGRAPHY / Presidents & Heads of State', 'Theodore Roosevelt']",,"['Abraham Lincoln', 'Theodore Roosevelt', 'Franklin D. Roosevelt', 'Lyndon B. Johnson']",['20th century'],"['Lincoln was only twenty-three years old on March 9, 1832, when he declared his intention to run for a seat in the Illinois state legislature.']",,,"[12373708, 10342081, 11220329, 9144854]"
/works/OL1693759W,Leadership,200,,,"['Communication', 'Leadership', 'Politics - Current Events', 'Business & Economics / Management Science', 'Politics / Current Events', 'Business/Economics', 'Political Process - Leadership', 'Business & Economics', 'Management Science', 'Business & Economics / Leadership', 'Fu\x98hrung', 'Fu\x98hrungseigenschaft', 'Language arts', 'Business']",,,,[],,['303.3/4'],[833338]
/works/OL21002118W,Transformational Leadership,200,"""Transformational Leadership, Second Edition is intended for both the scholars and serious students of leadership. It is a comprehensive review of theorizing and empirical research that can serve as a reference and starting point for additional research on the theory. It can be used as a supplementary textbook in an intense course on leadership - or as a primary text in a course or seminar focusing on transformational leadership.""--Publisher's website.",,"['Leadership', 'Organizational change']",,,,[],,,[1522594]
/works/OL11659147W,Tribal leadership,200,"It's a fact of life: birds flock, fish school, people ""tribe.""Every company, indeed every organization, is a tribe, or if it's large enough, a network of tribes—groups of 20 to 150 people in which everyone knows everyone else, or at least knows of everyone else. Tribes are more powerful than teams, companies, or even CEOs, and yet their key leverage points have not been mapped—until now. In Tribal Leadership, Dave Logan, John King, and Halee Fischer-Wright show leaders how to assess their organization's tribal culture on a scale from one to five and then implement specific tools to elevate the stage to the next. The result is unprecedented success.In a rigorous eight-year study of approximately 24,000 people in over two dozen corporations, Logan, King, and Fischer-Wright refine and define a common theme: the success of a company depends on its tribes, the strength of its tribes is determined by the tribal culture, and a thriving corporate culture can be established by an effective tribal leader. Tribal Leadership will show leaders how to employ their companies' tribes to maximize productivity and profit: the authors' research, backed up with interviews ranging from Brian France (CEO of NASCAR) to ""Dilbert"" creator Scott Adams, shows that over three quarters of the organizations they've studied have tribal cultures that are merely adequate, no better than the third of five tribal stages.Leaders, managers, and organizations that fail to understand, motivate, and grow their tribes will find it impossible to succeed in an increasingly fragmented world of business. The often counterintuitive findings of Tribal Leadership will help leaders at today's major corporations, small businesses, and nonprofits learn how to take the people in their organization from adequate to outstanding, to discover the secrets that have led the highest-level tribes (like the team at Apple that designed the iPod) to remarkable heights, and to find new ways to succeed where others have failed.",,"['Teams in the workplace', 'Leadership', 'Organizational behavior', 'Business', 'Management', 'Nonfiction', 'Gestion du personnel', 'Organisation du travail', 'Motivations', ""Travail d'équipe"", 'Associations, institutions', 'Workplace', 'nyt:paperback-advice=2011-06-26', 'New York Times bestseller']",,,,[],,,[5506671]
/works/OL2649476W,Tough Minded Leadership,200,,,"['Leadership', 'Management', 'Leadership, religious aspects']",,,,[],['HD57.7 .B38 1989'],['658.4/092'],[4068570]
/works/OL30487W,Transforming Leadership,200,"The award-winning historian critically examines the role of leadership in the twenty-first century, outlining a program through which leaders can become agents of positive social change.","Over the millennia, we have heard far more about leaders than followers, and more about followers than leadership.","['Empowerment', 'Politieke leiding', 'Leadership', 'Geschichte', 'Führung', 'History', 'Leadership--history', 'Hm1261 .b87 2003', '303.3/4']",,,,"['Over the millennia, we have heard far more about leaders than followers, and more about followers than leadership.']",,,"[6635120, 569362]"
/works/OL694165W,Leadership,200,,,"['Politics and government', 'September 11 Terrorist Attacks, 2001', 'Biographies', ""Hommes d'État"", 'New York (N.Y.)', 'Administration', 'Attentats du 11 septembre 2001, E tats-Unis', ""Hommes d'E tat"", 'Maires', 'Politicians', 'Leadership', 'Attentats du 11 septembre 2001, États-Unis', 'Mayors', 'Biography', 'Statesmen', 'New York City', 'Terrorist attack', 'September 11, 2001', 'September 11 terrorist attacks, 2001', ""Hommes d'état"", 'New york (n.y.)', 'Attentats du 11 septembre 2001, e tats-unis', ""Hommes d'e tat"", 'Attentats du 11 septembre 2001, états-unis', 'New york city']","['New York', 'New York (N.Y.)', 'New York (State)', 'United States', 'New York (État)', 'États-Unis']",['Rudolph W. Giuliani'],['1951-'],[],,,"[545838, 541021]"
/works/OL19907717W,Transformation leadership,200,,,"['Leadership', 'Organizational change', 'Organizational Innovation', 'Changement organisationnel', 'BUSINESS & ECONOMICS']",,,,[],,,[1522595]
/works/OL1835386W,Las cinco disfunciones de un equipo,200,"In The Five Dysfunctions of a Team Patrick Lencioni once again offers a leadership fable that is as enthralling and instructive as his first two best-selling books, The Five Temptations of a CEO and The Four Obsessions of an Extraordinary Executive. This time, he turns his keen intellect and storytelling power to the fascinating, complex world of teams. Kathryn Petersen, Decision Tech's CEO, faces the ultimate leadership crisis: Uniting a team in such disarray that it threatens to bring down the entire company. Will she succeed? Will she be fired? Will the company fail? Lencioni's utterly gripping tale serves as a timeless reminder that leadership requires as much courage as it does insight. Throughout the story, Lencioni reveals the five dysfunctions which go to the very heart of why teams even the best ones-often struggle. He outlines a powerful model and actionable steps that can be used to overcome these common hurdles and build a cohesive, effective team. Just as with his other books, Lencioni has written a compelling fable with a powerful yet deceptively simple message for all those who strive to be exceptional team leaders.",,"['Management', 'Nonfiction', 'Business', 'Teams in the workplace', 'Industrial Psychology', 'Organization & administration', 'Travail de groupe', 'Leadership', 'Teamwork', 'Workplace', 'Institutional Management Teams', 'Équipes de travail', 'Personnel Management', 'Group Processes', 'Employees, training of', 'Self-actualization (psychology)', 'Comic books, strips', 'Teams in the workplace--comic books, strips, etc', 'Hd66 .l456 2008', '658.402', 'Institutional Mangement Teams']",,,,[],,,"[10863273, 6872805, 5276389, 7376675, 548975, 9075468, -1, 13988895, 13988894]"
/works/OL5367479W,The Tao of leadership,200,,,"['Taoísmo', 'Psychological aspects of Leadership', 'Leadership', 'Psychological aspects', 'Taoism', 'Liderazgo', 'Dao de jing (Laozi)']",,"['Lao-tzu', 'Laozi']",,[],,,[692190]
/works/OL1974738W,The student leadership challenge,200,"Derived from the classic leadership book The Leadership Challenge, Fourth Edition, this is a concise, focused primer on the Five Practices of Exemplary Leadership for students. Grounded in the same extensive research as the best selling The Leadership Challenge, this book uses examples and language to which students in higher education can relate. It also features reflective and critical thinking activities at the end of each chapter to help students engage in each of the Five Practices. -- Publisher description from http://www.josseybass.com (Oct. 3, 2011).",,"['Leadership', 'College student government', 'Interpersonal relations', 'Student government', 'Education - social & political aspects']",,,,[],['LB2346 .K68 2008'],['378.1/98'],"[9250811, 7608777, 8833690, 14580585]"
/works/OL3359455W,Reframing Organizations,200,"In this third edition of their best-selling classic, authors Lee Bolman and Terrence Deal explain the powerful tool of ""reframing."" The authors have distilled the organizational literature into a comprehensive approach for looking at situations from more than one angle. Their four frames view organizations as factories, families, jungles, and theaters or temples: The Structural Frame: how to organize and structure groups and teams to get results The Human Resource Frame: how to tailor organizations to satisfy human needs, improve human resource management, and build positive interpersonal and group dynamics The Political Frame: how to cope with power and conflict, build coalitions, hone political skills, and deal with internal and external politics The Symbolic Frame: how to shape a culture that gives purpose and meaning to work, stage organizational drama for internal and external audiences, and build team spirit through ritual, ceremony, and story",,"['Leadership', 'Management', 'Organizational behavior', 'Business', 'Nonfiction', 'Comportement organisationnel', 'Gestion', ""Culture d'entreprise"", 'Management.', 'Organizational behavior.', 'Leadership.', 'Risk Management', 'Organization and Administration', 'Administracao', 'Prise de decision', 'Organisatie', 'Unternehmen', 'Theorie', 'Administracao De Empresas', 'Unternehmensorganisation', 'Prise de décision', 'Job Satisfaction', 'Personnel Management', 'Industrial Psychology', 'Führung', 'Organisationshandeln', 'Associations, institutions, etc.', 'Organizational change', 'BUSINESS & ECONOMICS', 'Structural Adjustment', 'Organisationssoziologie', 'Organisationsverhalten', 'Organisationsutveckling', 'Organisationsförändringar', 'Företagsorganisation', 'Management Service Organizations', 'Organisatiegedrag', 'Leiderschap', 'Organizational Culture', 'Organizational Innovation', 'Institutional Management Teams', 'Management Quality Circles', 'Hd31 .b6135 2003', '658.4/063', 'Hd31 .b6135 2008', 'Psychology, industrial', 'Hd31 .b6135 2013', 'Hd31 .b6135 2017']",,,,[],,['658.4/063'],[549072]
/works/OL7912826W,Wooden on Leadership,200,"""Team spirit, loyalty, enthusiasm, determination...Acquire and keep these traits and success should follow."" --Coach John WoodenJohn Wooden is without question one of the most respected and honored sports coaches in our nations history. But it wasn't winning games that drove him; it was ensuring that, regardless of the final score, his players always put forth their utmost effort and performed to the best of their abilities.One of the lesser-known aspects of Wooden is the notebooks in which, beginning in 1948, he regularly recorded his thoughts, inspirations, and life lessons. In Wooden on Leadership, the legendary coach and his longtime collaborator Steve Jamison combine the best of those notebooks with Wooden's far-more-celebrated Pyramid of Success to create a leadership skills guide designed to help anyone develop character, conviction, and remarkable achievement.Whether discussing teamwork (""It takes 10 hands to score a basket"") and self-control (""Emotion is the enemy"") to concentration (""Don't look at the scoreboard"") and dealing with defeat (""Things turn out best for those who make the best of the way things turn out"").",,"['Business', 'Nonfiction', 'Leadership', 'Management']",,,,[],,,[60373]
/works/OL9947459W,Brand leadership,200,,,"['Brand name products', 'Management', 'Sales & marketing', 'Product Management', 'Business & Economics', 'Business / Economics / Finance', 'Business/Economics', 'United States', 'Marketing - General', 'Advertising & Promotion', 'Business & Economics / Marketing / General', 'Marketing', 'Merken', 'Merkartikelen', 'Merknamen', 'Strategie', 'Marques de commerce']",['United States'],,,[],,,[7290666]
/works/OL2631715W,SuperVision and Instructional Leadership,200,,,"['School supervision', 'Schulaufsicht', 'Educational leadership', 'Inspection des écoles']",,,,[],,['371.2/03'],[1145869]
/works/OL9723833W,Leadership,200,,,"['Leadership', 'Economics', 'Industrial management']",,,,[],,,[2771147]
/works/OL20703991W,Leadership Strategy and Tactics,200,,,"['Strategic planning', 'Leadership', 'Sociology', 'Economics', 'nyt:advice-how-to-and-miscellaneous=2020-02-02', 'New York Times bestseller', 'BUSINESS & ECONOMICS / Economics / General']",,,,[],,,[9380709]
/works/OL25348188W,Leadership,200,,,"['nyt:combined-print-and-e-book-nonfiction=2022-07-24', 'New York Times bestseller']",,,,[],,,"[14249975, 14249974, 14249976, 14249977]"
/works/OL18306659W,Improving organizational effectiveness through transformational leadership,200,,,"['Leadership', 'Organizational effectiveness']",,,,[],,,[1516336]
/works/OL20220610W,Introduction to Leadership,200,,,['Leadership'],,,,[],,,[8872957]
/works/OL18785478W,Teacher leadership,200,,,"['Educational leadership', 'Professional relationships', 'Teacher participation in administration', 'Teachers']",['United States'],,,[],,,[1482285]
/works/OL16918034W,HR leadership,200,"What is HR leadership and what difference can it make to business success? Who is demonstrating HR leadership now and what might HR leadership look like in the future? How can aspiring HR leaders gain the skills, behaviours and credibility to navigate new and complex career structures and move up the career ladder? These are just some of the questions addressed by Linda Holbeche in her latest book. HR leadership is a rapidly evolving concept. It is as much a mindset, philosophy and set of capabilities as a role. HR Leadership draws on the personal experiences of some of today's most talented HR professionals who, through their leadership, are making a real difference to their organisations, no matter what industry they work in. Holbeche looks at the experiences which shaped them and the values and priorities which drive them. The book contains: . Revealing interviews with Senior HR leaders from Google, McDonald's, the UK's National Policing Improvement Agency and other major organisations, offering insights into their own career development . An overview of the capabilities needed for success as an HR leader and suggestions about how to develop these . Practical illustrations from leading companies, demonstrate how effective HR leaders play a driving role in building healthy and effective organisations to offer competitive edge HR Leadership illustrates to business managers what effective HR looks like at its best. Its well-informed and practical advice make this book a must-read for anyone wanting to develop their career as an HR leader. . Revealing interviews with Senior HR leaders from Google, McDonald's, the UK's National Policing Improvement Agency and other major organisations, offering insights into their own career development . An overview of the capabilities needed for success as an HR leader and suggestions about how to develop these . Practical illustrations from leading companies, demonstrate how effective HR leaders play a driving role in building healthy and effective organisations to offer competitive edge.",,"['Human Resources & Personnel Management', 'Leadership', 'Business', 'Workplace Culture', 'Personnel management', 'BUSINESS & ECONOMICS', 'Personnel', 'Direction']",,,,[],,,[9270506]
/works/OL9454258W,Leadership in health care,200,,,"['Administration', 'Health services administration', 'Nursing services', 'Health systems & services', 'Nursing', 'Services infirmiers', 'Health Services Administration', 'Leadership', 'Santé, Services de', 'Interprofessional Relations', 'Nursing services, administration', 'Medical', 'Health care delivery']",,,,[],,,[2771103]
/works/OL1906630W,Organizational culture and leadership,200,"Presents a comprehensive analysis of organizational culture - what it is, how it develops, and how it functions in relation to managerial style and organizational effectiveness.",,"['Culture', 'Leadership', 'Corporate culture', 'open_syllabus_project', 'Organizational behavior', 'Organizational sociology', 'Organization', 'Management']",,,,[],,,[774364]
/works/OL66047W,Leadership and the one minute manager,200,"Providing a guide to effective business leadership, three management consultants' important concepts and techniques of leadership, including flexibility, diagnosis, contracts, building skill, confidence, and autonomy in others. In clear, simple terms Leadership and the One Minute Manager® teaches managers the art of Situational Leadership®--a simple system that refutes the conventional management mandate of treating all employees equally. Here, you'll learn why tailoring management styles to individual employees is so important why knowing when to delegate, support, or direct is critical how to identify the leadership style suited to a particular person and how consistent use of the One Minute techniques will produce better management and enhanced motivation on all levels. This remarkable, easy-to-follow book is a priceless guide to creative, personalized leadership that elicits the best performance from your staff--and the best bottom line for any business. If your management motto is ""everyone should be treated equally,"" Leadership and the One Minute Manager. will show you why this style not only hinders workplace efficiency, but also frustrates your staff. In clear, simple terms, Ken Blanchard, co-author of the enormously popular The One Minute Manager., coupled with business gurus Patricia and Drea Zigarmi, teach managers the art of Situational Leadership. You'll learn why tailoring management styles to individual employees is so important when to delegate, support, or direct how to identify the leadership style suited to a particular person and how consistent use of the One Minute techniques will produce better management and enhanced motivation on all levels. This remarkable, easy-to-follow book is a priceless guide to creative, personalized leadership that elicits the best performance from your staff and the best bottom line for any business. -- Book jacket.",,"['Leadership', 'Management', 'Gestion']",,,,[],,,"[6440265, 430179]"
/works/OL4138839W,School leadership and administration,200,,,"['Case studies', 'Educational leadership', 'School management and organization', 'Administration scolaire', 'Educational administration', 'Administration - General', 'Leadership', 'Education / Administration', 'Education', 'Education / Teaching', 'Textbooks', 'United States']",['United States'],,,[],,,[8339443]
/works/OL8051336W,Leadership Is an Art,200,"Provides advice on the ""art"" of leadership by the CEO of one of Fortune magazine's ten best managed companies.",,['Leadership'],,,,[],,,[4610906]
/works/OL5591010W,Small unit leadership,200,,,"['Business', 'Command of troops', 'History', 'Leadership', 'Nonfiction', 'Military art and science']",,,,[],,,[689071]
/works/OL1854816W,Leadership Wisdom from the Monk Who Sold His Ferrari,200,,,"['Exito en los negocios', 'Actualización de sí mismo (Psicología)', 'Leadership', 'Success in business', 'Self-actualization (Psychology)', 'Liderazgo', 'Management and leadership skills', 'Industrial management', 'Business']",,,,[],['HD57.7 .S47618 2002'],['338.4/7005/0684'],"[1835, 9212758, 750311, 743910, 167315, 14091801, 14091802]"
/works/OL5698702W,Monday morning leadership,200,,,"['Management', 'Leadership', 'Labor productivity', 'Employee motivation']",,,,[],,,[737408]
/works/OL513860W,Leadership for dummies,200,,,"['Executive ability', 'Leadership']",,,,[],,,[521724]
/works/OL18724331W,Leadership,200,"""Used at more than 1500 institutions in 89 countries and translated into 12 different languages, this market-leading text successfully combines an academically robust account of the major theories and models of leadership with an accessible style and practical examples that help students apply what they learn. Peter G. Northouse uses a consistent format for each chapter, allowing students to compare the various theories. Each chapter includes three case studies that provide students with practical examples of the theories discussed. Adopted at more than 1,000 colleges, universities, and institutions worldwide, Leadership: Theory and Practice provides readers with a user-friendly account of a wide range of leadership research in a clear, concise, and interesting manner.""--Publisher's website.",,"['Leadership', 'Case studies', 'Leiderschap', 'BUSINESS & ECONOMICS', 'Führung', 'Fèuhrung', 'Ledarskap', 'Unternehmensführung', 'Leadership--case studies', 'Hm1261 .n67 2015', '303.3/4']",,,,[],,,[9280852]
/works/OL2631027W,Curriculum leadership,200,"""A one-of-a-kind resource written for teachers and administrators who want to sucessfully restructure and enhance school curriculum.""--Back cover.",,"['Curricula', 'Curriculum', 'Curriculum evaluation', 'Curriculum planning', 'Education, Elementary', 'Educational leadership', 'Elementary Education', 'Planification', ""Programmes d'etudes"", 'Leadership en education', 'Curriculum planning & development', 'Education', 'Education / Teaching', 'United States', 'Education / Curricula', 'Leadership', 'Education, united states']",['United States'],,,[],,,[4174269]
/works/OL2421703W,Transformational leadership development,200,,,"['Handbooks, manuals', 'Handbooks, manuals, etc..', 'Self-evaluation', 'Supervisors', 'Leadership', 'Questionnaires', 'Evaluation', 'Rating of']",,,,[],['HD57.7 .B37 1990'],,
/works/OL15443861W,Full range leadership development,200,,,['Leadership'],,,,[],,,[14380960]
/works/OL2002372W,Leadership Development in Balance,200,,,,,,,[],,,[5370739]
/works/OL18564486W,Full range leadership development,200,,,"['Leadership', 'BUSINESS & ECONOMICS / Industrial Management', 'BUSINESS & ECONOMICS / Management', 'BUSINESS & ECONOMICS / Management Science', 'BUSINESS & ECONOMICS / Organizational Behavior']",,,,[],,,[9233648]
/works/OL20593977W,Leadership Development,200,,,"['Leadership', 'Career development', 'BUSINESS & ECONOMICS', 'Industrial Management', 'Management', 'Management Science', 'Organizational Behavior']",,,,[],,,[9234954]
/works/OL840850W,Leadership development basics,200,,,['Leadership'],,,,[],,,
/works/OL3419920W,Leadership development,200,,,"['Executive ability', 'Leadership', 'Study and teaching', 'Aptitude pour la direction', 'Étude et enseignement', 'BUSINESS & ECONOMICS']",,,,[],['HD57.7 .R93 2008'],['658.4092'],[5346473]
/works/OL19124120W,The Center for Creative Leadership handbook of leadership development,200,This second edition brings together the wealth of practical knowledge that CCL has gained from over three decades of research and experience.,,"['Creative ability in business', 'Leadership']",,,,[],,,[10216345]
