book_id,canonical_title,authors,observed_edition_count,earliest_observed_year,latest_observed_year,known_publication_languages_display,known_publication_language_count,multilingual_publication_evidence,observed_publication_countries,observed_publication_country_count,observed_publication_places,observed_publication_place_count,observed_publisher_count,observed_isbn_13_count,observed_format_count,minimum_observed_pages,maximum_observed_pages,known_publication_language_codes,observed_publishers,observed_isbn_10,observed_isbn_10_count,observed_isbn_13,observed_physical_formats,known_publication_languages,first_publish_year,earliest_vs_first_difference,year_discrepancy_flag
BOOK00011,Leadership,['Elesa Zehndorfer'],12,2013,2020,English,1,False,['enk'],1,[],0,2,13,0,284,302,['eng'],"['Routledge', 'Taylor & Francis Group']","['0415625939', '0415625947']",2,"['9781306218382', '9781317975724', '9781315871448', '9781003011507', '9781000194197', '9781000194234', '9781000194159', '9780367406165', '9780367374822', '9781317975748', '9781317975731', '9780415625937', '9780415625944']",[],['English'],2013.0,0.0,False
BOOK00012,Leadership,"['Richard L. Hughes', 'Robert C. Ginnett', 'Gordon J Curphy', 'Richard Hughes', 'Robert Ginnett', 'Gordon Curphy', 'Gordon J. Curphy']",11,1993,2018,English,1,False,"['ilu', 'mau']",2,"['Homewood, IL', 'Boston, Mass', 'Boston', 'Chicago']",4,8,6,2,543,786,['eng'],"['McGraw-Hill Education', 'McGraw Hill', 'McGraw-Hill Companies', 'McGraw-Hill/Irwin', 'Irwin', 'Irwin/McGraw Hill', 'McGraw-Hill', 'McGraw-Hill Irwin']","['1259963268', '0256261431', '0072445297', '0256102783', '0073405043', '0256162123']",6,"['9781259963261', '9781260092530', '9780077862404', '9780256261431', '9780072445299', '9780073405049']","['hardcover', 'Hardcover']",['English'],1993.0,0.0,False
BOOK00013,Lincoln on Leadership,['Donald T. Phillips'],3,1992,1999,English,1,False,['nyu'],1,['New York'],1,3,2,1,188,208,['eng'],"['Warner Books', 'Business Plus', 'Recorded Books INc']","['0446516465', '0446394599', '078873573X']",3,"['9780446394598', '9780788735738']",['Audio cassette'],['English'],1992.0,0.0,False
BOOK00014,Leadership,['James MacGregor Burns'],4,1978,1979,English,1,False,"['nyu', 'xxu']",2,['New York'],1,3,0,0,530,530,['eng'],"['Harper & Row', 'Harper and Row', 'Perennial']","['0060105887', '0060906979', '0061319759']",3,[],[],['English'],1978.0,0.0,False
BOOK00015,Leadership,['Robert N. Lussier'],5,2000,2014,English,1,False,['ohu'],1,"['Cincinnati, Ohio']",1,5,4,1,450,552,['eng'],"['Cengage Learning', 'Cengage', 'South-Western Educational Publishing', 'South-Western College Pub.', 'South-Western College Pub']","['0324041667', '0324155565']",2,"['9781285866352', '9781111827076', '9780324041668', '9780324155563']",['Paperback'],['English'],2000.0,0.0,False
BOOK00016,The leadership challenge,"['James M. Kouzes', 'Barry Z. Posner', 'Elaine Biech', 'Barry Posner']",40,1987,2023,"English, German",2,True,"['cau', 'xxu', 'nyu']",3,"['San Francisco', 'New York', 'San Francisco, Calif', 'San Francisco, CA']",4,10,31,6,350,800,"['eng', 'ger']","['Jossey-Bass', 'Coach Series', 'Wiley & Sons, Incorporated, John', 'Wiley & Sons, Limited, John', 'Center for Creative Leadership', 'Jossey-Bass Inc Pub', 'Pfeiffer & Company', 'Pfeiffer & Co', 'John Wiley & Sons, Ltd.', 'Jossey Bass Wiley']","['1596591226', '155542211X', '0787909882', '0787958816', '0787974005', '0787956783', '0787968331', '1555420613', '0787997463', '0787901105', '0787984914', '0787995703']",12,"['9781596591226', '9781118606919', '9781118596999', '9780470594568', '9780470559727', '9781119278986', '9781596599857', '9783527503742', '9781119736127', '9781119736165', '9781119736158', '9780787984922', '9780470947609', '9780470947593', '9781118282489', '9780470403822', '9780787983505', '9780470594551', '9780470594575', '9781118281963', '9781118284315', '9781119278979', '9781555422110', '9780787909888', '9780787958817', '9780787974008', '9780787964214', '9780787997465', '9780787997106', '9780787984915', '9780787995706']","['Audio CD', 'Paperback', 'Ring-bound', 'Hardcover', 'Electronic resource', 'eBook']","['English', 'German']",1987.0,0.0,False
BOOK00017,ORGANIZATIONAL CULTURE AND LEADERSHIP,"['Schein, Edgar H.', 'Peter Schein']",10,1991,2017,English,1,False,[],0,[],0,2,10,0,416,464,['eng'],"['Wiley & Sons, Incorporated, John', 'JOHN WILEY']",[],0,"['9781555423315', '9781118207833', '9780470244951', '9780787985059', '9780470640562', '9781119212133', '9781119212058', '9780470640579', '9780470640555', '9781119212041']",[],['English'],1991.0,0.0,False
BOOK00018,Leadership,['Richard L. Hughes'],1,2012,2012,English,1,False,['nyu'],1,['New York'],1,1,1,0,716,716,['eng'],['McGraw-Hill Irwin'],['0078112656'],1,['9780078112652'],[],['English'],2012.0,0.0,False
BOOK00019,Leadership In Turbulent Times,"['Doris Kearns Goodwin', 'Doris Kearns Goodwin']",11,2018,2019,"English, Spanish",2,True,['miu'],1,"['Nashville', 'New York', 'Farmington Hills, MI', 'New York, USA']",4,8,11,6,473,921,"['eng', 'spa']","['Penguin Books, Limited', 'Grupo Nelson', 'Large Print Press', 'Simon & Schuster Audio', 'Viking', 'Simon & Schuster Paperbacks', 'Thorndike Press', 'Simon & Schuster']","['1404111298', '1432869213', '1508232954', '1476795932', '1432853821', '1476795940', '0241300711', '1476795924']",8,"['9780241987711', '9781404111295', '9781432869212', '9781508232957', '9780241300732', '9780241300725', '9781476795935', '9781432853822', '9781476795942', '9780241300718', '9781476795928']","['Hardcover', 'paperback', 'audio cd', 'Paperback', 'Epub', 'hardcover']","['English', 'Spanish']",2018.0,0.0,False
BOOK00020,Leadership,"['Michael Z. Hackman', 'Craig E. Johnson']",7,1991,2018,English,1,False,['ilu'],1,"['Long Grove, Illinois', 'Prospect Heights, Ill', 'Long Grove, Ill']",3,3,3,2,254,574,['eng'],"['Waveland Press', 'Waveland Press, Inc.', 'Waveland Pr Inc']","['1478602597', '1478635029', '1577662849', '0881338869', '0881335339', '1577660692']",6,"['9781478602590', '9781478635024', '9781577662846']","['paperback', 'Paperback']",['English'],1991.0,0.0,False
BOOK00021,Transformational Leadership,"['Bernard M. Bass', 'Ronald E. Riggio']",9,2005,2023,English,1,False,[],0,[],0,2,9,1,282,296,['eng'],"['Taylor & Francis Group', 'Lawrence Erlbaum Associates, Inc.']",['0805847618'],1,"['9781410617095', '9781135618865', '9781138671799', '9781135618896', '9781135618841', '9781135618889', '9781282375628', '9781138672185', '9780805847611']",['Hardcover'],['English'],2005.0,0.0,False
BOOK00022,Tribal leadership,"['David Logan', 'Dave Logan', 'John King', 'Halee Fischer-Wright', 'King, John, III', 'John King (undifferentiated)']",13,2007,2012,English,1,False,['nyu'],1,['New York'],1,5,10,3,297,320,['eng'],"['HarperCollins Publishers', 'HarperBusiness', 'Harper Business', 'Collins', 'HarperCollins']","['0061251321', '0061251305']",2,"['9780062196798', '9780061542411', '9780061542428', '9780061542398', '9780061542435', '9780061251320', '9780061251306', '9780061542381', '9780061754722', '9780061542404']","['paperback', 'Hardcover', 'Electronic resource']",['English'],2007.0,0.0,False
BOOK00023,Tough Minded Leadership,['Joe D. Batten'],3,1989,2001,English,1,False,['nyu'],1,"['New York, NY']",1,3,2,1,236,254,['eng'],"['Resource Publications (OR)', 'AMACOM', 'AMACOM/American Management Association']","['157910732X', '0814459013', '0814477615']",3,"['9781579107321', '9780814477618']",['Paperback'],['English'],1989.0,0.0,False
BOOK00024,Transforming Leadership,['James MacGregor Burns'],6,2003,2004,English,1,False,[],0,[],0,5,6,5,240,320,['eng'],"['Blackstone Audiobooks', 'Atlantic Books', 'Grove Press', 'Atlantic Monthly Press', 'Grove/Atlantic, Incorporated']","['0786186216', '0786126418', '1843541688', '0786187387', '0802141188', '0871138662']",6,"['9780786186211', '9780786126415', '9781843541684', '9780786187386', '9780802141187', '9780871138668']","['MP3 CD', 'Audio Cassette', 'Hardcover', 'Audio CD', 'Paperback']",['English'],2003.0,0.0,False
BOOK00025,Leadership,['Rudolph W. Giuliani'],5,2002,2004,"Russian, Chinese, English",3,True,"['ru', 'ch', 'meu', 'nyu']",4,"['Moskva', 'Taibei Shi', 'Waterville, Me', 'Bath, England', 'New York']",5,7,0,0,407,640,"['rus', 'chi', 'eng']","['Izd-vo ""AST""', '""Tranzitkniga""', 'Da kuai wen hua', 'Thorndike Press', 'Chivers Press', 'Talk Miramax Books', 'Hyperion']","['5170249020', '5957810010', '9867975588', '0786251638', '0786868414']",5,[],[],"['Russian', 'Chinese', 'English']",2002.0,0.0,False
BOOK00026,Transformation leadership,"['Bernard M. Bass', 'Ronald E. Riggio']",1,2005,2005,English,1,False,[],0,[],0,1,1,1,296,296,['eng'],"['Lawrence Erlbaum Associates, Inc.']",['0805847626'],1,['9780805847628'],['Paperback'],['English'],2005.0,0.0,False
BOOK00027,Las cinco disfunciones de un equipo,['Patrick Lencioni'],18,2002,2022,"English, Spanish",2,True,"['cau', 'nyu']",2,"['San Francisco', 'New York']",2,7,13,6,184,600,"['eng', 'spa']","['Empresa Activa', 'Wiley & Sons, Incorporated, John', 'Jossey-Bass', 'Singapore', 'Books on Tape', 'John Wiley & Sons, Ltd.', 'Ediciones Urano']","['8416997640', '0787960756', '1415929769', '1415929777', '8495787326']",5,"['9788416997640', '9788495787323', '9781118176740', '9781118118795', '9780470893869', '9781118294338', '9781118179147', '9781118179154', '9781118179130', '9780787960759', '9780470823385', '9781415929773', '9780787962807']","['paperback', 'Paperback', 'Audio cassette', 'Hardcover', 'Audio CD', 'Electronic resource']","['English', 'Spanish']",2002.0,0.0,False
BOOK00028,The Tao of leadership,['John Heider'],14,1985,2005,"English, Spanish",2,True,"['xxk', 'gau', 'mx']",3,"['Atlanta, Ga', 'México', 'Aldershot']",3,11,8,5,161,196,"['eng', 'spa']","['Bantam Books', 'Humanics Pub Group', 'Humanics Ltd Partners', 'Lightning Source UK Ltd', 'Gower Pub Co', 'Humanics Publishing Group', 'Humanics New Age', 'Bantam', 'Ediciones Castillo', 'Wildwood House', 'Tandem Library']","['0704530791', '0893341207', '0893341940', '0566074729', '0893340790', '0553257889', '968741569X', '0704505282', '0613913426', '0553278207']",10,"['9780704530799', '9780893341206', '9780566074721', '9780893340797', '9780553257885', '9780893341947', '9780613913423', '9780553278200']","['Paperback', 'Audio cassette', 'Mass Market Paperback', 'Hardcover', 'School & Library Binding']","['English', 'Spanish']",1985.0,0.0,False
BOOK00029,The student leadership challenge,"['James M. Kouzes', 'Barry Z. Posner', 'Beth High', 'Gary M. Morgan', 'Martin Tan']",39,2000,2024,English,1,False,['cau'],1,['San Francisco'],1,5,39,1,1,336,['eng'],"['Wiley & Sons, Incorporated, John', 'Wiley & Sons, Limited, John', 'Jossey-Bass', 'The Leadership Challenge, A Wiley Brand', 'John Wiley & Sons Inc']",['1119421918'],1,"['9781394279975', '9781394279999', '9781394279982', '9781118718469', '9781118692981', '9781394206094', '9781394206100', '9780470887011', '9781118612484', '9781118718360', '9780470614976', '9780470596555', '9780470596630', '9781118599679', '9781118599990', '9781118600290', '9781118602560', '9781118602577', '9781118602584', '9781118602539', '9781118602553', '9781118599655', '9781118599723', '9781119422242', '9781119422259', '9781118718575', '9781118718582', '9781118754849', '9781118754757', '9781118718537', '9781118754788', '9781118693209', '9781118441275', '9781119421917', '9781118390085', '9781118390092', '9780470596470', '9781118390078', '9780470177051']",['paperback'],['English'],2000.0,0.0,False
BOOK00030,Reframing Organizations,['Lee G. Bolman'],36,1991,2021,English,1,False,"['cau', 'nyu']",2,"['San Francisco, CA', 'San Francisco', 'New York']",3,8,35,3,2,544,['eng'],"['Wiley & Sons, Incorporated, John', 'Wiley & Sons, Limited, John', 'Jossey-Bass', 'Jossey-Bass, a Wiley brand', 'Wiley-Interscience', 'John Wiley & Sons', 'John Wiley & Sons, Ltd.', 'Jossey-Bass Publishers']","['1118557387', '1118573331', '1119281822', '111806481X', '1119281814', '1555422993', '155542323X', '0787987999', '0787964263', '0787964271', '0787908223', '0787908215']",12,"['9781119366188', '9781119275114', '9781119366348', '9781119275251', '9781119193838', '9781119275213', '9781119193852', '9781119275183', '9781119366201', '9781119283270', '9781118922637', '9781118850923', '9781119281856', '9781118717523', '9780470605073', '9781118047392', '9780470540381', '9781119756835', '9781119855125', '9781119756842', '9781119756859', '9781118573396', '9781119281832', '9781119281849', '9780470327746', '9781118557389', '9781118573334', '9781118573235', '9781118573310', '9781119281825', '9781118064818', '9781119281818', '9780787972554', '9780787987985', '9780787987992']","['paperback', 'hardcover', 'Electronic resource']",['English'],1991.0,0.0,False
BOOK00031,Wooden on Leadership,['John Wooden'],3,2005,2009,English,1,False,['nyu'],1,['New York'],1,1,2,2,256,256,['eng'],['McGraw-Hill'],['0071453393'],1,"['9780071467100', '9780071453394']","['eBook', 'Hardcover']",['English'],2005.0,0.0,False
BOOK00032,Brand leadership,"['David A. Aaker', 'Erich Joachimsthaler']",5,2000,2012,English,1,False,['nyu'],1,['New York'],1,2,4,1,351,368,['eng'],"['Simon & Schuster, Limited', 'Free Press']",['0684839245'],1,"['9781471104374', '9781439172919', '9780743203784', '9780684839240']",['Hardcover'],['English'],2000.0,0.0,False
BOOK00033,SuperVision and Instructional Leadership,"['Carl D. Glickman', 'Stephen P. Gordon', 'Jovita M. Ross-Gordon']",15,2000,2023,English,1,False,['mau'],1,"['Boston, Mass', 'Boston']",2,8,12,2,382,528,['eng'],"['Pearson Education', 'Pearson Education, Limited', 'Pearson Education Canada', 'Pearson', 'Allyn & Bacon', 'Pearson Allyn & Bacon', 'Allyn and Bacon', 'Pearson/Allyn and Bacon']","['0134449894', '0205489532', '0205380794', '0205322026', '0205625037']",5,"['9780137878864', '9780134521947', '9780133398649', '9780205679393', '9780205620456', '9780134290089', '9780132852135', '9780134449890', '9780205489534', '9780205380794', '9780205322022', '9780205625031']","['paperback', 'Hardcover']",['English'],2000.0,0.0,False
BOOK00034,Leadership,['Simon Western'],13,2007,2019,English,1,False,['cau'],1,['Los Angeles'],1,6,10,2,234,456,['eng'],"['SAGE Publications, Limited', 'SAGE Publications, Incorporated', 'SAGE Publications Ltd', 'Sage Publications Ltd', 'Sage Publications', 'SAGE']","['1446280292', '1412923050', '1412923042']",3,"['9781446294208', '9780857029485', '9781446280294', '9781282795006', '9781526459510', '9781526459527', '9781446269909', '9781446269893', '9781412923057', '9781412923040']","['Paperback', 'Hardcover']",['English'],2007.0,0.0,False
BOOK00035,Leadership Strategy and Tactics,['Jocko Willink'],7,2020,2023,English,1,False,[],0,[],0,3,7,2,320,320,['eng'],"[""St. Martin's Press"", 'Pan Macmillan', 'Macmillan Audio']","['1250259940', '1250226848']",2,"['9781250334794', '9781250334800', '9781529033007', '9781250226853', '9781250259943', '9781529032970', '9781250226846']","['audio cd', 'hardcover']",['English'],2020.0,0.0,False
BOOK00036,Leadership,['Henry Kissinger'],10,2022,2023,English,1,False,[],0,[],0,5,7,2,336,944,['eng'],"['Debate', 'Random House Espanol', 'Penguin Books, Limited', 'Penguin Publishing Group', 'Penguin Audio']","['8418967285', '0593587065']",2,"['9788418967283', '9780141998688', '9780593489451', '9780141998695', '9780593587065', '9780593489444', '9780241542002']","['paperback', 'audio cd']",['English'],2022.0,0.0,False
BOOK00037,Improving organizational effectiveness through transformational leadership,"['Bernard M. Bass', 'Bruce J. Avolio']",2,1994,2012,English,1,False,['cau'],1,['Thousand Oaks'],1,2,1,0,238,238,['eng'],"['SAGE Publications, Incorporated', 'Sage Publications']","['080395235X', '0803952368']",2,['9781452254494'],[],['English'],1994.0,0.0,False
BOOK00038,Introduction to Leadership,['Peter G. Northouse'],5,2011,2020,English,1,False,[],0,[],0,2,5,1,248,432,['eng'],"['SAGE Publications, Incorporated', 'SAGE Publications, Inc']","['1544351593', '1506330088']",2,"['9781506389844', '9781544351599', '9781452259666', '9781412997768', '9781506330082']",['paperback'],['English'],2011.0,0.0,False
BOOK00039,Teacher leadership,"['Ann Lieberman', 'Lynne Miller']",7,1950,2014,English,1,False,[],0,[],0,3,7,1,112,160,['eng'],"['Wiley & Sons, Limited, John', 'Wiley & Sons, Incorporated, John', 'Jossey-Bass']",['0787962457'],1,"['9780470947180', '9781118137178', '9781118137185', '9781118137161', '9780471223405', '9781118113349', '9780787962456']",['Paperback'],['English'],1950.0,0.0,False
BOOK00040,HR leadership,['Linda Holbeche'],8,2010,2017,English,1,False,['enk'],1,['Amsterdam'],1,3,9,1,241,242,['eng'],"['Routledge', 'Taylor & Francis Group', 'Butterworth-Heinemann']","['075068173X', '0080941591']",2,"['9781282618497', '9781136439193', '9781136439247', '9781136439230', '9781136439186', '9781136439216', '9781138433823', '9780750681735', '9780080941592']",['[electronic resource] /'],['English'],2010.0,0.0,False
BOOK00041,Leadership in health care,"['Jill Barr', 'Lesley L Dowding']",16,2008,2025,English,1,False,['cau'],1,"['Los Angeles, CA']",1,6,15,2,253,392,['eng'],"['SAGE Publications, Limited', 'CQ Press', 'SAGE Publications, Incorporated', 'SAGE Publications Ltd', 'Sage Publications Ltd', 'Sage Publications']","['141292068X', '1412920671']",2,"['9781036201432', '9781036201449', '9781473943339', '9781473943346', '9781446258583', '9781446206300', '9781280299827', '9781529770629', '9781529770605', '9781526459404', '9781526459398', '9781473904552', '9781473904569', '9781412920681', '9781412920674']","['Paperback', 'Hardcover']",['English'],2008.0,0.0,False
BOOK00042,Organizational culture and leadership,"['Schein, Edgar H.']",5,1985,1992,English,1,False,"['xx', 'cau']",2,"['USA', 'San Francisco']",2,2,0,0,358,418,['eng'],"['Jossey-Bass', 'Jossey-Bass Publishers']","['1555424872', '0875896391']",2,[],[],['English'],1985.0,0.0,False
BOOK00043,Leadership and the one minute manager,"['Kenneth H. Blanchard', 'Patricia Zigarmi', 'Drea Zigarmi']",7,1985,2000,"English, Chinese",2,True,"['enk', 'ch', 'xxk', 'nyu']",4,"['London', 'Taibei Shi', '(London)', 'New York']",4,6,1,1,111,113,"['eng', 'chi']","['HarperCollins Business', 'HarperCollinsBusiness', 'Chang he chu ban she', 'Fontana', 'Morrow', 'Collins']","['0007103417', '0006370802', '0688039693', '0002182076']",4,['9780007103416'],['Paperback'],"['English', 'Chinese']",1985.0,0.0,False
BOOK00044,School leadership and administration,"['Richard A. Gorton', 'Judy A. Alston', 'Petra E. Snowden']",7,1987,2018,English,1,False,"['iau', 'nyu', 'wiu', 'mau']",4,"['Dubuque, Iowa', 'New York, NY', 'Madison, Wis', 'Boston']",4,5,4,1,326,464,['eng'],"['McGraw-Hill Education', 'McGraw-Hill Humanities/Social Sciences/Languages', 'W.C. Brown Publishers', 'McGraw-Hill', 'Brown & Benchmark']","['0073010308', '0697009750', '0073378658', '069710317X']",4,"['9780078110351', '9781259672255', '9780073010304', '9780073378657']",['Paperback'],['English'],1987.0,0.0,False
BOOK00045,Leadership Is an Art,['Max DePree'],7,1989,2009,English,1,False,[],0,[],0,6,7,3,136,176,['eng'],"['Crown Publishing Group, The', 'Media Books Audio Publishing', 'Crown Business', 'Currency', 'Dell', 'Phoenix Audio']","['0385513380', '1578151376', '0385512465', '0385427387', '0440503248', '0385264968', '1597771619']",7,"['9780385513388', '9781578151370', '9780385512466', '9780385427388', '9780440503248', '9780385264969', '9781597771610']","['Audio Cassette', 'Paperback', 'Audio CD']",['English'],1989.0,0.0,False
BOOK00046,Small unit leadership,['Dandridge M. Malone'],2,1983,2009,English,1,False,"['nyu', 'cau']",2,"['New York', 'Novato, CA']",2,2,1,1,170,170,['eng'],"['Random House Publishing Group', 'Presidio Press']",['0891411739'],1,['9780307546715'],['E-book'],['English'],1983.0,0.0,False
