openlibrary_author_key,author_name,wikidata_id,wikidata_label,wikidata_description,identity_evidence_tier,tier_priority,citizenship_qids,birthplace_qids,birth_dates,citizenship_qids_parsed,birthplace_qids_parsed,has_citizenship,has_birthplace
OL1433906A,Travis Bradberry,Q17986043,Travis Bradberry,American business writer,strong_secondary,2,[],[],[],[],[],False,False
OL1434833A,Milan Zeleny,Q12037337,Milan Zelený,"Czech economist, professor and university educator (1942-2023)",strong_secondary,2,"['Q213', 'Q30', 'Q33946']","['Q12029472', 'Q1085']",['+1942-01-22T00:00:00Z'],"['Q213', 'Q30', 'Q33946']","['Q12029472', 'Q1085']",True,True
OL1436313A,Herman Aguinis,Q22003019,Herman Aguinis,business theorist,strong_secondary,2,['Q414'],['Q983451'],"['+1966-03-00T00:00:00Z', '+1966-03-11T00:00:00Z']",['Q414'],['Q983451'],True,True
OL1437382A,Mike Bourne,Q112499304,Mike Bourne,,strong_secondary,2,[],[],['+1975-00-00T00:00:00Z'],[],[],False,False
OL1438336A,Scott Berkun,Q7435985,Scott Berkun,"Author, speaker",identifier_verified,1,['Q30'],[],['+1901-00-00T00:00:00Z'],['Q30'],[],True,False
OL146690A,Morris Hamburg,Q107488326,Morris Hamburg,American statistician,strong_secondary,2,['Q30'],[],['+1922-00-00T00:00:00Z'],['Q30'],[],True,False
OL1479479A,Kamel Mellahi,Q113769537,Kamel Mellahi,,strong_secondary,2,['Q145'],[],[],['Q145'],[],True,False
OL1480578A,Angelo Kinicki,Q4762900,Angelo Kinicki,American academic,strong_secondary,2,[],[],[],[],[],False,False
OL1518264A,Nigel Slack,Q10336827,Nigel Slack,,strong_secondary,2,[],[],['+1946-00-00T00:00:00Z'],[],[],False,False
OL1519807A,William Cron,Q8007305,William Cronon,American historian,probable_secondary,3,['Q30'],['Q49145'],['+1954-09-11T00:00:00Z'],['Q30'],['Q49145'],True,True
OL15912311A,David Miller,Q927439,David Miller,film director (1909–1992),strong_secondary,2,['Q30'],['Q138391'],['+1909-11-28T00:00:00Z'],['Q30'],['Q138391'],True,True
OL1607910A,Carolyn M. Shields,Q112467419,Carolyn M. Shields,,strong_secondary,2,[],[],['+1945-00-00T00:00:00Z'],[],[],False,False
OL1608050A,Jeremy Kourdi,Q139424023,Jeremy Kourdi,,strong_secondary,2,[],[],[],[],[],False,False
OL16223750A,Suzanne Byrne,Q88083711,Suzanne C Byrne,researcher,probable_secondary,3,[],[],[],[],[],False,False
OL1655495A,Dennis K. Davis,Q112510316,Dennis K. Davis,"(1945–?) American university professor emeritus in the field of media studies, dealing with mass communication.",strong_secondary,2,[],[],['+1945-00-00T00:00:00Z'],[],[],False,False
OL1657128A,Clifford F. Gray,Q120432303,Clifford F. Gray,1930-,strong_secondary,2,[],[],['+1930-00-00T00:00:00Z'],[],[],False,False
OL1747377A,Sue Smith,Q57451503,Sue Smith,researcher,strong_secondary,2,[],[],[],[],[],False,False
OL1756685A,Ordway Tead,Q7100953,Ordway Tead,American academic,identifier_verified,1,['Q30'],[],['+1891-09-10T00:00:00Z'],['Q30'],[],True,False
OL1862774A,John W. Blassingame,Q6263525,John Wesley Blassingame,American historian (1940–2000),identifier_verified,1,['Q30'],['Q34217'],['+1940-03-23T00:00:00Z'],['Q30'],['Q34217'],True,True
OL1862946A,Lynne Miller,Q112542883,Lynne Miller,,strong_secondary,2,[],[],['+1945-00-00T00:00:00Z'],[],[],False,False
OL19395A,Tom DeMarco,Q93115,Tom DeMarco,"American software engineer, author, and consultant",identifier_verified,1,['Q30'],['Q1186937'],['+1940-08-20T00:00:00Z'],['Q30'],['Q1186937'],True,True
OL193997A,Benedict Anderson,Q212993,Benedict Anderson,American political scientist (1936-2015),identifier_verified,1,['Q27'],['Q182852'],['+1936-08-26T00:00:00Z'],['Q27'],['Q182852'],True,True
OL1955312A,R. Panneerselvam,Q7273907,R. Panneerselvam,Indian film director,strong_secondary,2,['Q668'],['Q2229506'],['+1970-04-10T00:00:00Z'],['Q668'],['Q2229506'],True,True
OL19864A,Albert Ellis,Q313931,Albert Ellis,American psychologist (1913–2007),identifier_verified,1,['Q30'],['Q1342'],['+1913-09-27T00:00:00Z'],['Q30'],['Q1342'],True,True
OL19869A,Keith Pavitt,Q3194763,Keith Pavitt,British economist (1937-2002),strong_secondary,2,['Q145'],['Q84'],['+1937-01-13T00:00:00Z'],['Q145'],['Q84'],True,True
OL2021138A,Anna Sutton,Q118108991,Anna Sutton,occupational psychologist in New Zealand,strong_secondary,2,[],[],[],[],[],False,False
OL2101074A,John le Carré,Q209641,John le Carré,British novelist and spy (1931–2020),identifier_verified,1,"['Q145', 'Q27']",['Q203349'],['+1931-10-19T00:00:00Z'],"['Q145', 'Q27']",['Q203349'],True,True
OL21137A,Julia T. Wood,Q29583260,Julia Wood,professor and author,probable_secondary,3,[],[],['+1950-08-26T00:00:00Z'],[],[],False,False
OL21502A,Kenneth H. Blanchard,Q320595,Kenneth Hartley Blanchard,American business writer,identifier_verified,1,['Q30'],['Q1087121'],['+1939-05-06T00:00:00Z'],['Q30'],['Q1087121'],True,True
OL21503A,Sarah Trenholm,Q112393583,Sarah Trenholm,,strong_secondary,2,[],[],['+1944-00-00T00:00:00Z'],[],[],False,False
OL216674A,Raymond A. Noe,Q83190893,Raymond A Noe,researcher,strong_secondary,2,[],[],[],[],[],False,False
OL216799A,Philip Kotler,Q164170,Philip Kotler,"American marketing author, consultant, and professor",identifier_verified,1,['Q30'],['Q1297'],['+1931-05-27T00:00:00Z'],['Q30'],['Q1297'],True,True
OL216820A,Donald T. Phillips,Q5295213,Donald T. Phillips,American writer,strong_secondary,2,['Q30'],[],['+1952-03-10T00:00:00Z'],['Q30'],[],True,False
OL217423A,James C. Hunter,Q47118636,James C. Hunter,,identifier_verified,1,[],[],[],[],[],False,False
OL217763A,Robert N. Lussier,Q112485435,Robert N. Lussier,,strong_secondary,2,[],[],['+1949-00-00T00:00:00Z'],[],[],False,False
OL2178985A,Alan Barker,Q37838941,Alan R. Barker,researcher,probable_secondary,3,[],[],[],[],[],False,False
OL218130A,August-Wilhelm Scheer,Q95485,August-Wilhelm Scheer,German business theorist,strong_secondary,2,['Q183'],['Q182805'],['+1941-07-27T00:00:00Z'],['Q183'],['Q182805'],True,True
OL218618A,Marcus Gonçalves,Q56507044,Marcus D Goncalves,researcher,probable_secondary,3,[],[],[],[],[],False,False
OL218771A,Mary Ellen Guffey,Q112436893,Mary Ellen Guffey,,identifier_verified,1,[],[],['+1936-00-00T00:00:00Z'],[],[],False,False
OL219084A,Stephen W. Littlejohn,Q139003122,Stephen W. Littlejohn,American communication researcher,strong_secondary,2,[],['Q65'],['+1944-09-12T00:00:00Z'],[],['Q65'],False,True
OL219702A,William B. Gudykunst,Q20723884,William Gudykunst,sociologist (1947-2005),probable_secondary,3,[],['Q2233616'],['+1947-10-26T00:00:00Z'],[],['Q2233616'],False,True
OL219764A,Patrick Lencioni,Q7147004,Patrick Lencioni,American writer,identifier_verified,1,['Q30'],[],['+1965-01-01T00:00:00Z'],['Q30'],[],True,False
OL220279A,David A. Aaker,Q1173491,David Allen Aaker,American economist,identifier_verified,1,['Q30'],['Q34109'],['+1938-00-00T00:00:00Z'],['Q30'],['Q34109'],True,True
OL22053A,Stewart L. Tubbs,Q112360354,Stewart L. Tubbs,American communication researcher,strong_secondary,2,[],[],['+1943-09-06T00:00:00Z'],[],[],False,False
OL220594A,B. P. Lathi,Q112431724,Bhagwandas Pannalal Lathi,,identifier_verified,1,[],[],['+1933-00-00T00:00:00Z'],[],[],False,False
OL221968A,Robin S. Sharma,Q2604952,Robin Sharma,Canadian self-help writer,identifier_verified,1,"['Q16', 'Q1027']",['Q2326975'],['+1964-06-16T00:00:00Z'],"['Q16', 'Q1027']",['Q2326975'],True,True
OL222155A,Doris Kearns Goodwin,Q442008,Doris Kearns Goodwin,American biographer and historian (born 1943),identifier_verified,1,['Q30'],['Q18419'],['+1943-01-04T00:00:00Z'],['Q30'],['Q18419'],True,True
OL223174A,Spencer Johnson,Q200760,Patrick Spencer Johnson,American writer,identifier_verified,1,['Q30'],['Q1065503'],['+1938-11-24T00:00:00Z'],['Q30'],['Q1065503'],True,True
OL223415A,Ricky W. Griffin,Q112451098,Ricky W. Griffin,,strong_secondary,2,[],[],['+1950-00-00T00:00:00Z'],[],[],False,False
OL223463A,Frederick Winslow Taylor,Q203906,Frederick Winslow Taylor,American mechanical engineer (1856–1915),identifier_verified,1,['Q30'],['Q279890'],['+1856-03-20T00:00:00Z'],['Q30'],['Q279890'],True,True
OL223925A,John M. Ivancevich,Q109832605,John M. Ivancevich,,strong_secondary,2,[],[],['+1939-01-01T00:00:00Z'],[],[],False,False
OL223996A,Moshe Zeidner,Q112420836,Moshe Zeidner,,strong_secondary,2,[],[],['+1948-00-00T00:00:00Z'],[],[],False,False
OL224314A,Charles W. L. Hill,Q23303093,Charles W.L. Hill,British-born academic,identifier_verified,1,[],[],['+1900-01-01T00:00:00Z'],[],[],False,False
OL224399A,Lee J. Krajewski,Q112420778,Lee J. Krajewski,,strong_secondary,2,[],[],['+1940-00-00T00:00:00Z'],[],[],False,False
OL224907A,Daniel Goleman,Q351701,Daniel Goleman,American psychologist and journalist,identifier_verified,1,['Q30'],['Q49240'],['+1946-03-07T00:00:00Z'],['Q30'],['Q49240'],True,True
OL225185A,Eric Viardot,Q101560156,Eric Viardot,"Éric Viardot, EADA Business School",strong_secondary,2,['Q142'],[],['+1956-11-28T00:00:00Z'],['Q142'],[],True,False
OL225203A,Jerry J. Weygandt,Q93434078,Jerry J. Weygandt,,identifier_verified,1,[],[],['+1942-12-24T00:00:00Z'],[],[],False,False
OL225835A,Michael A. Hitt,Q1927840,Michael Hitt,American economist,probable_secondary,3,['Q30'],[],['+1946-01-24T00:00:00Z'],['Q30'],[],True,False
OL226398A,Malcolm Barnard,Q96606655,Malcolm A Barnard,researcher,probable_secondary,3,[],[],[],[],[],False,False
OL226490A,M. N. Hegde,Q136449879,M. N. Hegde,,strong_secondary,2,[],[],['+1941-01-01T00:00:00Z'],[],[],False,False
OL226671A,Kim S. Cameron,Q16107244,Kim S. Cameron,American academic,strong_secondary,2,['Q30'],[],['+1946-00-00T00:00:00Z'],['Q30'],[],True,False
OL226973A,Jennifer M. George,Q112487789,Jennifer M. George,,strong_secondary,2,[],[],['+1949-00-00T00:00:00Z'],[],[],False,False
OL2274431A,William Ebenstein,Q18911354,William Ebenstein,political science scholar,strong_secondary,2,['Q30'],['Q1741'],"['+1910-05-11T00:00:00Z', '+1910-00-00T00:00:00Z']",['Q30'],['Q1741'],True,True
OL227813A,Robert K. Greenleaf,Q7346224,Robert K. Greenleaf,American consultant (1904–1990),identifier_verified,1,[],[],['+1904-01-01T00:00:00Z'],[],[],False,False
OL230540A,Alma Harris,Q106638408,Alma Harris,Welsh pedagogue,strong_secondary,2,[],[],['+1958-12-21T00:00:00Z'],[],[],False,False
OL230982A,Richard M. Steers,Q112374268,Richard M. Steers,American economist,identifier_verified,1,['Q30'],[],"['+1944-00-00T00:00:00Z', '+1944-12-14T00:00:00Z']",['Q30'],[],True,False
OL231767A,John P. Kotter,Q935152,John Kotter,American economist (1947-),probable_secondary,3,['Q30'],['Q16552'],['+1947-02-25T00:00:00Z'],['Q30'],['Q16552'],True,True
OL233688A,Richard L. Hughes,Q127751718,Richard Hughes,United States academic,probable_secondary,3,[],[],[],[],[],False,False
OL234151A,James G. March,Q1352604,James G. March,American sociologist (1928–2018),identifier_verified,1,['Q30'],['Q37320'],['+1928-01-15T00:00:00Z'],['Q30'],['Q37320'],True,True
OL235937A,Mark M. Davis,Q1900227,Mark M. Davis,"American molecular biologist, Professor at Stanford University",strong_secondary,2,['Q30'],['Q90'],['+1952-11-27T00:00:00Z'],['Q30'],['Q90'],True,True
OL235972A,David A. DeCenzo,Q93431301,David A. DeCenzo,,strong_secondary,2,[],[],"['+1955-02-21T00:00:00Z', '+1955-00-00T00:00:00Z']",[],[],False,False
OL236061A,Jack R. Meredith,Q15429284,Jack R. Meredith,American engineer,strong_secondary,2,[],[],['+1939-01-01T00:00:00Z'],[],[],False,False
OL236063A,Max H. Bazerman,Q16246142,Max H. Bazerman,Negotiation theorist and teacher,strong_secondary,2,[],[],['+1955-08-14T00:00:00Z'],[],[],False,False
OL236243A,Henry Kissinger,Q66107,Henry Kissinger,"American diplomat and geopolitical advisor, served as U.S. Secretary of State from 1973 to 1977 (1923–2023)",identifier_verified,1,"['Q1206012', 'Q30']",['Q3075'],['+1923-05-27T00:00:00Z'],"['Q1206012', 'Q30']",['Q3075'],True,True
OL236414A,Robert Greene,Q1386992,Robert Greene,American author,identifier_verified,1,['Q30'],['Q65'],['+1959-05-14T00:00:00Z'],['Q30'],['Q65'],True,True
OL236843A,Allan Savory,Q4730957,Allan Savory,Zimbabwean scientist,strong_secondary,2,['Q954'],['Q193250'],['+1935-09-15T00:00:00Z'],['Q954'],['Q193250'],True,True
OL237290A,James M. Kouzes,Q55865983,James M. Kouzes,1945-,identifier_verified,1,[],[],['+1945-01-01T00:00:00Z'],[],[],False,False
OL238534A,Gary Dessler,Q93386547,Gary Dessler,,strong_secondary,2,[],[],['+1942-00-00T00:00:00Z'],[],[],False,False
OL238777A,Wendell L. French,Q85409823,Wendell L. French,,strong_secondary,2,[],[],['+1923-01-01T00:00:00Z'],[],[],False,False
OL239935A,S. Christian Albright,Q112426101,S. Christian Albright,Professor (1946-,strong_secondary,2,[],[],['+1946-00-00T00:00:00Z'],[],[],False,False
OL240826A,Clayton M. Christensen,Q5130292,Clayton Christensen,American economist (1952-2020),identifier_verified,1,['Q30'],['Q23337'],['+1952-04-06T00:00:00Z'],['Q30'],['Q23337'],True,True
OL24085A,Alan M. Rugman,Q16150461,Alan M. Rugman,,strong_secondary,2,[],[],['+1945-01-01T00:00:00Z'],[],[],False,False
OL240891A,Arthur A. Thompson,Q112386104,Arthur A. Thompson,,strong_secondary,2,[],[],['+1940-00-00T00:00:00Z'],[],[],False,False
OL241136A,Bruce J. Avolio,Q52152510,Bruce Avolio,American leadership studies scholar,probable_secondary,3,[],[],['+1953-06-17T00:00:00Z'],[],[],False,False
OL243612A,Marshall B. Rosenberg,Q732048,Marshall Rosenberg,American psychologist (1934-2015),identifier_verified,1,['Q30'],['Q491239'],['+1934-10-06T00:00:00Z'],['Q30'],['Q491239'],True,True
OL244414A,Eugene F. Brigham,Q112383110,Eugene F. Brigham,1930-,strong_secondary,2,[],[],['+1930-00-00T00:00:00Z'],[],[],False,False
OL2476984A,Keith Goffin,Q112424583,Keith Goffin,,strong_secondary,2,[],[],['+1956-00-00T00:00:00Z'],[],[],False,False
OL25174A,Afsaneh Nahavandi,Q100154628,Afsaneh Nahavandi,,strong_secondary,2,[],[],[],[],[],False,False
OL25513A,David A. Whetten,Q19666912,David A. Whetten,American organizational theorist,strong_secondary,2,[],[],['+1946-06-22T00:00:00Z'],[],[],False,False
OL257213A,Conrad Lashley,Q139436123,Conrad Lashley,,strong_secondary,2,[],[],[],[],[],False,False
OL2624938A,Jane Price Laudon,Q106329947,Jane Price Laudon,,strong_secondary,2,[],[],['+1920-00-00T00:00:00Z'],[],[],False,False
OL2626708A,Irving L. Janis,Q3080462,Irving Janis,American psychologist (1918–1990),probable_secondary,3,['Q30'],['Q40435'],['+1918-05-26T00:00:00Z'],['Q30'],['Q40435'],True,True
OL2626801A,Richard J. Schonberger,Q112378637,Richard Schonberger,economist,probable_secondary,3,[],[],['+1937-00-00T00:00:00Z'],[],[],False,False
OL2627251A,Pamela L. Perrewe,Q137848812,Pamela L. Perrewé,academic in management and organizational behavior at Florida State University,strong_secondary,2,[],[],[],[],[],False,False
OL2627252A,K. Michele Kacmar,Q117236858,K. Michele Kacmar,researcher,strong_secondary,2,[],[],[],[],[],False,False
OL2627350A,Michael R. Williams,Q16499868,Michael R. Williams,American physician,strong_secondary,2,[],[],[],[],[],False,False
OL2629810A,Greg Dinkin,Q130769258,Greg Dinkin,,strong_secondary,2,[],[],['+1971-01-01T00:00:00Z'],[],[],False,False
OL2632097A,Dave Logan,Q16731592,Dave Logan,American author and professor,strong_secondary,2,['Q30'],[],['+1968-03-27T00:00:00Z'],['Q30'],[],True,False
OL2632098A,John King,Q671520,John King,English writer (born 1960),identifier_verified,1,['Q145'],['Q211907'],['+1960-01-01T00:00:00Z'],['Q145'],['Q211907'],True,True
OL2632099A,Halee Fischer-Wright,Q43110878,Halee Fischer-Wright,American physician,strong_secondary,2,['Q30'],[],['+1950-00-00T00:00:00Z'],['Q30'],[],True,False
OL2634548A,Christopher P. Neck,Q139468506,Christopher P. Neck,,strong_secondary,2,[],[],[],[],[],False,False
OL2635200A,Harold Koontz,Q16010961,Harold Koontz,American business consultant,strong_secondary,2,['Q30'],['Q590191'],"['+1909-05-19T00:00:00Z', '+1908-00-00T00:00:00Z']",['Q30'],['Q590191'],True,True
OL2636200A,Erik W. Larson,Q112485914,Erik W. Larson,,strong_secondary,2,[],[],['+1952-00-00T00:00:00Z'],[],[],False,False
OL2638683A,William Gudykunst,Q20723884,William Gudykunst,sociologist (1947-2005),strong_secondary,2,[],['Q2233616'],['+1947-10-26T00:00:00Z'],[],['Q2233616'],False,True
OL2639667A,John R. Hollenbeck,Q139455293,John R. Hollenbeck,,strong_secondary,2,[],[],[],[],[],False,False
OL2639750A,Michael Baye,Q6828511,Michael Baye,American economist,strong_secondary,2,['Q30'],[],['+1958-04-06T00:00:00Z'],['Q30'],[],True,False
OL2640453A,Linda Ferrell,Q130815305,Linda Ferrell,,strong_secondary,2,[],[],[],[],[],False,False
OL2640639A,Alan B. Eisner,Q139478718,Alan B. Eisner,,strong_secondary,2,[],[],[],[],[],False,False
OL2641400A,Pervez Ghauri,Q21546586,Pervez N. Ghauri,researcher,probable_secondary,3,[],[],"['+1948-01-01T00:00:00Z', '+1948-03-19T00:00:00Z']",[],[],False,False
OL26423A,John C. Maxwell,Q3304739,John C. Maxwell,"American author, speaker and neopentecostal pastor",identifier_verified,1,['Q30'],['Q1013879'],['+1947-02-20T00:00:00Z'],['Q30'],['Q1013879'],True,True
OL2648409A,David Travis,Q112562460,David Travis,,strong_secondary,2,[],[],['+1960-00-00T00:00:00Z'],[],[],False,False
OL2648632A,Larry P. Ritzman,Q112483191,Larry P. Ritzman,,strong_secondary,2,[],[],['+1938-00-00T00:00:00Z'],[],[],False,False
OL2648679A,Barry Z. Posner,Q16137225,Barry Posner,American leadership academic,probable_secondary,3,['Q30'],[],['+1949-03-11T00:00:00Z'],['Q30'],[],True,False
OL2648916A,Shane R. Premeaux,Q134622746,Shane R. Premeaux,management scientist (1954-),strong_secondary,2,[],[],"['+1954-01-01T00:00:00Z', '+1954-03-13T00:00:00Z']",[],[],False,False
OL2649362A,Terry Shevlin,Q57777136,Terry Shevlin,researcher,strong_secondary,2,[],[],[],[],[],False,False
OL2649381A,Alan Ebenstein,Q19787390,Alan O. Ebenstein,"American political scientist, educator and author",probable_secondary,3,['Q30'],[],['+1959-05-28T00:00:00Z'],['Q30'],[],True,False
OL2650732A,R. Duane Ireland,Q108626265,R. Duane Ireland,American academic,strong_secondary,2,['Q30'],['Q983974'],['+1947-00-00T00:00:00Z'],['Q30'],['Q983974'],True,True
OL2650932A,Ken Schwaber,Q93032,Ken Schwaber,American computer scientist,identifier_verified,1,['Q30'],['Q575315'],['+1945-01-01T00:00:00Z'],['Q30'],['Q575315'],True,True
OL2652676A,Marshall Goldsmith,Q1274760,Marshall Goldsmith,American author of leadership and management literature,identifier_verified,1,['Q30'],['Q2168889'],['+1949-03-20T00:00:00Z'],['Q30'],['Q2168889'],True,True
OL2653346A,Manoj K. Malhotra,Q112483193,Manoj K. Malhotra,,strong_secondary,2,[],[],['+1960-00-00T00:00:00Z'],[],[],False,False
OL2654206A,Duane Ireland,Q108626265,R. Duane Ireland,American academic,probable_secondary,3,['Q30'],['Q983974'],['+1947-00-00T00:00:00Z'],['Q30'],['Q983974'],True,True
OL26542A,James A. O'Brien,Q112400512,James A. O'Brien,,strong_secondary,2,[],[],['+1936-00-00T00:00:00Z'],[],[],False,False
OL2654440A,Tim Judge,Q130456829,Tim Judge,,strong_secondary,2,[],[],[],[],[],False,False
OL2655520A,John A. Wagner,Q112343464,John A. Wagner,,strong_secondary,2,[],[],['+1952-00-00T00:00:00Z'],[],[],False,False
OL2656470A,Myron Scholes,Q295647,Myron Scholes,Canadian economist,strong_secondary,2,['Q16'],['Q991310'],['+1941-07-01T00:00:00Z'],['Q16'],['Q991310'],True,True
OL2657201A,Peter Fleming,Q2605075,Peter Fleming,"British adventurer, journalist, soldier & travel writer (1907–1971)",strong_secondary,2,['Q145'],['Q84'],['+1907-05-31T00:00:00Z'],['Q145'],['Q84'],True,True
OL2657294A,Robert Sullivan,Q1689230,Robert Sullivan,"Māori poet, academic and editor",strong_secondary,2,['Q664'],['Q37100'],['+1967-01-01T00:00:00Z'],['Q664'],['Q37100'],True,True
OL2663874A,Jeffrey H. Dyer,Q112444979,Jeffrey H. Dyer,,strong_secondary,2,[],[],['+1959-00-00T00:00:00Z'],[],[],False,False
OL2664659A,Linda Wasmer Andrews,Q112444358,Linda Wasmer Andrews,,strong_secondary,2,[],[],['+1957-00-00T00:00:00Z'],[],[],False,False
OL2667214A,Geert Bouckaert,Q112398665,Geert Bouckaert,economist,strong_secondary,2,['Q31'],['Q506707'],"['+1958-00-00T00:00:00Z', '+1958-09-28T00:00:00Z']",['Q31'],['Q506707'],True,True
OL2669063A,Jedrzej George Frynas,Q106674855,Jedrzej George Frynas,British economist,strong_secondary,2,['Q145'],[],[],['Q145'],[],True,False
OL2669064A,Paul Finlay,Q104473098,Paul Finlay,researcher,strong_secondary,2,[],[],[],[],[],False,False
OL2671747A,Harry C. Triandis,Q43253933,Harry C. Triandis,Greek-American cross-cultural social psychologist,strong_secondary,2,"['Q30', 'Q41']","['Q41', 'Q133123']","['+1926-00-00T00:00:00Z', '+1926-10-16T00:00:00Z']","['Q30', 'Q41']","['Q41', 'Q133123']",True,True
OL2672226A,Jovita M. Ross-Gordon,Q112517260,Jovita M. Ross-Gordon,academic in adult education,strong_secondary,2,[],[],['+1952-00-00T00:00:00Z'],[],[],False,False
