book_id,canonical_title,author_position,openlibrary_author_key,author_name
BOOK00049,Leadership for dummies,1,OL35741A,Marshall Loeb
BOOK00050,Leadership,1,OL32040A,Peter Guy Northouse
BOOK00051,Curriculum leadership,1,OL383301A,Allan A. Glatthorn
BOOK00051,Curriculum leadership,2,OL724209A,Floyd Boschee
BOOK00051,Curriculum leadership,3,OL2842487A,Bruce M. Whitehead
BOOK00052,Transformational leadership development,1,OL333669A,Bernard M. Bass
BOOK00053,Full range leadership development,1,OL241136A,Bruce J. Avolio
BOOK00054,Leadership Development in Balance,1,OL241136A,Bruce J. Avolio
BOOK00055,Full range leadership development,1,OL3123115A,John J. Sosik
BOOK00056,Leadership Development,1,OL3483889A,Kevin Flinn
BOOK00057,Leadership development basics,1,OL72319A,Karen Lawson
BOOK00058,Leadership development,1,OL562669A,Rosemary Ryan
BOOK00059,The Center for Creative Leadership handbook of leadership development,1,OL391893A,Cynthia D. McCauley
BOOK00059,The Center for Creative Leadership handbook of leadership development,2,OL389858A,Ellen Van Velsor
BOOK00060,Applied leadership development,1,OL8299548A,Al Bolea
BOOK00061,Full leadership development,1,OL241136A,Bruce J. Avolio
BOOK00062,Implementing problem-based learning in leadership development,1,OL657508A,Edwin M. Bridges
BOOK00063,Leadership Development Studies,1,OL8624393A,Monika Byrd
BOOK00063,Leadership Development Studies,2,OL736784A,Susan Edwards
BOOK00064,The making of a leader,1,OL956961A,J. Robert Clinton
BOOK00065,Accelerating Leadership Development,1,OL7722532A,Jocelyn Berard
BOOK00066,Innovations in public leadership development,1,OL948501A,Terry F. Buss
BOOK00067,College Student Leadership Development,1,OL384936A,Valerie I. Sessa
BOOK00068,The Center for Creative Leadership handbook of leadership development,1,OL389858A,Ellen Van Velsor
BOOK00069,Leadership development program,1,OL387435A,Frances A. Karnes
BOOK00070,Servant Leadership,1,OL7978852A,Dirk van Dierendonck
BOOK00070,Servant Leadership,2,OL6456967A,K. Patterson
BOOK00071,Real time leadership development,1,OL3692085A,Paul R. Yost
BOOK00072,Leading Small Business,1,OL8154264A,Steve Kempster
BOOK00072,Leading Small Business,2,OL1747377A,Sue Smith
BOOK00073,Women's Leadership Development,1,OL8081136A,Gelaye Debebe
BOOK00074,Leadership Development,1,OL28563A,Manuel London
BOOK00075,Accelerated Leadership Development,1,OL7323380A,Ines Wichert
BOOK00076,Business Leadership Development in China,1,OL4174624A,Shuang Ren
BOOK00076,Business Leadership Development in China,2,OL395327A,Robert Wood
BOOK00076,Business Leadership Development in China,3,OL5535617A,Ying Zhu
BOOK00077,Leadership for a Better World,1,OL7666450A,Susan R. Komives
BOOK00077,Leadership for a Better World,2,OL7582479A,Wendy Wagner
BOOK00078,Future of Leadership Development,1,OL8048521A,Susan Elaine Murphy
BOOK00078,Future of Leadership Development,2,OL659144A,Ronald E. Riggio
BOOK00079,Curriculum Leadership Development,1,OL542112A,Carol A. Mullen
BOOK00080,The handbook for student leadership development,1,OL396629A,Susan R. Komives
BOOK00081,Leadership Development,1,OL28563A,Manuel London
BOOK00082,Servant Leadership Development,1,OL10188240A,Janine Williams
BOOK00083,Full range leadership development,1,OL241136A,Bruce J. Avolio
BOOK00084,The Art of Christian Leadership,1,OL3238559A,Jon Byler
BOOK00085,Community Leadership Development,1,OL7297514A,Mark A. Brennan
BOOK00086,Ethical leadership,1,OL689094A,Stephen Connock
BOOK00086,Ethical leadership,2,OL1326651A,Ted Johns
BOOK00087,Leadership development,1,OL720844A,Lee Barr
BOOK00088,Phi Theta Kappa leadership development program,1,OL4587626A,Carlene S. Feldman
BOOK00089,Best practices in leadership development and organization change,1,OL2877334A,Louis Carter
BOOK00089,Best practices in leadership development and organization change,2,OL236847A,David Ulrich
BOOK00089,Best practices in leadership development and organization change,3,OL2652676A,Marshall Goldsmith
BOOK00090,Collaborative leadership,1,OL218156A,Hank Rubin
BOOK00091,Transnational leadership development,1,OL5124174A,Beth Fisher-Yoshida
BOOK00092,Distributed School Leadership,1,OL230540A,Alma Harris
BOOK00093,Leadership Development,1,OL13103672A,Ideal Curtis
BOOK00094,Management and leadership development,1,OL443596A,Christopher Mabey
BOOK00094,Management and leadership development,2,OL3714866A,Tim Finch Lees
BOOK00095,The Pfeiffer book of successful leadership development tools,1,OL2434686A,Jack Gordon
BOOK00096,Leadership development,1,OL6918312A,Abdullahi Sheikh Ali
BOOK00097,Foundations of Educational Leadership,1,OL7664103A,Jeffrey S. Brooks
BOOK00098,Strategic leadership development,1,OL8570118A,Jeff Stouffer
BOOK00099,Executive Leadership,1,OL19864A,Albert Ellis
BOOK00100,Executive leadership,1,OL389943A,Elliott Jaques
BOOK00100,Executive leadership,2,OL3814333A,Stephen D. Clement
BOOK00101,Executive leadership,1,OL833791A,Chris Argyris
BOOK00102,Executive Leadership,1,OL6812521A,Joseph Olmstead
BOOK00103,Executive leadership,1,OL1665908A,Bureau of Business Practice.
BOOK00104,Effective Executive,1,OL4345625A,Peter F. Drucker
BOOK00104,Effective Executive,2,OL717679A,Joseph A. Maciariello
BOOK00104,Effective Executive,3,OL1802361A,Jim Collins
BOOK00104,Effective Executive,4,OL8009750A,Tim Andres Pabon
BOOK00104,Effective Executive,5,OL9348680A,Zachary First
BOOK00105,Executive Leadership for Effective Administration,1,OL383503A,M. Scott Norton
BOOK00106,Executive Leadership and Legislative Assemblies,1,OL3139458A,Nicholas D. J. Baldwin
BOOK00107,The Palestinian executive,1,OL1290281A,Farid A. Muna
BOOK00108,Executive Leadership Council Journal,1,OL7909458A,The Executive Leadership Council
BOOK00108,Executive Leadership Council Journal,2,OL7909459A,The Executive Leadership Council
BOOK00109,The Development of Executive Leadership,1,OL5714840A,Marvin Bower
BOOK00110,Executive Leadership,1,OL3236048A,Nathan Axelrod
BOOK00111,Legislative liaison; executive leadership in Congress,1,OL11546536A,abraham holtzman
BOOK00112,Principles and problems of executive leadership,1,OL2173633A,Joseph Leo Krieger
BOOK00113,The technique of executive leadership,1,OL5574571A,James Frederick Bender
BOOK00114,The development of executive leadership,1,OL542945A,Marvin Bower
BOOK00115,Executive leadership,1,OL945560A,Phillip Donald Grub
BOOK00116,Chief nursing executives' leadership style and effectiveness,1,OL4654955A,Pamela R. Cronrath
BOOK00117,Navigate,1,OL14525698A,Casey Kroll
BOOK00117,Navigate,2,OL2959898A,Judi Williams
BOOK00117,Navigate,3,OL14525699A,Rahul Dogra
BOOK00117,Navigate,4,OL12780840A,Jacqui Malpass
BOOK00118,Executive leadership in a dynamic society,1,OL2229435A,"Ralph Currier Davis Management Symposium (1964 Ohio State University, Columbus)"
BOOK00119,Executive leadership in Anglo-American systems,1,OL340685A,"Campbell, Colin"
BOOK00119,Executive leadership in Anglo-American systems,2,OL2933997A,Margaret Jane Wyszomirski
BOOK00120,The focused executive,1,OL10717978A,Virginia Mansell
BOOK00121,Executive leadership,1,OL13480136A,William N. Egan
BOOK00122,Executive Leadership,1,OL16569129A,Miles Garrett
BOOK00124,Executive leadership,1,OL4538944A,Edutext.
BOOK00125,Executive Leadership,1,OL12307403A,Ph D. Joseph Olmstead
BOOK00126,Executive leadership,1,OL39523A,Joseph A. Olmstead
BOOK00127,Executive Leadership in Nonprofit Organizations,1,OL8193197A,Robert D. Herman & Associates
BOOK00127,Executive Leadership in Nonprofit Organizations,2,OL9482201A,Richard D. Heimovics
BOOK00128,Executive Leadership Series,1,OL3082566A,Alan C. Walter
BOOK00129,Police Executive Leadership,1,OL643161A,Donald G. Hanna
BOOK00130,"Presidents, Prime Ministers and Chancellors",1,OL2955129A,Ludger Helms
BOOK00131,Presidential Administration and the Environment,1,OL2655210A,David M. Shafie
BOOK00132,Executive leadership,1,OL1657009A,Mary E. Tramel
BOOK00133,Development of Executive Leadership,1,OL5714840A,Marvin Bower
BOOK00134,Models and theories of executive leadership,1,OL371014A,Stephen J. Zaccaro
BOOK00135,Legislative liaison; executive leadership in Congress,1,OL1346979A,Abraham Holtzman
BOOK00136,Reset Your Thinking Before Presenting to Executive Leadership,1,OL3028742A,P. J. Pierce
BOOK00137,Executive leadership through communication,1,OL798259A,Barry Lenson
BOOK00138,Executive leadership in a dynamic society,1,OL13925102A,Ralph Currier Davis Management Symposium (1964 Ohio State University)
BOOK00139,Executive leadership and organizational outcomes,1,OL11583427A,Elaine Romanelli
BOOK00140,Human nature and management,1,OL1756685A,Ordway Tead
BOOK00141,NURSE EXECUTIVES: LEADERSHIP/POWER MOTIVATION AND LEADERSHIP EFFECTIVENESS,1,OL5356609A,Melinda Crenshaw Henderson
BOOK00143,Dinosaur Tracks (Executive Leadership Series),1,OL13423982A,Ph. D. Keith Mathis
BOOK00144,The Technique of Executive Leadership,1,OL11510748A,JAMES FREDERICK BENDER
BOOK00145,Applied team leadership,1,OL8585526A,United States. Department of the Army
BOOK00146,Team leadership,1,OL5554142A,John Apps
BOOK00147,Nursing team leadership,1,OL1194495A,Thora Kron
BOOK00148,Team leadership,1,OL341057A,"Parker, Glenn M."
BOOK00149,Team leadership,1,OL400406A,Graham Kelly
BOOK00150,Team of Rivals,1,OL222155A,Doris Kearns Goodwin
BOOK00151,Interprofessional Health Care Team,1,OL3600663A,Donna Weiss
BOOK00151,Interprofessional Health Care Team,2,OL8094178A,Felice J. Tilin
BOOK00151,Interprofessional Health Care Team,3,OL8094179A,Marlene J. Morgan
BOOK00152,Team leadership in Christian ministry,1,OL235247A,Kenneth O. Gangel
BOOK00153,Leading self-directed work teams,1,OL392483A,Kimball Fisher
BOOK00154,Team Leadership,1,OL886301A,Charles J. Margerison
BOOK00155,Team leadership in the game industry,1,OL6733957A,"Spaulding, Seth II."
BOOK00156,Team leadership,1,OL435244A,David C. Kolb
BOOK00157,Team Leadership,1,OL8353306A,Drikus Kriek
BOOK00158,The Team Leadership Practices Inventory,1,OL237290A,James M. Kouzes
BOOK00158,The Team Leadership Practices Inventory,2,OL2648679A,Barry Z. Posner
BOOK00159,Leading teams,1,OL6943398A,Paolo Guenzi
BOOK00160,Team Leadership in Community Colleges,1,OL3547465A,George R. Boggs
BOOK00160,Team Leadership in Community Colleges,2,OL8358679A,Christine Johnson McPhail
BOOK00160,Team Leadership in Community Colleges,3,OL8358680A,Eloy Ortiz Oakley
BOOK00161,Team Leadership in High-Hazard Environments,1,OL8147226A,Randy E. Cadieux
BOOK00162,Effective Team Leadership,1,OL2948637A,Don Page
BOOK00163,Leadership Team Coaching,1,OL410958A,Peter Hawkins
BOOK00164,Team leadership,1,OL546738A,Michal K. Rosenberger
BOOK00165,Remote Team Leadership,1,OL10872942A,Emanuela Giangregorio
BOOK00166,Operations Team Leadership (Leadership Guides),1,OL474603A,Graham Little
BOOK00167,Leaders Eat Last,1,OL6645079A,Simon Sinek
BOOK00168,Sales Team Leadership,1,OL12203500A,Coach Joe Sasso
BOOK00169,Tools for team leadership,1,OL454418A,Gregory E. Huszczo
BOOK00170,Strategic Team Leadership,1,OL870626A,Peter Saul
BOOK00171,Team leadership,1,OL3031908A,Douglas A. Johnson
BOOK00171,Team leadership,2,OL3512935A,Susan T. Beyerlein
BOOK00172,Team Leadership,1,OL2844756A,Geoff Ribbens
BOOK00172,Team Leadership,2,OL13202475A,Mark Abraham
BOOK00172,Team Leadership,3,OL14046862A,Alistair Cumming
BOOK00173,The team leadership practices inventory,1,OL237290A,James M. Kouzes
BOOK00174,Executive Team Leadership in the Global Economic and Competitive Environment,1,OL588234A,Richard L. Nolan
BOOK00175,Practical Remote Team Leadership,1,OL10872942A,Emanuela Giangregorio
BOOK00176,Virtual team leadership and collaborative engineering advancements,1,OL241292A,Ned F. Kock
BOOK00177,Effective Team Leadership for Engineers,1,OL577733A,Pat Wellington
BOOK00177,Effective Team Leadership for Engineers,2,OL8036471A,Niall Foster
BOOK00178,Art of Middle Management,1,OL2657201A,Peter Fleming
BOOK00178,Art of Middle Management,2,OL8161667A,Max Amesbury
BOOK00179,Team Leadership,1,OL3377846A,Paul Newton
BOOK00179,Team Leadership,2,OL13702277A,Helen Bristoll
BOOK00180,Adaptive team leadership,1,OL8585526A,United States. Department of the Army
BOOK00181,Team Leadership,1,OL3434034A,Rosenberger
BOOK00182,Tim lidŏsip =,1,OL5246350A,Sŭng-gak Yi
BOOK00183,Leading project teams,1,OL1429139A,Anthony T. Cobb
BOOK00184,The Five Dysfunctions of a Team,1,OL219764A,Patrick Lencioni
BOOK00185,Team leadership in action,1,OL445603A,Laura Mae Douglass
BOOK00186,Effective team leadership,1,OL2920399A,David Parkes
BOOK00187,Team Leadership Questionnaire,1,OL10057317A,D. Kayes
BOOK00187,Team Leadership Questionnaire,2,OL6960937A,Anna Kayes
BOOK00188,Five Dysfunctions of a Team,1,OL219764A,Patrick Lencioni
BOOK00189,Team of Teams,1,OL7155908A,Stanley A. McChrystal
BOOK00189,Team of Teams,2,OL8083074A,Tantum Collins
BOOK00189,Team of Teams,3,OL8937874A,David Silverman
BOOK00189,Team of Teams,4,OL7662892A,Chris Fussell
BOOK00190,Executive Team Leadership for the 21st Century,1,OL588234A,Richard L. Nolan
BOOK00191,Team Leadership Assessments,1,OL3879444A,LeaderTreks
BOOK00192,Legendary team leadership,1,OL468373A,Wendy W. Peche
BOOK00193,Transformational Leadership,1,OL333669A,Bernard M. Bass
BOOK00194,Transformational leadership,1,OL3288505A,Stephen Hacker
BOOK00194,Transformational leadership,2,OL3317804A,Tammy Roberts
BOOK00195,Transformative leadership in education,1,OL1607910A,Carolyn M. Shields
BOOK00196,Transforming leadership,1,OL579626A,Leighton Ford
BOOK00197,Transformational Leadership,1,OL10997841A,Glenn Walter
BOOK00198,Radical Transformational Leadership,1,OL7122754A,Monica Sharma
BOOK00199,Transformative Leadership Primer,1,OL1607910A,Carolyn M. Shields
BOOK00200,The dark side of transformational leadership,1,OL2850369A,Dennis Tourish
BOOK00201,Transformational leadership,1,OL20618A,Charles B. Bugg
BOOK00203,Transforming leadership,1,OL40032A,John D. Adams
BOOK00204,Charismatic and transformational leadership,1,OL400156A,Gary A. Yukl
BOOK00205,Transformational Leadership,1,OL10639050A,Halima Kabara
BOOK00206,Transformative Leadership in Action,1,OL8306843A,Jacklyn A. Bruce
BOOK00206,Transformative Leadership in Action,2,OL8306844A,Katherine E. McKee
BOOK00207,Transformational Leadership Styles for Global Leaders,1,OL13197949A,Darcia Ann-Marie Roache
BOOK00208,7 principles of transformational leadership,1,OL7524881A,Hugh Blane
BOOK00209,Uniting the Virtual Workforce,1,OL3411846A,Karen Sobel Lojeski
BOOK00210,"Women, spirituality, and transformative leadership",1,OL7007990A,Kathe Schaaf
BOOK00211,Transformational leadership,1,OL450844A,Mary K. Kohles
BOOK00212,Transformative Leadership and Sustainable Innovation in Education,1,OL13606546A,Sandra Baroudi
BOOK00212,Transformative Leadership and Sustainable Innovation in Education,2,OL3237212A,Miltiadis D. Lytras
BOOK00213,Transforming leadership,1,OL398134A,Terry D. Anderson
BOOK00214,Transforming Leadership,1,OL40032A,John D. Adams
BOOK00215,Transforming Leadership,1,OL1478161A,Terry Anderson
BOOK00216,Transformative Leadership,1,OL8064183A,May Khadem
BOOK00216,Transformative Leadership,2,OL8064184A,Joan Hernandez
BOOK00217,The Transformational Leadership Compass,1,OL9106369A,Benny Ausmus
BOOK00218,Sustainability Mindset and Transformative Leadership,1,OL9576570A,Aixa A. Ritz
BOOK00218,Sustainability Mindset and Transformative Leadership,2,OL3584242A,Isabel Rimanoczy
BOOK00219,Transforming Leadership,1,OL953196A,Richard Higginson
BOOK00220,Transformational leadership in East Africa,1,OL380575A,Eric Masinde Aseka
BOOK00220,Transformational leadership in East Africa,2,OL6519217A,ERIC MASINDE ASEKA
BOOK00221,Transformational leadership,1,OL8809614A,Randy Dobbs
BOOK00222,Transforming leadership,1,OL199718A,Girl Scouts of the United States of America.
BOOK00223,Reframing Transformational Leadership,1,OL7000993A,Issa M. Saleh
BOOK00223,Reframing Transformational Leadership,2,OL3227622A,Myint Swe Khine
BOOK00224,Action Inquiry,1,OL9266383A,William Torbert
BOOK00225,Transforming Leadership,1,OL5480270A,Terry Anderson
BOOK00226,Transformational leadership,1,OL8019733A,Annmarie Sanders
BOOK00227,Advancing Inclusive Open Education Through Transformative Leadership,1,OL16047315A,Madikela Titus Lekalakala
BOOK00228,Transformative Leadership,1,OL14055814A,Shana Burnett Ed.D
BOOK00229,Transformational leadership,1,OL531983A,Phillip V. Lewis
BOOK00230,Shared vision,1,OL440459A,John E. Roueche
BOOK00230,Shared vision,2,OL2938000A,George A. Baker
BOOK00230,Shared vision,3,OL1711554A,Robert R. Rose
BOOK00231,Transformative Leadership,1,OL14062650A,Joshua P. Trout
BOOK00232,Transformational Leadership and Not for Profits and Social Enterprises,1,OL6265933A,Ken Wiltshire
BOOK00233,Transformational Leadership Unleashed,1,OL16039789A,Ismael sanchez
BOOK00234,Servant leadership,1,OL227813A,Robert K. Greenleaf
BOOK00235,The case for servant leadership,1,OL1171623A,Kent M. Keith
BOOK00236,The power of servant-leadership,1,OL227813A,Robert K. Greenleaf
BOOK00238,Servant leadership,1,OL1424939A,Efrain Agosto
BOOK00239,Scrum Mastery,1,OL3478629A,Geoff Watts
BOOK00239,Scrum Mastery,2,OL9150800A,Rebecca Traeger
BOOK00239,Scrum Mastery,3,OL9150801A,Ole Storksen
BOOK00239,Scrum Mastery,4,OL5218702A,Mike Cohn
BOOK00239,Scrum Mastery,5,OL3032412A,Esther Derby
BOOK00240,Servant-leadership across cultures,1,OL399219A,Alfons Trompenaars
BOOK00241,Seven pillars of servant leadership,1,OL3595253A,James W. Sipe
BOOK00242,Servant leadership,1,OL3125428A,Jack Schaap
BOOK00243,Reflections on leadership,1,OL6973134A,Larry C. Spears
BOOK00244,Strength in servant leadership,1,OL222954A,Paul A. Cedar
BOOK00246,Servant leadership,1,OL7039356A,Dirk van Dierendonck
BOOK00248,Focus on Leadership,1,OL2732590A,Larry C. Spears
BOOK00248,Focus on Leadership,2,OL6893146A,Michele Lawrence
BOOK00248,Focus on Leadership,3,OL2623924A,Ken Blanchard
BOOK00249,Servant Leadership in Action,1,OL2623924A,Ken Blanchard
BOOK00249,Servant Leadership in Action,2,OL8346661A,Renee Broadwell
BOOK00250,Servant Leadership,1,OL5310633A,Michael Rucker
BOOK00250,Servant Leadership,2,OL2994264A,Holly Spence
BOOK00251,Servant leadership,1,OL344341A,Jane Fryar
BOOK00252,Servant leadership,1,OL6478198A,Rocky Wallace
BOOK00253,Applying Servant Leadership in Today's Schools,1,OL8049704A,Mary Culver
BOOK00254,Servant Leadership for Slow Learners,1,OL3153159A,J. David Lundy
BOOK00255,Robert K. Greenleaf,1,OL3083322A,Don M Frick
BOOK00256,The Servant Leadership Training Course,1,OL217423A,James C. Hunter
BOOK00257,The Model of Servant-Leadership,1,OL3792801A,Henry P. Hildebrand
BOOK00258,Cases on Servant Leadership and Equity,1,OL6231358A,Ursula Thomas
BOOK00259,Leader As Servant Leadership Model,1,OL10550517A,Sylvanus Wosu
BOOK00260,Servant Leadership,1,OL1004566A,"Stevens, David"
BOOK00261,Global Servant-Leadership,1,OL3311046A,Philip Mathew
BOOK00261,Global Servant-Leadership,2,OL9741600A,Jiying Song
BOOK00261,Global Servant-Leadership,3,OL9708869A,Shann Ray Ferch
BOOK00262,Servant leadership in nursing,1,OL221620A,Mary Elizabeth O'Brien
BOOK00263,Servant Leadership,1,OL579275A,Ralph Lewis
BOOK00263,Servant Leadership,2,OL1084157A,"Noble, John"
BOOK00264,Servant Leadership Roadmap,1,OL8106208A,Cara H Bramlett
BOOK00265,Using Servant Leadership,1,OL7647421A,Angelo J. Letizia
BOOK00266,Servant Leadership,1,OL12320548A,Pastor Cecil Hollaway
BOOK00267,The servant,1,OL217423A,James C. Hunter
BOOK00267,The servant,2,OL1546981A,James Hunter
BOOK00268,A Woman's Guide to Servant Leadership,1,OL294007A,Rhonda Kelley
BOOK00269,Servant Leadership for Higher Education,1,OL3059266A,Daniel W. Wheeler
BOOK00270,Principal to Principal,1,OL3860907A,Rocky Wallace
BOOK00271,Servant Leadership,1,OL10083137A,Samuel O. Enyia
BOOK00272,Personal and Organizational Excellence Through Servant Leadership,1,OL7948088A,Sen Sendjaya
BOOK00273,Understanding Servant Leadership,1,OL11526794A,Chad Audi
BOOK00274,Servant Leadership Styles and Strategic Decision Making,1,OL10259925A,Yasir Hayat Mughal
BOOK00274,Servant Leadership Styles and Strategic Decision Making,2,OL10259926A,Shahid Kamal
BOOK00275,The spirit of servant-leadership,1,OL6843918A,Robert K. Greenleaf Center. International Conference on Servant-Leadership
BOOK00276,Idiot Guide to Servant Leadership,1,OL10439210A,Pierre Walter
BOOK00277,Servant Leadership in diakonischen Unternehmen,1,OL8347278A,Mathias Hartmann
BOOK00278,Servant Leadership,1,OL13693008A,John Wallace Whitehead
BOOK00279,Developing Christian Servant Leadership,1,OL2695440A,G. Roberts
BOOK00280,Paul on leadership,1,OL227825A,C. Gene Wilkes
BOOK00281,Marketing management,1,OL216799A,Philip Kotler
BOOK00282,Management information systems,1,OL34717A,Kenneth C. Laudon
BOOK00282,Management information systems,2,OL2624937A,Jane P. Laudon
BOOK00282,Management information systems,3,OL2624938A,Jane Price Laudon
BOOK00282,Management information systems,4,OL2651047A,Jane Laudon
BOOK00283,Marketing Management,1,OL216799A,Philip Kotler
BOOK00283,Marketing Management,2,OL391962A,Kevin Lane Keller
BOOK00284,Human Resource management,1,OL238534A,Gary Dessler
BOOK00285,Operations management,1,OL226049A,Jay H. Heizer
BOOK00285,Operations management,2,OL2648619A,Jay Heizer
BOOK00285,Operations management,3,OL457089A,Barry Render
BOOK00286,Principles of management,1,OL1308528A,George Robert Terry
BOOK00287,Strategic management,1,OL239218A,Fred R. David
BOOK00288,Statistics for management,1,OL7166567A,Richard I. Levin & David S. Rubin
BOOK00289,The Night Manager,1,OL2101074A,John le Carré
BOOK00290,Strategic management,1,OL240294A,Gregory G. Dess
BOOK00290,Strategic management,2,OL2640638A,G. T. Lumpkin
