book_id,canonical_title,author_position,openlibrary_author_key,author_name,first_publish_year,publication_year_observed,subjects,leadwise_book_count
BOOK00032,Brand leadership,2,OL2762041A,Erich Joachimsthaler,2000.0,,"['Brand name products', 'Management', 'Sales & marketing', 'Product Management', 'Business & Economics', 'Business / Economics / Finance', 'Business/Economics', 'United States', 'Marketing - General', 'Advertising & Promotion', 'Business & Economics / Marketing / General', 'Marketing', 'Merken', 'Merkartikelen', 'Merknamen', 'Strategie', 'Marques de commerce']",1
BOOK00033,SuperVision and Instructional Leadership,1,OL383429A,Carl D. Glickman,2000.0,,"['School supervision', 'Schulaufsicht', 'Educational leadership', 'Inspection des écoles']",1
BOOK00033,SuperVision and Instructional Leadership,2,OL772556A,Stephen P. Gordon,2000.0,,"['School supervision', 'Schulaufsicht', 'Educational leadership', 'Inspection des écoles']",1
BOOK00033,SuperVision and Instructional Leadership,3,OL2672226A,Jovita M. Ross-Gordon,2000.0,,"['School supervision', 'Schulaufsicht', 'Educational leadership', 'Inspection des écoles']",1
BOOK00034,Leadership,1,OL3714825A,Simon Western,2007.0,,"['Leadership', 'Economics', 'Industrial management']",1
BOOK00035,Leadership Strategy and Tactics,1,OL7524018A,Jocko Willink,2020.0,,"['Strategic planning', 'Leadership', 'Sociology', 'Economics', 'nyt:advice-how-to-and-miscellaneous=2020-02-02', 'New York Times bestseller', 'BUSINESS & ECONOMICS / Economics / General']",1
BOOK00036,Leadership,1,OL236243A,Henry Kissinger,2022.0,,"['nyt:combined-print-and-e-book-nonfiction=2022-07-24', 'New York Times bestseller']",1
BOOK00037,Improving organizational effectiveness through transformational leadership,1,OL333669A,Bernard M. Bass,1994.0,,"['Leadership', 'Organizational effectiveness']",6
BOOK00037,Improving organizational effectiveness through transformational leadership,2,OL241136A,Bruce J. Avolio,1994.0,,"['Leadership', 'Organizational effectiveness']",5
BOOK00038,Introduction to Leadership,1,OL2655012A,Peter G. Northouse,2011.0,,['Leadership'],2
BOOK00039,Teacher leadership,1,OL770456A,Ann Lieberman,1950.0,,"['Educational leadership', 'Professional relationships', 'Teacher participation in administration', 'Teachers']",1
BOOK00039,Teacher leadership,2,OL1862946A,Lynne Miller,1950.0,,"['Educational leadership', 'Professional relationships', 'Teacher participation in administration', 'Teachers']",1
BOOK00040,HR leadership,1,OL265995A,Linda Holbeche,2010.0,,"['Human Resources & Personnel Management', 'Leadership', 'Business', 'Workplace Culture', 'Personnel management', 'BUSINESS & ECONOMICS', 'Personnel', 'Direction']",2
BOOK00041,Leadership in health care,1,OL3480923A,Jill Barr,2008.0,,"['Administration', 'Health services administration', 'Nursing services', 'Health systems & services', 'Nursing', 'Services infirmiers', 'Health Services Administration', 'Leadership', 'Santé, Services de', 'Interprofessional Relations', 'Nursing services, administration', 'Medical', 'Health care delivery']",1
BOOK00041,Leadership in health care,2,OL3714810A,Lesley L Dowding,2008.0,,"['Administration', 'Health services administration', 'Nursing services', 'Health systems & services', 'Nursing', 'Services infirmiers', 'Health Services Administration', 'Leadership', 'Santé, Services de', 'Interprofessional Relations', 'Nursing services, administration', 'Medical', 'Health care delivery']",1
BOOK00042,Organizational culture and leadership,1,OL228253A,"Schein, Edgar H.",1985.0,,"['Culture', 'Leadership', 'Corporate culture', 'open_syllabus_project', 'Organizational behavior', 'Organizational sociology', 'Organization', 'Management']",2
BOOK00043,Leadership and the one minute manager,1,OL21502A,Kenneth H. Blanchard,1985.0,,"['Leadership', 'Management', 'Gestion']",3
BOOK00043,Leadership and the one minute manager,2,OL2623346A,Patricia Zigarmi,1985.0,,"['Leadership', 'Management', 'Gestion']",1
BOOK00043,Leadership and the one minute manager,3,OL2623347A,Drea Zigarmi,1985.0,,"['Leadership', 'Management', 'Gestion']",1
BOOK00044,School leadership and administration,1,OL778253A,Richard A. Gorton,1987.0,,"['Case studies', 'Educational leadership', 'School management and organization', 'Administration scolaire', 'Educational administration', 'Administration - General', 'Leadership', 'Education / Administration', 'Education', 'Education / Teaching', 'Textbooks', 'United States']",1
BOOK00044,School leadership and administration,2,OL1478504A,Judy A. Alston,1987.0,,"['Case studies', 'Educational leadership', 'School management and organization', 'Administration scolaire', 'Educational administration', 'Administration - General', 'Leadership', 'Education / Administration', 'Education', 'Education / Teaching', 'Textbooks', 'United States']",1
BOOK00044,School leadership and administration,3,OL549296A,Petra E. Snowden,1987.0,,"['Case studies', 'Educational leadership', 'School management and organization', 'Administration scolaire', 'Educational administration', 'Administration - General', 'Leadership', 'Education / Administration', 'Education', 'Education / Teaching', 'Textbooks', 'United States']",1
BOOK00045,Leadership Is an Art,1,OL3925630A,Max DePree,1989.0,,['Leadership'],1
BOOK00046,Small unit leadership,1,OL1345371A,Dandridge M. Malone,1983.0,,"['Business', 'Command of troops', 'History', 'Leadership', 'Nonfiction', 'Military art and science']",1
BOOK00047,Leadership Wisdom from the Monk Who Sold His Ferrari,1,OL221968A,Robin S. Sharma,1998.0,,"['Exito en los negocios', 'Actualización de sí mismo (Psicología)', 'Leadership', 'Success in business', 'Self-actualization (Psychology)', 'Liderazgo', 'Management and leadership skills', 'Industrial management', 'Business']",1
BOOK00048,Monday morning leadership,1,OL1386640A,David Cottrell,2002.0,,"['Management', 'Leadership', 'Labor productivity', 'Employee motivation']",1
BOOK00049,Leadership for dummies,1,OL35741A,Marshall Loeb,1999.0,,"['Executive ability', 'Leadership']",1
BOOK00050,Leadership,1,OL32040A,Peter Guy Northouse,2010.0,,"['Leadership', 'Case studies', 'Leiderschap', 'BUSINESS & ECONOMICS', 'Führung', 'Fèuhrung', 'Ledarskap', 'Unternehmensführung', 'Leadership--case studies', 'Hm1261 .n67 2015', '303.3/4']",2
BOOK00051,Curriculum leadership,1,OL383301A,Allan A. Glatthorn,1987.0,,"['Curricula', 'Curriculum', 'Curriculum evaluation', 'Curriculum planning', 'Education, Elementary', 'Educational leadership', 'Elementary Education', 'Planification', ""Programmes d'etudes"", 'Leadership en education', 'Curriculum planning & development', 'Education', 'Education / Teaching', 'United States', 'Education / Curricula', 'Leadership', 'Education, united states']",1
BOOK00051,Curriculum leadership,2,OL724209A,Floyd Boschee,1987.0,,"['Curricula', 'Curriculum', 'Curriculum evaluation', 'Curriculum planning', 'Education, Elementary', 'Educational leadership', 'Elementary Education', 'Planification', ""Programmes d'etudes"", 'Leadership en education', 'Curriculum planning & development', 'Education', 'Education / Teaching', 'United States', 'Education / Curricula', 'Leadership', 'Education, united states']",1
BOOK00051,Curriculum leadership,3,OL2842487A,Bruce M. Whitehead,1987.0,,"['Curricula', 'Curriculum', 'Curriculum evaluation', 'Curriculum planning', 'Education, Elementary', 'Educational leadership', 'Elementary Education', 'Planification', ""Programmes d'etudes"", 'Leadership en education', 'Curriculum planning & development', 'Education', 'Education / Teaching', 'United States', 'Education / Curricula', 'Leadership', 'Education, united states']",1
BOOK00052,Transformational leadership development,1,OL333669A,Bernard M. Bass,1990.0,,"['Handbooks, manuals', 'Handbooks, manuals, etc..', 'Self-evaluation', 'Supervisors', 'Leadership', 'Questionnaires', 'Evaluation', 'Rating of']",6
BOOK00053,Full range leadership development,1,OL241136A,Bruce J. Avolio,2010.0,,['Leadership'],5
BOOK00054,Leadership Development in Balance,1,OL241136A,Bruce J. Avolio,2004.0,,[],5
BOOK00055,Full range leadership development,1,OL3123115A,John J. Sosik,2010.0,,"['Leadership', 'BUSINESS & ECONOMICS / Industrial Management', 'BUSINESS & ECONOMICS / Management', 'BUSINESS & ECONOMICS / Management Science', 'BUSINESS & ECONOMICS / Organizational Behavior']",1
BOOK00056,Leadership Development,1,OL3483889A,Kevin Flinn,2018.0,,"['Leadership', 'Career development', 'BUSINESS & ECONOMICS', 'Industrial Management', 'Management', 'Management Science', 'Organizational Behavior']",1
BOOK00057,Leadership development basics,1,OL72319A,Karen Lawson,2008.0,,['Leadership'],1
