book_id,canonical_title,source_group,core_text_boundary,enriched_text_boundary,core_active_features_final,enriched_active_features_final,core_zero_vector_final,enriched_zero_vector_final
BOOK00011,Leadership,Open Library only,leadership zzfieldboundaryzz elesa zehndorfer,leadership zzfieldboundaryzz elesa zehndorfer zzfieldboundaryzz leadership industrial management gestion d'entreprise business economics industrial management business economics management business economics management science business economics organizational behavior business economics leadership,1,25,False,False
BOOK00012,Leadership,Open Library only,leadership zzfieldboundaryzz richard l hughes robert c ginnett gordon j curphy richard hughes robert ginnett gordon curphy gordon j curphy,leadership zzfieldboundaryzz richard l hughes robert c ginnett gordon j curphy richard hughes robert ginnett gordon curphy gordon j curphy zzfieldboundaryzz leadership management leiderschap management management techniques industrial organizational psychology business economics business economics finance psychology,6,24,False,False
BOOK00013,Lincoln on Leadership,Open Library only,lincoln on leadership zzfieldboundaryzz donald t phillips,lincoln on leadership zzfieldboundaryzz donald t phillips zzfieldboundaryzz views on political leadership political leadership leadership politische führung leiderschap politische fu hrung lincoln abraham 1809-1865 zzfieldboundaryzz a guide to business leadership based on the strategies of abraham lincoln focuses on the president's most difficult decisions during the civil war offering lessons based on his experiences for today's businessperson,3,42,False,False
BOOK00014,Leadership,Open Library only,leadership zzfieldboundaryzz james macgregor burns,leadership zzfieldboundaryzz james macgregor burns zzfieldboundaryzz leadership fu hrungspsychologie fu hrungseigenschaft politische fu hrung politieke aspecten führung pouvoir sciences sociales leiderschap ethische aspecten zzfieldboundaryzz a systematic study ranging from the salons of eighteenth-century paris to the revolutionary cadres of the present century views leadership as dialectic synthetic collective and consciousness-raising and scrutinizes its causes and effects,6,31,False,False
BOOK00015,Leadership,Open Library only,leadership zzfieldboundaryzz robert n lussier,leadership zzfieldboundaryzz robert n lussier zzfieldboundaryzz teams in the workplace leadership,4,8,False,False
BOOK00016,The leadership challenge,Both,the leadership challenge zzfieldboundaryzz james m kouzes barry z posner elaine biech barry posner,the leadership challenge zzfieldboundaryzz james m kouzes barry z posner elaine biech barry posner zzfieldboundaryzz executive ability leadership management business nonfiction leiderschap aptitude pour la direction colección gestión books and reading organization and administration gestion sisters of st francis of mary immaculate administrative personnel organizational efficiency manuels autoformation ledarskap personnel management führungsstil führung management study and teaching executives training of efficiency organizational hd57 7 k68 2007 hd 57 7 k88l 2007 658 4 092 zzfieldboundaryzz when it was initially written in 1987 few could have predicted that the leadership challenge would become one of the best-selling leadership books of all time now faced with the new challenges of our unpredictable global business environment jim kouzes and barry posner--two of the country's premier leadership experts--have completely revised and updated their classic book building on the knowledge base of their previous books the third edition of the leadership challenge is grounded in extensive research and based on interviews with all kinds of leaders at all levels in public and private organizations from around the world in this edition the authors emphasize that the fundamentals of leadership are the same today as they were in the 1980s and as they've probably been for centuries in that sense nothing's new leadership is not a fad while the content of leadership has not changed the context has-and in some cases changed dramatically,11,120,False,False
BOOK00017,ORGANIZATIONAL CULTURE AND LEADERSHIP,Open Library only,organizational culture and leadership zzfieldboundaryzz schein edgar h peter schein,organizational culture and leadership zzfieldboundaryzz schein edgar h peter schein zzfieldboundaryzz corporate culture culture leadership culture d'entreprise psychology social psychology society hd58 7 s33 2017 302 3 5 zzfieldboundaryzz organizational culture refers to culture in any type of organization including that of schools universities not-for-profit groups government agencies or business entities in business terms such as corporate culture and company culture are often used to refer to a similar concept the term corporate culture became widely known in the business world in the late 1980s and early 1990s 28 29 corporate culture was already used by managers sociologists and organizational theorists by the beginning of the 80s 30 31 the related idea of organizational climate emerged in the 1960s and 70s and the terms are now somewhat overlapping 32 33 as climate is one aspect of culture that focuses primarily on the behaviors encouraged by the organization,10,58,False,False
BOOK00018,Leadership,Open Library only,leadership zzfieldboundaryzz richard l hughes,leadership zzfieldboundaryzz richard l hughes zzfieldboundaryzz leadership,4,4,False,False
BOOK00019,Leadership In Turbulent Times,Open Library only,leadership in turbulent times zzfieldboundaryzz doris kearns goodwin doris kearns goodwin,leadership in turbulent times zzfieldboundaryzz doris kearns goodwin doris kearns goodwin zzfieldboundaryzz politics and government political culture political leadership presidents character case studies crisis management history business economics leadership political science government executive branch case reports biographies biography political process biography autobiography presidents heads of state presidential leadership presidents united states united states politics and government lincoln abraham 1809-1865 roosevelt theodore 1858-1919 roosevelt franklin d franklin delano 1882-1945 johnson lyndon b lyndon baines 1908-1973 nyt combined-print-and-e-book-nonfiction 2018-10-07 new york times bestseller new york times reviewed united states history political science political process leadership biography autobiography presidents heads of state theodore roosevelt zzfieldboundaryzz in this culmination of five decades of acclaimed studies in presidential history pulitzer prize-winning author doris kearns goodwin offers an illuminating exploration into the early development growth and exercise of leadership are leaders born or made where does ambition come from how does adversity affect the growth of leadership does the man make the times or do the times make the man in leadership in turbulent times goodwin draws upon four of the presidents she has studied most closely abraham lincoln theodore roosevelt franklin d roosevelt and lyndon b johnson in civil rights to show how they first recognized leadership qualities within themselves and were recognized by others as leaders no common pattern describes the trajectory of leadership although set apart in background abilities and temperament these men shared a fierce ambition and a deep-seated resilience that enabled them to surmount uncommon adversity at their best all four were guided by a sense of moral purpose at moments of great challenge they were able to summon their talents to enlarge the opportunities and lives of others this seminal work provides an accessible and essential road map for aspiring and established leaders in every field in today's polarized world these stories of authentic leadership in times of apprehension and fracture take on a singular urgency source 1 1 https doriskearnsgoodwin com books,7,147,False,False
BOOK00020,Leadership,Open Library only,leadership zzfieldboundaryzz michael z hackman craig e johnson,leadership zzfieldboundaryzz michael z hackman craig e johnson zzfieldboundaryzz communication leadership politics - current events business economics management science politics current events business economics political process - leadership business economics management science business economics leadership fu hrung fu hrungseigenschaft language arts business,4,32,False,False
BOOK00021,Transformational Leadership,Open Library only,transformational leadership zzfieldboundaryzz bernard m bass ronald e riggio,transformational leadership zzfieldboundaryzz bernard m bass ronald e riggio zzfieldboundaryzz leadership organizational change zzfieldboundaryzz transformational leadership second edition is intended for both the scholars and serious students of leadership it is a comprehensive review of theorizing and empirical research that can serve as a reference and starting point for additional research on the theory it can be used as a supplementary textbook in an intense course on leadership - or as a primary text in a course or seminar focusing on transformational leadership --publisher's website,10,43,False,False
BOOK00022,Tribal leadership,Open Library only,tribal leadership zzfieldboundaryzz david logan dave logan john king halee fischer-wright king john iii john king undifferentiated,tribal leadership zzfieldboundaryzz david logan dave logan john king halee fischer-wright king john iii john king undifferentiated zzfieldboundaryzz teams in the workplace leadership organizational behavior business management nonfiction gestion du personnel organisation du travail motivations travail d'équipe associations institutions workplace nyt paperback-advice 2011-06-26 new york times bestseller zzfieldboundaryzz it's a fact of life birds flock fish school people tribe every company indeed every organization is a tribe or if it's large enough a network of tribes groups of 20 to 150 people in which everyone knows everyone else or at least knows of everyone else tribes are more powerful than teams companies or even ceos and yet their key leverage points have not been mapped until now in tribal leadership dave logan john king and halee fischer-wright show leaders how to assess their organization's tribal culture on a scale from one to five and then implement specific tools to elevate the stage to the next the result is unprecedented success in a rigorous eight-year study of approximately 24 000 people in over two dozen corporations logan king and fischer-wright refine and define a common theme the success of a company depends on its tribes the strength of its tribes is determined by the tribal culture and a thriving corporate culture can be established by an effective tribal leader tribal leadership will show leaders how to employ their companies' tribes to maximize productivity and profit the authors' research backed up with interviews ranging from brian france ceo of nascar to dilbert creator scott adams shows that over three quarters of the organizations they've studied have tribal cultures that are merely adequate no better than the third of five tribal stages leaders managers and organizations that fail to understand motivate and grow their tribes will find it impossible to succeed in an increasingly fragmented world of business the often counterintuitive findings of tribal leadership will help leaders at today's major corporations small businesses and nonprofits learn how to take the people in their organization from adequate to outstanding to discover the secrets that have led the highest-level tribes like the team at apple that designed the ipod to remarkable heights and to find new ways to succeed where others have failed,7,145,False,False
BOOK00023,Tough Minded Leadership,Open Library only,tough minded leadership zzfieldboundaryzz joe d batten,tough minded leadership zzfieldboundaryzz joe d batten zzfieldboundaryzz leadership management leadership religious aspects,3,10,False,False
BOOK00024,Transforming Leadership,Open Library only,transforming leadership zzfieldboundaryzz james macgregor burns,transforming leadership zzfieldboundaryzz james macgregor burns zzfieldboundaryzz empowerment politieke leiding leadership geschichte führung history leadership--history hm1261 b87 2003 303 3 4 zzfieldboundaryzz the award-winning historian critically examines the role of leadership in the twenty-first century outlining a program through which leaders can become agents of positive social change,8,32,False,False
BOOK00025,Leadership,Open Library only,leadership zzfieldboundaryzz rudolph w giuliani,leadership zzfieldboundaryzz rudolph w giuliani zzfieldboundaryzz politics and government september 11 terrorist attacks 2001 biographies hommes d'état new york n y administration attentats du 11 septembre 2001 e tats-unis hommes d'e tat maires politicians leadership attentats du 11 septembre 2001 états-unis mayors biography statesmen new york city terrorist attack september 11 2001 september 11 terrorist attacks 2001 hommes d'état new york n y attentats du 11 septembre 2001 e tats-unis hommes d'e tat attentats du 11 septembre 2001 états-unis new york city,1,16,False,False
BOOK00026,Transformation leadership,Open Library only,transformation leadership zzfieldboundaryzz bernard m bass ronald e riggio,transformation leadership zzfieldboundaryzz bernard m bass ronald e riggio zzfieldboundaryzz leadership organizational change organizational innovation changement organisationnel business economics,9,24,False,False
BOOK00027,Las cinco disfunciones de un equipo,Open Library only,las cinco disfunciones de un equipo zzfieldboundaryzz patrick lencioni,las cinco disfunciones de un equipo zzfieldboundaryzz patrick lencioni zzfieldboundaryzz management nonfiction business teams in the workplace industrial psychology organization administration travail de groupe leadership teamwork workplace institutional management teams équipes de travail personnel management group processes employees training of self-actualization psychology comic books strips teams in the workplace--comic books strips etc hd66 l456 2008 658 402 institutional mangement teams zzfieldboundaryzz in the five dysfunctions of a team patrick lencioni once again offers a leadership fable that is as enthralling and instructive as his first two best-selling books the five temptations of a ceo and the four obsessions of an extraordinary executive this time he turns his keen intellect and storytelling power to the fascinating complex world of teams kathryn petersen decision tech's ceo faces the ultimate leadership crisis uniting a team in such disarray that it threatens to bring down the entire company will she succeed will she be fired will the company fail lencioni's utterly gripping tale serves as a timeless reminder that leadership requires as much courage as it does insight throughout the story lencioni reveals the five dysfunctions which go to the very heart of why teams even the best ones-often struggle he outlines a powerful model and actionable steps that can be used to overcome these common hurdles and build a cohesive effective team just as with his other books lencioni has written a compelling fable with a powerful yet deceptively simple message for all those who strive to be exceptional team leaders,3,117,False,False
BOOK00028,The Tao of leadership,Open Library only,the tao of leadership zzfieldboundaryzz john heider,the tao of leadership zzfieldboundaryzz john heider zzfieldboundaryzz taoísmo psychological aspects of leadership leadership psychological aspects taoism liderazgo dao de jing laozi,4,11,False,False
BOOK00029,The student leadership challenge,Open Library only,the student leadership challenge zzfieldboundaryzz james m kouzes barry z posner beth high gary m morgan martin tan,the student leadership challenge zzfieldboundaryzz james m kouzes barry z posner beth high gary m morgan martin tan zzfieldboundaryzz leadership college student government interpersonal relations student government education - social political aspects zzfieldboundaryzz derived from the classic leadership book the leadership challenge fourth edition this is a concise focused primer on the five practices of exemplary leadership for students grounded in the same extensive research as the best selling the leadership challenge this book uses examples and language to which students in higher education can relate it also features reflective and critical thinking activities at the end of each chapter to help students engage in each of the five practices -- publisher description from http www josseybass com oct 3 2011,18,72,False,False
BOOK00030,Reframing Organizations,Open Library only,reframing organizations zzfieldboundaryzz lee g bolman,reframing organizations zzfieldboundaryzz lee g bolman zzfieldboundaryzz leadership management organizational behavior business nonfiction comportement organisationnel gestion culture d'entreprise management organizational behavior leadership risk management organization and administration administracao prise de decision organisatie unternehmen theorie administracao de empresas unternehmensorganisation prise de décision job satisfaction personnel management industrial psychology führung organisationshandeln associations institutions etc organizational change business economics structural adjustment organisationssoziologie organisationsverhalten organisationsutveckling organisationsförändringar företagsorganisation management service organizations organisatiegedrag leiderschap organizational culture organizational innovation institutional management teams management quality circles hd31 b6135 2003 658 4 063 hd31 b6135 2008 psychology industrial hd31 b6135 2013 hd31 b6135 2017 zzfieldboundaryzz in this third edition of their best-selling classic authors lee bolman and terrence deal explain the powerful tool of reframing the authors have distilled the organizational literature into a comprehensive approach for looking at situations from more than one angle their four frames view organizations as factories families jungles and theaters or temples the structural frame how to organize and structure groups and teams to get results the human resource frame how to tailor organizations to satisfy human needs improve human resource management and build positive interpersonal and group dynamics the political frame how to cope with power and conflict build coalitions hone political skills and deal with internal and external politics the symbolic frame how to shape a culture that gives purpose and meaning to work stage organizational drama for internal and external audiences and build team spirit through ritual ceremony and story,3,141,False,False
BOOK00031,Wooden on Leadership,Open Library only,wooden on leadership zzfieldboundaryzz john wooden,wooden on leadership zzfieldboundaryzz john wooden zzfieldboundaryzz business nonfiction leadership management zzfieldboundaryzz team spirit loyalty enthusiasm determination acquire and keep these traits and success should follow --coach john woodenjohn wooden is without question one of the most respected and honored sports coaches in our nations history but it wasn't winning games that drove him it was ensuring that regardless of the final score his players always put forth their utmost effort and performed to the best of their abilities one of the lesser-known aspects of wooden is the notebooks in which beginning in 1948 he regularly recorded his thoughts inspirations and life lessons in wooden on leadership the legendary coach and his longtime collaborator steve jamison combine the best of those notebooks with wooden's far-more-celebrated pyramid of success to create a leadership skills guide designed to help anyone develop character conviction and remarkable achievement whether discussing teamwork it takes 10 hands to score a basket and self-control emotion is the enemy to concentration don't look at the scoreboard and dealing with defeat things turn out best for those who make the best of the way things turn out,2,64,False,False
BOOK00032,Brand leadership,Open Library only,brand leadership zzfieldboundaryzz david a aaker erich joachimsthaler,brand leadership zzfieldboundaryzz david a aaker erich joachimsthaler zzfieldboundaryzz brand name products management sales marketing product management business economics business economics finance business economics united states marketing - general advertising promotion business economics marketing general marketing merken merkartikelen merknamen strategie marques de commerce,5,36,False,False
BOOK00033,SuperVision and Instructional Leadership,Open Library only,supervision and instructional leadership zzfieldboundaryzz carl d glickman stephen p gordon jovita m ross-gordon,supervision and instructional leadership zzfieldboundaryzz carl d glickman stephen p gordon jovita m ross-gordon zzfieldboundaryzz school supervision schulaufsicht educational leadership inspection des écoles,5,10,False,False
BOOK00034,Leadership,Open Library only,leadership zzfieldboundaryzz simon western,leadership zzfieldboundaryzz simon western zzfieldboundaryzz leadership economics industrial management,3,9,False,False
BOOK00035,Leadership Strategy and Tactics,Open Library only,leadership strategy and tactics zzfieldboundaryzz jocko willink,leadership strategy and tactics zzfieldboundaryzz jocko willink zzfieldboundaryzz strategic planning leadership sociology economics nyt advice-how-to-and-miscellaneous 2020-02-02 new york times bestseller business economics economics general,5,26,False,False
BOOK00036,Leadership,Both,leadership zzfieldboundaryzz henry kissinger,leadership zzfieldboundaryzz henry kissinger zzfieldboundaryzz nyt combined-print-and-e-book-nonfiction 2022-07-24 new york times bestseller,2,12,False,False
BOOK00037,Improving organizational effectiveness through transformational leadership,Open Library only,improving organizational effectiveness through transformational leadership zzfieldboundaryzz bernard m bass bruce j avolio,improving organizational effectiveness through transformational leadership zzfieldboundaryzz bernard m bass bruce j avolio zzfieldboundaryzz leadership organizational effectiveness,11,14,False,False
BOOK00038,Introduction to Leadership,Open Library only,introduction to leadership zzfieldboundaryzz peter g northouse,introduction to leadership zzfieldboundaryzz peter g northouse zzfieldboundaryzz leadership,5,5,False,False
BOOK00039,Teacher leadership,Open Library only,teacher leadership zzfieldboundaryzz ann lieberman lynne miller,teacher leadership zzfieldboundaryzz ann lieberman lynne miller zzfieldboundaryzz educational leadership professional relationships teacher participation in administration teachers,4,13,False,False
BOOK00040,HR leadership,Open Library only,hr leadership zzfieldboundaryzz linda holbeche,hr leadership zzfieldboundaryzz linda holbeche zzfieldboundaryzz human resources personnel management leadership business workplace culture personnel management business economics personnel direction zzfieldboundaryzz what is hr leadership and what difference can it make to business success who is demonstrating hr leadership now and what might hr leadership look like in the future how can aspiring hr leaders gain the skills behaviours and credibility to navigate new and complex career structures and move up the career ladder these are just some of the questions addressed by linda holbeche in her latest book hr leadership is a rapidly evolving concept it is as much a mindset philosophy and set of capabilities as a role hr leadership draws on the personal experiences of some of today's most talented hr professionals who through their leadership are making a real difference to their organisations no matter what industry they work in holbeche looks at the experiences which shaped them and the values and priorities which drive them the book contains revealing interviews with senior hr leaders from google mcdonald's the uk's national policing improvement agency and other major organisations offering insights into their own career development an overview of the capabilities needed for success as an hr leader and suggestions about how to develop these practical illustrations from leading companies demonstrate how effective hr leaders play a driving role in building healthy and effective organisations to offer competitive edge hr leadership illustrates to business managers what effective hr looks like at its best its well-informed and practical advice make this book a must-read for anyone wanting to develop their career as an hr leader revealing interviews with senior hr leaders from google mcdonald's the uk's national policing improvement agency and other major organisations offering insights into their own career development an overview of the capabilities needed for success as an hr leader and suggestions about how to develop these practical illustrations from leading companies demonstrate how effective hr leaders play a driving role in building healthy and effective organisations to offer competitive edge,5,111,False,False
BOOK00041,Leadership in health care,Open Library only,leadership in health care zzfieldboundaryzz jill barr lesley l dowding,leadership in health care zzfieldboundaryzz jill barr lesley l dowding zzfieldboundaryzz administration health services administration nursing services health systems services nursing services infirmiers health services administration leadership santé services de interprofessional relations nursing services administration medical health care delivery,6,23,False,False
BOOK00042,Organizational culture and leadership,Open Library only,organizational culture and leadership zzfieldboundaryzz schein edgar h,organizational culture and leadership zzfieldboundaryzz schein edgar h zzfieldboundaryzz culture leadership corporate culture open syllabus project organizational behavior organizational sociology organization management zzfieldboundaryzz presents a comprehensive analysis of organizational culture - what it is how it develops and how it functions in relation to managerial style and organizational effectiveness,8,38,False,False
BOOK00043,Leadership and the one minute manager,Open Library only,leadership and the one minute manager zzfieldboundaryzz kenneth h blanchard patricia zigarmi drea zigarmi,leadership and the one minute manager zzfieldboundaryzz kenneth h blanchard patricia zigarmi drea zigarmi zzfieldboundaryzz leadership management gestion zzfieldboundaryzz providing a guide to effective business leadership three management consultants' important concepts and techniques of leadership including flexibility diagnosis contracts building skill confidence and autonomy in others in clear simple terms leadership and the one minute manager teaches managers the art of situational leadership --a simple system that refutes the conventional management mandate of treating all employees equally here you'll learn why tailoring management styles to individual employees is so important why knowing when to delegate support or direct is critical how to identify the leadership style suited to a particular person and how consistent use of the one minute techniques will produce better management and enhanced motivation on all levels this remarkable easy-to-follow book is a priceless guide to creative personalized leadership that elicits the best performance from your staff--and the best bottom line for any business if your management motto is everyone should be treated equally leadership and the one minute manager will show you why this style not only hinders workplace efficiency but also frustrates your staff in clear simple terms ken blanchard co-author of the enormously popular the one minute manager coupled with business gurus patricia and drea zigarmi teach managers the art of situational leadership you'll learn why tailoring management styles to individual employees is so important when to delegate support or direct how to identify the leadership style suited to a particular person and how consistent use of the one minute techniques will produce better management and enhanced motivation on all levels this remarkable easy-to-follow book is a priceless guide to creative personalized leadership that elicits the best performance from your staff and the best bottom line for any business -- book jacket,8,78,False,False
BOOK00044,School leadership and administration,Open Library only,school leadership and administration zzfieldboundaryzz richard a gorton judy a alston petra e snowden,school leadership and administration zzfieldboundaryzz richard a gorton judy a alston petra e snowden zzfieldboundaryzz case studies educational leadership school management and organization administration scolaire educational administration administration - general leadership education administration education education teaching textbooks united states,6,31,False,False
BOOK00045,Leadership Is an Art,Open Library only,leadership is an art zzfieldboundaryzz max depree,leadership is an art zzfieldboundaryzz max depree zzfieldboundaryzz leadership zzfieldboundaryzz provides advice on the art of leadership by the ceo of one of fortune magazine's ten best managed companies,3,10,False,False
BOOK00046,Small unit leadership,Open Library only,small unit leadership zzfieldboundaryzz dandridge m malone,small unit leadership zzfieldboundaryzz dandridge m malone zzfieldboundaryzz business command of troops history leadership nonfiction military art and science,2,15,False,False
BOOK00047,Leadership Wisdom from the Monk Who Sold His Ferrari,Open Library only,leadership wisdom from the monk who sold his ferrari zzfieldboundaryzz robin s sharma,leadership wisdom from the monk who sold his ferrari zzfieldboundaryzz robin s sharma zzfieldboundaryzz exito en los negocios actualización de sí mismo psicología leadership success in business self-actualization psychology liderazgo management and leadership skills industrial management business,5,36,False,False
BOOK00048,Monday morning leadership,Open Library only,monday morning leadership zzfieldboundaryzz david cottrell,monday morning leadership zzfieldboundaryzz david cottrell zzfieldboundaryzz management leadership labor productivity employee motivation,2,10,False,False
BOOK00049,Leadership for dummies,Open Library only,leadership for dummies zzfieldboundaryzz marshall loeb,leadership for dummies zzfieldboundaryzz marshall loeb zzfieldboundaryzz executive ability leadership,3,7,False,False
BOOK00050,Leadership,Open Library only,leadership zzfieldboundaryzz peter guy northouse,leadership zzfieldboundaryzz peter guy northouse zzfieldboundaryzz leadership case studies leiderschap business economics führung fèuhrung ledarskap unternehmensführung leadership--case studies hm1261 n67 2015 303 3 4 zzfieldboundaryzz used at more than 1500 institutions in 89 countries and translated into 12 different languages this market-leading text successfully combines an academically robust account of the major theories and models of leadership with an accessible style and practical examples that help students apply what they learn peter g northouse uses a consistent format for each chapter allowing students to compare the various theories each chapter includes three case studies that provide students with practical examples of the theories discussed adopted at more than 1 000 colleges universities and institutions worldwide leadership theory and practice provides readers with a user-friendly account of a wide range of leadership research in a clear concise and interesting manner --publisher's website,6,91,False,False
BOOK00051,Curriculum leadership,Open Library only,curriculum leadership zzfieldboundaryzz allan a glatthorn floyd boschee bruce m whitehead,curriculum leadership zzfieldboundaryzz allan a glatthorn floyd boschee bruce m whitehead zzfieldboundaryzz curricula curriculum curriculum evaluation curriculum planning education elementary educational leadership elementary education planification programmes d'etudes leadership en education curriculum planning development education education teaching united states education curricula leadership education united states zzfieldboundaryzz a one-of-a-kind resource written for teachers and administrators who want to sucessfully restructure and enhance school curriculum --back cover,6,38,False,False
BOOK00052,Transformational leadership development,Open Library only,transformational leadership development zzfieldboundaryzz bernard m bass,transformational leadership development zzfieldboundaryzz bernard m bass zzfieldboundaryzz handbooks manuals handbooks manuals etc self-evaluation supervisors leadership questionnaires evaluation rating of,8,17,False,False
BOOK00053,Full range leadership development,Open Library only,full range leadership development zzfieldboundaryzz bruce j avolio,full range leadership development zzfieldboundaryzz bruce j avolio zzfieldboundaryzz leadership,8,8,False,False
BOOK00054,Leadership Development in Balance,Open Library only,leadership development in balance zzfieldboundaryzz bruce j avolio,leadership development in balance zzfieldboundaryzz bruce j avolio,7,7,False,False
BOOK00055,Full range leadership development,Open Library only,full range leadership development zzfieldboundaryzz john j sosik,full range leadership development zzfieldboundaryzz john j sosik zzfieldboundaryzz leadership business economics industrial management business economics management business economics management science business economics organizational behavior,6,23,False,False
BOOK00056,Leadership Development,Open Library only,leadership development zzfieldboundaryzz kevin flinn,leadership development zzfieldboundaryzz kevin flinn zzfieldboundaryzz leadership career development business economics industrial management management management science organizational behavior,4,21,False,False
BOOK00057,Leadership development basics,Open Library only,leadership development basics zzfieldboundaryzz karen lawson,leadership development basics zzfieldboundaryzz karen lawson zzfieldboundaryzz leadership,4,5,False,False
BOOK00058,Leadership development,Open Library only,leadership development zzfieldboundaryzz rosemary ryan,leadership development zzfieldboundaryzz rosemary ryan zzfieldboundaryzz executive ability leadership study and teaching aptitude pour la direction étude et enseignement business economics,4,27,False,False
BOOK00059,The Center for Creative Leadership handbook of leadership development,Open Library only,the center for creative leadership handbook of leadership development zzfieldboundaryzz cynthia d mccauley ellen van velsor,the center for creative leadership handbook of leadership development zzfieldboundaryzz cynthia d mccauley ellen van velsor zzfieldboundaryzz creative ability in business leadership zzfieldboundaryzz this second edition brings together the wealth of practical knowledge that ccl has gained from over three decades of research and experience,16,34,False,False
BOOK00060,Applied leadership development,Open Library only,applied leadership development zzfieldboundaryzz al bolea,applied leadership development zzfieldboundaryzz al bolea zzfieldboundaryzz leadership,5,5,False,False
BOOK00061,Full leadership development,Open Library only,full leadership development zzfieldboundaryzz bruce j avolio,full leadership development zzfieldboundaryzz bruce j avolio zzfieldboundaryzz leadership fu hrung leiderschap organizational behavior,6,15,False,False
