openlibrary_author_key,author_name,candidate_rank,wikidata_id,wikidata_label,wikidata_description,wikidata_url,instance_of_qids,citizenship_qids,birthplace_qids,birth_dates,occupation_qids,wikidata_openlibrary_ids,source_ol_author_id,wikidata_ol_author_ids_normalized,exact_openlibrary_id_match,matched_author_identifier
OL219764A,Patrick Lencioni,1,Q7147004,Patrick Lencioni,American writer,http://www.wikidata.org/entity/Q7147004,['Q5'],['Q30'],[],['+1965-01-01T00:00:00Z'],"['Q36180', 'Q12859263', 'Q16849727', 'Q482980', 'Q2994387']",['OL219764A'],OL219764A,['OL219764A'],True,True
OL220279A,David A. Aaker,1,Q1173491,David Allen Aaker,American economist,http://www.wikidata.org/entity/Q1173491,['Q5'],['Q30'],['Q34109'],['+1938-00-00T00:00:00Z'],"['Q188094', 'Q1622272', 'Q106645013']",['OL220279A'],OL220279A,['OL220279A'],True,True
OL21502A,Kenneth H. Blanchard,1,Q320595,Kenneth Hartley Blanchard,American business writer,http://www.wikidata.org/entity/Q320595,['Q5'],['Q30'],['Q1087121'],['+1939-05-06T00:00:00Z'],"['Q131524', 'Q36180', 'Q15982858', 'Q15978655', 'Q12859263', 'Q16849727']",['OL21502A'],OL21502A,['OL21502A'],True,True
OL221968A,Robin S. Sharma,1,Q2604952,Robin Sharma,Canadian self-help writer,http://www.wikidata.org/entity/Q2604952,['Q5'],"['Q16', 'Q1027']",['Q2326975'],['+1964-06-16T00:00:00Z'],"['Q36180', 'Q40348', 'Q12859263', 'Q106638245', 'Q185351']","['OL221968A', 'OL2630688A']",OL221968A,"['OL221968A', 'OL2630688A']",True,True
OL35741A,Marshall Loeb,1,Q6773687,Marshall Loeb,American journalist,http://www.wikidata.org/entity/Q6773687,['Q5'],['Q30'],['Q1297'],['+1929-01-01T00:00:00Z'],"['Q1930187', 'Q1086863', 'Q1607826', 'Q482980']",['OL35741A'],OL35741A,['OL35741A'],True,True
OL2652676A,Marshall Goldsmith,1,Q1274760,Marshall Goldsmith,American author of leadership and management literature,http://www.wikidata.org/entity/Q1274760,['Q5'],['Q30'],['Q2168889'],['+1949-03-20T00:00:00Z'],"['Q36180', 'Q43845', 'Q16849727', 'Q482980']",['OL2652676A'],OL2652676A,['OL2652676A'],True,True
OL19864A,Albert Ellis,1,Q313931,Albert Ellis,American psychologist (1913–2007),http://www.wikidata.org/entity/Q313931,['Q5'],['Q30'],['Q1342'],['+1913-09-27T00:00:00Z'],"['Q16746890', 'Q212980', 'Q14565186', 'Q21507004', 'Q15980158']",['OL19864A'],OL19864A,['OL19864A'],True,True
OL833791A,Chris Argyris,1,Q1076951,Chris Argyris,American business theorist (1923-2013),http://www.wikidata.org/entity/Q1076951,['Q5'],['Q30'],['Q25395'],['+1923-07-16T00:00:00Z'],"['Q188094', 'Q212980', 'Q1622272', 'Q131524']",['OL833791A'],OL833791A,['OL833791A'],True,True
OL4345625A,Peter F. Drucker,1,Q84238,Peter Drucker,American business consultant (1909–2005),http://www.wikidata.org/entity/Q84238,['Q5'],"['Q30', 'Q40']",['Q1741'],['+1909-11-19T00:00:00Z'],"['Q1086863', 'Q188094', 'Q36180', 'Q1622272', 'Q1930187', 'Q40348', 'Q1281618', 'Q43845', 'Q4964182', 'Q832136']",['OL4345625A'],OL4345625A,['OL4345625A'],True,True
OL542945A,Marvin Bower,1,Q1906048,Marvin Bower,American business theorist (1903–2003),http://www.wikidata.org/entity/Q1906048,['Q5'],['Q30'],['Q43196'],['+1903-08-01T00:00:00Z'],"['Q15978655', 'Q2462658', 'Q40348', 'Q185351']",['OL542945A'],OL542945A,['OL542945A'],True,True
OL1756685A,Ordway Tead,1,Q7100953,Ordway Tead,American academic,http://www.wikidata.org/entity/Q7100953,['Q5'],['Q30'],[],['+1891-09-10T00:00:00Z'],['Q48072011'],['OL1756685A'],OL1756685A,['OL1756685A'],True,True
OL6645079A,Simon Sinek,1,Q7519777,Simon Sinek,British/American author and motivational speaker,http://www.wikidata.org/entity/Q7519777,['Q5'],['Q145'],['Q736742'],['+1973-10-09T00:00:00Z'],"['Q15982858', 'Q36180', 'Q1622272', 'Q16849727', 'Q30131998']",['OL6645079A'],OL6645079A,['OL6645079A'],True,True
OL7155908A,Stanley A. McChrystal,1,Q374338,Stanley A. McChrystal,American general,http://www.wikidata.org/entity/Q374338,['Q5'],['Q30'],['Q590879'],['+1954-08-14T00:00:00Z'],"['Q38239859', 'Q11545923', 'Q1622272', 'Q4991371']",['OL7155908A'],OL7155908A,['OL7155908A'],True,True
OL227813A,Robert K. Greenleaf,1,Q7346224,Robert K. Greenleaf,American consultant (1904–1990),http://www.wikidata.org/entity/Q7346224,['Q5'],[],[],['+1904-01-01T00:00:00Z'],[],['OL227813A'],OL227813A,['OL227813A'],True,True
OL217423A,James C. Hunter,1,Q47118636,James C. Hunter,,http://www.wikidata.org/entity/Q47118636,['Q5'],[],[],[],[],['OL217423A'],OL217423A,['OL217423A'],True,True
OL216799A,Philip Kotler,1,Q164170,Philip Kotler,"American marketing author, consultant, and professor",http://www.wikidata.org/entity/Q164170,['Q5'],['Q30'],['Q1297'],['+1931-05-27T00:00:00Z'],"['Q188094', 'Q170790', 'Q36180', 'Q1622272', 'Q43845']",['OL216799A'],OL216799A,['OL216799A'],True,True
OL34717A,Kenneth C. Laudon,1,Q16731279,Kenneth C. Laudon,American academic,http://www.wikidata.org/entity/Q16731279,['Q5'],[],[],['+1944-01-01T00:00:00Z'],"['Q901', 'Q1622272', 'Q70631379']",['OL34717A'],OL34717A,['OL34717A'],True,True
OL391962A,Kevin Lane Keller,1,Q6396753,Kevin Lane Keller,American business theorist,http://www.wikidata.org/entity/Q6396753,['Q5'],['Q30'],[],['+1956-06-23T00:00:00Z'],['Q48072011'],['OL391962A'],OL391962A,['OL391962A'],True,True
OL2101074A,John le Carré,1,Q209641,John le Carré,British novelist and spy (1931–2020),http://www.wikidata.org/entity/Q209641,['Q5'],"['Q145', 'Q27']",['Q203349'],['+1931-10-19T00:00:00Z'],"['Q6625963', 'Q28389', 'Q3282637', 'Q33999', 'Q9352089', 'Q36180']","['OL2101074A', 'OL7486204A']",OL2101074A,"['OL2101074A', 'OL7486204A']",True,True
OL319610A,Andrew S. Grove,1,Q432929,Andrew Grove,"Hungarian-born American businessman, engineer and author (1936–2016)",http://www.wikidata.org/entity/Q432929,['Q5'],"['Q30', 'Q28']","['Q1781', 'Q30']",['+1936-09-02T00:00:00Z'],"['Q81096', 'Q131524', 'Q36180', 'Q121594', 'Q901']",['OL319610A'],OL319610A,['OL319610A'],True,True
OL223463A,Frederick Winslow Taylor,1,Q203906,Frederick Winslow Taylor,American mechanical engineer (1856–1915),http://www.wikidata.org/entity/Q203906,['Q5'],['Q30'],['Q279890'],['+1856-03-20T00:00:00Z'],"['Q188094', 'Q27827744', 'Q1906857', 'Q9379869', 'Q36180', 'Q81096', 'Q16849727']",['OL223463A'],OL223463A,['OL223463A'],True,True
OL526722A,Paul Hersey,1,Q1474230,Paul Hersey,American academic (1931-2012),http://www.wikidata.org/entity/Q1474230,['Q5'],['Q30'],['Q18419'],['+1931-01-26T00:00:00Z'],"['Q188094', 'Q36180', 'Q43845', 'Q462390']",['OL526722A'],OL526722A,['OL526722A'],True,True
OL29513A,Project Management Institute,1,Q1545010,Project Management Institute,U.S.-based non-profit corporation,http://www.wikidata.org/entity/Q1545010,"['Q17084016', 'Q2385804']",[],[],[],[],['OL29513A'],OL29513A,['OL29513A'],True,True
OL223174A,Spencer Johnson,2,Q200760,Patrick Spencer Johnson,American writer,http://www.wikidata.org/entity/Q200760,['Q5'],['Q30'],['Q1065503'],['+1938-11-24T00:00:00Z'],"['Q551835', 'Q15978655', 'Q9379869', 'Q36180', 'Q212980']",['OL223174A'],OL223174A,['OL223174A'],True,True
OL224314A,Charles W. L. Hill,1,Q23303093,Charles W.L. Hill,British-born academic,http://www.wikidata.org/entity/Q23303093,['Q5'],[],[],['+1900-01-01T00:00:00Z'],['Q48072011'],['OL224314A'],OL224314A,['OL224314A'],True,True
OL44633A,Jack London,1,Q45765,Jack London,"American author, journalist and social activist (1876–1916)",http://www.wikidata.org/entity/Q45765,['Q5'],['Q30'],['Q62'],['+1876-01-12T00:00:00Z'],"['Q36180', 'Q1930187', 'Q6625963', 'Q164236', 'Q11774202', 'Q18814623', 'Q28389', 'Q18844224', 'Q4853732', 'Q3579035', 'Q12144794', 'Q49757', 'Q18939491', 'Q707995', 'Q12356615']","['OL44633A', 'OL10373938A', 'OL9258086A', 'OL10405946A']",OL44633A,"['OL44633A', 'OL10373938A', 'OL9258086A', 'OL10405946A']",True,True
OL2837853A,David Williamson,5,Q968980,David Williamson,Australian dramatist and playwright,http://www.wikidata.org/entity/Q968980,['Q5'],['Q408'],['Q3141'],['+1942-02-24T00:00:00Z'],"['Q214917', 'Q28389', 'Q487596', 'Q2707485', 'Q1823479', 'Q2737906', 'Q2526255', 'Q13235160']",['OL2837853A'],OL2837853A,['OL2837853A'],True,True
OL7618544A,David Heinemeier Hansson,1,Q719413,David Heinemeier Hansson,"programmer, racing driver, creator of Ruby on Rails",http://www.wikidata.org/entity/Q719413,['Q5'],['Q756617'],['Q1748'],['+1979-10-15T00:00:00Z'],"['Q82594', 'Q10349745', 'Q183888', 'Q8246794', 'Q36180', 'Q43845', 'Q5482740']",['OL7618544A'],OL7618544A,['OL7618544A'],True,True
OL1193811A,Elwood Spencer Buffa,1,Q59627441,Elwood Spencer Buffa,"born:1923|died:2005|; Buffa, Elwood S.; Buffa, Elwood Spencer; Buffa, Elwood S. 1923-; Buffa, Elwood Spencer, 1923-2005; Buffa, Elwood S. (Elwood Spencer), 1923-",http://www.wikidata.org/entity/Q59627441,['Q5'],[],[],['+1923-01-01T00:00:00Z'],['Q188094'],['OL1193811A'],OL1193811A,['OL1193811A'],True,True
OL2825763A,Harvey Maylor,1,Q94654199,Harvey Maylor,researcher,http://www.wikidata.org/entity/Q94654199,['Q5'],[],[],[],['Q1650915'],['OL2825763A'],OL2825763A,['OL2825763A'],True,True
OL2650932A,Ken Schwaber,1,Q93032,Ken Schwaber,American computer scientist,http://www.wikidata.org/entity/Q93032,['Q5'],['Q30'],['Q575315'],['+1945-01-01T00:00:00Z'],"['Q82594', 'Q15978655', 'Q183888', 'Q2552738', 'Q5482740']",['OL2650932A'],OL2650932A,['OL2650932A'],True,True
OL1438336A,Scott Berkun,1,Q7435985,Scott Berkun,"Author, speaker",http://www.wikidata.org/entity/Q7435985,['Q5'],['Q30'],[],['+1901-00-00T00:00:00Z'],['Q482980'],['OL1438336A'],OL1438336A,['OL1438336A'],True,True
OL19395A,Tom DeMarco,1,Q93115,Tom DeMarco,"American software engineer, author, and consultant",http://www.wikidata.org/entity/Q93115,['Q5'],['Q30'],['Q1186937'],['+1940-08-20T00:00:00Z'],"['Q36180', 'Q81096', 'Q82594', 'Q15978655', 'Q16849727']",['OL19395A'],OL19395A,['OL19395A'],True,True
OL32869A,Aubrey C. Daniels,1,Q4819095,Aubrey C. Daniels,American psychologist,http://www.wikidata.org/entity/Q4819095,['Q5'],['Q30'],['Q1456'],['+1935-05-17T00:00:00Z'],"['Q212980', 'Q36180', 'Q16849727']",['OL32869A'],OL32869A,['OL32869A'],True,True
OL230982A,Richard M. Steers,1,Q112374268,Richard M. Steers,American economist,http://www.wikidata.org/entity/Q112374268,['Q5'],['Q30'],[],"['+1944-00-00T00:00:00Z', '+1944-12-14T00:00:00Z']","['Q188094', 'Q1622272', 'Q482980', 'Q1607826']",['OL230982A'],OL230982A,['OL230982A'],True,True
OL52310A,Peter J. Buckley,1,Q7173038,Peter Buckley,British business professor,http://www.wikidata.org/entity/Q7173038,['Q5'],['Q145'],[],['+1949-07-11T00:00:00Z'],"['Q188094', 'Q832136', 'Q1622272']",['OL52310A'],OL52310A,['OL52310A'],True,True
OL7989361A,Aditya Agashe,2,Q107301879,Aditya Agashe,American computer scientist and author,http://www.wikidata.org/entity/Q107301879,['Q5'],['Q30'],[],['+1996-01-28T00:00:00Z'],"['Q36180', 'Q61911662', 'Q12859263', 'Q2552738']",['OL7989361A'],OL7989361A,['OL7989361A'],True,True
OL236414A,Robert Greene,2,Q1386992,Robert Greene,American author,http://www.wikidata.org/entity/Q1386992,['Q5'],['Q30'],['Q65'],['+1959-05-14T00:00:00Z'],['Q36180'],['OL236414A'],OL236414A,['OL236414A'],True,True
OL225203A,Jerry J. Weygandt,1,Q93434078,Jerry J. Weygandt,,http://www.wikidata.org/entity/Q93434078,['Q5'],[],[],['+1942-12-24T00:00:00Z'],['Q1051798'],['OL225203A'],OL225203A,['OL225203A'],True,True
OL836577A,Scott Plous,1,Q16734588,Scott Plous,American social psychologist (1959-),http://www.wikidata.org/entity/Q16734588,['Q5'],['Q30'],['Q37836'],['+1959-11-02T00:00:00Z'],"['Q10672931', 'Q11499147', 'Q3400985', 'Q1622272']",['OL836577A'],OL836577A,['OL836577A'],True,True
OL78984A,David Ray Anderson,1,Q112352068,David Ray Anderson,,http://www.wikidata.org/entity/Q112352068,['Q5'],[],[],['+1941-00-00T00:00:00Z'],[],['OL78984A'],OL78984A,['OL78984A'],True,True
OL129765A,Irving Lester Janis,1,Q3080462,Irving Janis,American psychologist (1918–1990),http://www.wikidata.org/entity/Q3080462,['Q5'],['Q30'],['Q40435'],['+1918-05-26T00:00:00Z'],"['Q212980', 'Q1622272']",['OL129765A'],OL129765A,['OL129765A'],True,True
OL234151A,James G. March,1,Q1352604,James G. March,American sociologist (1928–2018),http://www.wikidata.org/entity/Q1352604,['Q5'],['Q30'],['Q37320'],['+1928-01-15T00:00:00Z'],"['Q2306091', 'Q188094', 'Q1622272', 'Q36180', 'Q1238570', 'Q136659238']",['OL234151A'],OL234151A,['OL234151A'],True,True
OL542424A,Jerold L. Zimmerman,1,Q41800554,Jerold Zimmerman,economist (University of Rochester),http://www.wikidata.org/entity/Q41800554,['Q5'],[],[],['+1947-01-01T00:00:00Z'],['Q188094'],['OL542424A'],OL542424A,['OL542424A'],True,True
OL119802A,George Leland Bach,1,Q59629195,George Leland Bach,American economist (1915-1994),http://www.wikidata.org/entity/Q59629195,['Q5'],[],[],['+1915-04-28T00:00:00Z'],['Q188094'],['OL119802A'],OL119802A,['OL119802A'],True,True
OL2778456A,Thomas Arthur Williams,1,Q93429028,Thomas Arthur Williams,,http://www.wikidata.org/entity/Q93429028,['Q5'],[],[],"['+1944-05-05T00:00:00Z', '+1944-00-00T00:00:00Z']",['Q121594'],['OL2778456A'],OL2778456A,['OL2778456A'],True,True
OL243612A,Marshall B. Rosenberg,1,Q732048,Marshall Rosenberg,American psychologist (1934-2015),http://www.wikidata.org/entity/Q732048,['Q5'],['Q30'],['Q491239'],['+1934-10-06T00:00:00Z'],"['Q212980', 'Q3400985', 'Q15980158', 'Q4859473']",['OL243612A'],OL243612A,['OL243612A'],True,True
OL1862774A,John W. Blassingame,1,Q6263525,John Wesley Blassingame,American historian (1940–2000),http://www.wikidata.org/entity/Q6263525,['Q5'],['Q30'],['Q34217'],['+1940-03-23T00:00:00Z'],['Q201788'],['OL1862774A'],OL1862774A,['OL1862774A'],True,True
OL218771A,Mary Ellen Guffey,1,Q112436893,Mary Ellen Guffey,,http://www.wikidata.org/entity/Q112436893,['Q5'],[],[],['+1936-00-00T00:00:00Z'],['Q9379869'],['OL218771A'],OL218771A,['OL218771A'],True,True
OL193997A,Benedict Anderson,1,Q212993,Benedict Anderson,American political scientist (1936-2015),http://www.wikidata.org/entity/Q212993,['Q5'],['Q27'],['Q182852'],['+1936-08-26T00:00:00Z'],"['Q1622272', 'Q1238570', 'Q36180', 'Q4773904', 'Q4964182', 'Q201788', 'Q482980']",['OL193997A'],OL193997A,['OL193997A'],True,True
OL31351A,Alan O. Ebenstein,1,Q19787390,Alan O. Ebenstein,"American political scientist, educator and author",http://www.wikidata.org/entity/Q19787390,['Q5'],['Q30'],[],['+1959-05-28T00:00:00Z'],"['Q1238570', 'Q201788']",['OL31351A'],OL31351A,['OL31351A'],True,True
OL444993A,Mark L. Knapp,1,Q6768451,Mark L. Knapp,American academic,http://www.wikidata.org/entity/Q6768451,['Q5'],['Q30'],[],['+1938-07-12T00:00:00Z'],['Q26759595'],['OL444993A'],OL444993A,['OL444993A'],True,True
OL1239241A,Judith A. Hall,1,Q89263098,Judith A. Hall,American social psychologist,http://www.wikidata.org/entity/Q89263098,['Q5'],['Q30'],[],['+1946-00-00T00:00:00Z'],"['Q1650915', 'Q121594', 'Q10672931', 'Q212980']",['OL1239241A'],OL1239241A,['OL1239241A'],True,True
OL886345A,Albert Mehrabian,1,Q609529,Albert Mehrabian,American psychologist,http://www.wikidata.org/entity/Q609529,['Q5'],['Q30'],['Q794'],['+1939-11-17T00:00:00Z'],"['Q212980', 'Q1622272']",['OL886345A'],OL886345A,['OL886345A'],True,True
OL220594A,B. P. Lathi,1,Q112431724,Bhagwandas Pannalal Lathi,,http://www.wikidata.org/entity/Q112431724,['Q5'],[],[],['+1933-00-00T00:00:00Z'],['Q121594'],['OL220594A'],OL220594A,['OL220594A'],True,True
OL224907A,Daniel Goleman,1,Q351701,Daniel Goleman,American psychologist and journalist,http://www.wikidata.org/entity/Q351701,['Q5'],['Q30'],['Q49240'],['+1946-03-07T00:00:00Z'],"['Q1650915', 'Q212980', 'Q1930187', 'Q36180', 'Q17433421']",['OL224907A'],OL224907A,['OL224907A'],True,True
OL2877610A,Peter Salovey,1,Q2077999,Peter Salovey,American social psychologist and former president of Yale University,http://www.wikidata.org/entity/Q2077999,['Q5'],['Q30'],['Q49111'],"['+1958-02-21T00:00:00Z', '+1958-02-00T00:00:00Z']","['Q212980', 'Q121594', 'Q4376769']",['OL2877610A'],OL2877610A,['OL2877610A'],True,True
OL240826A,Clayton M. Christensen,1,Q5130292,Clayton Christensen,American economist (1952-2020),http://www.wikidata.org/entity/Q5130292,['Q5'],['Q30'],['Q23337'],['+1952-04-06T00:00:00Z'],"['Q42603', 'Q1622272', 'Q36180', 'Q219477', 'Q188094']",['OL240826A'],OL240826A,['OL240826A'],True,True
