occupation_qid,occupation_label,occupation_description
Q15980158,non-fiction writer,author who writes non-fiction texts
Q15980591,metalworker,"craft/trade; one who works with metal to create art, tools, or other objects"
Q15981151,jazz musician,musician who plays jazz
Q15982858,motivational speaker,speaker intended to motivate the audience
Q1607826,editor,person who edits texts or publications
Q16145150,music educator,academic title
Q161944,deacon,ministry in the Christian Church
Q1622272,university teacher,person teaching at a university or college
Q16271064,herpetologist,person studying reptiles or amphibians
Q16308156,scholar of English,person who studies English language and literature
Q164236,war correspondent,journalist specializing in coverage of armed conflicts
Q1650915,researcher,"person who engages in research, professionally or otherwise. If a more specific occupation is known, use that instead"
Q16529590,environmental scientist,occupation
Q16533,judge,official who presides over court proceedings
Q1662561,paleontologist,scientist specialising in paleontology
Q16746890,behaviour therapist,profession
Q16831721,ethologist,a scientist who studies the behavior of animals in their natural environment
Q16849727,business consultant,professional who provides advice on running and managing a business or business process
Q169470,physicist,scientist who does research in physics
Q16947657,lithographer,person who primarily uses lithography for making prints
Q170790,mathematician,person with an extensive knowledge of mathematics
Q17098559,penciller,"artist who works in the creation of comic books, graphic novels, and similar visual art forms"
Q17125263,YouTuber,person that produces videos on YouTube
Q17276189,atmospheric scientist,profession
Q17337766,theatre critic,person who writes reviews about theatre performances
Q1734662,cartographer,person preparing geographical maps
Q17351861,Gaelic football player,player of Gaelic football
Q17391638,art theorist,profession that works in the field of art theory
Q17433421,science journalist,profession
Q175151,printer,person involved in manufacturing printed materials; operator of a printing press
Q1753370,curate,religious occupation
Q17682262,lacrosse player,sportsperson taking part in lacrosse competitions
Q177220,singer,person singing for a listening audience
Q178197,mercenary,soldier who fights for hire
Q1792450,art historian,humanist who is engaged in history of art
Q1823479,lighting designer,person responsible for lighting on a stage
Q182436,librarian,"person who works professionally in a library, and is usually trained in librarianship"
Q183888,software developer,person or company concerned with facets of the software development process
Q183945,record producer,individual who oversees and manages the recording of an artist's music
Q18510502,javelin thrower,sportsperson taking part in javelin throw competitions
Q185351,jurist,"legal scholar or academic, a professional who studies, teaches, and develops law"
Q18574233,darts player,person who plays darts
Q18581305,beauty pageant contestant,participant in a beauty contest
Q18715859,synchronized swimmer,sportsperson specialized in synchronized swimming
Q18805,naturalist,"person who studies and knows a lot about plants, animals and natural history (esp in the field)"
Q188094,economist,professional in the discipline of economics
Q18814623,autobiographer,person who wrote their autobiography
Q18844224,science fiction writer,person who writes works of science fiction
Q189290,military officer,member of an armed force or uniformed service who holds a position of authority
Q18939491,diarist,person who writes a personal journal
Q1900167,psychotherapist,person who practices psychotherapy
Q1906857,mechanical engineer,specialized engineer
Q19204627,American football player,athlete who plays American football
Q1925963,graphic artist,"artist who makes lines on paper through various drawing and print techniques, or the digital equivalent"
Q1930187,journalist,"person who collects, writes, and distributes news and other information"
Q193391,diplomat,person appointed by a state to conduct diplomacy with another state or international organization
Q19698265,fashion photographer,person who photographs fashion items
Q19772737,political candidate,candidate in an election for political office
Q19829999,cultural studies scholar,profession
Q19934710,air force officer,military officer in an air force
Q201788,historian,scholar who deals with the exploration and presentation of history
Q202648,referee,"person of authority, in a variety of sports, who is responsible for presiding over the game from a neutral point of view"
Q20379302,career diplomat,
Q205375,inventor,"person that devises a new device, method, composition, or process"
Q2055046,physiologist,scientist who studies the function of living systems
Q2059704,television director,person who directs television programs
Q2066131,athlete,person who participates regularly in a sport
Q2072298,recruiter,profession; a person who persuades people to join an organization or work for a company
Q2083925,botanical collector,person who collects plants (or parts thereof) for scientific research
Q208762,chaplain,"minister of a religious tradition who is attached to an institution, or a parochial vicar (assistent/cooperator priest in the parish)"
Q2095549,aircraft pilot,person controlling an aircraft in flight
Q211346,psychiatrist,physician who specializes in psychiatry
Q21141408,pentathlete,athlete competing in track and field pentathlons
Q21178131,portraitist,person who makes portraits
Q212238,civil servant,person employed by a government department or agency
Q21244999,forestry scientist,profession
Q21280562,radio drama actor,voice actor who works in the medium of broadcast radio
Q21281706,academic administrator,profession
Q212980,psychologist,"professional who evaluates, diagnoses, treats, and studies behavior and mental processes"
Q214917,playwright,person who writes plays
Q21507004,sex educator,profession involving facilitating people or partners to explore and understand their sexuality
Q215536,merchant,businessperson who trades in commodities that were produced by others
Q219477,missionary,member of a religious group sent to do evangelism
Q222344,cinematographer,chief over the camera and lighting crews working on a film
Q2251335,school teacher,teacher in primary and secondary education
Q2259451,stage actor,actor who performs live before an in-person audience
Q2259532,cleric,member of the clergy of a religion
Q2267418,industrial engineer,engineering profession
Q2296367,superintendent,head of an administrative division of a Protestant church
Q23011096,daguerreotypist,photographer using the early daguerreotype technique
Q2306091,sociologist,scientist working in sociology
Q2309784,sport cyclist,someone who competes in the sport of cycling
Q2341443,instrument maker,profession
Q2374149,botanist,person who practices botany
Q2393361,dance teacher,occupation
Q2405480,voice actor,"person who provides voice-overs for a character in films, animation, video games, or in other media"
Q24266767,newspaper proprietor,person owning or publishing a newspaper
Q2462658,manager,person whose job is to manage something
Q2465611,co-driver,"navigator of a rally car in the sport of rallying, who sits in the front passenger seat"
Q2490358,choreographer,person who creates choreographies
Q2504617,Romanist,scholar specialising in Romance studies
Q250867,Catholic priest,priest of the Catholic Church
Q2516866,publisher,person heading a publishing company or who publishes media
Q2519376,jewelry designer,one who creates jewelry or designs for its manufacture
Q25203010,registrar,chief executive officer of a judicial forum
Q2526255,film director,person who controls the artistic and dramatic aspects of a film production
Q2552738,product manager,profession involving investigating and driving the development of products
Q2599593,Germanist,scholar specialising in the German language or culture or literature
Q26262117,silent film actor,actor or actress who appears in silent films
Q2640827,gynecologist,physician who specializes in gynecology
Q26481809,sports executive,role concerned with the business side of sports
Q266569,animator,person who makes animated sequences out of still images
Q26759595,communication scholar,occupation
Q26831130,life coach,person who practices life coaching
Q2707485,scenographer,"designers of all visual aspects of a stage production, including scenery, properties, lighting, costume, and makeup"
Q2722764,radio personality,person who has an on-air position in radio broadcasting
Q2730732,equestrian,sportsperson who rides horses
Q2732142,statistician,person who works with theoretical or applied statistics
Q27349,dentist,healthcare occupation
Q2737906,videographer,person who works in the field of videography
Q27658988,reality television participant,person who participates in reality television
Q27827744,management consultant,occupation
Q28378128,pedologist,specialist in pedology
Q28389,screenwriter,"writer who writes for films, TV shows, comics and games"
Q285759,insurance broker,person who acts as an intermediary between sellers and buyers of insurance policies
Q2865819,opera singer,singer who sings in operas
Q2873500,adventurer,person who seeks adventures
Q29182,bishop,ordained or consecrated member of the Christian clergy
Q29514511,compiler,one who brings together dispersed materials to create a single work
Q2961975,business executive,"person responsible for running a business, or an aspect of it"
Q2994387,adviser,person with more and deeper knowledge in a specific area
Q30131998,cultural anthropologist,scholar of cultural anthropology
Q30185,mayor,head of municipal government such as a town or city
Q3055126,entomologist,zoologist specializing the study of insects (and often other arthropods)
Q3126128,geneticist,biologist who studies genetics
Q3140857,horticulturist,"person who works and conducts research in the science and art of growing flowers, fruits, vegetables or ornamental plants"
Q3147441,rector,ecclesiastical profession
Q3246315,head coach,head coach or manager of a sports team
Q326653,accountant,practitioner of accounting or accountancy
Q3282637,film producer,person supervising the making of a film
Q329439,engraver,craftsman with the profession of engraving
Q33231,photographer,person who takes photographs
Q333634,translator,person who translates written text from one language to another
Q336221,jeweler,person who sells jewelry
Q3362826,papermaker,profession; manufacturer of paper
Q3387717,theatre director,person overseeing the mounting of a theatre production
Q3391743,visual artist,artist involved with the visual arts
Q33999,actor,"person who acts in a dramatic or comic production and works in film, television, theatre, or radio"
Q3400985,academic,person who works as a teacher or researcher at a university or other higher education institution
Q3409375,Anglican priest,minister of the Anglican church
Q3410028,psychoanalyst,psychiatrist or psychotherapist who specializes in psychoanalysis
Q3455803,director,director of a creative work
Q350979,zoologist,someone who studies or practices zoology
Q352388,driver,land vehicle operator
Q355493,church musician,"musician who performs music in churches, often organ and choir music"
Q3579035,travel writer,person who writes travel literature
Q361593,police officer,"police officer with the fiduciary relationship of being a ""Beamter"""
Q36180,writer,person who uses written words to communicate ideas and to produce literary works
Q3621491,archaeologist,person studying human activity in the past
Q3640160,marine biologist,scientist specializing in marine biology
Q3658608,caricaturist,artist who draws comical or otherwise exaggerated visual cartoons
Q3665646,basketball player,person who plays in basketball
Q36834,composer,person who is an author of music in any form
Q37226,teacher,"person who helps others to acquire knowledge, competences or values"
Q3745071,science writer,person who writes about science and on scientific topics
Q3779582,microbiologist,person who investigates the characteristics of microscopic organisms
Q381160,expert,person with broad and profound competence in a particular field
Q38239859,army officer,officer in an army
Q384593,police officer,warranted employee of a police force to keep law and order in the country
Q39631,physician,professional who practices medicine
Q40348,lawyer,legal professional
Q41583,coach,"person involved in directing, instructing and training sportspeople"
Q4164507,art critic,person who specializes in evaluating art
Q42297530,keynote speaker,person who delivers a talk on the main theme of an event
Q42331263,American football coach,coach of American football
Q42603,priest,person who consecrates his life to some divinity and whose main functions are to direct religious rites and offer sacrifices to the divinity (for a minister use Q1423891)
Q42973,architect,"person trained to plan and design buildings, and oversee their construction"
Q432386,preacher,person who delivers sermons or gives homilies
Q4376769,university president,chief executive officer of a university
Q43845,businessperson,person involved in activities for the purpose of generating revenue
Q4439155,long-distance runner,sportsperson who runs for distances longer than 3000 metres
Q45199,sailor,person who navigates water-borne vessels or assists in doing so
Q4531850,endocrinologist,scientist who studies the endocrine system
Q4610556,model,"person employed to display, advertise and promote products, or to serve as a visual aid"
Q462390,docent,person who teaches at universities and educational institutions
Q465501,stunt performer,person who performs stunts
Q466640,horse trainer,"person training horses for racing, riding, show or work"
Q47064,military personnel,people who serve in an organized armed military force
Q47494964,miniaturist,"artist who creates works in miniature, such as paintings, photographs, furniture, and other objects"
Q47541952,producer,media and entertainment occupation
Q4773904,anthropologist,"scientist engaged in the practice of anthropology, who study aspects of humans within past and present societies"
Q48072011,business theorist,business scholar who theoretically models business activity (as opposed to empirical research)
Q482980,author,writer of an original work
Q483501,artist,person who engages in any form of artistic creation or practice
Q484275,leadership,"ability or activity of an individual or organization to guide other individuals, teams, or entire organizations"
Q4853732,children's writer,writer of literature targeted primarily at children
Q4859473,mediator,neutral party who helps people resolve disputes without the ability to make binding decisions
Q486748,pianist,musician who plays the piano
Q487596,dramaturge,"person fulfilling an advisory role regarding the literary or dramaturgical aspects of theatre, opera or dance productions or within a theatre, opera or dance organization"
Q488111,pornographic film actor,person who performs sex acts in pornographic films
Q488205,singer-songwriter,"musician who writes, composes and sings own songs"
Q4964182,philosopher,person with an extensive knowledge of philosophy
Q49757,poet,person who writes poetry
Q4991371,soldier,member of an armed force
Q5137571,basketball coach,one who directs and strategizes the behavior of a basketball team or player
Q5183567,creative consultant,profession
Q520549,geologist,scientist who studies geology
Q5287861,chief technology officer,"executive-level position overseeing technical, technological or scientific areas"
Q52899051,biostatistician,profession
Q5322166,designer,person who designs
Q5482740,programmer,person who writes computer software (subclass of software developer)
Q551835,physician writer,physicians who write creatively in literary fields outside their practice of medicine
Q557880,investor,person who allocates capital with the expectation of a financial return
Q55979438,print journalist,person who collects & writes news for print publication
Q56224063,bookkeeper,profession; person who records the accounts or transactions of a business
Q5673576,gestor,
Q5697103,antiquarian,specialist or aficionado of antiquities or things of the past
Q5716684,dancer,person who uses their body to express themselves through movement and dance
Q578109,television producer,occupation within video production for TV
Q593644,chemist,scientist trained in the study of chemistry
Q600751,prosecutor,legal representative of the state in criminal trials
Q6051619,opinion journalist,journalist who makes no claim of objectivity
Q61048378,climate activist,person who is intensively and perceptibly committed to preventing harmful climate change
Q611644,Catholic bishop,"ordained minister in the Catholic Church (for other religious denominations, use Q29182)"
Q61911662,marketing consultant,profession
Q628099,association football coach,person doing training of association footballers (profession/occupation); for team position (head coach or manager) use Q136659823
Q63017728,particle physicist,person engaged in high-energy particle physics
Q6337803,neuroscientist,someone who studies neuroscience
Q63676514,educational theorist,specialist in the theory of education
Q6386271,media scholar,occupation
Q639669,musician,"person who composes, conducts or performs music"
Q6430706,critic,professional who makes a living communicating their opinions and assessments of various forms of creative work
Q644687,illustrator,narrative artist who makes images for printed and electronic products
Q6625963,novelist,writer of novels
Q662729,public figure,famous person who is often written about in newspapers and magazines or is often on television or the radio
Q6673651,literary scholar,person who works on literature
Q674426,curator,content specialist charged with a museum's collections and involved with the interpretation of heritage material
Q69423232,film screenwriter,author of scripts and screenplays for motion picture production
Q694748,physiotherapist,"primary care specialty that remediates impairments and promotes mobility, function, and quality of life through physical exercises"
Q7019111,social worker,person who performs social work
Q7042855,film editor,"person who works with raw footage, selecting shots and combining them into sequences to create a finished motion picture"
Q70631379,business informatician,profession that deals with development and application of information and communication systems in business enterprises
Q707995,seaman,enlisted rank in many navies around the world
Q7131885,pantomime dame,stock character; pantomime portrayal of female characters by male actors in drag
Q713200,performing artist,"artist who participates in performing arts in front of an audience: actors, comedians, dancers, magicians, circus artists, musicians, singers"
Q715301,comics artist,person who creates the artwork for comics
Q728711,Playboy Playmate,female model featured in a centerfold of Playboy magazine
Q7330070,foreign minister,cabinet minister in charge of a nation's foreign affairs
Q742628,assistant physician,profession
Q753110,songwriter,person who writes the words or music to songs
Q7541856,ceramicist,practitioner of ceramic arts
Q7574803,special constable,auxiliary or part-time law enforcement officer
Q774306,surgeon,physician with surgical specialty
Q780596,exhibition curator,person in charge of organising an exhibition
Q783906,neurologist,physician who specialized in neurology
Q7890793,United States Naval Aviator,commissioned officer or warrant officer qualified as a manned aircraft pilot in the United States Navy or United States Marine Corps
Q806798,banker,"person who works for, manages or owns a bank"
Q808967,barrister,lawyer specialized in court representation in certain jurisdictions
Q81096,engineer,professional practitioner of engineering
Q816432,project manager,professional in the field of project management
Q8178443,librettist,author of the libretto (words) of an opera or a similar extended musical composition
Q822146,lyricist,writer of song lyrics
Q8246794,blogger,person who writes or records a blog
Q82594,computer scientist,one who studies or practices computer science
Q82955,politician,person who seeks or holds a political office or mandate or is otherwise politically active
Q832136,business manager,"person who manages the business affairs of an individual, institution, organization, or company"
Q83307,minister,"politician who holds significant civil public office in a national or regional government, generally heading a ministry"
Q84506120,business administration scholar,specialist in business administration and management
Q846750,jockey,someone who rides horses in horse racing or steeplechase racing
Q848466,courier,person or company delivering items
Q851436,bodyguard,person who protects one or several people from physical attack
Q859528,association football referee,supervisor of a game of association football
Q864380,biographer,person who creates biographies
Q864503,biologist,scientist studying living organisms
Q88011130,educational researcher,scientist in education theory
Q88190618,art writer,occupation
Q88214831,media pedagogue,
Q89000321,management scientist,
Q901,scientist,person who systematically observes and analyzes phenomena and tests hypotheses using scientific methods
Q901402,geographer,scholar whose area of study is geography
Q9352089,spy,person engaged obtaining information that is considered secret or confidential
Q937857,association football player,person who plays association football (soccer)
Q9379869,lecturer,"knowledgeable person who gives informative talks, as opposed to ceremonial or persuasive"
Q947873,television presenter,person who introduces or hosts television programs
Q955464,parson,presbyter of a Christian parish in general
Q96926345,business scholar,profession
Q974144,educator,"occupation which teaches others knowledge, skills, and habits"
Q978044,executive,higher level corporate position charged with leading or overseeing others
Q98544732,scientific collector,person who collects scientific or biological specimens
Q99675502,teacher educator,persons responsible for providing instruction in PK-12 pedagogy
Q998550,bookseller,person selling books
