wikidata_id,wikidata_label,wikidata_description,instance_of_qids,citizenship_qids,birthplace_qids,birth_dates,occupation_qids,external_id_claims
Q112517260,Jovita M. Ross-Gordon,academic in adult education,['Q5'],[],[],['+1952-00-00T00:00:00Z'],"['Q1622272', 'Q3400985', 'Q1231865']","{'P691': ['xx0220552'], 'P214': ['36145646'], 'P1207': ['n2012210241'], 'P213': ['0000000114417745'], 'P856': ['https://www.txst.edu/clas/Adult-Education/Program-Faculty/Jovita-Ross-Gordon.html'], 'P2381': ['336510'], 'P271': ['DA05497267'], 'P3368': ['3323701'], 'P8189': ['987007421524705171'], 'P269': ['147490278'], 'P11496': ['1140563741758514944'], 'P244': ['n94055264'], 'P12458': ['814142'], 'P5034': ['KAC201605023'], 'P13591': ['person/bd073d82-72c1-4b70-b1e6-92c580f1803e']}"
Q120188564,Simon Western,British academic,['Q5'],[],[],[],['Q3400985'],"{'P214': ['39176724'], 'P1015': ['8002980'], 'P8179': ['ncf11458634'], 'P227': ['1025936930'], 'P213': ['0000000051358898'], 'P8189': ['987007448950405171'], 'P244': ['no2008018524'], 'P7699': ['LNB:C+qN;=Bi'], 'P1006': ['306076160'], 'P1207': ['n2014046366'], 'P7293': ['9812739399605606'], 'P269': ['166677469'], 'P13591': ['person/98a32ec9-a4db-4947-8707-3307859d346d'], 'P496': ['0009-0006-2399-2032']}"
Q22935809,Jocko Willink,American author,['Q5'],['Q30'],['Q18389'],['+1971-09-08T00:00:00Z'],"['Q15077007', 'Q11124885', 'Q36180', 'Q11545923', 'Q2994387', 'Q482980']","{'P2002': ['jockowillink'], 'P2671': ['/g/11c3vz8bx7'], 'P3417': ['Jocko-Willink-1'], 'P244': ['n2015044839'], 'P18': ['Jocko-Willink-SEAL.jpg'], 'P691': ['pna20191021505'], 'P214': ['316788532'], 'P2397': ['UCkqcY4CAuBFNFho6JgygCnA'], 'P2003': ['jockowillink'], 'P2013': ['Jocko-Willink-818075548306978', 'jkowillink'], 'P973': ['https://tim.blog/2015/09/25/jocko-willink'], 'P8197': ['jocko-willink'], 'P1207': ['n2017068359'], 'P373': ['Jocko Willink'], 'P7293': ['9810596962605606'], 'P227': ['1170072216'], 'P9743': ['107ZzkE3bW'], 'P8189': ['987007345935005171'], 'P1015': ['1483107590323'], 'P9984': ['981058614014406706'], 'P3846': ['87097939541521'], 'P6394': ['a12091376'], 'P213': ['0000000451148507'], 'P7699': ['LNB:Cz/f;=B+'], 'P349': ['031640946'], 'P1006': ['416202446'], 'P1005': ['1753396'], 'P269': ['196815339'], 'P11686': ['981058614014406706'], 'P10832': ['E39PBJrWBthymfGGk86TcKrKBP'], 'P345': ['nm6163323'], 'P4985': ['4137457'], 'P13049': ['1170072216'], 'P434': ['49618d51-137c-473d-9384-cc832e489be5'], 'P10387': ['123616'], 'P12854': ['5f40321f04a8650040a0ca77'], 'P13591': ['person/a2dcf74e-1895-4d13-b102-817200433177'], 'P13906': ['1527244'], 'P10757': ['31354'], 'P11892': ['jockowillink'], 'P10400': ['113715'], 'P9322': ['0389360-Willink-Jocko-1971'], 'P14750': ['1248-2F2C-5D5F-1FEC-1758']}"
Q109279392,The Jordan B. Peterson Podcast - S4E13: Jocko Willink,episode of the Jordan B Peterson Podcast,['Q61855877'],[],[],[],[],"{'P9882': ['4IO4CHjpFKn21CkoL8is2q'], 'P953': ['https://traffic.megaphone.fm/ADV4146527487.mp3'], 'P1651': ['HA4Bkybx1ps']}"
Q110188812,"Lex Fridman Podcast #197 – Jocko Willink: War, Leadership, and Discipline",podcast episode of the Lex Fridman Podcast,['Q61855877'],[],[],[],[],"{'P953': ['https://content.blubrry.com/takeituneasy/lex_ai_jocko_willink.mp3'], 'P9882': ['392xSDYoR1TaRrxLjrsz2E'], 'P1651': ['n2RcVEftY48'], 'P7849': ['6962932']}"
Q110087557,Jocko Willink | The Ben Shapiro Show Sunday Special Ep. 23,episode of the Ben Shapiro Show,['Q61855877'],[],[],[],[],{'P1651': ['1mRiEU6DGzc']}
Q110268138,The Megyn Kelly Show Ep. 77,episode of the Megyn Kelly Show,['Q61855877'],[],[],[],[],{'P9882': ['05FzWPK40RulcTFVMoVbdo']}
Q66107,Henry Kissinger,"American diplomat and geopolitical advisor, served as U.S. Secretary of State from 1973 to 1977 (1923–2023)",['Q5'],"['Q1206012', 'Q30']",['Q3075'],['+1923-05-27T00:00:00Z'],"['Q82955', 'Q1238570', 'Q193391', 'Q36180', 'Q131524', 'Q1231865', 'Q18814623', 'Q7330070', 'Q11075015', 'Q1622272']","{'P345': ['nm0457425'], 'P373': ['Henry Kissinger'], 'P244': ['n79018911'], 'P214': ['108958811'], 'P227': ['11856255X'], 'P349': ['00445798'], 'P691': ['jn19990004377'], 'P434': ['6b2dcf2a-3eba-463a-94bb-a8c4d6da2b20'], 'P18': ['Henry A. Kissinger, U.S. Secretary of State, 1973-1977.jpg'], 'P646': ['/m/03k_f'], 'P906': ['193626'], 'P268': ['12172096d'], 'P409': ['35274004'], 'P1006': ['068517971'], 'P866': ['henry-kissinger'], 'P1015': ['90078019'], 'P856': ['https://www.henryakissinger.com/'], 'P1953': ['2736609'], 'P1017': ['ADV12571530'], 'P269': ['030269008'], 'P396': ['CFIV025395'], 'P1005': ['51911'], 'P1207': ['n96612495'], 'P950': ['XX983158'], 'P1266': ['36402'], 'P109': ['Henry Kissinger Signature 2.svg'], 'P935': ['Henry Kissinger'], 'P1296': ['0035738'], 'P2190': ['henrykissinger'], 'P2163': ['31425'], 'P2267': ['henry-kissinger'], 'P2605': ['99095'], 'P2639': ['673beedad953480a9e526600b9b63e89'], 'P2435': ['373973', '437223'], 'P2519': ['23521'], 'P2626': ['155267'], 'P648': ['OL236243A'], 'P1263': ['357/000022291'], 'P2188': ['13218'], 'P3430': ['w6t839g5', 'w64m9cjd'], 'P3171': ['mr-henry-kissinger'], 'P3417': ['Henry-Kissinger'], 'P2732': ['47122'], 'P3222': ['henry-kissinger'], 'P1417': ['biography/Henry-Kissinger'], 'P1728': ['mn0001011612'], 'P3029': ['F46354'], 'P3630': ['13838'], 'P4629': ['Kissinger, Henry, 1923-'], 'P1280': ['6256227'], 'P2924': ['2068299'], 'P3219': ['henry-kissinger'], 'P1225': ['10581500'], 'P3987': ['174554'], 'P213': ['0000000121037636'], 'P1741': ['116829'], 'P5587': ['nl023cb631cgzmd'], 'P5419': ['henry-a-kissinger'], 'P2963': ['28442'], 'P5905': ['4005-35627'], 'P6414': ['kissinger-henry-alfred'], 'P3280': ['0000066725'], 'P3846': ['87097969844626'], 'P1368': ['000030241'], 'P949': ['000076260'], 'P1375': ['000081781'], 'P3065': ['A003456711'], 'P5034': ['KAC199615020'], 'P271': ['DA01384837'], 'P6394': ['a11533602', 'a11533614'], 'P4619': ['000257478'], 'P1315': ['892572'], 'P3365': ['henry-alfred-kissinger'], 'P4223': ['henry-kissinger'], 'P5739': ['43130'], 'P2600': ['6000000004837753648'], 'P1438': ['12103'], 'P6404': ['henry-alfred-kissinger'], 'P1284': ['00000008372'], 'P5019': ['kissinger-henry-alfred'], 'P6594': ['henry-a-kissinger'], 'P6058': ['personnage/wd/127585'], 'P3388': ['35018'], 'P5695': ['54678'], 'P4342': ['Henry_Kissinger'], 'P4839': ['Entity[""Concept"", ""HenryAlfredKissinger::h5253""]'], 'P4527': ['396884'], 'P4657': ['268910401'], 'P8024': ['530'], 'P1580': ['a1396691'], 'P7865': ['95a5yja38danygu695b5yc1j6mtkjd8'], 'P1819': ['I00588680'], 'P4293': ['pe/009665'], 'P7902': ['11856255X'], 'P4104': ['79284'], 'P1309': ['vtls786103'], 'P8286': ['899216'], 'P8034': ['495/334209'], 'P5063': ['i95830'], 'P3346': ['80329'], 'P7982': ['31651'], 'P8568': ['henry-kissinger'], 'P8833': ['30977'], 'P8850': ['247400'], 'P8849': ['10116197', '10116453'], 'P6683': ['89829'], 'P8349': ['31249'], 'P7293': ['9810628476605606'], 'P1695': ['a0000001183993'], 'P9037': ['eeab8f4c-f9e3-4325-bffd-4bc3fef2f8bc'], 'P8814': ['11126280-n'], 'P5617': ['henry-kissinger-178'], 'P7666': ['henry-kissinger'], 'P4985': ['533195'], 'P5421': ['88806'], 'P5815': ['mr-henry-kissinger'], 'P7775': ['Henry_Kissinger'], 'P9629': ['13190'], 'P9807': ['153521'], 'P9918': ['PE00129346'], 'P9984': ['981058508897106706'], 'P8189': ['987007263925505171'], 'P7369': ['000016229'], 'P8179': ['ncf12077064'], 'P3348': ['72749'], 'P7699': ['LNB:V*146596;=BR'], 'P7026': ['18936'], 'P7029': ['770182431'], 'P7700': ['vtls005606226'], 'P10242': ['03480/eu_k_1673/k1673'], 'P8313': ['Henry_Kissinger'], 'P6385': ['istoriya/kissindzher-genri-alfred'], 'P7305': ['3922522'], 'P7400': ['kissingerhenry'], 'P701': ['P31846'], 'P10553': ['079359191'], 'P10297': ['m03k_f'], 'P10660': ['780'], 'P9495': ['person/53563A6F-BB5A-4F5E-AA5B-E86B3EEE974F'], 'P10757': ['3044'], 'P10227': ['vtls000019985'], 'P4666': ['175930'], 'P8168': ['Q225733'], 'P1890': ['000046626'], 'P6424': ['Kissinger Associates Inc.'], 'P10302': ['henri-kissindzher'], 'P6621': ['Henry-Kissinger'], 'P11496': ['1140845216592978688'], 'P11249': ['14709681'], 'P2607': ['8eca361c-99f3-46c6-9c8a-a53e92d10694'], 'P11683': ['genri-kissindzher'], 'P11686': ['981058508897106706'], 'P11711': ['genri-kissindzher'], 'P6219': ['17851689'], 'P1617': ['f6810023-79ae-468c-8baf-dec9b1916585'], 'P11182': ['3723'], 'P9371': ['214088148'], 'P3847': ['person:henry_kissinger_(1923-)'], 'P11179': ['1124'], 'P8445': ['19802'], 'P10832': ['E39PBJdcDqQfRjpt94F4fcYHG3'], 'P8578': ['106801'], 'P8879': ['343904'], 'P7676': ['10405-henry-kissinger'], 'P2722': ['4161081'], 'P2373': ['Henry-kissinger'], 'P2889': ['GG6Z-MCD'], 'P3984': ['iskissingerdeadyet'], 'P12098': ['875414'], 'P973': ['https://baike.sogou.com/v177717.htm'], 'P2949': ['Kissinger-142'], 'P4789': ['U23259'], 'P9802': ['61778'], 'P12385': ['henry-alfred-kissinger'], 'P12458': ['152341'], 'P535': ['261951668'], 'P12153': ['947364943'], 'P6214': ['jmb-pers-199682'], 'P8462': ['kirksey-kittleman.html#627.91.44'], 'P12597': ['269770'], 'P12871': ['03k_f'], 'P13049': ['11856255X'], 'P13166': ['41086'], 'P13183': ['11856255X'], 'P11137': ['henry_kissinger'], 'P9964': ['11856255X'], 'P10387': ['10510'], 'P6640': ['1142'], 'P12854': ['5d7768327228e5001f1de2d2'], 'P10133': ['64422'], 'P13591': ['person/26eb3cdb-3254-466a-ba1c-c0db3897f0bd'], 'P7184': ['03k_f'], 'P2734': ['KissingerHenryA'], 'P5705': ['henry-kissinger'], 'P6327': ['27559'], 'P13983': ['register/person/da2223cb-43cd-4a0c-a742-7ef06f60185a'], 'P13951': ['221422', '236898', '252406', '211318', '221052'], 'P10400': ['11601'], 'P14178': ['jn19990004377'], 'P14225': ['981005675069109366'], 'P1801': ['Henry Kissinger - 1973 Nobel Peace Prize Recipient.jpg'], 'P14377': ['kissindzher-genri-alfred'], 'P14375': ['KissingerHenryA'], 'P8669': ['kissinger-henry'], 'P9322': ['p0000785-Kissinger-Henry-19232023'], 'P14536': ['433317'], 'P13772': ['henry-kissinger'], 'P8969': ['25813'], 'P14750': ['0CAC-0519-BB3E-2275-3C23'], 'P12451': ['151060346'], 'P2581': ['00043706n'], 'P7553': ['210874'], 'P11192': ['5c0f9af956972ccb3e92e87d']}"
Q47510605,Henry Kissinger,painting by James Richard Campbell,['Q3305213'],[],[],[],[],"{'P217': ['NPG.78.TC519'], 'P6152': ['NPG.78.TC519'], 'P4692': ['npg/31440'], 'P7851': ['npg_NPG.78.TC519'], 'P9473': ['sm414b04776-4974-44d2-8404-4f54c094dfda']}"
Q47509190,Henry Kissinger,painting by Stanislaw Zagorski,['Q3305213'],[],[],[],[],"{'P217': ['NPG.78.TC525'], 'P6152': ['NPG.78.TC525'], 'P4692': ['npg/9616'], 'P7851': ['npg_NPG.78.TC525'], 'P9473': ['sm487ed937c-b88c-4187-944a-787d4149eb6f']}"
Q47512269,Henry Kissinger,painting by Gardner Cox,['Q3305213'],[],[],[],[],"{'P217': ['NPG.91.76'], 'P6152': ['NPG.91.76'], 'P4692': ['npg/47424'], 'P7851': ['npg_NPG.91.76'], 'P9473': ['sm44c700fb2-d4bc-4cf9-89d5-3a6088543ec0']}"
Q47511912,Henry Kissinger,painting by Robert M. Peak,['Q3305213'],[],[],[],[],"{'P217': ['NPG.78.TC524'], 'P6152': ['NPG.78.TC524'], 'P4692': ['npg/42652'], 'P7851': ['npg_NPG.78.TC524'], 'P9473': ['sm4e30a3c85-fa0b-4197-8f01-7539b4efc424']}"
Q52152510,Bruce Avolio,American leadership studies scholar,['Q5'],[],[],['+1953-06-17T00:00:00Z'],['Q15980158'],"{'P214': ['11520065'], 'P213': ['000000010954917X'], 'P227': ['170563324'], 'P5034': ['KAC201216814'], 'P1960': ['1LD_lUEAAAAJ'], 'P1006': ['171002784'], 'P1207': ['n2006108448'], 'P2671': ['/g/11hddm_s2y'], 'P3987': ['259810'], 'P10553': ['060670223'], 'P1015': ['90717331'], 'P8189': ['987007425051305171'], 'P244': ['n93070501'], 'P271': ['DA07962594'], 'P691': ['vse2012725123'], 'P1375': ['000553503'], 'P3065': ['A002954085'], 'P269': ['10460624X'], 'P11496': ['1140845216512629120'], 'P12458': ['388746'], 'P10832': ['E39PBJghqdGmFx6xf9QFvdvbVC'], 'P9984': ['981061000564406706'], 'P349': ['001352464'], 'P13591': ['person/33ee0e37-629a-485c-8471-181239a90723'], 'P13049': ['170563324'], 'P14225': ['981005723572809366']}"
Q112520504,Ann Lieberman,,['Q5'],[],[],['+1931-00-00T00:00:00Z'],"['Q1231865', 'Q1622272']","{'P691': ['mub2018990925'], 'P214': ['11163383'], 'P213': ['0000000063346691'], 'P244': ['n81034889'], 'P269': ['077210867'], 'P227': ['1029337195'], 'P5034': ['KAC200904049'], 'P9984': ['981058518205606706'], 'P11686': ['981058518205606706'], 'P8189': ['987007605201205171'], 'P12458': ['400273'], 'P1368': ['000190902'], 'P13591': ['person/a98d5085-863d-4201-b847-2ad7c08e06de'], 'P13906': ['1584133']}"
Q112542883,Lynne Miller,,['Q5'],[],[],['+1945-00-00T00:00:00Z'],['Q1622272'],"{'P691': ['vse20201062192'], 'P214': ['109701748'], 'P227': ['1115807676'], 'P8189': ['987007444611105171'], 'P12458': ['439436'], 'P5034': ['KAC200904050'], 'P213': ['0000000082962748'], 'P13591': ['person/adf7e588-6d28-47b8-890d-37e0c56c8414']}"
Q6709394,Lynne Miller,actress,['Q5'],['Q145'],['Q84'],['+1951-04-27T00:00:00Z'],['Q33999'],"{'P345': ['nm0588864'], 'P7704': ['agent/base/79775'], 'P646': ['/m/094ryk'], 'P9404': ['66210'], 'P4985': ['153602'], 'P3368': ['2251920'], 'P12098': ['323955'], 'P14750': ['0087-92C7-482D-FDC2-3E46']}"
Q124622527,Lynne Miller Franco,researcher,['Q5'],[],[],[],['Q1650915'],{}
