cluster,cluster_size,rank,book_id,title,authors,distance_to_centroid,cluster_label
11,184,5,BOOK02001,Culture Matters,['Jenni Catron'],0.6330061309448813,Organizational Culture and Trust
12,18,1,BOOK00527,Information Technology Project Management,['Kathy Schwalbe'],0.22497732284777816,Information Technology Management
12,18,2,BOOK00563,Project management,['Paul C. Tinnirello'],0.22875804476848516,Information Technology Management
12,18,3,BOOK00931,Information for Innovation,['Stuart Macdonald'],0.2435815525115973,Information Technology Management
12,18,4,BOOK00582,Enterprise Performance Management Done Right,['Ron Dimon'],0.25882807593285806,Information Technology Management
12,18,5,BOOK00430,Making sense of change management,"['Esther Cameron', 'Mike Green']",0.2649562995976864,Information Technology Management
13,72,1,BOOK00011,Leadership,['Elesa Zehndorfer'],0.2862283952233591,General Business and Management
13,72,2,BOOK00055,Full range leadership development,['John J. Sosik'],0.33451755343909995,General Business and Management
13,72,3,BOOK00444,Agile Change Management,['Melanie Franklin'],0.3720781447603413,General Business and Management
13,72,4,BOOK00437,Managing change,"['Todd Jick', 'Maury Peiperl', 'Todd D. Jick']",0.42688638107295285,General Business and Management
13,72,5,BOOK00927,Routledge Companion to Innovation Management,"['Jin Chen', 'Poh Kam Wong', 'Eric Viardot', 'Alexander Brem']",0.43533025172430384,General Business and Management
14,41,1,BOOK00592,Performance Management,['Susan Hutchinson'],0.1599615977162162,Performance Management
14,41,2,BOOK00573,Managing performance,"['Michael Armstrong', 'Angela Baron']",0.2673103512381534,Performance Management
14,41,3,BOOK00569,Performance management systems,['Arup Varma'],0.2775809061670238,Performance Management
14,41,4,BOOK00593,Performance management,['Robert Bacal'],0.30832278594754514,Performance Management
14,41,5,BOOK00587,Performance management,['Robert Bacal'],0.33435382346569,Performance Management
15,27,1,BOOK01355,Five Generations at Work,['Rebecca Robins and Patrick Dunne'],0.036418014687787825,Workplace and Generational Dynamics
15,27,2,BOOK01237,Work Here Now,['Melissa Swift'],0.036418014687787825,Workplace and Generational Dynamics
15,27,3,BOOK01278,Over Work,['Brigid Schulte'],0.036418014687787825,Workplace and Generational Dynamics
15,27,4,BOOK01837,How to Work with (Almost) Anyone,['Michael Bungay Stanier'],0.036418014687787825,Workplace and Generational Dynamics
15,27,5,BOOK01437,Rethinking Work,['Rishad Tobaccowala'],0.036418014687787825,Workplace and Generational Dynamics
16,23,1,BOOK01673,Leading Giants,['Dave Durand'],0.02917723875955891,Leading Self and Others
16,23,2,BOOK01786,Leading Through,"['Kim B. Clark, Jonathan R. Clark and Erin E. Clark']",0.02917723875955891,Leading Self and Others
16,23,3,BOOK01236,Leading with Vulnerability,['Jacob Morgan'],0.02917723875955891,Leading Self and Others
16,23,4,BOOK01347,Leading Yourself,['Elizabeth Lotardo'],0.02917723875955891,Leading Self and Others
16,23,5,BOOK01374,Leading Relationships,['Steve McClatchy'],0.3381317618309758,Leading Self and Others
17,28,1,BOOK00377,People Management,['Gerardus Blokdyk'],0.10304649527070375,People Management
17,28,2,BOOK00358,People Management,['Rus Slater'],0.14596379451528374,People Management
17,28,3,BOOK00345,People management,"['David Rees', 'Richard McBain']",0.14596379451528374,People Management
17,28,4,BOOK00376,Effective people management,['Patricia Wellington'],0.2726445549461388,People Management
17,28,5,BOOK00372,Sustainable People Management,['Morgan Orioha'],0.2898431834594797,People Management
18,50,1,BOOK00858,Emotional Intelligence,['Daniela GOLEMAN'],0.045110594371581936,Emotional Intelligence
18,50,2,BOOK00876,Emotional Intelligence,['Modern Psychology Publishing'],0.045110594371581936,Emotional Intelligence
18,50,3,BOOK00897,Emotional Intelligence,['Daniel Coleman'],0.045110594371581936,Emotional Intelligence
18,50,4,BOOK00873,Emotional Intelligence,['Tanvir Shakil'],0.045110594371581936,Emotional Intelligence
18,50,5,BOOK00889,Emotional Intelligence,['James W. Williams'],0.045110594371581936,Emotional Intelligence
19,39,1,BOOK00124,Executive leadership,['Edutext.'],0.08773219243148944,Executive Leadership
19,39,2,BOOK00129,Police Executive Leadership,['Donald G. Hanna'],0.08773219243148944,Executive Leadership
19,39,3,BOOK00126,Executive leadership,['Joseph A. Olmstead'],0.17915888437102656,Executive Leadership
19,39,4,BOOK00125,Executive Leadership,['Ph D. Joseph Olmstead'],0.17915888437102656,Executive Leadership
19,39,5,BOOK00121,Executive leadership,['William N. Egan'],0.22247046523717406,Executive Leadership
20,57,1,BOOK00284,Human Resource management,['Gary Dessler'],0.04240259024941018,Human Resource Management
20,57,2,BOOK00652,Human resource management,['Gary Dessler'],0.04240259024941018,Human Resource Management
20,57,3,BOOK00650,Human Resource Management,['Raymond A. Noe'],0.04240259024941018,Human Resource Management
20,57,4,BOOK00649,Human resource management,['Robert L. Mathis'],0.04240259024941018,Human Resource Management
20,57,5,BOOK00647,Human Resource Management,"['Ronan Carbery', 'Christine Cross']",0.04240259024941018,Human Resource Management
21,45,1,BOOK00935,Innovation Management,['Rasmus Koss Hartmann'],0.2417222422018317,Innovation Management
21,45,2,BOOK00925,Innovation Management,"['Carolina Machado', 'J. Paulo Davim']",0.2639237860795389,Innovation Management
21,45,3,BOOK00919,Innovation management,"['Shlomo Maital', 'D V R Seshadri']",0.2729668863190704,Innovation Management
21,45,4,BOOK00939,Innovation Management in Robot Society,['Kristian Wasén'],0.2966379770831785,Innovation Management
21,45,5,BOOK00921,Revolution of Innovation Management,"['Alexander Brem', 'Eric Viardot']",0.2985638134400954,Innovation Management
22,27,1,BOOK02039,The Power of Mattering,['Zach Mercurio'],0.022813629079449838,Power and Influence
22,27,2,BOOK01903,On Power,['Mark R. Levin'],0.022813629079449838,Power and Influence
22,27,3,BOOK01683,You to the Power of Two,['Joseph Bradley and Don Tapscott'],0.022813629079449838,Power and Influence
22,27,4,BOOK01129,Untold Power,['Rebecca Boggs Roberts'],0.022813629079449838,Power and Influence
22,27,5,BOOK01178,The Power of Regret,['Daniel H. Pink'],0.022813629079449838,Power and Influence
23,47,1,BOOK00540,Project management,['Jeffrey K. Pinto'],0.06589773838913882,Project Management
23,47,2,BOOK00532,Project Management,['Jeffrey K. Pinto'],0.06589773838913882,Project Management
23,47,3,BOOK00552,Project Management,"['Clifford F. Gray', 'Erik W. Larson']",0.06589773838913882,Project Management
23,47,4,BOOK00549,Contemporary Project Management,"['Timothy Kloppenborg', 'Kathryn Wells', 'Vittal S. Anantatmula']",0.1459986929172602,Project Management
23,47,5,BOOK00561,Project Management Absolute Beginner's Guide,['Greg Horine'],0.17106169890651213,Project Management
24,49,1,BOOK00513,Operations Management,['Terry Hill'],0.08178101844798746,Operations Management
24,49,2,BOOK00485,Operations management,['Jay Heizer'],0.08178101844798746,Operations Management
24,49,3,BOOK00495,Restaurant operations management,"['Jack D. Ninemeier', 'David K. Hayes']",0.09025413115954184,Operations Management
24,49,4,BOOK00512,Production and operations management,['Jay Heizer'],0.11989396973462918,Operations Management
24,49,5,BOOK00489,Production and operations management,['Raymond R. Mayer'],0.11989396973462918,Operations Management
25,108,1,BOOK00003,Kepemimpinan =,['Karjadi M.'],0.08967890136736656,Transformational Leadership
25,108,2,BOOK00973,Leadership Is Overrated,['Kyle Buckett and Chris Mefford'],0.08967890136736656,Transformational Leadership
25,108,3,BOOK01956,The Soil of Leadership,['Britt Yamamoto'],0.08967890136736656,Transformational Leadership
25,108,4,BOOK01829,Leadership Starts with You,['Whitney Breer'],0.08967890136736656,Transformational Leadership
25,108,5,BOOK01164,On Leadership,['Tony Blair'],0.08967890136736656,Transformational Leadership
26,26,1,BOOK01607,Lead With AI,['Amir Elkabir'],0.07824961536410369,Contemporary Leadership Practice
26,26,2,BOOK01482,Formed to Lead,['Jason Jensen'],0.15488305286389925,Contemporary Leadership Practice
26,26,3,BOOK00999,Never Lead Alone,['Keith Ferrazzi'],0.15488305286389925,Contemporary Leadership Practice
26,26,4,BOOK01594,Lead Boldly,['Hugh Blane'],0.15488305286389925,Contemporary Leadership Practice
26,26,5,BOOK01577,Lead Well,['Paula Davis'],0.15488305286389925,Contemporary Leadership Practice
27,82,1,BOOK00389,Strategic management,"['Samuel C. Certo', 'J.Paul Peter']",0.20995913719910608,Strategic Management and Planning
27,82,2,BOOK00423,Strategic management,['Richard L. Lynch'],0.2528015487204892,Strategic Management and Planning
27,82,3,BOOK00382,Strategic management,['Frank T. Rothaermel'],0.27071804665644195,Strategic Management and Planning
27,82,4,BOOK00405,Strategic management,['Allen C. Amason'],0.27219392650471597,Strategic Management and Planning
27,82,5,BOOK00385,Strategic Management,['Fred David'],0.2777734613573236,Strategic Management and Planning
28,285,1,BOOK01534,Sideline CEO,['Marty Smith / Foreword by Tim Tebow'],0.6865921173330172,CEO and Executive Transformation
28,285,2,BOOK01413,How To Be A CEO,['Ben Renshaw'],0.6865921173330172,CEO and Executive Transformation
28,285,3,BOOK01711,From Welfare To CEO,['Korena Keys'],0.6865921173330172,CEO and Executive Transformation
28,285,4,BOOK02010,The Detour CEO,['Paul Perreault'],0.6865921173330172,CEO and Executive Transformation
28,285,5,BOOK01811,A CEO for All Seasons,"['Carolyn Dewar, Scott Keller, Vikram Malhotra and Kurt Strovink']",0.6865921173330172,CEO and Executive Transformation
