openlibrary_author_key,author_name,candidate_rank,wikidata_id,wikidata_label,wikidata_description,wikidata_url,instance_of_qids,citizenship_qids,birthplace_qids,birth_dates,occupation_qids,wikidata_openlibrary_ids,source_ol_author_id,wikidata_ol_author_ids_normalized,exact_openlibrary_id_match,matched_author_identifier,instance_of_parsed,is_human,source_name_normalized,candidate_name_normalized,name_similarity,exact_normalized_name,occupation_qids_parsed,occupation_labels,leadwise_titles,leadwise_book_count,occupation_screen,identity_evidence_tier
OL236061A,Jack R. Meredith,1,Q15429284,Jack R. Meredith,American engineer,http://www.wikidata.org/entity/Q15429284,['Q5'],[],[],['+1939-01-01T00:00:00Z'],"['Q81096', 'Q832136']",[],OL236061A,[],False,False,['Q5'],True,jack r meredith,jack r meredith,1.0,True,"['Q81096', 'Q832136']","['engineer', 'business manager']","['Operations management for MBAs', 'Project management', 'Project Management', 'Information technology project management', 'Project Management in Practice']",5,potentially_compatible,strong_secondary
OL392324A,Andrew Greasley,1,Q4757168,Andrew Greasley,English cricketer (born 1960),http://www.wikidata.org/entity/Q4757168,['Q5'],['Q145'],[],['+1960-03-23T00:00:00Z'],['Q12299841'],[],OL392324A,[],False,False,['Q5'],True,andrew greasley,andrew greasley,1.0,True,['Q12299841'],['cricketer'],['Operations management'],1,potentially_incompatible,conflicting
OL38917A,Robert Kreitner,1,Q139463390,Robert Kreitner,,http://www.wikidata.org/entity/Q139463390,['Q5'],[],['Q40435'],[],"['Q2994387', 'Q1622272']",[],OL38917A,[],False,False,['Q5'],True,robert kreitner,robert kreitner,1.0,True,"['Q2994387', 'Q1622272']","['adviser', 'university teacher']",['Organizational behavior'],3,potentially_compatible,strong_secondary
OL342981A,John W. Slocum,1,Q110085635,John W. Slocum,American lawyer and politician,http://www.wikidata.org/entity/Q110085635,['Q5'],['Q30'],[],['+1867-01-01T00:00:00Z'],"['Q40348', 'Q16533', 'Q82955']",[],OL342981A,[],False,False,['Q5'],True,john w slocum,john w slocum,1.0,True,"['Q40348', 'Q16533', 'Q82955']","['lawyer', 'judge', 'politician']",['Organizational behavior'],1,ambiguous,ambiguous
OL491328A,Nancy J. Adler,1,Q61783042,Nancy J. Adler,Canadian academic,http://www.wikidata.org/entity/Q61783042,['Q5'],['Q16'],['Q621549'],['+1948-10-03T00:00:00Z'],"['Q3400985', 'Q121594', 'Q1028181']",[],OL491328A,[],False,False,['Q5'],True,nancy j adler,nancy j adler,1.0,True,"['Q3400985', 'Q121594', 'Q1028181']","['academic', 'professor', 'painter']",['International dimensions of organizational behavior'],1,potentially_compatible,strong_secondary
OL128085A,Keith Davis,1,Q64831603,Keith Davis,,http://www.wikidata.org/entity/Q64831603,['Q5'],[],[],[],[],[],OL128085A,[],False,False,['Q5'],True,keith davis,keith davis,1.0,True,[],[],"['Organizational behavior', 'Human behavior at work']",3,insufficient,ambiguous
OL3038563A,James Campbell Quick,1,Q95993783,James Campbell Quick,researcher,http://www.wikidata.org/entity/Q95993783,['Q5'],[],[],[],['Q1650915'],[],OL3038563A,[],False,False,['Q5'],True,james campbell quick,james campbell quick,1.0,True,['Q1650915'],['researcher'],['Organizational behavior'],2,potentially_compatible,strong_secondary
OL2178985A,Alan Barker,1,Q37838941,Alan R. Barker,researcher,http://www.wikidata.org/entity/Q37838941,['Q5'],[],[],[],['Q1650915'],[],OL2178985A,[],False,False,['Q5'],True,alan barker,alan r barker,0.9166666666666666,False,['Q1650915'],['researcher'],['Improve Your Communication Skills'],1,potentially_compatible,probable_secondary
OL219084A,Stephen W. Littlejohn,1,Q139003122,Stephen W. Littlejohn,American communication researcher,http://www.wikidata.org/entity/Q139003122,['Q5'],[],['Q65'],['+1944-09-12T00:00:00Z'],['Q36180'],[],OL219084A,[],False,False,['Q5'],True,stephen w littlejohn,stephen w littlejohn,1.0,True,['Q36180'],['writer'],['Theories of human communication'],1,potentially_compatible,strong_secondary
OL228612A,Karen A. Foss,1,Q29833555,Karen A. Foss,American communication scholar,http://www.wikidata.org/entity/Q29833555,['Q5'],[],['Q6106'],['+1950-01-26T00:00:00Z'],"['Q14467526', 'Q2504617']",[],OL228612A,[],False,False,['Q5'],True,karen a foss,karen a foss,1.0,True,"['Q14467526', 'Q2504617']","['linguist', 'Romanist']",['Theories of human communication'],1,ambiguous,ambiguous
OL342495A,Theodore S. Rappaport,1,Q18619463,Theodore Rappaport,American electrical engineering professor,http://www.wikidata.org/entity/Q18619463,['Q5'],['Q30'],['Q18419'],['+1960-11-26T00:00:00Z'],"['Q901', 'Q1327627', 'Q1622272']",[],OL342495A,[],False,False,['Q5'],True,theodore s rappaport,theodore rappaport,0.9473684210526316,False,"['Q901', 'Q1327627', 'Q1622272']","['scientist', 'electrotechnician', 'university teacher']",['Wireless communications'],1,potentially_compatible,probable_secondary
OL39286A,Behrouz A. Forouzan,1,Q4880998,Behrouz A. Forouzan,American academic,http://www.wikidata.org/entity/Q4880998,['Q5'],['Q30'],[],['+1944-01-01T00:00:00Z'],['Q3400985'],[],OL39286A,[],False,False,['Q5'],True,behrouz a forouzan,behrouz a forouzan,1.0,True,['Q3400985'],['academic'],['Data Communications and Networking'],1,potentially_compatible,strong_secondary
OL5318188A,Xi Zhang,1,Q100737136,Xi Zhang,researcher ORCID 0000-0002-8548-2832,http://www.wikidata.org/entity/Q100737136,['Q5'],[],[],[],['Q1650915'],[],OL5318188A,[],False,False,['Q5'],True,xi zhang,xi zhang,1.0,True,['Q1650915'],['researcher'],['Innovative Management and Business Practices in Asia'],1,potentially_compatible,strong_secondary
OL7964852A,James Comey,1,Q167607,James Comey,American lawyer and 7th director of the Federal Bureau of Investigation (born 1960),http://www.wikidata.org/entity/Q167607,['Q5'],['Q30'],['Q128114'],['+1960-12-14T00:00:00Z'],"['Q40348', 'Q1622272', 'Q82955', 'Q185351']",[],OL7964852A,[],False,False,['Q5'],True,james comey,james comey,1.0,True,"['Q40348', 'Q1622272', 'Q82955', 'Q185351']","['lawyer', 'university teacher', 'politician', 'jurist']",['A Higher Loyalty'],1,potentially_compatible,strong_secondary
OL3010393A,Dick Ruhe,1,Q123247117,Dick Ruhe,,http://www.wikidata.org/entity/Q123247117,['Q5'],[],[],"['+1928-05-21T00:00:00Z', '+1928-01-01T00:00:00Z']",['Q15978655'],[],OL3010393A,[],False,False,['Q5'],True,dick ruhe,dick ruhe,1.0,True,['Q15978655'],['consultant'],['Leadership and Self Deception'],1,potentially_compatible,strong_secondary
OL233688A,Richard L. Hughes,1,Q127751718,Richard Hughes,United States academic,http://www.wikidata.org/entity/Q127751718,['Q5'],[],[],[],"['Q3400985', 'Q1622272']",[],OL233688A,[],False,False,['Q5'],True,richard l hughes,richard hughes,0.9333333333333332,False,"['Q3400985', 'Q1622272']","['academic', 'university teacher']",['Leadership'],2,potentially_compatible,probable_secondary
OL2639184A,Robert Ginnett,1,Q64011255,Robert Ginnetti,Canadian-born Italian ice hockey player,http://www.wikidata.org/entity/Q64011255,['Q5'],"['Q16', 'Q38']",['Q24639'],['+1965-07-31T00:00:00Z'],['Q11774891'],[],OL2639184A,[],False,False,['Q5'],True,robert ginnett,robert ginnetti,0.9655172413793104,False,['Q11774891'],['ice hockey player'],['Leadership'],1,ambiguous,ambiguous
OL216820A,Donald T. Phillips,1,Q5295213,Donald T. Phillips,American writer,http://www.wikidata.org/entity/Q5295213,['Q5'],['Q30'],[],['+1952-03-10T00:00:00Z'],['Q36180'],[],OL216820A,[],False,False,['Q5'],True,donald t phillips,donald t phillips,1.0,True,['Q36180'],['writer'],['Lincoln on Leadership'],1,potentially_compatible,strong_secondary
OL217763A,Robert N. Lussier,1,Q112485435,Robert N. Lussier,,http://www.wikidata.org/entity/Q112485435,['Q5'],[],[],['+1949-00-00T00:00:00Z'],['Q121594'],[],OL217763A,[],False,False,['Q5'],True,robert n lussier,robert n lussier,1.0,True,['Q121594'],['professor'],"['Leadership', 'Human Resource Management']",2,potentially_compatible,strong_secondary
OL2648679A,Barry Z. Posner,1,Q16137225,Barry Posner,American leadership academic,http://www.wikidata.org/entity/Q16137225,['Q5'],['Q30'],[],['+1949-03-11T00:00:00Z'],"['Q1569495', 'Q1622272']",[],OL2648679A,[],False,False,['Q5'],True,barry z posner,barry posner,0.9230769230769232,False,"['Q1569495', 'Q1622272']","['lecturer', 'university teacher']","['The leadership challenge', 'The student leadership challenge', 'The Team Leadership Practices Inventory']",3,potentially_compatible,probable_secondary
OL218730A,Elaine Biech,1,Q112444018,Elaine Biech,,http://www.wikidata.org/entity/Q112444018,['Q5'],[],[],['+1947-00-00T00:00:00Z'],[],[],OL218730A,[],False,False,['Q5'],True,elaine biech,elaine biech,1.0,True,[],[],['The leadership challenge'],1,insufficient,ambiguous
OL4148975A,Barry Posner,1,Q16137225,Barry Posner,American leadership academic,http://www.wikidata.org/entity/Q16137225,['Q5'],['Q30'],[],['+1949-03-11T00:00:00Z'],"['Q1569495', 'Q1622272']",[],OL4148975A,[],False,False,['Q5'],True,barry posner,barry posner,1.0,True,"['Q1569495', 'Q1622272']","['lecturer', 'university teacher']",['The leadership challenge'],1,potentially_compatible,strong_secondary
OL8082877A,Peter Schein,1,Q119582967,Peter A. Schein,,http://www.wikidata.org/entity/Q119582967,['Q5'],[],[],[],['Q16849727'],[],OL8082877A,[],False,False,['Q5'],True,peter schein,peter a schein,0.9230769230769232,False,['Q16849727'],['business consultant'],['ORGANIZATIONAL CULTURE AND LEADERSHIP'],1,potentially_compatible,probable_secondary
OL9310463A,Doris Kearns Goodwin,1,Q442008,Doris Kearns Goodwin,American biographer and historian (born 1943),http://www.wikidata.org/entity/Q442008,['Q5'],['Q30'],['Q18419'],['+1943-01-04T00:00:00Z'],"['Q1930187', 'Q201788', 'Q1238570', 'Q36180', 'Q1622272', 'Q864380']",['OL222155A'],OL9310463A,['OL222155A'],False,False,['Q5'],True,doris kearns goodwin,doris kearns goodwin,1.0,True,"['Q1930187', 'Q201788', 'Q1238570', 'Q36180', 'Q1622272', 'Q864380']","['journalist', 'historian', 'political scientist', 'writer', 'university teacher', 'biographer']",['Leadership In Turbulent Times'],1,potentially_compatible,strong_secondary
OL659144A,Ronald E. Riggio,1,Q72594844,Ronald E. Riggio,researcher,http://www.wikidata.org/entity/Q72594844,['Q5'],[],[],['+1955-01-01T00:00:00Z'],"['Q1650915', 'Q1622272']",[],OL659144A,[],False,False,['Q5'],True,ronald e riggio,ronald e riggio,1.0,True,"['Q1650915', 'Q1622272']","['researcher', 'university teacher']","['Transformational Leadership', 'Transformation leadership', 'Future of Leadership Development']",3,potentially_compatible,strong_secondary
OL4929480A,David Logan,1,Q509794,David Logan,American basketball player,http://www.wikidata.org/entity/Q509794,['Q5'],"['Q30', 'Q36']",['Q1297'],['+1982-12-26T00:00:00Z'],['Q3665646'],[],OL4929480A,[],False,False,['Q5'],True,david logan,david logan,1.0,True,['Q3665646'],['basketball player'],['Tribal leadership'],1,potentially_incompatible,conflicting
OL2632097A,Dave Logan,1,Q16731592,Dave Logan,American author and professor,http://www.wikidata.org/entity/Q16731592,['Q5'],['Q30'],[],['+1968-03-27T00:00:00Z'],"['Q36180', 'Q1622272', 'Q16849727']",['OL4929480A'],OL2632097A,['OL4929480A'],False,False,['Q5'],True,dave logan,dave logan,1.0,True,"['Q36180', 'Q1622272', 'Q16849727']","['writer', 'university teacher', 'business consultant']",['Tribal leadership'],1,potentially_compatible,strong_secondary
OL2632099A,Halee Fischer-Wright,1,Q43110878,Halee Fischer-Wright,American physician,http://www.wikidata.org/entity/Q43110878,['Q5'],['Q30'],[],['+1950-00-00T00:00:00Z'],['Q36180'],[],OL2632099A,[],False,False,['Q5'],True,halee fischer wright,halee fischer wright,1.0,True,['Q36180'],['writer'],['Tribal leadership'],1,potentially_compatible,strong_secondary
OL386286A,Joe D. Batten,1,Q112373371,Joe D. Batten,,http://www.wikidata.org/entity/Q112373371,['Q5'],[],[],['+1925-00-00T00:00:00Z'],['Q974144'],[],OL386286A,[],False,False,['Q5'],True,joe d batten,joe d batten,1.0,True,['Q974144'],['educator'],['Tough Minded Leadership'],1,potentially_compatible,strong_secondary
OL1236399A,John Heider,1,Q112418595,John Heider,,http://www.wikidata.org/entity/Q112418595,['Q5'],[],[],['+1936-00-00T00:00:00Z'],['Q1113899'],[],OL1236399A,[],False,False,['Q5'],True,john heider,john heider,1.0,True,['Q1113899'],['clinical psychologist'],['The Tao of leadership'],1,potentially_compatible,strong_secondary
OL9507985A,Martin Tan,1,Q113503900,Martin Tank,- 1627 Wismar,http://www.wikidata.org/entity/Q113503900,['Q5'],[],[],[],[],[],OL9507985A,[],False,False,['Q5'],True,martin tan,martin tank,0.9523809523809524,False,[],[],['The student leadership challenge'],1,insufficient,ambiguous
OL545889A,Lee G. Bolman,1,Q93239421,Lee G. Bolman,,http://www.wikidata.org/entity/Q93239421,['Q5'],[],[],['+1941-01-01T00:00:00Z'],['Q1622272'],[],OL545889A,[],False,False,['Q5'],True,lee g bolman,lee g bolman,1.0,True,['Q1622272'],['university teacher'],['Reframing Organizations'],1,potentially_compatible,strong_secondary
OL2637309A,John Wooden,1,Q551032,John Wooden,American basketball coach (1910–2010),http://www.wikidata.org/entity/Q551032,['Q5'],['Q30'],['Q5642538'],['+1910-10-14T00:00:00Z'],"['Q189290', 'Q5137571', 'Q3665646', 'Q36180']",['OL6849812A'],OL2637309A,['OL6849812A'],False,False,['Q5'],True,john wooden,john wooden,1.0,True,"['Q189290', 'Q5137571', 'Q3665646', 'Q36180']","['military officer', 'basketball coach', 'basketball player', 'writer']",['Wooden on Leadership'],1,ambiguous,ambiguous
OL3480923A,Jill Barr,1,Q65018279,Jill Barrie,badminton player,http://www.wikidata.org/entity/Q65018279,['Q5'],['Q145'],[],['+1960-00-00T00:00:00Z'],['Q13141064'],[],OL3480923A,[],False,False,['Q5'],True,jill barr,jill barrie,0.9,False,['Q13141064'],['badminton player'],['Leadership in health care'],1,ambiguous,ambiguous
OL2623346A,Patricia Zigarmi,1,Q120602364,Patricia Zigarmi,,http://www.wikidata.org/entity/Q120602364,['Q5'],[],[],[],"['Q2994387', 'Q9379869']",[],OL2623346A,[],False,False,['Q5'],True,patricia zigarmi,patricia zigarmi,1.0,True,"['Q2994387', 'Q9379869']","['adviser', 'lecturer']",['Leadership and the one minute manager'],1,ambiguous,ambiguous
OL2623347A,Drea Zigarmi,1,Q120602365,Drea Zigarmi,,http://www.wikidata.org/entity/Q120602365,['Q5'],[],[],[],"['Q2994387', 'Q9379869']",[],OL2623347A,[],False,False,['Q5'],True,drea zigarmi,drea zigarmi,1.0,True,"['Q2994387', 'Q9379869']","['adviser', 'lecturer']",['Leadership and the one minute manager'],1,ambiguous,ambiguous
OL778253A,Richard A. Gorton,1,Q139446157,Richard A. Gorton,,http://www.wikidata.org/entity/Q139446157,['Q5'],[],[],[],"['Q1231865', 'Q1238570', 'Q2306091', 'Q1622272']",[],OL778253A,[],False,False,['Q5'],True,richard a gorton,richard a gorton,1.0,True,"['Q1231865', 'Q1238570', 'Q2306091', 'Q1622272']","['pedagogue', 'political scientist', 'sociologist', 'university teacher']",['School leadership and administration'],1,potentially_compatible,strong_secondary
OL1478504A,Judy A. Alston,1,Q139443948,Judy A. Alston,,http://www.wikidata.org/entity/Q139443948,['Q5'],[],[],[],['Q1231865'],[],OL1478504A,[],False,False,['Q5'],True,judy a alston,judy a alston,1.0,True,['Q1231865'],['pedagogue'],['School leadership and administration'],1,ambiguous,ambiguous
OL3925630A,Max DePree,1,Q3302067,Max De Pree,American businessman and writer (1924–2017),http://www.wikidata.org/entity/Q3302067,['Q5'],['Q30'],['Q1840466'],['+1924-10-28T00:00:00Z'],"['Q36180', 'Q2961975', 'Q131524']",[],OL3925630A,[],False,False,['Q5'],True,max depree,max de pree,0.9523809523809524,False,"['Q36180', 'Q2961975', 'Q131524']","['writer', 'business executive', 'entrepreneur']",['Leadership Is an Art'],1,potentially_compatible,probable_secondary
