book_id,scrape_id,title,subtitle,author,isbn_source,isbn_normalized,isbn_13,isbn_status,publisher,publication_date,publication_year,format,page_count,edition_note,cover_url,external_book_url,release_pages,source_metadata_conflict,source,openlibrary_key,match_method,match_confidence
BOOK00972,876,Deliberate Calm,How to Learn and Lead in a Volatile World,"Jacqueline Brassey, Aaron De Smet and Michiel Kruyt",9780063208964,9780063208964,9780063208964,Valid ISBN-13,Harper Business,2022-11-29,2022,Hardcover,336.0,,https://www.leadershipnow.com/leadershop/images/9780063208964.jpg,https://amzn.to/3h69oU5,['2022 Releases'],False,LeadershipNow,,,
BOOK00973,659,Leadership Is Overrated,How the Navy SEALs (and Successful Businesses) Create Self-Leading Teams That Win,Kyle Buckett and Chris Mefford,9780063209909,9780063209909,9780063209909,Valid ISBN-13,HarperOne,2023-08-29,2023,Hardcover,256.0,,https://www.leadershipnow.com/leadershop/images/9780063209909.jpg,https://amzn.to/3qjWaYe,['2023 Releases'],False,LeadershipNow,,,
BOOK00974,706,Unlocked,"Embrace Your Greatness, Find the Flow, Discover Success",George Mumford,9780063210097,9780063210097,9780063210097,Valid ISBN-13,HarperOne,2023-05-02,2023,Hardcover,240.0,,https://www.leadershipnow.com/leadershop/images/9780063210097.jpg,https://amzn.to/40IpxAk,['2023 Releases'],False,LeadershipNow,,,
BOOK00975,583,How Work Works,The Subtle Science of Getting Ahead Without Losing Yourself,Michelle P. King,9780063224575,9780063224575,9780063224575,Valid ISBN-13,Harper Business,2023-10-10,2023,Hardcover,240.0,,https://www.leadershipnow.com/leadershop/images/9780063224575.jpg,https://amzn.to/3DQsANG,['2023 Releases'],False,LeadershipNow,,,
BOOK00976,641,MoneyZen,"The Secret to Finding Your ""Enough""",Manisha Thakor with Lisa Sweetingham,9780063247963,9780063247963,9780063247963,Valid ISBN-13,Harper Business,2023-08-08,2023,Hardcover,208.0,,https://www.leadershipnow.com/leadershop/images/9780063247963.jpg,https://amzn.to/470cizc,['2023 Releases'],False,LeadershipNow,,,
BOOK00977,603,Master of Change,How to Excel When Everything Is Changing  Including You,Brad Stulberg,9780063253162,9780063253162,9780063253162,Valid ISBN-13,HarperOne,2023-09-05,2023,Hardcover,240.0,,https://www.leadershipnow.com/leadershop/images/9780063253162.jpg,https://amzn.to/3Cetu5L,['2023 Releases'],False,LeadershipNow,,,
BOOK00978,870,The LEGO Story,How a Little Toy Sparked the World's Imagination,Jens Andersen,9780063258020,9780063258020,9780063258020,Valid ISBN-13,Mariner Books,2022-11-15,2022,Hardcover,432.0,,https://www.leadershipnow.com/leadershop/images/9780063258020.jpg,https://amzn.to/3SO1ADF,['2022 Releases'],False,LeadershipNow,,,
BOOK00979,667,Lead Like a Marine,"Run Towards a Challenge, Assemble Your Fireteam, and Win Your Next Battle",Daniel Simons and Christopher Chabris,9780063264373,9780063264373,9780063264373,Valid ISBN-13,Harper Business,2023-07-11,2023,Hardcover,224.0,,https://www.leadershipnow.com/leadershop/images/9780063264373.jpg,https://amzn.to/42mE7y0,['2023 Releases'],False,LeadershipNow,,,
BOOK00980,192,Conflict Resilience,Negotiating Disagreement Without Giving Up or Giving In,Robert Bordone and Joel Salinas M.D.,9780063278332,9780063278332,9780063278332,Valid ISBN-13,Harper Business,2025-03-18,2025,Hardcover,400.0,,https://www.leadershipnow.com/leadershop/images/9780063278332.jpg,https://amzn.to/4f61an8,['2025 Releases'],False,LeadershipNow,,,
BOOK00981,517,Optimal,How to Sustain Personal and Organizational Excellence Every Day,Daniel Goleman and Cary Cherniss,9780063279766,9780063279766,9780063279766,Valid ISBN-13,Harper Business,2024-01-09,2024,Hardcover,272.0,,https://www.leadershipnow.com/leadershop/images/9780063279766.jpg,https://amzn.to/3Rlz5iV,['2024 Releases'],False,LeadershipNow,,,
BOOK00982,286,Job Moves,9 Steps for Making Progress in Your Career,"Ethan Bernstein, Michael B. Horn and Bob Moesta",9780063283589,9780063283589,9780063283589,Valid ISBN-13,Harper Business,2024-11-19,2024,Hardcover,304.0,,https://www.leadershipnow.com/leadershop/images/9780063283589.jpg,https://amzn.to/4d9DUnv,['2024 Releases'],False,LeadershipNow,,,
BOOK00983,707,Turnaround Time,Uniting an Airline and Its Employees in the Friendly Skies,Oscar Munoz and Brian DeSplinter,9780063284289,9780063284289,9780063284289,Valid ISBN-13,Harper Business,2023-05-02,2023,Hardcover,240.0,,https://www.leadershipnow.com/leadershop/images/9780063284289.jpg,https://amzn.to/3MUS4zf,['2023 Releases'],False,LeadershipNow,,,
BOOK00984,500,Possible,How We Survive (and Thrive) in an Age of Conflict,William Ury,9780063286900,9780063286900,9780063286900,Valid ISBN-13,Harper Business,2024-02-20,2024,Hardcover,352.0,,https://www.leadershipnow.com/leadershop/images/9780063286900.jpg,https://amzn.to/48ncMjF,['2024 Releases'],False,LeadershipNow,,,
BOOK00985,393,Good Judgment,Making Better Business Decisions with the Science of Human Personality,Richard Davis,9780063293670,9780063293670,9780063293670,Valid ISBN-13,Harper Business,2024-06-11,2024,Hardcover,240.0,,https://www.leadershipnow.com/leadershop/images/9780063293670.jpg,https://amzn.to/3V5dMDh,['2024 Releases'],False,LeadershipNow,,,
BOOK00986,241,Inspire,The Universal Path for Leading Yourself and Others,Adam Galinsky,9780063294677,9780063294677,9780063294677,Valid ISBN-13,Harper Business,2025-01-21,2025,Hardcover,320.0,,https://www.leadershipnow.com/leadershop/images/9780063294677.jpg,https://amzn.to/4iQB3E0,['2025 Releases'],False,LeadershipNow,,,
BOOK00987,401,What's Next Is Now,How to Live Future Ready,Frederik Pferdt,9780063294868,9780063294868,9780063294868,Valid ISBN-13,Harper Business,2024-06-18,2024,Hardcover,272.0,,https://www.leadershipnow.com/leadershop/images/9780063294868.jpg,https://amzn.to/4g294hQ,['2024 Releases'],False,LeadershipNow,,,
BOOK00988,489,Learned Excellence,Mental Disciplines for Leading and Winning from the World's Top Performers,Eric Potterat and Alan Eagle,9780063316164,9780063316164,9780063316164,Valid ISBN-13,Harper Business,2024-02-06,2024,Hardcover,256.0,,https://www.leadershipnow.com/leadershop/images/9780063316164.jpg,https://amzn.to/3vhvVnS,['2024 Releases'],False,LeadershipNow,,,
BOOK00989,436,Uptime,A Practical Guide to Personal Productivity and Wellbeing,Laura Mae Martin,9780063317444,9780063317444,9780063317444,Valid ISBN-13,Harper Business,2024-04-02,2024,Hardcover,240.0,,https://www.leadershipnow.com/leadershop/images/9780063317444.jpg,https://amzn.to/3Tou4aV,['2024 Releases'],False,LeadershipNow,,,
BOOK00990,429,Day Trading Attention,How to Actually Build Brand and Sales in the New Social Media World,Gary Vaynerchuk,9780063317598,9780063317598,9780063317598,Valid ISBN-13,Harper Business,2024-05-21,2024,Hardcover,272.0,,https://www.leadershipnow.com/leadershop/images/9780063317598.jpg,https://amzn.to/3UjDCTm,['2024 Releases'],False,LeadershipNow,,,
BOOK00991,475,How to Walk into a Room,The Art of Knowing When to Stay and When to Walk Away,Emily P. Freeman,9780063328822,9780063328822,9780063328822,Valid ISBN-13,HarperOne,2024-03-12,2024,Hardcover,240.0,,https://www.leadershipnow.com/leadershop/images/9780063328822.jpg,https://amzn.to/4bOQ7ye,['2024 Releases'],False,LeadershipNow,,,
BOOK00992,392,The Skill Code,How to Save Human Ability in an Age of Intelligent Machines,Matt Beane,9780063337794,9780063337794,9780063337794,Valid ISBN-13,Harper Business,2024-06-11,2024,Hardcover,224.0,,https://www.leadershipnow.com/leadershop/images/9780063337794.jpg,https://amzn.to/3UMl7Hn,['2024 Releases'],False,LeadershipNow,,,
BOOK00993,201,Win the Inside Game,"How to Move from Surviving to Thriving, and Free Yourself Up to Perform",Steve Magness,9780063339927,9780063339927,9780063339927,Valid ISBN-13,HarperOne,2025-02-04,2025,Hardcover,320.0,,https://www.leadershipnow.com/leadershop/images/9780063339927.jpg,https://amzn.to/3Zdjm9J,['2025 Releases'],False,LeadershipNow,,,
BOOK00994,196,The Stress Paradox,"Why You Need Stress to Live Longer, Healthier, and Happier-An Essential Stress Management Companion with a Mind-Body-Soul Approach",Sharon Horesh Bergquist,9780063345966,9780063345966,9780063345966,Valid ISBN-13,Harvest,2025-03-25,2025,Hardcover,336.0,,https://www.leadershipnow.com/leadershop/images/9780063345966.jpg,https://amzn.to/3HpsMc9,['2025 Releases'],False,LeadershipNow,,,
BOOK00995,519,The Six Disciplines of Strategic Thinking,Leading Your Organization into the Future,Michael D. Watkins,9780063357969,9780063357969,9780063357969,Valid ISBN-13,Harper Business,2024-01-09,2024,Hardcover,192.0,,https://www.leadershipnow.com/leadershop/images/9780063357969.jpg,https://amzn.to/41sAvvJ,['2024 Releases'],False,LeadershipNow,,,
BOOK00996,299,Pivot or Die,How Leaders Thrive When Everything Changes,Gary Shapiro,9780063374775,9780063374775,9780063374775,Valid ISBN-13,Willam Morrow,2024-10-08,2024,Hardcover,272.0,,https://www.leadershipnow.com/leadershop/images/9780063374775.jpg,https://amzn.to/3xSo1Dm,['2024 Releases'],False,LeadershipNow,,,
BOOK00997,177,The Sweaty Startup,How to Get Rich Doing Boring Things,Nick Huber,9780063387621,9780063387621,9780063387621,Valid ISBN-13,Harper Business,2025-04-29,2025,Hardcover,240.0,,https://www.leadershipnow.com/leadershop/images/9780063387621.jpg,https://amzn.to/41V9Yca,['2025 Releases'],False,LeadershipNow,,,
BOOK00998,33,Team Intelligence,How Brilliant Leaders Unlock Collective Genius,Jon Levy,9780063399570,9780063399570,9780063399570,Valid ISBN-13,Harper Business,2025-10-07,2025,Hardcover,256.0,,https://www.leadershipnow.com/leadershop/images/9780063399570.jpg,https://amzn.to/3VPmWnW,['2025 Releases'],False,LeadershipNow,,,
BOOK00999,278,Never Lead Alone,10 Shifts from Leadership to Teamship,Keith Ferrazzi,9780063412576,9780063412576,9780063412576,Valid ISBN-13,Harper Business,2024-11-12,2024,Hardcover,224.0,,https://www.leadershipnow.com/leadershop/images/9780063412576.jpg,https://amzn.to/4fCSmGM,['2024 Releases'],False,LeadershipNow,,,
BOOK01000,127,"Speak, Memorably",The Art of Captivating an Audience,Bill McGowan and Juliana Silva,9780063415195,9780063415195,9780063415195,Valid ISBN-13,Harper Business,2025-06-10,2025,Hardcover,272.0,,https://www.leadershipnow.com/leadershop/images/9780063415195.jpg,https://amzn.to/4kf644w,['2025 Releases'],False,LeadershipNow,,,
BOOK01001,143,The AI Con,How to Fight Big Tech's Hype and Create the Future We Want,Emily M. Bender and Alex Hanna,9780063418561,9780063418561,9780063418561,Valid ISBN-13,Harper,2025-05-13,2025,Hardcover,288.0,,https://www.leadershipnow.com/leadershop/images/9780063418561.jpg,https://amzn.to/4iOANVZ,['2025 Releases'],False,LeadershipNow,,,
BOOK01002,768,Unfiltered,The CEO and the Coach,Ana Lueneburger and Saurabh Mukherjea,9780143461494,9780143461494,9780143461494,Valid ISBN-13,Penguin Random House India Pvt. Ltd,2023-03-10,2023,Paperback,280.0,,https://www.leadershipnow.com/leadershop/images/9780143461494.jpg,https://amzn.to/3Lo4xKw,['2023 Releases'],False,LeadershipNow,,,
BOOK01003,12,The CEO Mindset,,Shiv Shivakumar,9780143477259,9780143477259,9780143477259,Valid ISBN-13,Penguin Business,2025-12-15,2025,Hardcover,240.0,,https://www.leadershipnow.com/leadershop/images/9780143477259.jpg,https://amzn.to/43Jajzh,['2025 Releases'],False,LeadershipNow,,,
BOOK01004,973,Nimitz at War,Command Leadership from Pearl Harbor to Tokyo Bay,Craig L. Symonds,9780190062361,9780190062361,9780190062361,Valid ISBN-13,Oxford University Press,2022-06-01,2022,Hardcover,496.0,,https://www.leadershipnow.com/leadershop/images/9780190062361.jpg,https://amzn.to/3vH9d5T,['2022 Releases'],False,LeadershipNow,,,
BOOK01005,676,Our Least Important Asset,Why the Relentless Focus on Finance and Accounting is Bad for Business and Employees,Peter Cappelli,9780197629802,9780197629802,9780197629802,Valid ISBN-13,Oxford University Press,2023-07-25,2023,Hardcover,240.0,,https://www.leadershipnow.com/leadershop/images/9780197629802.jpg,https://amzn.to/3pxcTH8,['2023 Releases'],False,LeadershipNow,,,
BOOK01006,514,Glad We Met,The Art and Science of 1:1 Meetings,Steven G. Rogelberg,9780197641873,9780197641873,9780197641873,Valid ISBN-13,Oxford University Press,2024-01-02,2024,Hardcover,248.0,,https://www.leadershipnow.com/leadershop/images/9780197641873.jpg,https://amzn.to/3RtZCJN,['2024 Releases'],False,LeadershipNow,,,
BOOK01007,270,Innovators,,David W. Galenson,9780197745618,9780197745618,9780197745618,Valid ISBN-13,Oxford University Press,2024-11-05,2024,Hardcover,424.0,,https://www.leadershipnow.com/leadershop/images/9780197745618.jpg,https://amzn.to/3Ux7PPQ,['2024 Releases'],False,LeadershipNow,,,
BOOK01008,219,Emotionally Charged,How to Lead in the New World of Work,Dina Denham Smith and Alicia A. Grandey,9780197750155,9780197750155,9780197750155,Valid ISBN-13,Oxford University Press,2025-02-18,2025,Hardcover,256.0,,https://www.leadershipnow.com/leadershop/images/9780197750155.jpg,https://amzn.to/3AY3771,['2025 Releases'],False,LeadershipNow,,,
BOOK01009,477,Leadership from Bad to Worse,What Happens When Bad Festers,Barbara Kellerman,9780197759271,9780197759271,9780197759271,Valid ISBN-13,Oxford University Press,2024-03-12,2024,Hardcover,256.0,,https://www.leadershipnow.com/leadershop/images/9780197759271.jpg,https://amzn.to/3uvMgVZ,['2024 Releases'],False,LeadershipNow,,,
BOOK01010,655,Liberalism's Last Man,Hayek in the Age of Political Capitalism,Vikash Yadav,9780226821474,9780226821474,9780226821474,Valid ISBN-13,University of Chicago Press,2023-08-28,2023,Hardcover,288.0,,https://www.leadershipnow.com/leadershop/images/9780226821474.jpg,https://amzn.to/3WLmBCB,['2023 Releases'],False,LeadershipNow,,,
BOOK01011,282,More Than Pretty Boxes,How the Rise of Professional Organizing Shows Us the Way We Work Isn’t Working,Carrie M. Lane,9780226832777,9780226832777,9780226832777,Valid ISBN-13,University of Chicago Press,2024-11-12,2024,Hardcover,288.0,,https://www.leadershipnow.com/leadershop/images/9780226832777.jpg,https://amzn.to/4ebcWwB,['2024 Releases'],False,LeadershipNow,,,
BOOK01012,20,The Means of Prediction,How AI Really Works (and Who Benefits),Maximilian Kasy,9780226839530,9780226839530,9780226839530,Valid ISBN-13,University of Chicago Press,2025-11-04,2025,Hardcover,224.0,,https://www.leadershipnow.com/leadershop/images/9780226839530.jpg,https://amzn.to/4hxijcc,['2025 Releases'],False,LeadershipNow,,,
BOOK01013,158,The Unaccountability Machine,Why Big Systems Make Terrible Decisionsand How the World Lost Its Mind,Dan Davies,9780226843087,9780226843087,9780226843087,Valid ISBN-13,University of Chicago Press,2025-04-04,2025,Hardcover,304.0,,https://www.leadershipnow.com/leadershop/images/9780226843087.jpg,https://amzn.to/3Flk1yr,['2025 Releases'],False,LeadershipNow,,,
BOOK01014,29,Doing Meritocracy Right,How Business Leaders Can Turn an American Aspiration into Reality (and Why They Should),Thomas A. Cole,9780226844596,9780226844596,9780226844596,Valid ISBN-13,University of Chicago Press,2025-11-24,2025,Paperback,192.0,,https://www.leadershipnow.com/leadershop/images/9780226844596.jpg,https://amzn.to/4krzGLw,['2025 Releases'],False,LeadershipNow,,,
BOOK01015,703,Generation Why,How Boomers Can Lead and Learn from Millennials and Gen Z,Karl Moore,9780228016878,9780228016878,9780228016878,Valid ISBN-13,McGill-Queen's University Press,2023-05-01,2023,Paperback,216.0,,https://www.leadershipnow.com/leadershop/images/9780228016878.jpg,https://amzn.to/40yrWOs,['2023 Releases'],False,LeadershipNow,,,
BOOK01016,874,The Entrepreneurs,The Relentless Quest for Value,Derek Lidow,9780231199148,9780231199148,9780231199148,Valid ISBN-13,Columbia Business School Publishing,2022-11-29,2022,Hardcover,440.0,,https://www.leadershipnow.com/leadershop/images/9780231199148.jpg,https://amzn.to/3QyLyO5,['2022 Releases'],False,LeadershipNow,,,
BOOK01017,1097,Win from Within,Build Organizational Culture for Competitive Advantage,James Heskett,9780231203005,9780231203005,9780231203005,Valid ISBN-13,Columbia Business School Publishing,2022-01-04,2022,Hardcover,256.0,,https://www.leadershipnow.com/leadershop/images/9780231203005.jpg,https://amzn.to/37x73tj,['2022 Releases'],False,LeadershipNow,,,
BOOK01018,416,Pause to Think,Using Mental Models to Learn and Decide,Jaime Lester,9780231212984,9780231212984,9780231212984,Valid ISBN-13,Columbia Business School Publishing,2024-05-07,2024,Hardcover,232.0,,https://www.leadershipnow.com/leadershop/images/9780231212984.jpg,https://amzn.to/3UdG8ux,['2024 Releases'],False,LeadershipNow,,,
BOOK01019,599,Inside IBM,Lessons of a Corporate Culture in Action,James W. Cortada,9780231213004,9780231213004,9780231213004,Valid ISBN-13,Columbia Business School Publishing,2023-10-31,2023,Hardcover,480.0,,https://www.leadershipnow.com/leadershop/images/9780231213004.jpg,https://amzn.to/3OS6qkr,['2023 Releases'],False,LeadershipNow,,,
BOOK01020,93,Energize,Make the Most of Every Moment,Simon Alexander Ong,9780241502761,9780241502761,9780241502761,Valid ISBN-13,Penguin Business,2025-08-26,2025,Paperback,224.0,,https://www.leadershipnow.com/leadershop/images/9780241502761.jpg,https://amzn.to/45uE0oM,['2025 Releases'],False,LeadershipNow,,,
BOOK01021,937,Everyday Superhero,How You Can Inspire Everyone And Create Real Change At Work,Tony O'Driscoll,9780241502785,9780241502785,9780241502785,Valid ISBN-13,Penguin Business,2022-08-02,2022,Paperback,192.0,,https://www.leadershipnow.com/leadershop/images/9780241502785.jpg,https://amzn.to/3SUu5AP,['2022 Releases'],False,LeadershipNow,,,
BOOK01022,1086,The Digital Multinational,Navigating the New Normal in Global Business,Satish Nambisan and Yadong Luo,9780262046329,9780262046329,9780262046329,Valid ISBN-13,The MIT Press,2022-02-15,2022,Hardcover,264.0,,https://www.leadershipnow.com/leadershop/images/9780262046329.jpg,https://amzn.to/3G4Cslv,['2022 Releases'],False,LeadershipNow,,,
BOOK01023,1115,The Work of the Future,Building Better Jobs in an Age of Intelligent Machines,"David H. Autor, David A. Mindell and Elisabeth Reynolds",9780262046367,9780262046367,9780262046367,Valid ISBN-13,The MIT Press,2022-01-25,2022,Hardcover,176.0,,https://www.leadershipnow.com/leadershop/images/9780262046367.jpg,https://amzn.to/30ZoSxX,['2022 Releases'],False,LeadershipNow,,,
BOOK01024,1059,Work without Jobs,How to Reboot Your Organization’s Work Operating System,Ravin Jesuthasanand John W. Boudreau,9780262046411,9780262046411,9780262046411,Valid ISBN-13,The MIT Press,2022-03-15,2022,Hardcover,232.0,,https://www.leadershipnow.com/leadershop/images/9780262046411.jpg,https://amzn.to/3KVcq7S,['2022 Releases'],False,LeadershipNow,,,
BOOK01025,1042,Productive Tensions,How Every Leader Can Tackle Innovation’s Toughest Trade-Offs,Christopher B. Bingham and Rory M. McDonald,9780262046930,9780262046930,9780262046930,Valid ISBN-13,The MIT Press,2022-04-26,2022,Hardcover,184.0,,https://www.leadershipnow.com/leadershop/images/9780262046930.jpg,https://amzn.to/3HaHUoh,['2022 Releases'],False,LeadershipNow,,,
BOOK01026,737,Workforce Ecosystems,"Reaching Strategic Goals with People, Partners, and Technologies","Elizabeth J. Altman, David Kiron, Jeff Schwartz and Robin Jones",9780262047777,9780262047777,9780262047777,Valid ISBN-13,The MIT Press,2023-04-11,2023,Hardcover,256.0,,https://www.leadershipnow.com/leadershop/images/9780262047777.jpg,https://amzn.to/3ZHxZiT,['2023 Releases'],False,LeadershipNow,,,
BOOK01027,735,Inside the Competitor's Mindset,How to Predict Their Next Move and Position Yourself for Success,John Horn,9780262047883,9780262047883,9780262047883,Valid ISBN-13,The MIT Press,2023-04-11,2023,Hardcover,272.0,,https://www.leadershipnow.com/leadershop/images/9780262047883.jpg,https://amzn.to/3BpGhCt,['2023 Releases'],False,LeadershipNow,,,
BOOK01028,304,The Leaders You Need,"How to Create Diverse Leadership Teams for a More Dynamic, Resilient Future",Karen Brown,9780262049085,9780262049085,9780262049085,Valid ISBN-13,The MIT Press,2024-10-15,2024,Hardcover,208.0,,https://www.leadershipnow.com/leadershop/images/9780262049085.jpg,https://amzn.to/3yfFXrr,['2024 Releases'],False,LeadershipNow,,,
