book_id,canonical_title,authors,description,subjects,first_publish_year,average_rating,ratings_count,edition_count,want_to_read_count,currently_reading_count,already_read_count,cover_url,openlibrary_key,source_openlibrary,source_leadershipnow,publication_year_observed,title_normalized
BOOK00011,Leadership,['Elesa Zehndorfer'],,"['Leadership', 'Industrial management', ""Gestion d'entreprise"", 'BUSINESS & ECONOMICS / Industrial Management', 'BUSINESS & ECONOMICS / Management', 'BUSINESS & ECONOMICS / Management Science', 'BUSINESS & ECONOMICS / Organizational Behavior', 'BUSINESS & ECONOMICS / Leadership']",2013.0,5.0,1.0,12.0,32.0,3.0,1.0,https://covers.openlibrary.org/b/id/13806636-L.jpg,/works/OL19982874W,True,False,,leadership
BOOK00012,Leadership,"['Richard L. Hughes', 'Robert C. Ginnett', 'Gordon J Curphy', 'Richard Hughes', 'Robert Ginnett', 'Gordon Curphy', 'Gordon J. Curphy']",,"['Leadership', 'Management', 'Leiderschap', 'Management & management techniques', 'Industrial & Organizational Psychology', 'Business & Economics', 'Business / Economics / Finance', 'Psychology']",1993.0,,,11.0,37.0,6.0,2.0,https://covers.openlibrary.org/b/id/63396-L.jpg,/works/OL1947324W,True,False,,leadership
BOOK00013,Lincoln on Leadership,['Donald T. Phillips'],"A guide to business leadership based on the strategies of Abraham Lincoln focuses on the President's most difficult decisions during the Civil War, offering lessons based on his experiences for today's businessperson.","['Views on political leadership', 'Political leadership', 'Leadership', 'Politische Führung', 'Leiderschap', 'Politische Fu\x98hrung', 'Lincoln, abraham, 1809-1865']",1992.0,4.75,4.0,3.0,92.0,5.0,4.0,https://covers.openlibrary.org/b/id/285557-L.jpg,/works/OL1807678W,True,False,,lincoln on leadership
BOOK00014,Leadership,['James MacGregor Burns'],"A systematic study, ranging from the salons of eighteenth-century Paris to the revolutionary cadres of the present century, views leadership as dialectic, synthetic, collective, and consciousness-raising and scrutinizes its causes and effects.","['Leadership', 'Fu\x98hrungspsychologie', 'Fu\x98hrungseigenschaft', 'Politische Fu\x98hrung', 'Politieke aspecten', 'Führung', 'Pouvoir (sciences sociales)', 'Leiderschap', 'Ethische aspecten']",1978.0,5.0,1.0,4.0,59.0,3.0,0.0,https://covers.openlibrary.org/b/id/4448837-L.jpg,/works/OL30484W,True,False,,leadership
BOOK00015,Leadership,['Robert N. Lussier'],,"['Teams in the workplace', 'Leadership']",2000.0,4.5,4.0,5.0,48.0,4.0,1.0,https://covers.openlibrary.org/b/id/194497-L.jpg,/works/OL1815713W,True,False,,leadership
BOOK00016,The leadership challenge,"['James M. Kouzes', 'Barry Z. Posner', 'Elaine Biech', 'Barry Posner']","When it was initially written in 1987, few could have predicted that The Leadership Challenge would become one of the best-selling leadership books of all time. Now, faced with the new challenges of our unpredictable global business environment, Jim Kouzes and Barry Posner--two of the country's premier leadership experts--have completely revised and updated their classic book. Building on the knowledge base of their previous books, the third edition of The Leadership Challenge is grounded in extensive research and based on interviews with all kinds of leaders at all levels in public and private organizations from around the world. In this edition, the authors emphasize that the fundamentals of leadership are the same today as they were in the 1980s, and as they've probably been for centuries. In that sense, nothing's new. Leadership is not a fad. While the content of leadership has not changed, the context has-and in some cases, changed dramatically.","['Executive ability', 'Leadership', 'Management', 'Business', 'Nonfiction', 'Leiderschap', 'Aptitude pour la direction', 'Colección Gestión', 'Books and reading', 'Organization and Administration', 'Gestion', 'Sisters of St. Francis of Mary Immaculate', 'Administrative Personnel', 'Organizational Efficiency', 'Manuels', 'Autoformation', 'Ledarskap', 'Personnel Management', 'Führungsstil', 'Führung', 'Management, study and teaching', 'Executives, training of', 'Efficiency, organizational', 'Hd57.7 .k68 2007', 'Hd 57.7 k88l 2007', '658.4/092']",1987.0,5.0,1.0,40.0,33.0,3.0,1.0,https://covers.openlibrary.org/b/id/548022-L.jpg,/works/OL1974749W,True,True,,the leadership challenge
BOOK00017,ORGANIZATIONAL CULTURE AND LEADERSHIP,"['Schein, Edgar H.', 'Peter Schein']","Organizational culture refers to culture in any type of organization including that of schools, universities, not-for-profit groups, government agencies, or business entities. In business, terms such as corporate culture and company culture are often used to refer to a similar concept. The term corporate culture became widely known in the business world in the late 1980s and early 1990s.[28][29] Corporate culture was already used by managers, sociologists, and organizational theorists by the beginning of the 80s.[30][31] The related idea of organizational climate emerged in the 1960s and 70s, and the terms are now somewhat overlapping,[32][33] as climate is one aspect of culture that focuses primarily on the behaviors encouraged by the organization","['Corporate culture', 'Culture', 'Leadership', ""Culture d'entreprise"", 'PSYCHOLOGY', 'Social Psychology', 'Society', 'Hd58.7 .s33 2017', '302.3/5']",1991.0,5.0,1.0,10.0,41.0,1.0,2.0,https://covers.openlibrary.org/b/id/7905069-L.jpg,/works/OL17628850W,True,False,,organizational culture and leadership
BOOK00018,Leadership,['Richard L. Hughes'],,['Leadership'],2012.0,,,1.0,72.0,8.0,0.0,https://covers.openlibrary.org/b/id/9593539-L.jpg,/works/OL16296611W,True,False,,leadership
BOOK00019,Leadership In Turbulent Times,"['Doris Kearns Goodwin', 'Doris Kearns Goodwin']","In this culmination of five decades of acclaimed studies in presidential history, Pulitzer Prize-winning author Doris Kearns Goodwin offers an illuminating exploration into the early development, growth, and exercise of leadership. Are leaders born or made? Where does ambition come from? How does adversity affect the growth of leadership? Does the man make the times or do the times make the man? In Leadership in Turbulent Times, Goodwin draws upon four of the presidents she has studied most closely—Abraham Lincoln, Theodore Roosevelt, Franklin D. Roosevelt, and Lyndon B. Johnson (in civil rights)—to show how they first recognized leadership qualities within themselves, and were recognized by others as leaders. No common pattern describes the trajectory of leadership. Although set apart in background, abilities, and temperament, these men shared a fierce ambition and a deep-seated resilience that enabled them to surmount uncommon adversity. At their best, all four were guided by a sense of moral purpose. At moments of great challenge, they were able to summon their talents to enlarge the opportunities and lives of others. This seminal work provides an accessible and essential road map for aspiring and established leaders in every field. In today’s polarized world, these stories of authentic leadership in times of apprehension and fracture take on a singular urgency. ([source][1]) [1]: https://doriskearnsgoodwin.com/books/","['Politics and government', 'Political culture', 'Political leadership', 'Presidents', 'Character', 'Case studies', 'Crisis management', 'History', 'Business & economics', 'leadership', 'political science', 'government', 'executive branch', 'Case Reports', 'Biographies', 'biography', 'political process', 'biography & autobiography', 'presidents & heads of state', 'presidential leadership', 'Presidents, united states', 'United states, politics and government', 'Lincoln, abraham, 1809-1865', 'Roosevelt, theodore, 1858-1919', 'Roosevelt, franklin d. (franklin delano), 1882-1945', 'Johnson, lyndon b. (lyndon baines), 1908-1973', 'nyt:combined-print-and-e-book-nonfiction=2018-10-07', 'New York Times bestseller', 'New York Times reviewed', 'United states, history', 'POLITICAL SCIENCE / Political Process / Leadership', 'BIOGRAPHY & AUTOBIOGRAPHY / Presidents & Heads of State', 'Theodore Roosevelt']",2018.0,,,11.0,35.0,3.0,2.0,https://covers.openlibrary.org/b/id/12373708-L.jpg,/works/OL17934890W,True,False,,leadership in turbulent times
BOOK00020,Leadership,"['Michael Z. Hackman', 'Craig E. Johnson']",,"['Communication', 'Leadership', 'Politics - Current Events', 'Business & Economics / Management Science', 'Politics / Current Events', 'Business/Economics', 'Political Process - Leadership', 'Business & Economics', 'Management Science', 'Business & Economics / Leadership', 'Fu\x98hrung', 'Fu\x98hrungseigenschaft', 'Language arts', 'Business']",1991.0,4.0,1.0,7.0,32.0,3.0,1.0,https://covers.openlibrary.org/b/id/833338-L.jpg,/works/OL1693759W,True,False,,leadership
BOOK00021,Transformational Leadership,"['Bernard M. Bass', 'Ronald E. Riggio']","""Transformational Leadership, Second Edition is intended for both the scholars and serious students of leadership. It is a comprehensive review of theorizing and empirical research that can serve as a reference and starting point for additional research on the theory. It can be used as a supplementary textbook in an intense course on leadership - or as a primary text in a course or seminar focusing on transformational leadership.""--Publisher's website.","['Leadership', 'Organizational change']",2005.0,5.0,1.0,9.0,28.0,1.0,2.0,https://covers.openlibrary.org/b/id/1522594-L.jpg,/works/OL21002118W,True,False,,transformational leadership
BOOK00022,Tribal leadership,"['David Logan', 'Dave Logan', 'John King', 'Halee Fischer-Wright', 'King, John, III', 'John King (undifferentiated)']","It's a fact of life: birds flock, fish school, people ""tribe.""Every company, indeed every organization, is a tribe, or if it's large enough, a network of tribes—groups of 20 to 150 people in which everyone knows everyone else, or at least knows of everyone else. Tribes are more powerful than teams, companies, or even CEOs, and yet their key leverage points have not been mapped—until now. In Tribal Leadership, Dave Logan, John King, and Halee Fischer-Wright show leaders how to assess their organization's tribal culture on a scale from one to five and then implement specific tools to elevate the stage to the next. The result is unprecedented success.In a rigorous eight-year study of approximately 24,000 people in over two dozen corporations, Logan, King, and Fischer-Wright refine and define a common theme: the success of a company depends on its tribes, the strength of its tribes is determined by the tribal culture, and a thriving corporate culture can be established by an effective tribal leader. Tribal Leadership will show leaders how to employ their companies' tribes to maximize productivity and profit: the authors' research, backed up with interviews ranging from Brian France (CEO of NASCAR) to ""Dilbert"" creator Scott Adams, shows that over three quarters of the organizations they've studied have tribal cultures that are merely adequate, no better than the third of five tribal stages.Leaders, managers, and organizations that fail to understand, motivate, and grow their tribes will find it impossible to succeed in an increasingly fragmented world of business. The often counterintuitive findings of Tribal Leadership will help leaders at today's major corporations, small businesses, and nonprofits learn how to take the people in their organization from adequate to outstanding, to discover the secrets that have led the highest-level tribes (like the team at Apple that designed the iPod) to remarkable heights, and to find new ways to succeed where others have failed.","['Teams in the workplace', 'Leadership', 'Organizational behavior', 'Business', 'Management', 'Nonfiction', 'Gestion du personnel', 'Organisation du travail', 'Motivations', ""Travail d'équipe"", 'Associations, institutions', 'Workplace', 'nyt:paperback-advice=2011-06-26', 'New York Times bestseller']",2007.0,,,13.0,31.0,2.0,4.0,https://covers.openlibrary.org/b/id/5506671-L.jpg,/works/OL11659147W,True,False,,tribal leadership
BOOK00023,Tough Minded Leadership,['Joe D. Batten'],,"['Leadership', 'Management', 'Leadership, religious aspects']",1989.0,5.0,1.0,3.0,32.0,2.0,1.0,https://covers.openlibrary.org/b/id/4068570-L.jpg,/works/OL2649476W,True,False,,tough minded leadership
BOOK00024,Transforming Leadership,['James MacGregor Burns'],"The award-winning historian critically examines the role of leadership in the twenty-first century, outlining a program through which leaders can become agents of positive social change.","['Empowerment', 'Politieke leiding', 'Leadership', 'Geschichte', 'Führung', 'History', 'Leadership--history', 'Hm1261 .b87 2003', '303.3/4']",2003.0,1.0,1.0,6.0,28.0,2.0,1.0,https://covers.openlibrary.org/b/id/6635120-L.jpg,/works/OL30487W,True,False,,transforming leadership
BOOK00025,Leadership,['Rudolph W. Giuliani'],,"['Politics and government', 'September 11 Terrorist Attacks, 2001', 'Biographies', ""Hommes d'État"", 'New York (N.Y.)', 'Administration', 'Attentats du 11 septembre 2001, E tats-Unis', ""Hommes d'E tat"", 'Maires', 'Politicians', 'Leadership', 'Attentats du 11 septembre 2001, États-Unis', 'Mayors', 'Biography', 'Statesmen', 'New York City', 'Terrorist attack', 'September 11, 2001', 'September 11 terrorist attacks, 2001', ""Hommes d'état"", 'New york (n.y.)', 'Attentats du 11 septembre 2001, e tats-unis', ""Hommes d'e tat"", 'Attentats du 11 septembre 2001, états-unis', 'New york city']",2002.0,,,5.0,21.0,2.0,1.0,https://covers.openlibrary.org/b/id/545838-L.jpg,/works/OL694165W,True,False,,leadership
BOOK00026,Transformation leadership,"['Bernard M. Bass', 'Ronald E. Riggio']",,"['Leadership', 'Organizational change', 'Organizational Innovation', 'Changement organisationnel', 'BUSINESS & ECONOMICS']",2005.0,,,1.0,40.0,0.0,0.0,https://covers.openlibrary.org/b/id/1522595-L.jpg,/works/OL19907717W,True,False,,transformation leadership
BOOK00027,Las cinco disfunciones de un equipo,['Patrick Lencioni'],"In The Five Dysfunctions of a Team Patrick Lencioni once again offers a leadership fable that is as enthralling and instructive as his first two best-selling books, The Five Temptations of a CEO and The Four Obsessions of an Extraordinary Executive. This time, he turns his keen intellect and storytelling power to the fascinating, complex world of teams. Kathryn Petersen, Decision Tech's CEO, faces the ultimate leadership crisis: Uniting a team in such disarray that it threatens to bring down the entire company. Will she succeed? Will she be fired? Will the company fail? Lencioni's utterly gripping tale serves as a timeless reminder that leadership requires as much courage as it does insight. Throughout the story, Lencioni reveals the five dysfunctions which go to the very heart of why teams even the best ones-often struggle. He outlines a powerful model and actionable steps that can be used to overcome these common hurdles and build a cohesive, effective team. Just as with his other books, Lencioni has written a compelling fable with a powerful yet deceptively simple message for all those who strive to be exceptional team leaders.","['Management', 'Nonfiction', 'Business', 'Teams in the workplace', 'Industrial Psychology', 'Organization & administration', 'Travail de groupe', 'Leadership', 'Teamwork', 'Workplace', 'Institutional Management Teams', 'Équipes de travail', 'Personnel Management', 'Group Processes', 'Employees, training of', 'Self-actualization (psychology)', 'Comic books, strips', 'Teams in the workplace--comic books, strips, etc', 'Hd66 .l456 2008', '658.402', 'Institutional Mangement Teams']",2002.0,3.6,10.0,18.0,78.0,1.0,13.0,https://covers.openlibrary.org/b/id/10863273-L.jpg,/works/OL1835386W,True,False,,las cinco disfunciones de un equipo
BOOK00028,The Tao of leadership,['John Heider'],,"['Taoísmo', 'Psychological aspects of Leadership', 'Leadership', 'Psychological aspects', 'Taoism', 'Liderazgo', 'Dao de jing (Laozi)']",1985.0,5.0,1.0,14.0,42.0,5.0,1.0,https://covers.openlibrary.org/b/id/692190-L.jpg,/works/OL5367479W,True,False,,the tao of leadership
BOOK00029,The student leadership challenge,"['James M. Kouzes', 'Barry Z. Posner', 'Beth High', 'Gary M. Morgan', 'Martin Tan']","Derived from the classic leadership book The Leadership Challenge, Fourth Edition, this is a concise, focused primer on the Five Practices of Exemplary Leadership for students. Grounded in the same extensive research as the best selling The Leadership Challenge, this book uses examples and language to which students in higher education can relate. It also features reflective and critical thinking activities at the end of each chapter to help students engage in each of the Five Practices. -- Publisher description from http://www.josseybass.com (Oct. 3, 2011).","['Leadership', 'College student government', 'Interpersonal relations', 'Student government', 'Education - social & political aspects']",2000.0,,,39.0,12.0,1.0,0.0,https://covers.openlibrary.org/b/id/9250811-L.jpg,/works/OL1974738W,True,False,,the student leadership challenge
BOOK00030,Reframing Organizations,['Lee G. Bolman'],"In this third edition of their best-selling classic, authors Lee Bolman and Terrence Deal explain the powerful tool of ""reframing."" The authors have distilled the organizational literature into a comprehensive approach for looking at situations from more than one angle. Their four frames view organizations as factories, families, jungles, and theaters or temples: The Structural Frame: how to organize and structure groups and teams to get results The Human Resource Frame: how to tailor organizations to satisfy human needs, improve human resource management, and build positive interpersonal and group dynamics The Political Frame: how to cope with power and conflict, build coalitions, hone political skills, and deal with internal and external politics The Symbolic Frame: how to shape a culture that gives purpose and meaning to work, stage organizational drama for internal and external audiences, and build team spirit through ritual, ceremony, and story","['Leadership', 'Management', 'Organizational behavior', 'Business', 'Nonfiction', 'Comportement organisationnel', 'Gestion', ""Culture d'entreprise"", 'Management.', 'Organizational behavior.', 'Leadership.', 'Risk Management', 'Organization and Administration', 'Administracao', 'Prise de decision', 'Organisatie', 'Unternehmen', 'Theorie', 'Administracao De Empresas', 'Unternehmensorganisation', 'Prise de décision', 'Job Satisfaction', 'Personnel Management', 'Industrial Psychology', 'Führung', 'Organisationshandeln', 'Associations, institutions, etc.', 'Organizational change', 'BUSINESS & ECONOMICS', 'Structural Adjustment', 'Organisationssoziologie', 'Organisationsverhalten', 'Organisationsutveckling', 'Organisationsförändringar', 'Företagsorganisation', 'Management Service Organizations', 'Organisatiegedrag', 'Leiderschap', 'Organizational Culture', 'Organizational Innovation', 'Institutional Management Teams', 'Management Quality Circles', 'Hd31 .b6135 2003', '658.4/063', 'Hd31 .b6135 2008', 'Psychology, industrial', 'Hd31 .b6135 2013', 'Hd31 .b6135 2017']",1991.0,,,36.0,27.0,1.0,1.0,https://covers.openlibrary.org/b/id/549072-L.jpg,/works/OL3359455W,True,False,,reframing organizations
BOOK00031,Wooden on Leadership,['John Wooden'],"""Team spirit, loyalty, enthusiasm, determination...Acquire and keep these traits and success should follow."" --Coach John WoodenJohn Wooden is without question one of the most respected and honored sports coaches in our nations history. But it wasn't winning games that drove him; it was ensuring that, regardless of the final score, his players always put forth their utmost effort and performed to the best of their abilities.One of the lesser-known aspects of Wooden is the notebooks in which, beginning in 1948, he regularly recorded his thoughts, inspirations, and life lessons. In Wooden on Leadership, the legendary coach and his longtime collaborator Steve Jamison combine the best of those notebooks with Wooden's far-more-celebrated Pyramid of Success to create a leadership skills guide designed to help anyone develop character, conviction, and remarkable achievement.Whether discussing teamwork (""It takes 10 hands to score a basket"") and self-control (""Emotion is the enemy"") to concentration (""Don't look at the scoreboard"") and dealing with defeat (""Things turn out best for those who make the best of the way things turn out"").","['Business', 'Nonfiction', 'Leadership', 'Management']",2005.0,5.0,1.0,3.0,36.0,1.0,2.0,https://covers.openlibrary.org/b/id/60373-L.jpg,/works/OL7912826W,True,False,,wooden on leadership
BOOK00032,Brand leadership,"['David A. Aaker', 'Erich Joachimsthaler']",,"['Brand name products', 'Management', 'Sales & marketing', 'Product Management', 'Business & Economics', 'Business / Economics / Finance', 'Business/Economics', 'United States', 'Marketing - General', 'Advertising & Promotion', 'Business & Economics / Marketing / General', 'Marketing', 'Merken', 'Merkartikelen', 'Merknamen', 'Strategie', 'Marques de commerce']",2000.0,,,5.0,31.0,1.0,0.0,https://covers.openlibrary.org/b/id/7290666-L.jpg,/works/OL9947459W,True,False,,brand leadership
BOOK00033,SuperVision and Instructional Leadership,"['Carl D. Glickman', 'Stephen P. Gordon', 'Jovita M. Ross-Gordon']",,"['School supervision', 'Schulaufsicht', 'Educational leadership', 'Inspection des écoles']",2000.0,5.0,2.0,15.0,19.0,1.0,3.0,https://covers.openlibrary.org/b/id/1145869-L.jpg,/works/OL2631715W,True,False,,supervision and instructional leadership
BOOK00034,Leadership,['Simon Western'],,"['Leadership', 'Economics', 'Industrial management']",2007.0,,,13.0,13.0,0.0,0.0,https://covers.openlibrary.org/b/id/2771147-L.jpg,/works/OL9723833W,True,False,,leadership
BOOK00035,Leadership Strategy and Tactics,['Jocko Willink'],,"['Strategic planning', 'Leadership', 'Sociology', 'Economics', 'nyt:advice-how-to-and-miscellaneous=2020-02-02', 'New York Times bestseller', 'BUSINESS & ECONOMICS / Economics / General']",2020.0,4.0,1.0,7.0,26.0,0.0,2.0,https://covers.openlibrary.org/b/id/9380709-L.jpg,/works/OL20703991W,True,False,,leadership strategy and tactics
BOOK00036,Leadership,['Henry Kissinger'],,"['nyt:combined-print-and-e-book-nonfiction=2022-07-24', 'New York Times bestseller']",2022.0,,,10.0,26.0,0.0,1.0,https://covers.openlibrary.org/b/id/14249975-L.jpg,/works/OL25348188W,True,True,,leadership
BOOK00037,Improving organizational effectiveness through transformational leadership,"['Bernard M. Bass', 'Bruce J. Avolio']",,"['Leadership', 'Organizational effectiveness']",1994.0,5.0,2.0,2.0,37.0,2.0,3.0,https://covers.openlibrary.org/b/id/1516336-L.jpg,/works/OL18306659W,True,False,,improving organizational effectiveness through transformational leadership
BOOK00038,Introduction to Leadership,['Peter G. Northouse'],,['Leadership'],2011.0,,,5.0,28.0,0.0,0.0,https://covers.openlibrary.org/b/id/8872957-L.jpg,/works/OL20220610W,True,False,,introduction to leadership
BOOK00039,Teacher leadership,"['Ann Lieberman', 'Lynne Miller']",,"['Educational leadership', 'Professional relationships', 'Teacher participation in administration', 'Teachers']",1950.0,,,7.0,12.0,1.0,0.0,https://covers.openlibrary.org/b/id/1482285-L.jpg,/works/OL18785478W,True,False,,teacher leadership
BOOK00040,HR leadership,['Linda Holbeche'],"What is HR leadership and what difference can it make to business success? Who is demonstrating HR leadership now and what might HR leadership look like in the future? How can aspiring HR leaders gain the skills, behaviours and credibility to navigate new and complex career structures and move up the career ladder? These are just some of the questions addressed by Linda Holbeche in her latest book. HR leadership is a rapidly evolving concept. It is as much a mindset, philosophy and set of capabilities as a role. HR Leadership draws on the personal experiences of some of today's most talented HR professionals who, through their leadership, are making a real difference to their organisations, no matter what industry they work in. Holbeche looks at the experiences which shaped them and the values and priorities which drive them. The book contains: . Revealing interviews with Senior HR leaders from Google, McDonald's, the UK's National Policing Improvement Agency and other major organisations, offering insights into their own career development . An overview of the capabilities needed for success as an HR leader and suggestions about how to develop these . Practical illustrations from leading companies, demonstrate how effective HR leaders play a driving role in building healthy and effective organisations to offer competitive edge HR Leadership illustrates to business managers what effective HR looks like at its best. Its well-informed and practical advice make this book a must-read for anyone wanting to develop their career as an HR leader. . Revealing interviews with Senior HR leaders from Google, McDonald's, the UK's National Policing Improvement Agency and other major organisations, offering insights into their own career development . An overview of the capabilities needed for success as an HR leader and suggestions about how to develop these . Practical illustrations from leading companies, demonstrate how effective HR leaders play a driving role in building healthy and effective organisations to offer competitive edge.","['Human Resources & Personnel Management', 'Leadership', 'Business', 'Workplace Culture', 'Personnel management', 'BUSINESS & ECONOMICS', 'Personnel', 'Direction']",2010.0,,,8.0,12.0,0.0,0.0,https://covers.openlibrary.org/b/id/9270506-L.jpg,/works/OL16918034W,True,False,,hr leadership
BOOK00041,Leadership in health care,"['Jill Barr', 'Lesley L Dowding']",,"['Administration', 'Health services administration', 'Nursing services', 'Health systems & services', 'Nursing', 'Services infirmiers', 'Health Services Administration', 'Leadership', 'Santé, Services de', 'Interprofessional Relations', 'Nursing services, administration', 'Medical', 'Health care delivery']",2008.0,,,16.0,12.0,0.0,0.0,https://covers.openlibrary.org/b/id/2771103-L.jpg,/works/OL9454258W,True,False,,leadership in health care
BOOK00042,Organizational culture and leadership,"['Schein, Edgar H.']","Presents a comprehensive analysis of organizational culture - what it is, how it develops, and how it functions in relation to managerial style and organizational effectiveness.","['Culture', 'Leadership', 'Corporate culture', 'open_syllabus_project', 'Organizational behavior', 'Organizational sociology', 'Organization', 'Management']",1985.0,4.0,1.0,5.0,22.0,4.0,1.0,https://covers.openlibrary.org/b/id/774364-L.jpg,/works/OL1906630W,True,False,,organizational culture and leadership
