book_id,title,description,first_publish_year,publication_year_observed,cover_url,openlibrary_key,source_openlibrary,source_leadershipnow
BOOK00013,Lincoln on Leadership,"A guide to business leadership based on the strategies of Abraham Lincoln focuses on the President's most difficult decisions during the Civil War, offering lessons based on his experiences for today's businessperson.",1992.0,,https://covers.openlibrary.org/b/id/285557-L.jpg,/works/OL1807678W,True,False
BOOK00014,Leadership,"A systematic study, ranging from the salons of eighteenth-century Paris to the revolutionary cadres of the present century, views leadership as dialectic, synthetic, collective, and consciousness-raising and scrutinizes its causes and effects.",1978.0,,https://covers.openlibrary.org/b/id/4448837-L.jpg,/works/OL30484W,True,False
BOOK00015,Leadership,,2000.0,,https://covers.openlibrary.org/b/id/194497-L.jpg,/works/OL1815713W,True,False
BOOK00016,The leadership challenge,"When it was initially written in 1987, few could have predicted that The Leadership Challenge would become one of the best-selling leadership books of all time. Now, faced with the new challenges of our unpredictable global business environment, Jim Kouzes and Barry Posner--two of the country's premier leadership experts--have completely revised and updated their classic book. Building on the knowledge base of their previous books, the third edition of The Leadership Challenge is grounded in extensive research and based on interviews with all kinds of leaders at all levels in public and private organizations from around the world. In this edition, the authors emphasize that the fundamentals of leadership are the same today as they were in the 1980s, and as they've probably been for centuries. In that sense, nothing's new. Leadership is not a fad. While the content of leadership has not changed, the context has-and in some cases, changed dramatically.",1987.0,,https://covers.openlibrary.org/b/id/548022-L.jpg,/works/OL1974749W,True,True
BOOK00017,ORGANIZATIONAL CULTURE AND LEADERSHIP,"Organizational culture refers to culture in any type of organization including that of schools, universities, not-for-profit groups, government agencies, or business entities. In business, terms such as corporate culture and company culture are often used to refer to a similar concept. The term corporate culture became widely known in the business world in the late 1980s and early 1990s.[28][29] Corporate culture was already used by managers, sociologists, and organizational theorists by the beginning of the 80s.[30][31] The related idea of organizational climate emerged in the 1960s and 70s, and the terms are now somewhat overlapping,[32][33] as climate is one aspect of culture that focuses primarily on the behaviors encouraged by the organization",1991.0,,https://covers.openlibrary.org/b/id/7905069-L.jpg,/works/OL17628850W,True,False
BOOK00018,Leadership,,2012.0,,https://covers.openlibrary.org/b/id/9593539-L.jpg,/works/OL16296611W,True,False
BOOK00019,Leadership In Turbulent Times,"In this culmination of five decades of acclaimed studies in presidential history, Pulitzer Prize-winning author Doris Kearns Goodwin offers an illuminating exploration into the early development, growth, and exercise of leadership. Are leaders born or made? Where does ambition come from? How does adversity affect the growth of leadership? Does the man make the times or do the times make the man? In Leadership in Turbulent Times, Goodwin draws upon four of the presidents she has studied most closely—Abraham Lincoln, Theodore Roosevelt, Franklin D. Roosevelt, and Lyndon B. Johnson (in civil rights)—to show how they first recognized leadership qualities within themselves, and were recognized by others as leaders. No common pattern describes the trajectory of leadership. Although set apart in background, abilities, and temperament, these men shared a fierce ambition and a deep-seated resilience that enabled them to surmount uncommon adversity. At their best, all four were guided by a sense of moral purpose. At moments of great challenge, they were able to summon their talents to enlarge the opportunities and lives of others. This seminal work provides an accessible and essential road map for aspiring and established leaders in every field. In today’s polarized world, these stories of authentic leadership in times of apprehension and fracture take on a singular urgency. ([source][1]) [1]: https://doriskearnsgoodwin.com/books/",2018.0,,https://covers.openlibrary.org/b/id/12373708-L.jpg,/works/OL17934890W,True,False
BOOK00020,Leadership,,1991.0,,https://covers.openlibrary.org/b/id/833338-L.jpg,/works/OL1693759W,True,False
BOOK00021,Transformational Leadership,"""Transformational Leadership, Second Edition is intended for both the scholars and serious students of leadership. It is a comprehensive review of theorizing and empirical research that can serve as a reference and starting point for additional research on the theory. It can be used as a supplementary textbook in an intense course on leadership - or as a primary text in a course or seminar focusing on transformational leadership.""--Publisher's website.",2005.0,,https://covers.openlibrary.org/b/id/1522594-L.jpg,/works/OL21002118W,True,False
BOOK00022,Tribal leadership,"It's a fact of life: birds flock, fish school, people ""tribe.""Every company, indeed every organization, is a tribe, or if it's large enough, a network of tribes—groups of 20 to 150 people in which everyone knows everyone else, or at least knows of everyone else. Tribes are more powerful than teams, companies, or even CEOs, and yet their key leverage points have not been mapped—until now. In Tribal Leadership, Dave Logan, John King, and Halee Fischer-Wright show leaders how to assess their organization's tribal culture on a scale from one to five and then implement specific tools to elevate the stage to the next. The result is unprecedented success.In a rigorous eight-year study of approximately 24,000 people in over two dozen corporations, Logan, King, and Fischer-Wright refine and define a common theme: the success of a company depends on its tribes, the strength of its tribes is determined by the tribal culture, and a thriving corporate culture can be established by an effective tribal leader. Tribal Leadership will show leaders how to employ their companies' tribes to maximize productivity and profit: the authors' research, backed up with interviews ranging from Brian France (CEO of NASCAR) to ""Dilbert"" creator Scott Adams, shows that over three quarters of the organizations they've studied have tribal cultures that are merely adequate, no better than the third of five tribal stages.Leaders, managers, and organizations that fail to understand, motivate, and grow their tribes will find it impossible to succeed in an increasingly fragmented world of business. The often counterintuitive findings of Tribal Leadership will help leaders at today's major corporations, small businesses, and nonprofits learn how to take the people in their organization from adequate to outstanding, to discover the secrets that have led the highest-level tribes (like the team at Apple that designed the iPod) to remarkable heights, and to find new ways to succeed where others have failed.",2007.0,,https://covers.openlibrary.org/b/id/5506671-L.jpg,/works/OL11659147W,True,False
BOOK00023,Tough Minded Leadership,,1989.0,,https://covers.openlibrary.org/b/id/4068570-L.jpg,/works/OL2649476W,True,False
BOOK00024,Transforming Leadership,"The award-winning historian critically examines the role of leadership in the twenty-first century, outlining a program through which leaders can become agents of positive social change.",2003.0,,https://covers.openlibrary.org/b/id/6635120-L.jpg,/works/OL30487W,True,False
BOOK00025,Leadership,,2002.0,,https://covers.openlibrary.org/b/id/545838-L.jpg,/works/OL694165W,True,False
BOOK00026,Transformation leadership,,2005.0,,https://covers.openlibrary.org/b/id/1522595-L.jpg,/works/OL19907717W,True,False
BOOK00027,Las cinco disfunciones de un equipo,"In The Five Dysfunctions of a Team Patrick Lencioni once again offers a leadership fable that is as enthralling and instructive as his first two best-selling books, The Five Temptations of a CEO and The Four Obsessions of an Extraordinary Executive. This time, he turns his keen intellect and storytelling power to the fascinating, complex world of teams. Kathryn Petersen, Decision Tech's CEO, faces the ultimate leadership crisis: Uniting a team in such disarray that it threatens to bring down the entire company. Will she succeed? Will she be fired? Will the company fail? Lencioni's utterly gripping tale serves as a timeless reminder that leadership requires as much courage as it does insight. Throughout the story, Lencioni reveals the five dysfunctions which go to the very heart of why teams even the best ones-often struggle. He outlines a powerful model and actionable steps that can be used to overcome these common hurdles and build a cohesive, effective team. Just as with his other books, Lencioni has written a compelling fable with a powerful yet deceptively simple message for all those who strive to be exceptional team leaders.",2002.0,,https://covers.openlibrary.org/b/id/10863273-L.jpg,/works/OL1835386W,True,False
BOOK00028,The Tao of leadership,,1985.0,,https://covers.openlibrary.org/b/id/692190-L.jpg,/works/OL5367479W,True,False
BOOK00029,The student leadership challenge,"Derived from the classic leadership book The Leadership Challenge, Fourth Edition, this is a concise, focused primer on the Five Practices of Exemplary Leadership for students. Grounded in the same extensive research as the best selling The Leadership Challenge, this book uses examples and language to which students in higher education can relate. It also features reflective and critical thinking activities at the end of each chapter to help students engage in each of the Five Practices. -- Publisher description from http://www.josseybass.com (Oct. 3, 2011).",2000.0,,https://covers.openlibrary.org/b/id/9250811-L.jpg,/works/OL1974738W,True,False
BOOK00030,Reframing Organizations,"In this third edition of their best-selling classic, authors Lee Bolman and Terrence Deal explain the powerful tool of ""reframing."" The authors have distilled the organizational literature into a comprehensive approach for looking at situations from more than one angle. Their four frames view organizations as factories, families, jungles, and theaters or temples: The Structural Frame: how to organize and structure groups and teams to get results The Human Resource Frame: how to tailor organizations to satisfy human needs, improve human resource management, and build positive interpersonal and group dynamics The Political Frame: how to cope with power and conflict, build coalitions, hone political skills, and deal with internal and external politics The Symbolic Frame: how to shape a culture that gives purpose and meaning to work, stage organizational drama for internal and external audiences, and build team spirit through ritual, ceremony, and story",1991.0,,https://covers.openlibrary.org/b/id/549072-L.jpg,/works/OL3359455W,True,False
BOOK00031,Wooden on Leadership,"""Team spirit, loyalty, enthusiasm, determination...Acquire and keep these traits and success should follow."" --Coach John WoodenJohn Wooden is without question one of the most respected and honored sports coaches in our nations history. But it wasn't winning games that drove him; it was ensuring that, regardless of the final score, his players always put forth their utmost effort and performed to the best of their abilities.One of the lesser-known aspects of Wooden is the notebooks in which, beginning in 1948, he regularly recorded his thoughts, inspirations, and life lessons. In Wooden on Leadership, the legendary coach and his longtime collaborator Steve Jamison combine the best of those notebooks with Wooden's far-more-celebrated Pyramid of Success to create a leadership skills guide designed to help anyone develop character, conviction, and remarkable achievement.Whether discussing teamwork (""It takes 10 hands to score a basket"") and self-control (""Emotion is the enemy"") to concentration (""Don't look at the scoreboard"") and dealing with defeat (""Things turn out best for those who make the best of the way things turn out"").",2005.0,,https://covers.openlibrary.org/b/id/60373-L.jpg,/works/OL7912826W,True,False
BOOK00032,Brand leadership,,2000.0,,https://covers.openlibrary.org/b/id/7290666-L.jpg,/works/OL9947459W,True,False
BOOK00033,SuperVision and Instructional Leadership,,2000.0,,https://covers.openlibrary.org/b/id/1145869-L.jpg,/works/OL2631715W,True,False
BOOK00034,Leadership,,2007.0,,https://covers.openlibrary.org/b/id/2771147-L.jpg,/works/OL9723833W,True,False
BOOK00035,Leadership Strategy and Tactics,,2020.0,,https://covers.openlibrary.org/b/id/9380709-L.jpg,/works/OL20703991W,True,False
BOOK00036,Leadership,,2022.0,,https://covers.openlibrary.org/b/id/14249975-L.jpg,/works/OL25348188W,True,True
BOOK00037,Improving organizational effectiveness through transformational leadership,,1994.0,,https://covers.openlibrary.org/b/id/1516336-L.jpg,/works/OL18306659W,True,False
BOOK00038,Introduction to Leadership,,2011.0,,https://covers.openlibrary.org/b/id/8872957-L.jpg,/works/OL20220610W,True,False
BOOK00039,Teacher leadership,,1950.0,,https://covers.openlibrary.org/b/id/1482285-L.jpg,/works/OL18785478W,True,False
BOOK00040,HR leadership,"What is HR leadership and what difference can it make to business success? Who is demonstrating HR leadership now and what might HR leadership look like in the future? How can aspiring HR leaders gain the skills, behaviours and credibility to navigate new and complex career structures and move up the career ladder? These are just some of the questions addressed by Linda Holbeche in her latest book. HR leadership is a rapidly evolving concept. It is as much a mindset, philosophy and set of capabilities as a role. HR Leadership draws on the personal experiences of some of today's most talented HR professionals who, through their leadership, are making a real difference to their organisations, no matter what industry they work in. Holbeche looks at the experiences which shaped them and the values and priorities which drive them. The book contains: . Revealing interviews with Senior HR leaders from Google, McDonald's, the UK's National Policing Improvement Agency and other major organisations, offering insights into their own career development . An overview of the capabilities needed for success as an HR leader and suggestions about how to develop these . Practical illustrations from leading companies, demonstrate how effective HR leaders play a driving role in building healthy and effective organisations to offer competitive edge HR Leadership illustrates to business managers what effective HR looks like at its best. Its well-informed and practical advice make this book a must-read for anyone wanting to develop their career as an HR leader. . Revealing interviews with Senior HR leaders from Google, McDonald's, the UK's National Policing Improvement Agency and other major organisations, offering insights into their own career development . An overview of the capabilities needed for success as an HR leader and suggestions about how to develop these . Practical illustrations from leading companies, demonstrate how effective HR leaders play a driving role in building healthy and effective organisations to offer competitive edge.",2010.0,,https://covers.openlibrary.org/b/id/9270506-L.jpg,/works/OL16918034W,True,False
BOOK00041,Leadership in health care,,2008.0,,https://covers.openlibrary.org/b/id/2771103-L.jpg,/works/OL9454258W,True,False
BOOK00042,Organizational culture and leadership,"Presents a comprehensive analysis of organizational culture - what it is, how it develops, and how it functions in relation to managerial style and organizational effectiveness.",1985.0,,https://covers.openlibrary.org/b/id/774364-L.jpg,/works/OL1906630W,True,False
BOOK00043,Leadership and the one minute manager,"Providing a guide to effective business leadership, three management consultants' important concepts and techniques of leadership, including flexibility, diagnosis, contracts, building skill, confidence, and autonomy in others. In clear, simple terms Leadership and the One Minute Manager® teaches managers the art of Situational Leadership®--a simple system that refutes the conventional management mandate of treating all employees equally. Here, you'll learn why tailoring management styles to individual employees is so important why knowing when to delegate, support, or direct is critical how to identify the leadership style suited to a particular person and how consistent use of the One Minute techniques will produce better management and enhanced motivation on all levels. This remarkable, easy-to-follow book is a priceless guide to creative, personalized leadership that elicits the best performance from your staff--and the best bottom line for any business. If your management motto is ""everyone should be treated equally,"" Leadership and the One Minute Manager. will show you why this style not only hinders workplace efficiency, but also frustrates your staff. In clear, simple terms, Ken Blanchard, co-author of the enormously popular The One Minute Manager., coupled with business gurus Patricia and Drea Zigarmi, teach managers the art of Situational Leadership. You'll learn why tailoring management styles to individual employees is so important when to delegate, support, or direct how to identify the leadership style suited to a particular person and how consistent use of the One Minute techniques will produce better management and enhanced motivation on all levels. This remarkable, easy-to-follow book is a priceless guide to creative, personalized leadership that elicits the best performance from your staff and the best bottom line for any business. -- Book jacket.",1985.0,,https://covers.openlibrary.org/b/id/6440265-L.jpg,/works/OL66047W,True,False
BOOK00044,School leadership and administration,,1987.0,,https://covers.openlibrary.org/b/id/8339443-L.jpg,/works/OL4138839W,True,False
BOOK00045,Leadership Is an Art,"Provides advice on the ""art"" of leadership by the CEO of one of Fortune magazine's ten best managed companies.",1989.0,,https://covers.openlibrary.org/b/id/4610906-L.jpg,/works/OL8051336W,True,False
BOOK00046,Small unit leadership,,1983.0,,https://covers.openlibrary.org/b/id/689071-L.jpg,/works/OL5591010W,True,False
BOOK00047,Leadership Wisdom from the Monk Who Sold His Ferrari,,1998.0,,https://covers.openlibrary.org/b/id/1835-L.jpg,/works/OL1854816W,True,False
BOOK00048,Monday morning leadership,,2002.0,,https://covers.openlibrary.org/b/id/737408-L.jpg,/works/OL5698702W,True,False
BOOK00049,Leadership for dummies,,1999.0,,https://covers.openlibrary.org/b/id/521724-L.jpg,/works/OL513860W,True,False
BOOK00050,Leadership,"""Used at more than 1500 institutions in 89 countries and translated into 12 different languages, this market-leading text successfully combines an academically robust account of the major theories and models of leadership with an accessible style and practical examples that help students apply what they learn. Peter G. Northouse uses a consistent format for each chapter, allowing students to compare the various theories. Each chapter includes three case studies that provide students with practical examples of the theories discussed. Adopted at more than 1,000 colleges, universities, and institutions worldwide, Leadership: Theory and Practice provides readers with a user-friendly account of a wide range of leadership research in a clear, concise, and interesting manner.""--Publisher's website.",2010.0,,https://covers.openlibrary.org/b/id/9280852-L.jpg,/works/OL18724331W,True,False
BOOK00051,Curriculum leadership,"""A one-of-a-kind resource written for teachers and administrators who want to sucessfully restructure and enhance school curriculum.""--Back cover.",1987.0,,https://covers.openlibrary.org/b/id/4174269-L.jpg,/works/OL2631027W,True,False
BOOK00052,Transformational leadership development,,1990.0,,,/works/OL2421703W,True,False
BOOK00053,Full range leadership development,,2010.0,,https://covers.openlibrary.org/b/id/14380960-L.jpg,/works/OL15443861W,True,False
BOOK00054,Leadership Development in Balance,,2004.0,,https://covers.openlibrary.org/b/id/5370739-L.jpg,/works/OL2002372W,True,False
BOOK00055,Full range leadership development,,2010.0,,https://covers.openlibrary.org/b/id/9233648-L.jpg,/works/OL18564486W,True,False
BOOK00056,Leadership Development,,2018.0,,https://covers.openlibrary.org/b/id/9234954-L.jpg,/works/OL20593977W,True,False
BOOK00057,Leadership development basics,,2008.0,,,/works/OL840850W,True,False
BOOK00058,Leadership development,,2008.0,,https://covers.openlibrary.org/b/id/5346473-L.jpg,/works/OL3419920W,True,False
BOOK00059,The Center for Creative Leadership handbook of leadership development,This second edition brings together the wealth of practical knowledge that CCL has gained from over three decades of research and experience.,2003.0,,https://covers.openlibrary.org/b/id/10216345-L.jpg,/works/OL19124120W,True,False
BOOK00060,Applied leadership development,,2015.0,,,/works/OL23199296W,True,False
BOOK00061,Full leadership development,,1999.0,,https://covers.openlibrary.org/b/id/3740918-L.jpg,/works/OL2002371W,True,False
BOOK00062,Implementing problem-based learning in leadership development,,1995.0,,https://covers.openlibrary.org/b/id/8141864-L.jpg,/works/OL3744961W,True,False
BOOK00063,Leadership Development Studies,,2014.0,,https://covers.openlibrary.org/b/id/10478961-L.jpg,/works/OL22581744W,True,False
BOOK00064,The making of a leader,,1988.0,,https://covers.openlibrary.org/b/id/688500-L.jpg,/works/OL4655515W,True,False
BOOK00065,Accelerating Leadership Development,,2013.0,,https://covers.openlibrary.org/b/id/9042094-L.jpg,/works/OL20374782W,True,False
BOOK00066,Innovations in public leadership development,,2008.0,,https://covers.openlibrary.org/b/id/8662994-L.jpg,/works/OL18787789W,True,False
BOOK00067,College Student Leadership Development,,2017.0,,,/works/OL26498430W,True,False
BOOK00068,The Center for Creative Leadership handbook of leadership development,"""The third edition of the handbook has been thoroughly revised and expanded to include the most recent research from CCL and its best thinking in the field of leadership development. This important resource includes new chapters on leadership in terms, global leadership, and leading through transitions."" -- Inside Cover",2010.0,,https://covers.openlibrary.org/b/id/9271912-L.jpg,/works/OL15452494W,True,False
BOOK00069,Leadership development program,,2000.0,,https://covers.openlibrary.org/b/id/1664894-L.jpg,/works/OL2656738W,True,False
BOOK00070,Servant Leadership,,2010.0,,,/works/OL25704183W,True,False
BOOK00071,Real time leadership development,,2009.0,,https://covers.openlibrary.org/b/id/9500224-L.jpg,/works/OL9699269W,True,False
BOOK00072,Leading Small Business,,2015.0,,https://covers.openlibrary.org/b/id/13256671-L.jpg,/works/OL25180372W,True,False
BOOK00073,Women's Leadership Development,,2019.0,,,/works/OL21284859W,True,False
BOOK00074,Leadership Development,,2001.0,,https://covers.openlibrary.org/b/id/5363384-L.jpg,/works/OL59396W,True,False
BOOK00075,Accelerated Leadership Development,,2018.0,,https://covers.openlibrary.org/b/id/8842072-L.jpg,/works/OL20192611W,True,False
BOOK00076,Business Leadership Development in China,,2015.0,,https://covers.openlibrary.org/b/id/8952359-L.jpg,/works/OL20293708W,True,False
BOOK00077,Leadership for a Better World,,2012.0,,,/works/OL21490762W,True,False
BOOK00078,Future of Leadership Development,,2003.0,,,/works/OL21047950W,True,False
BOOK00079,Curriculum Leadership Development,,2012.0,,,/works/OL25144317W,True,False
BOOK00080,The handbook for student leadership development,"""This is a comprehensive handbook provides essential research, theoretical framing, and practical guidance to help higher education practitioners develop, advance, and sustain a student leadership program. This new and thoroughly revised edition introduces a model for designing and executing any student leadership program, which will serve as a framing device for the book. This model covers: Foundations of Leadership Education, Program Design, Program Context, and Program Delivery. In addition, the book includes a rich, organized array of further recommended resources that will be connected to elements in various chapters.""--",2011.0,,https://covers.openlibrary.org/b/id/9296574-L.jpg,/works/OL16114022W,True,False
BOOK00081,Leadership Development,,2001.0,,,/works/OL25209587W,True,False
BOOK00082,Servant Leadership Development,,2021.0,,,/works/OL27542534W,True,False
BOOK00083,Full range leadership development,,2011.0,,,/works/OL15508124W,True,False
BOOK00084,The Art of Christian Leadership,,2009.0,,https://covers.openlibrary.org/b/id/8918406-L.jpg,/works/OL20261418W,True,False
BOOK00085,Community Leadership Development,,2014.0,,,/works/OL21287613W,True,False
BOOK00086,Ethical leadership,,1995.0,,https://covers.openlibrary.org/b/id/12689128-L.jpg,/works/OL27700028W,True,False
BOOK00087,Leadership development,,1994.0,,https://covers.openlibrary.org/b/id/3944180-L.jpg,/works/OL3951054W,True,False
BOOK00088,Phi Theta Kappa leadership development program,,1996.0,,,/works/OL11019317W,True,False
BOOK00089,Best practices in leadership development and organization change,"""Best Practices in Leadership Development and Organization Change contains a wide-variety of forms, instruments, case studies, research, methods, and guides that can be used to implement effective programs within any organization. Based on research from the Best Practices Institute, the book offers best practices from eighteen of the world's best organizations.""--BOOK JACKET.",2004.0,,https://covers.openlibrary.org/b/id/8622823-L.jpg,/works/OL19124558W,True,False
BOOK00090,Collaborative leadership,,2002.0,,https://covers.openlibrary.org/b/id/1431839-L.jpg,/works/OL1819729W,True,False
BOOK00091,Transnational leadership development,,2009.0,,https://covers.openlibrary.org/b/id/9272865-L.jpg,/works/OL11929114W,True,False
BOOK00092,Distributed School Leadership,,2008.0,,https://covers.openlibrary.org/b/id/12532970-L.jpg,/works/OL1923307W,True,False
BOOK00093,Leadership Development,,2011.0,,,/works/OL36466813W,True,False
BOOK00094,Management and leadership development,,2007.0,,https://covers.openlibrary.org/b/id/5156507-L.jpg,/works/OL19561785W,True,False
BOOK00095,The Pfeiffer book of successful leadership development tools,Resource added for the Leadership Development program 101961.,2007.0,,https://covers.openlibrary.org/b/id/2424171-L.jpg,/works/OL18845534W,True,False
BOOK00096,Leadership development,,1980.0,,,/works/OL15805280W,True,False
BOOK00097,Foundations of Educational Leadership,,2017.0,,https://covers.openlibrary.org/b/id/8874009-L.jpg,/works/OL20221499W,True,False
BOOK00098,Strategic leadership development,,2007.0,,https://covers.openlibrary.org/b/id/11722014-L.jpg,/works/OL18640373W,True,False
BOOK00099,Executive Leadership,,1972.0,,https://covers.openlibrary.org/b/id/8481928-L.jpg,/works/OL73261W,True,False
BOOK00100,Executive leadership,,1991.0,,https://covers.openlibrary.org/b/id/5171811-L.jpg,/works/OL2672537W,True,False
BOOK00101,Executive leadership,,1953.0,,https://covers.openlibrary.org/b/id/9852661-L.jpg,/works/OL4294411W,True,False
BOOK00102,Executive Leadership,"This book provides a genuine understanding of practical leadership based upon years of research and development. It identifies the essential components of leadership, and supplies guidelines for developing and implementing those skills. Clear, straightforward explanations and examples direct executives on how to establish objectives, delegate authority, direct subordinates, and motivate the team. Executive Leadership supplies a comprehensive analysis of effective leadership at senior levels and presents a model for establishing an efficient and productive workplace. Joseph A. Olmstead, Ph.D., is vice-president for product development with the Vanguard Research Group. His experience includes 22 years as a senior staff scientist and a program director for the Human Resources Research Organization. Dr. Olmstead is the author of numerous books on leadership and organizational effectiveness",2010.0,,https://covers.openlibrary.org/b/id/6428266-L.jpg,/works/OL15170644W,True,False
BOOK00103,Executive leadership,,1940.0,,,/works/OL6357706W,True,False
BOOK00104,Effective Executive,"The measure of the executive, Peter Drucker reminds us, is the ability to ""get the right things done."" This usually involves doing what other people have overlooked as well as avoiding what is unproductive. Intelligence, imagination, and knowledge may all be wasted in an executive job without the acquired habits of mind that mold them into results.",1967.0,,https://covers.openlibrary.org/b/id/4941284-L.jpg,/works/OL272920W,True,False
BOOK00105,Executive Leadership for Effective Administration,,2004.0,,https://covers.openlibrary.org/b/id/1145917-L.jpg,/works/OL2632000W,True,False
BOOK00106,Executive Leadership and Legislative Assemblies,,2014.0,,,/works/OL21282293W,True,False
BOOK00107,The Palestinian executive,,2012.0,,https://covers.openlibrary.org/b/id/13154269-L.jpg,/works/OL16726909W,True,False
BOOK00108,Executive Leadership Council Journal,,2020.0,,,/works/OL20764205W,True,False
BOOK00109,The Development of Executive Leadership,,1949.0,,https://covers.openlibrary.org/b/id/9018164-L.jpg,/works/OL20352066W,True,False
BOOK00110,Executive Leadership,,1969.0,,,/works/OL9160155W,True,False
BOOK00111,Legislative liaison; executive leadership in Congress,,1970.0,,,/works/OL31757099W,True,False
BOOK00112,Principles and problems of executive leadership,,1956.0,,,/works/OL178488W,True,False
BOOK00113,The technique of executive leadership,,1950.0,,,/works/OL12555073W,True,False
BOOK00114,The development of executive leadership,,1949.0,,https://covers.openlibrary.org/b/id/14944235-L.jpg,/works/OL3346518W,True,False
BOOK00115,Executive leadership,,1969.0,,https://covers.openlibrary.org/b/id/14957583-L.jpg,/works/OL4613019W,True,False
BOOK00116,Chief nursing executives' leadership style and effectiveness,,1990.0,,,/works/OL11150616W,True,False
BOOK00117,Navigate,,2015.0,,,/works/OL40675189W,True,False
BOOK00118,Executive leadership in a dynamic society,,1964.0,,,/works/OL186153W,True,False
BOOK00119,Executive leadership in Anglo-American systems,,1991.0,,https://covers.openlibrary.org/b/id/11629350-L.jpg,/works/OL19506401W,True,False
BOOK00120,The focused executive,,2014.0,,https://covers.openlibrary.org/b/id/12939448-L.jpg,/works/OL28958132W,True,False
BOOK00121,Executive leadership,,1960.0,,,/works/OL37440322W,True,False
BOOK00122,Executive Leadership,,2024.0,,,/works/OL45919298W,True,False
BOOK00123,Executive leadership.,,1987.0,,,/works/OL17671901M,True,False
BOOK00124,Executive leadership,,1971.0,,,/works/OL10932218W,True,False
BOOK00125,Executive Leadership,,2010.0,,,/works/OL34016806W,True,False
BOOK00126,Executive leadership,,2000.0,,https://covers.openlibrary.org/b/id/1629853-L.jpg,/works/OL18345228W,True,False
BOOK00127,Executive Leadership in Nonprofit Organizations,Presents strategies used by effective executives to position their organizations and offers guidance on how executives can work more productively with their boards.,1991.0,,,/works/OL25126597W,True,False
BOOK00128,Executive Leadership Series,,1996.0,,https://covers.openlibrary.org/b/id/2927622-L.jpg,/works/OL8924498W,True,False
BOOK00129,Police Executive Leadership,,1990.0,,https://covers.openlibrary.org/b/id/1627049-L.jpg,/works/OL3703775W,True,False
BOOK00130,"Presidents, Prime Ministers and Chancellors",,2004.0,,https://covers.openlibrary.org/b/id/1744447-L.jpg,/works/OL8716894W,True,False
